,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/1235319,Sade,All About Our Love,https://genius.com/Sade-all-about-our-love-lyrics,http://api.genius.com/songs/1235319,Lovers Rock,2000-11-13," It's all about our love So shall it be forever, never ending   After all this time After all is said and done   We have seen some suffering, baby It has not always been perfect   After all this time After all is said and done   Darling we know it whatever may come We can get through it as if it's just begun, oh, it's just begun   It's all about our love So shall it be forever, never ending Darling we know it   After all this time After all is said and done   After all this time After all is said and done",0.8979,0,7,1,1,6,1,6,1,0,3
1,/songs/737575,Sade,Babyfather,https://genius.com/Sade-babyfather-lyrics,http://api.genius.com/songs/737575,Soldier of Love,2010-02-05,"We were waiting for the bus No one much around but us Then I see this young boy cut a look at me I'm stunned In a daze He had the whole street set ablaze It's only love they say Makes you feel this way  She liked his eyes she wanted more The baby gonna have your smile for sure He saw a lovely girl Smelling sweet and soapy like fresh air She saw him looking acted like she didn't care  That's how we knew And so love grew a flower A flower that is you   Your daddy know you're a flame Your daddy know you're a flame Your daddy know you're a flame Your daddy know you're a flame  Even to the angels it may sound like a lie For you child He has the troops and extra backup standing by For you child For you he's the best he can be For you child For you he's the best he can be Oh child don't you know Your daddy love come with a life time guarantee   Your daddy knows you're a flame Your daddy knows you're a flame Yeah daddy love you child Your daddy knows you're a flame Your daddy knows you're a flame Daddy love you yeah  It's only you he'll say Made the young boy hungry for the man he is today It's only love, love, love, love Can make you feel this way  ",0.9986,1,12,4,1,21,6,25,2,7,6
2,/songs/949674,Sade,Be That Easy,https://genius.com/Sade-be-that-easy-lyrics,http://api.genius.com/songs/949674,Soldier of Love,2010-02-05," You, baby, were like the sky You held me up to let me fly That's just like you to tell me I've nothing to fear   But I am a broken house I'm holding on a broken bough Now it's easy for me to see   It couldn't be that easy It had to be much harder That's just like you to tell me I've nothing to fear   But I could have been falling free Falling all these years Now it's easy for me to see   Full of air Sun on my face, wind in my hair Falling down Flying as slow as I can I'm not trying to reach the land Just falling somewhere   It couldn't be that easy It had to be much harder Meanwhile, boy, I love you",0.974,4,1,1,5,3,9,7,6,1,1
3,/songs/1171305,Sade,Bring Me Home,https://genius.com/Sade-bring-me-home-lyrics,http://api.genius.com/songs/1171305,Soldier of Love,2010-02-05," The ground is full of broken stones The last leaf has fallen I have nowhere to turn now Not east not west North or south And all that's ahead of me And everything I know I know nothing so So bring me home   Put me on a plate with petals and a fire And send me out to sea Turn my angry sword against my heart And let me free The dawn holds the heaviness of the night I've heard the restless sighs and lovers lies The brook, the beach and seen the devil's eyes So bring me home   I've cried for the lives I've lost Like a child in need of love I've been so close but far away from God My tears flow like a child's in need of love I've cried the tears So let the tide take me I won't fight I've cried the tears   The small step I need to take is a mountain Stretched out like a lazy dog Send me to slaughter Lay me on the railway line I'm far away from God My tears flow like a child's in need of love I've cried the tears So build the fire and light the flame Bring me home",0.4898,7,9,4,8,11,10,16,5,2,5
4,/songs/596855,Sade,Bullet Proof Soul,https://genius.com/Sade-bullet-proof-soul-lyrics,http://api.genius.com/songs/596855,Love Deluxe,1992-10-26," I was so in love with you You rarely see a love that true Wasn't that enough for you? Wasn't that enough for you? I would climb a mountain I wouldn't want to see you fall Rock climb for you And give you a reason for it all   You kept on thinking You were the only one Too busy thinking Love is a gun   Hit me like a slow bullet Like a slow bullet Took me some time to realize it   You kept on thinking You were the only one Too busy thinking Love is a gun  I know the end before The story's been told It's not that complicated But you're gonna need a bullet proof soul  You kept on thinking You were the only one Too busy thinking Love is a gun  I know the end before The story's been told It's not that complicated But you're gonna need a bullet proof soul   You were trigger happy, baby You never warned me, let me free It's not that complicated But you're going to need a bullet proof soul Think you got it but you got all the trouble you need I came in like a lamb But I intend to leave like a lion   It hit me like a slow bullet It hit me like a slow bullet",0.9887,6,4,0,5,9,11,12,2,2,7
5,/songs/979502,Sade,Cherry Pie,https://genius.com/Sade-cherry-pie-lyrics,http://api.genius.com/songs/979502,Diamond Life,1984-07-16,"Got to find out what I meant to you You're the one who broke my heart Got to find out what I meant to you You're the one who broke my heart  When I met you, boy You were as sweet as cherry pie That smile in your eye You were as wild as Friday night I should have known However hard you tried Change would come and strangle it It was bound to die You were sweet as cherry pie Wild as Friday night Sweet as cherry pie Wild as Friday night  Gotta find out what I meant to you You're the one who broke my heart in two Gotta find out what I meant to you Oh, boy Gotta find out what I meant to you You're the one who broke my heart in two Where were you just when I needed you?  You gave me your soul For at least a day Listen, boy, there was a time When I wanted you to stay  You knew the cost It's you who's gonna pay I'm stronger now; I loved you then I ask you anyway  You were sweet as cherry pie Wild as Friday night Sweet as cherry pie Wild as Friday night  Gotta find out what I meant to you You're the one who broke my heart in two Where were you just when I needed you, boy? Gotta find out what I meant to you You're the one who broke my heart in two Ooh, I needed you  Baa do do do do, do do, baa do do do Baa do do do do, baa do do do Baa do do do do, do do, baa do do do Baa do do do do, baa do do do  You were the only one, you were the only one You're a son of a gun You were the only one, you were the only one Oh, boy, you broke my heart Sweet as cherry pie Sweet as cherry pie Gotta find out what I meant to you You're the one who broke my heart in two Gotta find out what I meant to you Oh, boy Gotta find out what I meant to you Where were you just when I needed you? Gotta find out what I meant to you, boy  Doo doop doo doop Doo doop doo doop Doo doop doo doop Doo doo doop doop doop Doo doo doop doop doop  Where were you when I needed you? You were the only one, you were the only one Ooh, son of a gun You were the only one I'm feeling stronger now; I loved you then So I ask you anyway Gotta find out what I meant to you (Sweet as cherry pie) You broke my heart (Sweet as cherry pie) Gotta find out what I meant to you You tease me You were the only one, you were the only one (Sweet as cherry pie) Son of a gun You were the only one, you were the only one (Sweet as cherry pie)",-0.3313,6,15,9,16,14,29,25,13,19,14
6,/songs/1047763,Sade,Clean Heart,https://genius.com/Sade-clean-heart-lyrics,http://api.genius.com/songs/1047763,Stronger Than Pride ,1988-04-05,"Clean heart Clean and sharp Clean dream Bad start  He loved his brother and his sister Luke and Tony called him mister They made him feel much more Like a man He loved his daddy though he never told him And how he loved his mother He loved, he loved, loved, loved her like an Italian  Little Janet said you look so fine So fine But something in his smile Made them feel like strangers And then he straightened his belt With a lover's touch And he said i'm gonna bring home The things that are out of your clutch  Seemed like the hottest night in summer A heat that makes you feel like dying  Somewhere in the next block There was a baby crying  Finger on the trigger for the years to come  And as the moon slid up over the restless streets Sirens mocking and people stop to see Their greedy eyes don't realize He's someone's son Finger on the trigger for the years to come  Finger on the trigger for the years to come",0.9327,4,3,4,5,7,9,9,5,1,8
7,/songs/2289084,Sade,Every Word,https://genius.com/Sade-every-word-lyrics,http://api.genius.com/songs/2289084,Lovers Rock,2000-11-13," (Love is what the world want)   I saw a picture How could you be so careless? How could you have done that to us? And I write this letter I send it all back to you And every word you said   In there every word, oh oh oh oh How could you have done that to us?   You treated me like a stranger And all the time I was loving you All your slick moves They were once innocent moves I wanted to look up to you I really trusted you And every word you said   In there every word, oh oh oh oh How could you have done that to us?   (Love is what the world want) I was loving you like a child All the time you were smiling the same smile (Love is what the world want) (Love is what the world want) I was loving you like a child I really trusted you   Every word you said Every word you said (Love is what the world want) Every word you said Every word you said (Love is what the world want) (Love is what the world want) Every word you said Every word you said   I was loving you like a child All the time you were smiling the same smile I was loving you like a child I really trusted you   Every word you said Every word you said (Love is what the world want) I send it back to you, yeah (Love is what the world want) Every word you said Every word you said (Love is what the world want) I send it all back to you, yeah (Love is what the world want)",0.995,0,8,0,1,24,1,39,0,2,22
8,/songs/1050375,Sade,Fear,https://genius.com/Sade-fear-lyrics,http://api.genius.com/songs/1050375,Promise ,1985-11-04,"Blue is the color of the red sky Will he, will he come home tonight? Blue is the color that she feels inside Matador, I can't hide my fear anymore  Azul es el color del rojo cielo Volverá volverá a mi esta noche Azul es el color que siente a dentro Matador, no puedo esconder mi temor  Can she tame the beast that is her fear? Puede domar la fiera que es su temor Waiting for her matador Will they bring the bad news?  Blue is the color that she feels inside Matador, I can't hide my fear anymore  Azul es el color del rojo cielo Volverá volverá a mi esta noche Azul es el color que siente a dentro Matador, no puedo esconder mi temor",0.3736,5,0,1,7,0,5,1,4,0,0
9,/songs/134327,Sade,Feel No Pain,https://genius.com/Sade-feel-no-pain-lyrics,http://api.genius.com/songs/134327,Love Deluxe,1992-10-26,"Mamma been laid off Pappa been laid off My brother's been laid off For more than two years now Ooh can't get a job Billy can't get a job They gotta listen to the blues  Help them to strive Help them to move on Help them to have some future Help them to live long Help them to live life Help them to smile Don't let them stay home And listen to the blues  Pappa been laid off Mamma been laid off Billy can't get a job For too long, too long Don't let them lose We gotta give them a chance It's gonna come back on everyone If you don't make them dance Don't let them stay home And listen to the blues  There's nothing sacred Breathing hatred We have to face it No one can take it And feel no pain  Mamma been laid off Pappa been laid off My brother's been laid off For more than two years now Ooh, can't get a job Billy can't get a job Ooh, they gotta listen to the blues  Help them to strive Help them to move on Help them to have some future Help them to live long Help them to live life Help them to smile Don't let them stay home And listen to the blues  One day we're gonna wake up And the ghetto's all around All over, my friend Have you ever seen a man break down?  Do you know how, how that feels? To walk the streets With your head held high  Oh Lord, have mercy Did you ever see a man break down?  There's nothing sacred Breathing hatred We have to face it No one can take it And feel no pain  Ooh, did you ever see a man break down?",0.9888,3,6,5,6,4,7,18,11,7,15
