,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/2966121,Sam Hunt,Body Like a Back Road,https://genius.com/Sam-hunt-body-like-a-back-road-lyrics,http://api.genius.com/songs/2966121,SH2*,2017-02-01," Got a girl from the south side, got braids in her hair First time I seen her walk by, man I 'bout fell up out my chair Had to get her number, it took me like six weeks Now me and her go way back like Cadillac seats   Body like a back road, drivin' with my eyes closed I know every curve like the back of my hand Doin' 15 in a 30, I ain't in no hurry I'ma take it slow just as fast as I can   The way she fit in them blue jeans, she don't need no belt But I can turn them inside out, I don't need no help Got hips like honey, so thick and so sweet, man It ain't no curves like hers on them downtown streets   Body like a back road, drivin' with my eyes closed I know every curve like the back of my hand Doin' 15 in a 30, I ain't in no hurry I'ma take it slow just as fast as I can   We're out here in the boondocks With the breeze and the birds Tangled up in the tall grass With my lips on hers On a highway to heaven Headed south of her smile mmm Get there when we get there Every inch is a mile   Body like a back road, drivin' with my eyes closed I know every curve like the back of my hand Doin' 15 in a 30, I ain't in no hurry I'ma take it slow just as fast as I can   I'ma take it slow Just as fast as I can Body like a back road Drivin' with my eyes closed I know every curve like the back of my hand Got braids in her hair",0.9967,2,5,0,1,2,4,5,2,2,4
1,/songs/712200,Sam Hunt,Bottle It Up,https://genius.com/Sam-hunt-bottle-it-up-lyrics,http://api.genius.com/songs/712200,Between The Pines (Acoustic Mixtape),2013-09-01," Night sand felt good on sunburned feet Sitting on pool chairs we drug to the beach But that salty air was bittersweet Waiting for the sun to rise Best friends talking 'bout the memories we made We couldn't believe that we were graduating The wind and the waves were slipping away but that moment felt so alive   If I could bottle it up I'd have a stash in the truck Splash in my cup, it'd never get old One little sip, just a taste on my lip I'd be taking a trip, wherever I go I'd keep a life's good, sweet bliss 'Does it ever really get better than this?' kinda buzz If I could bottle it up If I could bottle it up   Well the year me, and my grandad fixed that car It was a summer full of grease and changing parts But when we finally got that thing to start Man, it sounded just right Riding with the prettiest girl I know Breaking in a brand new record on an old back road When that first slow love song came on She couldn't hide that little smile   If I could bottle it up I'd have a stash in the truck Splash in my cup, it'd never get old One little sip, just a taste on my lip I'd be taking a trip, wherever I go I'd keep a life's good, sweet bliss 'Does it ever really get better than this?' kinda buzz If I could bottle it up If I could bottle it up   And I'd drink it down And I'd pass it around, pass it around Cause it'll sneak up on you fast When life pours out the good stuff Just can't make it last That moment in time would never end Cause I'd take it with me when it did   If I could bottle it up I'd have a stash in the truck Splash in my cup, it'd never get old One little sip, just a taste on my lip I'd be taking a trip, wherever I go I'd keep a life's good, sweet bliss 'Does it ever really get better than this?' kinda buzz If I could bottle it up If I could bottle it up, If I could bottle it up",0.9984,2,16,1,5,18,2,22,0,18,17
2,/songs/547830,Sam Hunt,Break Up in a Small Town,https://genius.com/Sam-hunt-break-up-in-a-small-town-lyrics,http://api.genius.com/songs/547830,Montevallo,2014-10-27," I knew I'd see her around I'd be at some party, she'd show up and I'd be walking out Or across some parking lot hiding behind her sister I'd look up, she'd be at the red light beside me In that white Maxima with the sticker on the back I'd act like I didn't see her We'd pay at the same pumps Flip through the same stations And slow down for the same curves Run around with the same crowds We just needed some time She could get on with her life and I'd get on with mine Thought I would be fine, heh, but maybe not I knew she'd find a way to get over me But I'd never thought that...   She would get down with somebody I know I guess that's just how it goes When you break up in a small town I see our friends and they put on a show Like they don't want me to know So they give me the go-around But there's only so many streets, so many lights I swear it's like I can't even leave my house I should've known all along You gotta move or move on When you break up in a small town   For a while I guess they were keeping it low-key But now it's like these county lines are closing in on me I see 'em everywhere together And it's hitting a little too close to home She's so far gone, but she didn't go far She was over me before the grass grew back where she used to park her car She's leaving those same marks in someone else's yard In someone else's arms right down the road And I never thought that...   She would get down with somebody I know I guess that's just how it goes When you break up in a small town I see our friends and they put on a show Like they don't want me to know So they give me the go-around But there's only so many streets, so many lights I swear it's like I can't even leave my house I should've known all along You gotta move or move on When you break up in a small town   Her mailbox is seven minutes from mine And I drive into town sometimes I see you sittin' there with him And I wanna jump out I wanna fight I wanna say, ""... that guy!"" but I can't It's my fault, I let her go I never thought that...   She would get down with somebody I know I guess that's just how it goes When you break up in a small town I see our friends and they put on a show They don't want me to know So they give me the go-around But there's only so many streets, so many lights I swear it's like I can't even leave my house I should've known all along You gotta move or move on When you break up in a small town",0.9837,1,7,0,2,6,11,13,4,13,16
3,/songs/3718999,Sam Hunt,Downtown's Dead,https://genius.com/Sam-hunt-downtowns-dead-lyrics,http://api.genius.com/songs/3718999,SH2*,2018-05-16," ""Thanks, Hannah, thanks for coming back""   The city’s so in style All you see for miles are people spilling in and out of cars Man, I love these bars are making a killin' Everywhere I go looks like the place to be I see people that I know and I feel like there’s no one here but me   Downtown’s dead without you Girls walk by and friends say ""hi"" Then Friday night it might as well be just another Tuesday night without you As long as you’re still in my head There ain’t no way that I can paint a ghost town red Downtown’s dead, downtown’s dead   They're dancing in the strobes Out here in the throws of loud house music Everything’s a blur I don’t hear the words, but lips are moving Try to get involved, but I’ve 'bout had enough of people wall to the wall And I’m just holdin' it up 'cause...   Downtown’s dead without you Girls walk by and friends say ""hi"" Then Friday night it might as well be just another Tuesday night without you As long as you’re still in my head There ain’t no way that I can paint a ghost town red Downtown’s dead, downtown’s dead   Free drinks, bright lights What am I doing with my life? Okay, I quit… I’ve had enough of this 'Cause people are losing their minds Can’t get you out of my head I’m calling it a night I’m crawling back to your bed…   Downtown’s dead without you Girls walk by and friends say ""hi"" Then Friday night it might as well be just another Tuesday night without you As long as you’re still in my head There ain’t no way that I can paint a ghost town red Downtown’s dead, downtown’s dead   Downtown's dead Downtown's dead",-0.9959,2,4,0,3,5,4,7,2,0,5
4,/songs/2945334,Sam Hunt,Drinkin' Too Much,https://genius.com/Sam-hunt-drinkin-too-much-lyrics,http://api.genius.com/songs/2945334,Drinkin' Too Much,2017-01-06," Pour a drink and take a sip of it Feelin' like a hypocrite Couple more and I won't give a shit I never used to talk, I never used to talk like this   I’m sorry I named the album ‘Montevallo’ And I’m sorry people know your name now And strangers hit you up on social media I’m sorry you can’t listen to the radio And drive out to the place we used to get peaches down in Pelham  I know you want your privacy And you’ve got nothing to say to me But I wish you'd let me pay off your student loans With these songs you gave to me  'Member the first time you stayed with me? Overpacked, and drove up, and went to the CMAs with me Two years later, it felt like you were a million miles away from me And I was the one on stage, drunk, barely holdin' on, on ABC Hope your dad still prays for me   Drinkin’ too much, drinkin’ too much Since you been gone, I can’t get gone enough I'm on top of the world, going down I'm gon' drink it all 'til you're not around Drinkin’ too much, drinkin’ too much Since you been gone, I can’t get gone enough I'm on top of the world, I'm going down I'm gon' drink it all 'til you're not around   A year ago, I was in a hotel room in Phoenix Wonderin' if it's ever okay to lie 'Cause I knew the truth would make you wanna die But I told you everything, and you told me to have a good life But you still couldn't believe it was really goodbye Every night, you'd fill the bathtub up Lie there for hours, put your face under water and cry I never wanted to be a heartbreaker Turn your sisters and their friends into matchmakers I know you think my dreams came true Since you been gone, singin' these songs are just something to do The only dream I ever had was you I hope you know I'm still in love, it's the kind you can't fall out of   Drinkin’ too much, drinkin’ too much Since you been gone, I can’t get gone enough I'm on top of the world, I'm going down I'm gon' drink it all 'til you're not around Drinkin’ too much, drinkin’ too much Since you been gone, I can’t get gone enough I'm on top of the world, I'm going down I'm gon' drink it all 'til you're not around   I know this might seem like a contradiction And the last thing you need is more unwanted attention But you changed your number, and moved And this is the only way I could reach you So wherever you are, turn it up and listen   Hannah Lee, I'm on my way to you Nobody can love you like I do I don't know what I'm gon' say to you But I know there ain't no way, know there ain't no way Know there ain't no way we're through",0.9956,4,10,4,2,9,10,20,5,3,14
5,/songs/3402254,Sam Hunt,Drinkin' Too Much (8pm),https://genius.com/Sam-hunt-drinkin-too-much-8pm-lyrics,http://api.genius.com/songs/3402254,Drinkin' Too Much,2017-01-27," Pour a drink and take a sip of it Feelin' like a hypocrite Couple more, and I don't... I never used to talk, I never used to talk like this   I’m sorry I named the album Montevallo And I’m sorry people know your name now And strangers hit you up on social media I’m sorry you can’t listen to the radio And drive out to the place we used to get peaches down in Pelham I know you want your privacy You got nothing to say to me But I wish you'd let me pay off your student loans With these songs you gave to me Remember the first time you stayed with me? Overpacked, and drove up, and went to the CMAs with me Said, ""That'll be you up there one day, just wait and see"" Two years later, it felt like you were a million miles away from me And I was the one on stage, drunk, barely holdin' on, on ABC Hope your dad still prays for me   Drinkin’ too much, drinkin’ too much Since you been gone, I can’t get gone enough I'm on top of the world, I'm going down I'm gon' drink it all 'til you're not around Drinkin’ too much, drinkin’ too much Since you been gone, I can’t get gone enough I'm on top of the world, I'm going down I'm gon' drink it all 'til you're not around   A year ago, I was in a hotel room in Phoenix Wonderin' if it's ever okay to lie 'Cause I knew the truth would make you wanna die So I told you everything, and you told me to have a good life But you still couldn't believe it was really goodbye Every night, you'd fill the tub up Lie there for hours, put your face under water and cry I never wanted to be a heartbreaker Turn your sisters and their friends into matchmakers I know you think my dreams came true But since you been gone Singin' these songs are just something to do The only dream I ever had was you I hope you know I'm still in love It's the kind that you can't fall out of   Drinkin’ too much, drinkin’ too much Since you been gone, I can’t get gone enough I'm on top of the world, I'm going down I'm gon' drink it all 'til you're not around Drinkin’ too much, drinkin’ too much Since you been gone, I can’t get gone enough I'm on top of the world, I'm going down I'm gon' drink it all 'til you're not around   I know this whole thing might seem like a contradiction And the last thing you need is more unwanted attention But you changed your number, and moved And this is the only way I could reach you So wherever you are, turn it up and listen   Hannah Lee, I'm on my way to you I don't know what I'm gon' say to you But I know there ain't no way we're through And I know there ain't no way, know there ain't no way Know there ain't no way we're through I'm on my way to you, on my way to you",0.9937,3,11,3,2,8,10,20,5,3,15
6,/songs/500621,Sam Hunt,Ex to See,https://genius.com/Sam-hunt-ex-to-see-lyrics,http://api.genius.com/songs/500621,Between The Pines (Acoustic Mixtape),2014-10-27," Well there ain't enough smoke in my eyes To hide the kind of games you're tryna play Honey, don't you act so surprised You know exactly what I'm 'bout to say You kiss my lips like you mean it, but you ain't that slick   Everywhere we go, you keep looking around Fixing your make-up like it's about to go down And he walks in, it all makes sense Suddenly you're climbing all up next to me, next to me I ain't no fool, you rascal, you You don't want me, you just want your ex to see, ex to see   So that's why when I pick you up You always want me to drive your car So I can leave mine at your house And he can wonder where you are Well, you're right here looking sexy, whispering in my ear   Everywhere we go, you keep looking around Fixing your make-up like it's about to go down And he walks in, it all makes sense Suddenly you're climbing all up next to me, next to me I ain't no fool, you rascal you You don't want me, you just want your ex to see, ex to see   Girl, you look kind of cute called out You're making it hard to have hard feelings for you now So hey, did he really do you wrong? I guess I can play along, I guess I can play along   And he walks in, it all makes sense Suddenly you're climbing all up next to me, next to me I ain't no fool, you rascal you Girl come here and kiss me, I just want your ex to see I just want your ex to see, ex to see, ex to see   I just want your ex to see Girl, you look kind of cute called out I just, I just, I just want your ex to see I just want your ex, I just want your ex I-I just want your ex, I just want your ex to see",0.9887,5,3,7,5,6,10,16,2,10,7
7,/songs/2339595,Sam Hunt,Goodbye,https://genius.com/Sam-hunt-goodbye-lyrics,http://api.genius.com/songs/2339595,Between The Pines (Acoustic Mixtape),2014-10-27," Never seen such a beautiful straight face I never questioned anything You sealed my lips and you stole my shirt Tattooed my heart but mark my words What do you call the other half of half the truth? What I didn’t know never hurt you You should’ve paid up front when you sold me out I lost so much sleep but it’s over now   Our love is lying there Lying by your side Murdered by the lies you told now you’re the one who cry And your tears rain down Rain down your face And falling on the pillows in the bed you made You left me nothing now it’s all I’ve got for you Goodbye, goodbye, goodbye   You kissed my mouth in brand new places Filled your camera with our faces Wrote love letters underneath my name Crawled in my arms every time it rained But all those memories I’m burning ‘em babe Can’t you see this ain’t no maybe You went and threw them all away somehow What felt right then I can’t feel right now   Our love is lying there Lying by your side Murdered by the lies you told now you’re the one who cry And your tears rain down Rain down your face And falling on the pillows in the bed you made You left me nothing now it’s all I’ve got for you Goodbye, goodbye, goodbye   Oh, you left me nothing now it’s all I’ve got You left me nothing now it’s all I’ve got Goodbye, goodbye, goodbye, goodbye, goodbye",-0.9868,7,2,6,1,4,12,8,8,1,2
8,/songs/547829,Sam Hunt,House Party,https://genius.com/Sam-hunt-house-party-lyrics,http://api.genius.com/songs/547829,Between The Pines (Acoustic Mixtape),2014-10-27," You're on the couch, blowing up my phone You don't want to come out, but you don't want to be alone It don't take but two to have a little soiree If you're in the mood, sit tight right where you are, babe  Cause I'll be at your door in ten minutes Whatever you got on, girl, stay in it You ain't gotta leave the house to have a good time I'ma bring the good time home to you   We'll have a house party, we don't need nobody Turn your TV off, break that boombox out We'll wake up all the neighbors til the whole block hates us And the cops will show up and try to shut us down   If you're gonna be a homebody We're gonna have a house party If you wanna be a homebody We're gonna have a house party   Throw a neon t-shirt over the lamp shade I'll take the furniture, slide it out of the way Shaking the floor, rattling the roof We'll go to town right there in your living room   Let's have a house party, we don't need nobody Turn your TV off, break that boombox out We'll wake up all the neighbors til the whole block hates us And the cops will show up and try to shut us down   If you're gonna be a homebody We're gonna have a house party If you wanna be a homebody We're gonna have a house party   So I'll be at your door in ten minutes Whatever you got on, baby, stay in it You ain't gotta leave the house to have a good time I'ma bring the good time home to you   We'll have a house party, we don't need nobody Turn your TV off, break that boombox out We'll wake up all the neighbors til the whole block hates us And the cops will show up and try to shut us down   If you're gonna be a homebody We're gonna have a house party If you wanna be a homebody We're gonna have a house party",0.967,3,11,3,7,5,6,14,6,9,19
9,/songs/2339614,Sam Hunt,I Met A Girl,https://genius.com/Sam-hunt-i-met-a-girl-lyrics,http://api.genius.com/songs/2339614,Between The Pines (Acoustic Mixtape),2014-10-27," She don’t laugh at everything, but when she does the planets swing around her She don’t step on sidewalk seams, her teenage boyfriends all still dream about her She don’t need the glitter of the Vegas lights She could blow a kiss and leave you spinning like a tilt-o-whirl   I met a girl She made me smile She made me wait She crossed the street She crossed my heart She fixed her dress She bit her lip She lit me up I met a girl with crazy shoes and baby blues The way she moves is changing my whole world I met a girl   The sunrise waits for her to wake up She’s a pony tail, no makeup Saturday She don’t need umbrellas in the summer rain She could catch the eye of a hurricane in blue jeans and pearls   I met a girl She made me smile She made me wait She crossed the street She crossed my heart She fixed her dress She bit her lip She lit me up I met a girl with crazy shoes and baby blues The way she moves is changing my whole world   She turned around and it felt like the street turned upside down The only thing that I could say was, ""hey"" And I’m just glad she didn’t walk away   I met a girl She made me smile She made me wait She crossed the street She crossed my heart She fixed her dress She bit her lip She lit me up I met a girl with crazy shoes and baby blues The way she moves is changing my whole world I met a girl   I met a girl I met a girl I met a girl",0.9464,3,6,1,4,10,9,13,8,7,10
