,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/64175,ScHoolboy Q,2 Raw,https://genius.com/Schoolboy-q-2-raw-lyrics,http://api.genius.com/songs/64175,Habits & Contradictions,2012-01-14," Hey, Groove the window down, oh, shit I'm getting high Still I'm cool, no A/C needed Probly sliding down ya region off this Henny got me leaning Ain't no secret that we balling and your ho be refereeing Bet I make that pussy whistle up and down that booty dribble Was she foul? Just a little, tech-nical how she nibble, uhh Ain't fucking with you losers, all my niggas won It's Mr. BetIGotSumWeed, hey, split another one Look down upon the ceiling Just try to reach the sky cause when you up they all be kneeling Contradictions in my thoughts and I just execute my feelings Shake the nonbelievers off, I'm tryna navigate a million But you first let's hit the store you know I love Korean She tell me hurry up and buy, I hurry up I'm fiending So I zip that, chop that, pass the blunt Know my dick from last month but there's more to come, what the fuck?   Too, too fucking raw (Face down, ass up) Too, too fucking raw (Face down, ass up) Too, too fucking raw (Face down, ass up) Too, too fucking raw (Face down, ass up) When the sunshine, and the moonlight, in my life Too, too fucking raw (Face down, ass up) When the sunshine, and the moonlight, in my life Too, too fucking raw (Face down, ass up)   Heroin, extacy, Oxycontin, Vicodin Coca Cola, everything up in our jeans Even methamphetamines, get this bread by any means PCP, LSD, transactions frequently Turn you job into a ki, turn that ki into a beach Turn that beach into ur sleep, rest ya head, remain neat Haters love to hate a G, gossip on ya bakery Wish they had the recipe, swear this life is meant for me Tired of cracking niggas heads in the stolen challenger Hopped up out the passenger and merked the DA's messenger Every corner, camera, nigga I'm just tryna live Shitty on a shitty curb, niggas kill ya front your kids See how niggas get it in, trapping so we live in sin This felony won't keep me in I'm hungry gotta rob again Embarrassing my mom and them, grandma bragging to her friends Killing beef, apparently, name a nigga rare as me, yeah, I be   Too, too fucking raw (Face down, ass up) Too, too fucking raw (Face down, ass up) Too, too fucking raw (Face down, ass up) Too, too fucking raw (Face down, ass up) When the sunshine, and the moonlight, in my life Too, too fucking raw (Face down, ass up) When the sunshine, and the moonlight, in my life Too, too fucking raw (Face down, ass up)   Got me swagged, then I put your style in a body bag Man, I'm off a bag of that good, my flow off a powder pack Man, I'm leaning hard, like I'm off that syrup, and I'm damn near tore up With my dogs and locstas, and we all got stock like brokers Ugh, we don't chase hoes, nah, hoes gon chase us, yeah Straight to the condo, yeah, bitches ain't shit that's the mothafuckin' motto In the Monte Carlo, yeah, sipping on Carlo, just me and my posse Strapped up when you gotta know the ropes like Ted Dibiase Look at my life raw, nigga, bitches wanna suck me off quicker Haters can't stand my guts, nigga, because I get my bucks bigger I'm on my own, I'm in my zone, bitch niggas can't knock me off my throne I'm on my shit, cause septic tanks, I don't give a fuck what set you claim Just get your money let the bullshit walk, I'mma get this cheese Like a little rat bitch, fucking suck me good, nibbling through her team Raw shit, nigga check me out, know you jocking my steez Best believe nigga we run this shit, niggas know that I be, be   Too, too fucking raw (Face down, ass up) Too, too fucking raw (Face down, ass up) Too, too fucking raw (Face down, ass up) Too, too fucking raw (Face down, ass up) When the sunshine, and the moonlight, in my life Too, too fucking raw (Face down, ass up) When the sunshine, and the moonlight, in my life Too, too fucking raw (Face down, ass up)",-0.9995,19,10,18,14,15,37,24,10,5,15
1,/songs/4477500,ScHoolboy Q,5200,https://genius.com/Schoolboy-q-5200-lyrics,http://api.genius.com/songs/4477500,CrasH Talk,2019-04-26," (One) I done lost money made it back Everybody get the (Two) fuck out the way right now I just got a burner, where they at? (Three) Car doin' doughnuts in a flash (If you in this motherfucker, make noise right now) (Four) Straight like this, I need my money in a bag   Oh, yeah I been counting dead men, puttin' bodies in the safe (Safe) 52 hundred, one swipe, throw it away ('Way) Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya) Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya) I been counting dead men, puttin' bodies in the safe (Safe) 52 hundred, one swipe, throw it away ('Way) Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya) Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)   Ayy, got it on me If I ain't got nothin' that matter on me Dare one try, who frontin' on me? Ain't no smut, no chatter on me Money on me, hundred on me Both got rocks, look better on me Spaceship parked, no landin' on me Wrecked my Lam', don't need it on E Four words I know, yeah Fuck all you hoes, ayy I do the most, ayy Put that in quotes, ayy Diamond on me, jumpin' on me You lil' boys can't match  milli' on me 10K fit, put Groovy on fleek D-boy fresh since school '03 Speed racer, top down on E-way Throw it back like replay Most of y'all won't be safe I came from hard knocks I stack, bring more knots Gang tats and stovetops Act like you know us, you punk bitch   Oh, yeah I been counting dead men, puttin' bodies in the safe (Safe) 52 hundred, one swipe, throw it away ('Way) Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya) Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya) I been counting dead men, puttin' bodies in the safe (Safe) 52 hundred, one swipe, throw it away ('Way) Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya) Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)   First mil' showed up, ayy 'Rari gon' go nuts, ayy Jewelry hang all out, ayy Bitches gon' call now, ayy Dollars ain't C-notes, ayy House on each coast, ayy Glock goes emo, ayy Porsche sound Deebo, ayy Four words I know, yeah Fuck all you hoes, ayy Chain whip, dip splash, uh Slim bitch, all ass, ayy Brew fresh pots, I serve This my wrist, iceberg Real life rich, get curved Bitch look fine, still broke Bitch, my wrist came woke Big bling, wrist got sold I must live my worth Chain drip down my shirt My block been Iraq Three mil', paid my tax Your shit seized, all bad Fill my bag, all cash   Oh, yeah I been counting dead men, puttin' bodies in the safe (Safe) 52 hundred, one swipe, throw it away ('Way) Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya) Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya) I been counting dead men, puttin' bodies in the safe (Safe) 52 hundred, one swipe, throw it away ('Way) Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya) Ayy, whip, whip, whip, 'til it stain on ya (Stain on ya)",-0.9828,50,7,34,11,18,79,28,10,5,26
2,/songs/202594,ScHoolboy Q,5 Fingers of Death (Freestyle),https://genius.com/Schoolboy-q-5-fingers-of-death-freestyle-lyrics,http://api.genius.com/songs/202594,None,2013-08-09," Jump up on my wee-wee Oh oh, go jump up on my wee-wee Fuck me on my ten speed Gangsta of the century Tell Rocky I want Iggy This niggas getting rail road Take yo' bitch ass to the nail shop Ring ring from the gun shots Brings her shoes back from the bailhop This year from the gun loving, shit firin' and the migos This here from the real lo' true Figg side gang deebo [-] I remember you, he was way aside being turned down In supermax getting supermax With your hip gold and your nose ground Hellbound I don't fuck 'round [ - ]  my name on your building And I'm suicide to the children I speak crimes to the millions All night won't sound like Pitchfork, no website All night, what's this like   Look at his head splitted Nigga de-de-did it Booyah, lil nigga gon' make me go double digits Cause he murked up the block My magnun go outta lock My forty controlling your nina Still on the wigg shot When we had no pot to piss in We would implot the mission Took me right out the mission Tookie right out commission Murder, mo murder, mo murder Murder, mo murder, mo Keep on [- -] bitches And snitches they gotta go Money, mo money, mo money Money, mo money Won't never stop Body's on top of body's Put bodys right under crops These are my country tails (Finger-(mumbling)-nials), hahahaa   Right off the top Sorry MTV but I got to drop I'm too damn ill Nigga's can't fuck me I popped two pills I'm off two xans, damn I'm the man Sway on the right, Heather B on the left Got a new hoodie, oh yes My nigga got the baldy and it's shining Oh you're shining, hehaha I'm outchea, tell your bitch to call me Baby where they did I go They calling me Ali-Greatest of all time   This shit that I be doing off the top so easy Fucking all hoes cause my dick too greasy Condom on my forehead, condom on my fist Oh, on my two fingers to Why Sway cause I don't trust that bitch Ey, eyes on low, buckethat to, yup Figgro Been crippin' busting niggas for a minutes too I didn't call you niggas, it's that nigga from menace Cause I'mma a menace, been doing this shit Five drunk Guiness, yah know what I'm sayin' All off the top, I don't give a fuck And I still ain't got a watch Ashy on my knuckles with a thousand dollar ring Thousand dollar shirt, Alexander McQueen   Man this shit ain't even live I don't know who did it But I'm sorry that I diss it, real life On SiriusXM, make you bitch to my BM That's your ex then, we out here sexting Oh, hahah, got the glasses on These 700, I be shittin' homes Nigga's can't fuck with me I'm still a rapper Don't cut me off Sway Don't, 'fore I get the gun clapping You know how I always get up on you and that same damn hat I been doing this shit for years, dog You need to switch that, take some notes from me Check me out, I get new buckets every week Every day, every month, shit you weak I'm back on you, I cuss on live TV, but fuck all you Yea, bring me out with all them other niggas over there",-0.9985,36,15,22,21,13,31,29,14,12,24
3,/songs/4485168,ScHoolboy Q,Attention,https://genius.com/Schoolboy-q-attention-lyrics,http://api.genius.com/songs/4485168,CrasH Talk,2019-04-26," ...ain't worried Glidin' through the air, ain't cautious, yeah, yeah, yeah Mind on the ground, ain't dreamin' Thing on my waist been leanin', yeah, yeah, yeah Hustle for a job, they still ain't called back Dope in the hood ain't movin' like that, uh Chain and your watch, I need all that, all that M's in the bank, I need all that So run it, mane   Front row at the Grammys, I'm getting praises from Jay Fuck about this award, I'm happy he know my name Favorite rapper Nas been told me that I'm the best Had a couple sessions with Dre, knew I would win Alchemist my favorite producer, and he my friend All this love from the greats put my passion in pen Let me tell you 'bout this story, when Quincy died, it had started I left jail on house arrest and now ever since I've been starvin' You know pain on my mama's face when the opps can call me a loser Ain't achieve shit, her son quit sports to become a Crip 'Nother single mother that failed, lost her son in the mix Workin' hard through all her problems, her son just couldn't be fixed Got off house arrest, sprinkled some orange in my blue shoes Nigga, ask Traffic, Baby Deuce, yeah, and T too Baby Love, Baby Spank, Big Spank, Big Fool The first Figg Side originals, you ain't gotta recruit Tony Smack, Floyd, G-Scrap, nigga, the main crew Flossy B was locked in, but was normal, he came through Nigga, 51st and Figg, on the corner Mayhem was slaughtered Months later like the shit ain't happen, I'm with my daughter At the laundromat, the shots rang off, I ducked to the back Wishin' for a strap but hear more fire from Tiny Rat Got the devil on my side while the Lord been pushin' me over I can finally understand why my uncles was never sober Deadbeat dad on the gas, that gas my motor Either grab the mic, nigga, grab the same pistola I can easily tell my story now and climb from this moment Just imagine Joy hopes if I died next mornin' Just imagine some of these rappers that ain't have Q The godfather of this street shit that gave y'all truth From Pac, Snoop, Kurupt, Daz, bitch, I'm déjà vu You see my homie in the hood 'cause I hate y'all too, ooh   Death on my block, ain't worried Glide through the air, ain't cautious, yeah, yeah, yeah Mind on the ground, ain't dreamin' Thing on my waist been leanin', yeah, yeah, yeah Hustle for a job, they still ain't called back Dope in the hood, ain't movin' like that, uh Chain and your watch, I need all that, all that M's in the bank, I need all that, all that Ten freaky girls, need all that, all that Love from the world, need all that So run it, mane",-0.9744,18,14,14,19,20,31,28,15,5,21
4,/songs/225775,ScHoolboy Q,Banger (MOSHPIT),https://genius.com/Schoolboy-q-banger-moshpit-lyrics,http://api.genius.com/songs/225775,None,2013-09-25," Boom, shakalaka, boom-boom, shakalaka Boom, shakalaka, boom-boom, shakalaka   Banger! (Figg Side!) Fool, false on your block You get blook 'n block on your block YAWK! (Biddy, bye-bye!)   Grab your brownie, sit the party, shake the party Break the party, murder party, leave the body, tell nobody Put it down, Figg Side rip ride Grooveline wig line shots fired knock-knock, YAWK! You ain't really 'bout that, you don't want to see a Glock out You a pussy ass nigga, you be hoping for a cop out Got a nine and a clip, put a nine on your hip Keep talking that shit, knock five on your lip G-Ride ski masks and colored rags Contraband in bags, focused on enemigos in jags Big sips out our flasks, we faded who next to get famous Them bangers get banging that barrell keep changing like click-click Shit, I wish a nigga would Feeling fucking good, crack and scramble up your hood Get it understood, I could have cuz leaking blood Personal as fuck at your door drop you on your rug   Banger! (Figg Side!) Fool, false on your block You get blook 'n block on your block YAWK! (Biddy, bye-bye!)   Ain't nothing sweet 'bout rumbling with B's You don't need water to travel through the seas Unravel the backwoods and crumble up the trees Nigga, please, your skull missing now homie feel the breeze These bullets burning gon' be hard for you to breathe These bullets burning damn near 'possible to bleed Off that alcohol, that nozzle flammable Beef I prey on my preyer react like animal Pussy, I split you like camel toe, my shoelaces matching my flannel We be loading up ammo, y'all be making them channels Yellow tape by them candles, gang members with killing sprees On our agendas, real niggas fingers on nickel-plated 9 triggers Facial expressions say surrender When that iron enter, lay back recline nigga Access denied nigga, refrigerate Ziploc'n And all genders, rather Crip or Piru, hoes get it too   Banger! (Figg Side!) Fool, false on your block You get blook 'n block on your block YAWK! (Biddy, bye-bye!)   Y'all really into talking, we with that bullshit Them shots is steady sparking, we on that bullshit Your hood gon' hear them sirens, we did that bullshit My 50 niggas wilding, we 'bout that bullshit You know Atlanta with that bullshit New York to Miami with that bullshit You know Chicago with that bullshit Kansas City down to New Orleans with that bullshit Texas to Alabama with that bullshit Boston and cats from Philly with that bullshit Arizona to Seattle, they with that bullshit Warn your momma California, we 'bout that bullshit   Banger! (Figg Side!) Fool, false on your block You get blook 'n block on your block YAWK! (Biddy, bye-bye!)",-0.9986,24,18,13,21,4,37,11,9,16,13
5,/songs/731326,ScHoolboy Q,Beats TV Freestyle,https://genius.com/Schoolboy-q-beats-tv-freestyle-lyrics,http://api.genius.com/songs/731326,None,2012-02-02," Tell a nigga somethin' that he don't know Tell a nigga somethin' that he don't know See, I think a nigga found his fuckin' mojo Get this bitch jumpin' like a pogo Came to this motherfucker hundred grand strong Two to be exact, grindin' ox packs Tried to sell crack, but I couldn't get it off Niggas came through, tried to knock a nigga off Guess it's time to set it off Two to the dome, make his fuckin' (?) soft I really 'bout that shit Mr. (?), I never made it to a brick Thinkin' since five, never made it to a six Momma's at work, I'm with the homies hittin' liqs Yeah, want to be a baller, be a shot-caller, then she a hauler The titty is mine, so titties and ass, she know how I grind Started with one, then ended with nine Grew up with churches, we'd practise the Quran Uh, fuckin' with Dickies, now Louis Vuitton Uh, then tell her it's your gangsta, now picture my mom Uh, yeah, my motherfuckin' locs Somebody tell my momma her son sell dope",-0.899,4,3,2,2,2,5,5,2,2,4
6,/songs/50294,ScHoolboy Q,#BETiGOTSUMWEED,https://genius.com/Schoolboy-q-betigotsumweed-lyrics,http://api.genius.com/songs/50294,None,2019-03-14,"Verse 1: Everytime that I wake up, I swear I'm never down Even when I'm in my dreams, I'm high off self esteem Blowin' on that Jamaica my nigg its not a ting, marijuana fiend Keep your Black N Milds and cigs cuz me no nicotine I keep my pimpin' mean Me and Musa as we pulled up on them sixes just to go and bust some bitches See them motherfuckin' wheels, sex appeal And if I'm in the backseat with them tints, that Glock concealed They eye us as we peel like the, orange hat that I be stylin' in Like a zanny or a klonopin All your swishers, they be model thin We plus size, nigga! Like Tocarra and them, shining like a halogen So bright, like highbeams, headlights and midnight That one of Rhode Island's watchtower sights Yeahh, the world is all I need But if you don't know anything just know I got some weed  Chorus Bet I got some weed (x2) You don't know anything? Just know I got some weed Bet I got some weed (x2) Ain't got no money mayne, but bet I got some weed Hey, who got some weed? Who got some weed? (x6)  Verse 2: Let's go chill up on my balcony and feel the breeze Open up a corona and see who got some weed If we don't have no trees then let's gather up the fees Hundred dollars, that's a seventh of the sour D Make a order it'll be here a quarter to three Smoke it till we on E Then we fill up again with another 10 Then we just go run back to the cheese fulfill our, family needs No worries, smoke one for our G's that ran with a strike of 3's We dyin' up in every plea So for ya'll my niggas swear to god my heart will bleed Kick the shit for my lifers and ones who kickin' seas Even if it's just 5 dollars keep your brain on free Elevate your mind cuz in due time you wine and dine Something fine in that Kush blunts soon be your valentine and my shit be Columbine My fans is all I need But If you don't know anything just know I got some weed  Chorus Bet I got some weed (x2) You don't know anything? Just know I got some weed Bet I got some weed (x2) Ain't got no money mayne, but bet I got some weed Hey, who got some weed? Who got some weed? (x6)  *shout outs till the end*",0.9313,11,12,7,6,8,13,19,5,5,14
7,/songs/2670511,ScHoolboy Q,Big Body,https://genius.com/Schoolboy-q-big-body-lyrics,http://api.genius.com/songs/2670511,Blank Face LP,2016-07-08," Yeah, c'mon Hear ye, hear ye You son of a bitch you ScHoolboy Q and Tha Dogg Pound is in the motherfuckin’ house So uh, get your skates, get your…  Get your issue funky bitch, you slow on your feet Get your issue funky bitch, you slow on your feet Get your issue funky bitch, you slow on your feet Get your issue funky bitch, you slow on your feet   Man, them niggas ain't hot (hot) Man, them niggas ain't cold (cold) Man, them niggas ain't hot (hot) Man, them niggas ain't cold (ain't cold) Man, they jewelry ain't froze (ain't froze) Man, them bitches won't go where your money don't grow Big body, big Benz Big body, big Benz Big body, big Benz Big body, big Benz Big body, big Benz Big body, big Benz   Steppin' in my big blue Chucks Groovy Q, they all wanna fuck Park the Cutlass at the pump Hit the switches over speed bumps Knocking six twelves in the trunk Where the girls with the rump? All the pretty bitches to the front All you groupie niggas to the back Put the 50s on the map Got my Hoover star on the hat Cause we groovin' like that Yeah, we movin' like that Swear to dick I shoulda made racks Nigga, clean, dick in that cat Got my Jimmy on strap Like it when your booty get tapped (uh) Why your jewelry ain't froze? Why your money won't grow? I move the pussy, can't fold (can't fold) Bruh, you on the down low Cause, work on Melrose (Melrose) I'ma sling an elbow (elbow) Get a job? Hell no!   Man, them niggas ain't hot (hot) Man, them niggas ain't cold (cold) Man, them niggas ain't hot (hot) Man, them niggas ain't cold (ain't cold) Man, they jewelry ain't froze (ain't froze) Man, them bitches won't go where your money don't grow Big body, big Benz Big body, big Benz Big body, big Benz Big body, big Benz Big body, big Benz Big body, big Benz   Woke and I’m already drunk I’ma give these bitches what they want Put this dick up in your rib We could bring the party to the crib Give them bitches dick to mouth and then doggy on the couch Show her what this crip nigga 'bout Nigga slanging D up in the drought Before we bring the bitches out Nigga west coast up in the house Leave your trapping in the south Bring the grooves to your feet I could make a million every week Bro this big body Benz ain’t cheap Why them bitches want me? Bro you want it low key Shit I probably OD, I’ma live it up free Judge, no I never couldn’t be Everybody dance floor, what you got a man for? Girl, I could do the pussy Rambo Do I love her? Hell no   Man, them niggas ain't hot (hot) Man, them niggas ain't cold (cold) Man, them niggas ain't hot (hot) Man, them niggas ain't cold (ain't cold) Man, they jewelry ain't froze (ain't froze) Man, them bitches won't go where your money don't grow Big body, big Benz Big body, big Benz Big body, big Benz Big body, big Benz Big body, big Benz Big body, big Benz  [Verse 3: Daz Dillinger & Kurupt] In a drop top shit, yeah the knock knock 6 in the morning and I'm yelling out don’t stop Money makes the world go ‘round in case you didn’t know In case you didn’t know about these pussies and these hoes And these sluts, what’s up? Heard they actin’ up If you don’t give a shit then nigga we don’t give a fuck I told you once before that this just how this shit go ScHoolboy Q with Tha Dogg Pound flow, you know We hella faded Man fuck that bitch, nigga why you fakin’? Man fuck that bitch, nigga why you hatin’? Fuck that bitch, you trip This is what you get Fuckin’ ‘round with this DPG shit TDE bitch   We ain’t talkin’, no conversation We just bangin’ around the nation If you don’t know now you should know that (Fuck that) Fuck that   We ain’t talkin’, no conversation We just bangin’ around the nation If you don’t know now you should know that (Fuck that) Fuck that   Man, them niggas ain't hot (hot) Man, them niggas ain't cold (cold) Man, them niggas ain't hot (hot) Man, them niggas ain't cold (ain't cold) Man, they jewelry ain't froze (ain't froze) Man, them bitches won't go where your money don't grow Big body, big Benz Big body, big Benz Big body, big Benz Big body, big Benz Big body, big Benz Big body, big Benz",-0.9995,54,14,26,22,16,52,30,26,9,29
8,/songs/53627,ScHoolboy Q,Birds & The Beez,https://genius.com/Schoolboy-q-birds-and-the-beez-lyrics,http://api.genius.com/songs/53627,Setbacks,2011-01-11," Straight to the block, to the hood, to a spot Cocaine to a rock, duece duece in a sock Every dollar closer to a drop Every drop is closer to a cop Every cop is closer to a cell Hit the cell your ticket right to hell No job, no bail No fam, no mail Institution another nigga fail Go from pussy to a prison tale Fuck that, I quit while I'm ahead Ship my music off with Amistad Turn it up and hear the ghetto pledge Live righteous nigga like my brother said King Tut, Martin Luther, Malcolm X, but ima shoota' Top ramen, knowledge for the noodle Finally gettin' praised Yeah kudos Doing bad, still love the need Connect said it's something up his sleeve Said, I rather bust off them keys Yeah nigga birds and the beez   Birds and the beez Birds and the beez   Wanna do a song, but its hard to carry on And my daughter hungry sitting home And my girl said she feeling lone I can't tell its over in her tone Only time I call is for a loan She be stressing, so depressing Always worried every time a lil nigga gone Stay strong for the future, stick together, yeah suture Get a couple wipps, yeah kunta Schoolboy but gangsta was his tutors Say money be the root of evil, look around and see what it do to people Veins full of heroin using pcp inject the body with a needle Lord help us, swear to god, dope dealers, get a job Keep it real this shit ain't really cool, being in a cell, you ain't alive Niggas quick to show out over cheese, love to help the devil do a deed So I rather bust of them keys? yeah nigga birds and the beez   Birds and the beez Birds and the beez   Tired of the same ol' shit, niggas they faking it Niggas out here living foul Better yet they flagrant, keep these niggas right up out the game Keep these niggas right up out my lane I just wanna do this fucking music boy, leave this dope alone and count my change   Q I wanna see you do your thang Entertainment business living limelight Hop on every track and move them trains Show these motherfuckers that you been tight, then they ever been Its evident that you intelligent but you can't escape that life And for you my nigga I would sacrifice myself to make it just to see you hold the mic And hit the stage and rock the set But its hard to change when your from the sect Won't you think about it nigga, life or death Life of crack I’d like to hang you by the neck Do you wanna see the boys in jet, or you wanna see them run way jets Fly to Singapore one way that, tell the pilot we got stacks on deck Swear to god, its hard out here for a young black men to live If you dont do it for yourself, then please do it for your kids My nigga won't you tell Michelle, I love your daughter Please dont let her grow up life without a father Look at what you bought her, money couldn't buy All she need is love, put that shit aside At the same time know they got to eat Know you got to hustle, make ends meet Gotta make time, gotta get a grind, gotta push the line, HGC, no a.c And the block hot, you keep runnin', cop say freeze Blue pill, red pill, choose now, birds or the beez   Birds and the beez Birds and the beez   Tired of the same ol' shit, niggas they faking it Niggas out here living foul Better yet they flagrant, keep these niggas right up out the game Keep these niggas right up out my lane I just wanna do this fucking music boy, leave this dope alone and count my change   Count my change Count my change",-0.989,21,22,22,22,22,36,52,19,9,32
9,/songs/4485167,ScHoolboy Q,Black Folk,https://genius.com/Schoolboy-q-black-folk-lyrics,http://api.genius.com/songs/4485167,CrasH Talk,2019-04-26," Wasted, wasted Wasted, wasted Wasted, wasted Wasted, wasted You ain't talkin' 'bout no bread or no guap or no fetti or no cake Get the fuck up out my face, what you say? Wasted, wasted Wasted, wasted (Woop, woop) Wasted, wasted   Living like I'm 'posed to, yeah I'ma fuck up like I'm 'posed to, yeah Who knew failure make you better? My adversities done turned me to a killer, uh Sabotage, uh, men who washed, uh, give me cars Hundred horse, uh, give me yours, uh, back and forth Fast life, got the rock, mane, it's a ball game Cop chain, get a Benzo, it's a black thang Court case, nigga, shell case, it's a heat wave Done for, killed the whole flow, no need for encore I run this, I'd rather gun shit, I'll hit the function I'm basic, don't wanna chase it, my talent wasted I knows it, somehow I lost it, the way I folded The black mind is where it started 'cause we was chosen The water is where we crossed it and got to build it With dreaming but lost the feeling, we stopped believing in, uh   Wasted, wasted Wasted, wasted Wasted, wasted Wasted, wasted You ain't talkin' 'bout no bread or no guap or no fetti or no cake Get the fuck up out my face, what you say? Wasted, wasted Wasted, wasted (Woop, woop) Wasted, wasted   Well, I got it, it was great 'Til you know, then you start to hate You know a fake nigga, his favorite words is, ""He fake"" Talking 'bout, ""I'll pay you back,"" bitch, do that with your down payment All that damn hating, I'm better at love-making Tryna stay positive out of negative energy Nigga, don't play with me You must think my loyalty slavery, uh   Wasted, wasted Wasted, wasted Wasted, wasted Wasted, wasted",-0.9993,53,4,45,13,4,64,15,15,3,10
