,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/968661,Scotty McCreery,Always On My Mind,https://genius.com/Scotty-mccreery-always-on-my-mind-lyrics,http://api.genius.com/songs/968661,Scotty McCreery – American Idol Season 10,2011-10-04,"Maybe I didn't love you Quite as often as I could have And maybe I didn't treat you Quite as good as I should have  If I made you feel second best Girl, I'm sorry I was blind You were always on my mind You were always on my mind  And maybe I didn't hold you All those lonely, lonely times And I guess I never told you I'm so happy that you're mine  Little things I should have said and done I just never took the time You were always on my mind You were always on my mind  Tell me, tell me that your sweet love hasn't died Give me, give me one more chance to keep you satisfied To keep you satisfied  If I made you feel second best Girl, I'm sorry I was blind But you were always on my mind You were always on my mind  You were always on my mind You were always on my mind",0.7245,3,6,3,3,8,5,8,3,5,4
1,/songs/946254,Scotty McCreery,Amazed,https://genius.com/Scotty-mccreery-amazed-lyrics,http://api.genius.com/songs/946254,Scotty McCreery – American Idol Season 10,2011-10-04,"Every time our eyes meet This feeling inside me Is almost more than I can take And baby when you touch me I can feel how much you love me And it just blows me away I've never been this close to anyone or anything I can hear your thoughts I can see your dreams  I don't know how you do what you do I'm so in love with you It just keeps getting better I want to spend the rest of my life With you by my side Forever and ever Every little thing that you do Baby, I'm amazed by you  The smell of your skin The taste of your kiss The way you whisper in the dark Your hair all around me Baby you surround me You touch every place in my heart Oh, it feels like the first time, every time I want to spend the whole night in your eyes  I don't know how you do what you do I'm so in love with you It just keeps getting better I want to spend the rest of my life With you by my side Forever and ever Every little thing that you do Baby, I'm amazed by you  Every little thing that you do I'm so in love with you It just keeps getting better I want to spend the rest of my life With you by my side Forever and ever Every little thing that you do Every little thing that you do Baby, I'm amazed by you",0.9927,2,7,2,1,11,3,17,2,2,3
2,/songs/448026,Scotty McCreery,Back On The Ground,https://genius.com/Scotty-mccreery-back-on-the-ground-lyrics,http://api.genius.com/songs/448026,Clear As Day,2011-10-04," I dropped by to check on Mama for a minute I could hear her humming a tune through the screen door in the kitchen She was putting the final touches on a homemade pecan pie And just like always I was right on time Little game of guess-who and I got a hug and ""How's my baby?"" I said, ""You know me, Mama, I've been hitting it hard, running like crazy But I don't want to bore you with that same old nothing's new I'd rather just pull up this chair and get caught up on you""   Ain't it funny how it all comes back around I remember when I couldn't wait to get out of her hair and ditch this town I was restless a time to move on Now it's any reason to go back home That's what's it all about Yeah, I'm just slowing down To get my feet back on the ground   That minute turned into an hour before I knew it And I got my fill on pie and how everybody's doing I used to look for every reason in the world to hit that door And she said, ""You want another cup of coffee?"" I said, ""Yeah, I'll take one more""   Ain't it funny how it all comes back around I remember when I couldn't wait to get out of her hair and ditch this town I was restless a time to move on Now it's any reason to go back home That's what's it all about Yeah, I'm just slowing down To get my feet back on the ground   And now, I can't go too many days without Checking in, just touching base, and just slowing down Back on the ground I dropped by to check on Mama for a minute",-0.4912,2,5,0,1,2,5,7,1,1,7
3,/songs/3382318,Scotty McCreery,Barefootin,https://genius.com/Scotty-mccreery-barefootin-lyrics,http://api.genius.com/songs/3382318,Seasons Change,2018-03-16," Sand bar, Saturday night Long necks chilling in a bucket of ice Sun setting right on time Seashore dancefloor, baby it's low tide It seems the band's playing Carolina girls Girl I'm thinking I should give mine a whirl   Let's do some barefootin', come on Good looking, kick off them shoes Let's make tonight a good one With some slow dancing and some romancing Shagging in the sand, baby take my hand Let's do some barefootin', oh, oh   Sundress spinning around, mh-mmh Making waves in this old beach town Too many stars to count We got the motion of the ocean Going on right now   Let's do some barefootin', come on Good looking, kick off them shoes Let's make tonight a good one With some slow dancing and some romancing Shagging in the sand, baby take my hand Let's do some barefootin', whoa, oh Girl what you say Let's do some barefootin', whoa, oh   Well this party's rocking But the coast is clear Girl what you say we just Disappear and do some... And do some barefootin', whoa, oh Girl what you say Let's do some barefootin', whoa, oh, yeah   Let's do some barefootin', come on Good looking, kick off them shoes Let's make tonight a good one With some slow dancing and some romancing Shagging in the sand, baby take my hand Let's do some barefootin', whoa, oh Girl what you say Let's do some barefootin', whoa, oh, yeah  Let's take it down to the beach   Do some barefootin', oh Slow dancing and some romancing, whoa What you say girl Let's do some barefootin'",0.9906,3,11,0,1,14,3,14,0,7,9
4,/songs/447778,Scotty McCreery,Before Midnight,https://genius.com/Scotty-mccreery-before-midnight-lyrics,http://api.genius.com/songs/447778,See You Tonight (Deluxe Version),2013-10-15," In a nothing to do town, nothing's going down After them stars show up It's all dinners and TVs, red lights blinking Then everybody's sleeping but us Now what do you do when you're young and in love And you got a new set of keys And a beautiful girl with a bedroom window Next to an old oak tree   Nothing good happens before midnight I get all caught up kissing on you in the radio lights No one's watching but these blue eyes Ain't no close enough Getting all kinda wrong, feeling all kinda right Nothing good happens before midnight   It was killing the headlights, rolling in neutral So they couldn't hear us drive off It was king of the main street, queen of the bench seat Just us from dusk 'til dawn Found a little spot in the dark by the water Where we could lose track of time The days were a part-time grocery store But the nights were your lips on mine   Nothing good happens before midnight I get all caught up kissing on you in the radio lights No one's watching but these blue eyes Ain't no close enough Getting all kinda wrong, feeling all kinda right Nothing good happens before midnight   Racing that sun back to your house Wishing it would hurry up and go back down So we can do it all again   Nothing good happens before midnight I get all caught up kissing on you in the radio lights No one's watching but these blue eyes Ain't no close enough Getting all kinda wrong, feeling all kinda right Nothing good happens before midnight",-0.8478,6,21,5,5,17,8,25,9,14,16
5,/songs/448003,Scotty McCreery,Better Than That,https://genius.com/Scotty-mccreery-better-than-that-lyrics,http://api.genius.com/songs/448003,Clear As Day,2011-10-04," First crush, first kiss, first time I saw the ocean And dug my toes in the sand (Your love is better than that) Baseball and summer nights, casting out when the fish first bite First time I got a Chevy in my hands (Your love is better than that) I thought nothing can touch that by a mile I thought nothing can make that moment seem so worthwhile   Your love is better, better, better than that Nothing is sweeter than you Making my heart beat so fast Everything I could have been That was at the end of all those other paths Your love is better Your love is better than that   Six string, first song, the way it felt to sing along To some words that were scribbled on my soul (Your love is better than that) I thought nothing can touch that by a mile I thought nothing can make that moment seem so worthwhile   Your love is better, better, better than that Nothing is sweeter than you Making my heart beat so fast Everything I could have been That was at the end of all those other paths Your love is better Your love is better than that   One day, years from now When I'm old and gray, I'm going to smile about How life has been so good   Your love is better, better, better than that Nothing is sweeter than you Making my heart beat so fast Everything I could have been That was at the end of all those other paths Your love is better Your love is better than that",0.9989,0,9,1,0,16,1,17,2,3,4
6,/songs/447751,Scotty McCreery,Blue Jean Baby,https://genius.com/Scotty-mccreery-blue-jean-baby-lyrics,http://api.genius.com/songs/447751,See You Tonight,2013-10-15," She bought 'em at the thrift store down on Main For twenty-three dollars a pair Faded and worn in all the right ways That's all she ever wants to wear From the first sweet moment I laid eyes on those Levis Well, I was begging on my knees Pretty please, oh, won't you be my   Blue jean baby Painted on tight, driving me crazy Denim daisy Turning heads all over town The other girls rocking them mini skirts But they can't hold a candle to her My blue jean baby   She got a little hole right below the pocket Showing off a little skin She don't care if they get a little dirty Tomorrow she gonna wear 'em again The way they're hugging on those hips every time she struts by I know as long as I live I could never get enough of my   Yeah, the summer time is the best part of all 'Cause when she gets too hot, she just cuts them off  ",0.7682,2,7,2,1,4,7,8,4,1,6
7,/songs/3382313,Scotty McCreery,Boys from Back Home,https://genius.com/Scotty-mccreery-boys-from-back-home-lyrics,http://api.genius.com/songs/3382313,Seasons Change,2018-05-07," We live for bright light Friday night Front row bleacher packed in tight Stood there, shirts off in the cold Painted our faces blue and gold Yeah win or lose, either way We'd pile in Will's old Chevrolet Heading downtown to set up shop In that drive through cookout parking lot Ooh Yeah Rhett had a beard and a fake ID He'd buy the beer at the old BP Kyle's folks were gone 'til Sunday night Sing country roads 'til morning light Yeah, yeah   And I go back in time To those October nights And when I hear that song It don't feel too long Since things changed and life moved on But no matter where in this world we roam We're still them boys from back home   Week after graduation day Old Burt packed up and drove away Collin bought a diamond ring And I went to Nashville to chase a dream Next time I roll through Carolina I'ma call 'em up to see if we can find A stop sign to shoot A train track to jump Put on Dixieland Delight And turn it way up   Yeah I go back in time To those October nights And when I hear that song It don't feel too long Since things changed and life moved on But no matter where in this world we roam We're still them boys from back home, yeah   Yeah I go back in time To those October nights   And I go back in time To those October nights And when I hear that song It don't feel, it don't feel too long Since things changed and life moved on And no matter where in this world we roam We're still them boys from back home Them boys from back home  Yeah, woo!",0.945,3,12,5,3,6,10,11,3,2,6
8,/songs/447735,Scotty McCreery,Buzzin',https://genius.com/Scotty-mccreery-buzzin-lyrics,http://api.genius.com/songs/447735,See You Tonight,2013-10-15," Bonfire burning July beach Radio is cranking You're dancing here with me  Friends are laughing Howling at the moon We start sneaking Off behind the dunes   Some like to sip, some like to chug Some like to dip, some light one up Everybody doing what they gotta do I got you   I don't need none of them vices To put my head up in the clouds and get me flying All I need is just a touch of your sweet loving To get me buzzing   Blood starts racing Fever pitch The moment I start tasting Your intoxicating kiss   Some like to sip, some like to chug Some like to dip, some light one up Everybody doing what they gotta do I got you   I don't need none of them vices To put my head up in the clouds and get me flying All I need is just a touch of your sweet loving To get me buzzing   When the sunrise Starts breaking through I won't be looking for no coffee 'Cause I got, I got you   I don't need none of them vices To put my head up in the clouds and get me flying All I need is just a touch of your sweet loving To get me buzzing I don't need none of them vices To put my head up in the clouds and get me flying All I need is just a touch of your sweet loving To get me buzzing   Some like to sip, some like to chug Some like to dip, some light one up Everybody doing what they gotta do I got you",0.9948,0,10,0,6,12,5,20,0,5,14
9,/songs/1452741,Scotty McCreery,Can I Trust You With My Heart,https://genius.com/Scotty-mccreery-can-i-trust-you-with-my-heart-lyrics,http://api.genius.com/songs/1452741,Scotty McCreery – American Idol Season 10,2011-10-04,"When you meet that certain someone You've been searching hard to find It's a new love full of passion That can sometimes make you blind  I don't mind being swept away If I know right from the start So before we go much further, girl Can I trust you with my heart?  In the time we've spent together I've learned to trust in you So many things you've given Before I even asked you to  But reality and romance Are sometimes far apart So what I really need to know is Can I trust you with my heart?  Can I cast my cares upon you? Can you stand a heavy load? Can I count on you to walk me Down that long and winding road?  If you promise me These simple things I can guaranty You can always count on me, yeah  Can I cast my cares upon you? Can you stand a heavy load? Can I count on you to walk me Down that long and winding road?  If you promise me these things I can guaranty You can always count on me, yeah  When two hearts surrender And are sworn to understand It completes a perfect union Between a woman and a man  So please don't misunderstand me I don't wanna go too far Without knowing just one answer, girl Can I trust you with my heart? Can I trust you with my heart?",0.9958,0,7,0,2,6,4,15,2,1,17
