,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/831005,Sean Paul,Agarra Mi Mano,https://genius.com/Sean-paul-agarra-mi-mano-lyrics,http://api.genius.com/songs/831005,Imperial Blaze,2009-08-18," Ioioioioiooo ouououooo Como ayer agarra mi mano Mujer yo te amo Ououououou yo yo yo Arite then So make me tell you this...   Girl! Si podemos Tener un amor eterno Como ayer no tengo miedo Porque los dos nos queremos Y este amor que compartimos Es bello y esta lindo Como ayer no tengo miedo Yo te quiero y para siempre te amare   Todo mi amor, mi corazon Mujer yo te dare compasión Con calor sin dolor Me neva yet skip a beat, mek it fall apart Sweet is love, but love is hard Sometime you got to work on it, drive round di clock Neva let it stop, neva let it flop Y Dios le va bendecir I'll tell you this   Girl! Si podemos Tener un amor eterno Como ayer no tengo miedo Porque los dos nos queremos Y este amor que compartimos Es bello y esta lindo Como ayer no tengo miedo Yo te quiero y para siempre te amare   Sin querer me enamore Ese corazn no rompere Lo cuidare, lo protegere Y para siempre mami te adorare Simply meet ya our lovin check girl You know the history don't you forget And I would neva eva disrispect girl I'll love you straight to my last breathe   Girl! Si podemos Tener un amor eterno Hold my hand no tengo miedo Porque los dos nos queremos Y este amor que compartimos Es bello y esta lindo Hold my hand no tengo miedo Yo te quiero y para siempre te amare   The lovin we a we seek, me will tek you to the peak Can you know seh dat my talk ain't cheap mujer So the vibe is eva sweet, everyday we meet When it doan babygirl me want it repeat mujer Cyaan get enough me want it out leap Any mountain me will climb it no matta how it steep mujer Porque me quieres y en tus brazos me tienes   Girl! Si podemos Tener un amor eterno Hold my hand no tengo miedo Porque los dos nos queremos Y este amor que compartimos Es bello y esta lindo Hold my hand no tengo miedo Yo te quiero y para siempre te amare",2,6,3,2,5,8,7,5,2,4,0.9951
1,1,/songs/829308,Sean Paul,All Alone,https://genius.com/Sean-paul-all-alone-lyrics,http://api.genius.com/songs/829308,None,2019-04-20," Some bwoy dey so live all the warf I think of the war, I think dem cute Fighting want real, di girl dem about ana sing (Check this) When di gyal say   She don't wanna spend the night all alone So mi nah stall her out Beggin' all mi check up an' call her out, yeah It's my drop to do it right and keep it in the zone Mi nah stall her out Beggin' all mi mek gyal ball it out, yeah She don't wanna spend the night all alone So mi nah stall her out Beggin' all mi check up an' call her out, yeah It's my drop to do it right and keep it in the zone Mi nah stall her out Beggin' all mi mek gyal ball it out, yeah   Because she don't want to spend time alone She a call live night pon cell phone What yuh waan, she waan mek inna di zone She a call ana bawl ana diggin' ana dippin' inna di year She don't waan fi call But a man a tek it from back to us She want hard core wuk ana givin' it up Touch it bawl up fi di dutty dup up an dadd out   She don't wanna spend the night all alone So mi nah stall her out Beggin' all mi check up an' call her out, yeah It's my drop to do it right and keep it in the zone Mi nah stall her out Beggin' all mi mek gyal ball it out, yeah She don't wanna spend the night all alone So mi nah stall her out Beggin' all mi check up an' call her out, yeah It's my drop to do it right and keep it in the zone Mi nah stall her out Beggin' all mi mek gyal ball it out, yeah   Because yuh god blessed, mi nah stop stress Gyal yuh sexiness end di hellness Gyal yuh a di impress gal use lacknace Anytime yuh want to got cropness She get restless when she lonely Ana mi when she wann fi mornin' and She call fi di dutty fi moan and One stall when she love, she told me   She don't wanna spend the night all alone So mi nah stall her out Beggin' all mi check up an' call her out, yeah It's my drop to do it right and keep it in the zone Mi nah stall her out Beggin' all mi mek gyal ball it out, yeah She don't wanna spend the night all alone So mi nah stall her out Beggin' all mi check up an' call her out, yeah It's my drop to do it right and keep it in the zone Mi nah stall her out Beggin' all mi mek gyal ball it out, yeah   So when mi turn it up high gyal cyaan deny (Set it up) Seh she feel good tonight (Turn it up) Seh she waan feel the hype (Run it up) Seh she waan feel alright So when mi turn it up high gyal cyaan deny (Set it up) Seh she waan feel the hype (Turn it up) Seh she feel good tonight (Run it up) Seh she waan leave tonight   She don't wanna spend the night all alone So mi nah stall her out Beggin' all mi check up an' call her out, yeah It's my drop to do it right and keep it in the zone Mi nah stall her out Beggin' all mi mek gyal ball it out, yeah She don't wanna spend the night all alone So mi nah stall her out Beggin' all mi check up an' call her out, yeah It's my drop to do it right and keep it in the zone Mi nah stall her out Beggin' all mi mek gyal ball it out, yeah She don't wanna spend the night all alone So mi nah stall her out Beggin' all mi check up an' call her out, yeah It's my drop to do it right and keep it in the zone Mi nah stall her out Beggin' all mi mek gyal ball it out, yeah She don't wanna spend the night all alone So mi nah stall her out Beggin' all mi check up an' call her out, yeah It's my drop to do it right and keep it in the zone Mi nah stall her out Beggin' all mi mek gyal ball it out, yeah",4,7,22,4,6,9,22,4,3,17,-0.9951
2,2,/songs/1237194,Sean Paul,All on Me,https://genius.com/Sean-paul-all-on-me-lyrics,http://api.genius.com/songs/1237194,The Trinity,2005-09-27,"Back again, set the trend it mus be, the great SP Longside Tami...girl...I'm all on you girl...anytime.... I'm all on you.... Anyplace...I'm all on you girl...anytime... Any gal weh want it it tell them come right now you know Cause we like when dem tell we say...  Whatever you want boy you know what I got I'm givin you all of me Don't be afraid boy, take me away...I'll give you a guarantee You won regret anything that you get..I can be all you need It's getting so hot boy you hittin my spot.....I want you all on me  So if you like it, Come and get close you're invited I know that you cannot hide it.....You know that I want you all on me And if we're grindin..we won be done til sun shinin' Tonight you gonna be mine...and....You know that I want you all on me  Say gal you a request the strength outta me back yo, Everything me got yo True me style so versatile me give it to them a lot yo Like the stars up inna the sky, so me have dem inna me flock yo Every woman a mine, a so me think from me a tot yo Wether them white or wether them black yo, wether dem slim or wether dem fat yo Sean-a Paul we deh ya we a sting and we a shock yo We have dem under lock down, Born to give dem a pat down, Bring it over here gal if your back round Cause I'm searchin just to find a toppa top girl, and you lookin' fine I love that shape and that design, gimme your body anytime And I know you hear me clear, girl you gotta know I got no fear And you know I will be prepared, if you give me your body anywhere  In the heat of the night now our bodies entwine You're all that I can feel I'm losin' my breath everytime that you get a little closer to me You touchin' me right and I'm holdin' you tight You're like a midnight dream Ready or not now I'll give what I got...If you give it all to me  So if you like it, Come and get close you're invited I know that you cannot hide it.....You know that I want you all on me And if we're grindin..we won be done til sun shinin' Tonight you gonna be mine...and....You know that I want you all on me  Well out of the midst of the dance girl follow we leading Cause we no ramp fi give them what them be needin' With them believin' we give them good seedin' From mornin' right back down to evenin' Wether the time or season, wether it warm or freezin' Girls say them waan the lovin' increasin' Gilrs dem we breedin' girls dem we pleasin' Girls inna di after party proceedings I'm searchin just to find a toppa top girl...and you lookin' fine I love that shape and that design...gimme your body anytime And I know you hea me clear girl you gotta know I got no fear And you know I will be prepared if you give me your body anywhere  So if you like it, Come and get close you're invited I know that you cannot hide it.....You know that I want you all on me And if we're grindin..we won be done til sun shinin' Tonight you gonna be mine...and....You know that I want you all on me  Cmon now lets go...where nobody knows You and me alone...You and me together Wanna feel it in my soul...baby take control Love when you..ohh....make it last forever Cmon now lets go...where nobody knows You and me alone...You and me together Wanna feel it in my soul...baby take control Love when you..ohh....make it last forever  So if you like it, Come and get close you're invited I know that you cannot hide it.....You know that I want you all on me And if we're grindin..we won be done til sun shinin' Tonight you gonna be mine...and....You know that I want you all on me  SP, longside Tami Makin dem know",5,14,4,9,15,11,27,3,6,17,0.9975
3,3,/songs/373813,Sean Paul,Anyday,https://genius.com/Sean-paul-anyday-lyrics,http://api.genius.com/songs/373813,Full Frequency,2014-02-14,"Hey Girl What You Name Is? You looking kinda famous! Dutty yeah! Sean Da Paul! Yeah Yeah Yeah!   Why Don't You... Come Over? Take Some Time To Know!!  Baby Girl Anyday You Want It (Got You Girl!) I Can Give You Any Type Of Style! (Uzeet!) All You Gotta Do Is Put It On Me Girl And Together We Will Fly!(Dweet!) Girl And We Can Rock It Till A Mawning! And We Can Go As Long As You Like (All Night!) Girl All You Gotta Do Is Put It On Me And Baby Let Me Take It To The Sky! (Set It!)   Hey Girl I've Been Looking' For a Minute Really Need To Know Your Name, Baby Got a Body Definitely Won't Quit It The Way You Move You Drive Me Insane Baby (Whoo!) Just Let Me Take It To The Limit And Give You Likle Pleasure With The Pain, Yeah Yeah (Solid!) And If You Let Me, I Will Be Committed For you my sunshine I'll Make It Rain Baby!  Baby Girl Anyday You Want It (Got You Girl!) I Can Give You Any Type Of Style! (Uzeet!) All You Gotta Do Is Put It On Me Girl And Together We Will Fly!(Dweet!) And we can rock it till a mawning! And We Can Go As Long As You Like (All Night!) Girl All You Gotta Do Is Put It On Me And Baby Let Me Take It To The Sky! (Set It!)  To The Height Of Ecstasy We Gonna Feel Girl You Turn Me On I Got Crazy Skills Give Me The Thing, Come On! Listen You ping, Come On! When mi a song mi song Mi Say The Thing For gwan Baby Girl Sen On!   Why Don't You... Come Over? (Come On Girl!) Take Some Time To Know!! (Yeahh!)  Baby Girl Anyday You Want It I Can Give You Any Type Of Style! (See Dey!) All You Gotta Do Is Put It On Me Girl And Together We Will Fly! And we can rock it till a mawning! And We Can Rock It Till A Mawning! And We Can Go As Long As You Like Girl All You Gotta Do Is Put It On Me And Baby Let Me Take It To The Sky!   Mi a Tell You This Hey Girl Anytime When You Ready Let Me know We on The Same Page Girl Don't Gotta Be Afraid For Let Go Or Be Ashamed Girl!!!!   Why Don't You... Come Over? Take Some Time To Know!!  Baby Girl Anyday You Want It I Can Give You Any Type Of Style! (See Dey!) All You Gotta Do Is Put It On Me Girl And Together We Will Fly! And we can rock it till a mawning! And We Can Rock It Till A Mawning! And We Can Go As Long As You Like Girl All You Gotta Do Is Put It On Me And Baby Let Me Take It To The Sky!",2,9,1,4,14,6,31,3,0,5,0.9832
4,4,/songs/1832061,Sean Paul,As Time Goes On,https://genius.com/Sean-paul-as-time-goes-on-lyrics,http://api.genius.com/songs/1832061,None,2019-04-20,"Yeah, yeah, wow, wow, wow Will we ever care? (Will we ever care?) And will we ever share? (Will we ever share?) Yow, yow  You who seh rule de people Say don't it so deceiful Yes, year to year it's clear to de youths Dat yuh don't care  Top dollar all you wanna is thief it Everybody know it ain't no secret Ammunition and gun Dat's all yuh really wanna share  I see di blood is on your hand I see di youths don't understand It's goin' nowhere  'Round and 'round in a circle Politics tactics, nah, go work cauh Too much blood gotta spill pon Earth Man is dying everywhere  As time goes on When will we live together? Time goes on And one seem so unclever  As time goes on Will we ever get along? When will we live as one As time goes on? When will we ever care?  Everybody got good and evil Tek a look inna yourself people Positive, negative Which one will yuh manifest?  Everybody wah de same ting down deh Nobody don't wanna live in a dismay Everybody's fighting To achieve their happiness  Some man wah rich and famous Den dem get it switched and blame us I wish dat those could see their emptiness  'Round and 'round in a circle Selfishness just nah go work cauh Too much blood gotta spill pon Earth Man is dying everywhere  As time goes on When will we live together? Time goes on And one seem so unclever  As time goes on Will we ever get along? When will we live as one As time goes on? And will we ever care?  Will we ever care? (Will we ever) Will we ever share? (Will we ever share?) End is drawing near (End is drawing near) Feel it in di air  Muslim and Christian Buddhist and Hindu Rastafarai and Jew Will we ever share one God?  Blood's on de creeps All these politricks man P and p, everyday lp Will wi ever care about life?  When de blood is on your hand And di youths don't understand It's goin' nowhere  'Round and 'round in a circle Blood spilling just nah go work cauh Too much man just a dead pon Earth Man is dying everywhere  As time goes on When will we live together? Time goes on And one seem so unclever  As time goes on Will we ever get along? When will we live as one As time goes on? When will we ever care?  (Will we ever care?) When will we ever share? (Will we ever share?) When will we ever care?  (Will we ever care?) When will we ever share? (Will we ever share?) When will we ever fear God  As time goes on When will we live together? Time goes on When one seem so unclever  As time goes on Will we ever get along? When will we live as one As time goes on? When will we ever care?  Seh the end is drawing near When will we ever fear Seh di end is drawing near When will we ever fear",16,35,6,16,18,15,25,8,6,22,0.9924
5,5,/songs/3440525,Sean Paul,Bad Love,https://genius.com/Sean-paul-bad-love-lyrics,http://api.genius.com/songs/3440525,Mad Love: The Prequel,2018-06-29," So let me get inna the groove yaa girl Ge-get inna the mood yaa girl Mi- mi you fi choose yaa girl I'm ready to turn up Ge- get you likkle loose yaa girl Sips ciroc with the juice yaa girl You no has no excuse yaa girl I'm ready to turn up   A beautiful evening I got you touching the ceiling Loving the feeling Ain't nothing stopping this No, no, no No, we got no fear Ready fi tun it up no care It's like we're billionaire Ain't nothing stopping this Go, go, go   The way you say it Got me feeling like I'm faded The way you do it Got me wishing we were naked You got that bad, bad love And I just can't get enough And I know my friends sayin', ""girl, stay away"" But I like what I like I, I eat that bad, bad love I breathe that bad, bad love I need your bad, bad So take me away 'cause tonight is the night I...   That bad love Pure badness La-la Take me away 'cause tonight is the night I That bad love Pure badness That bad Take me away 'cause tonight is the night    A pure badness me use and run weh the sadness Love how mi trod, yes she love off the madness Sey mi god bless, you don' know what's next Tear off di clothes and you don' know mad sex   Said, I'm gon' gear it up Tear it up, make you delirious Girl, if you serious Ain't nothing stopping this No, no, no Girl I'mma stir it up Give it up, I want togive it up Me and you should be livin' up Ain't nothing stopping this Go, go, go Ge- get you likkle loose yaa, girl Sips ciroc with the juice yaa, girl You no has no excuse yaa, girl I'm ready to turn up   The way you say it Got me feeling like I'm faded The way you do it Got me wishing we were naked You got that bad, bad love And I just can't get enough And I know my friends sayin', ""girl, stay away"" But I like what I like I, I eat that bad, bad love I breathe that bad, bad love I need your bad, bad So take me away cause tonight is the night I   That bad love Pure badness La-la Take me away 'cause tonight is the night I That bad love Pure badness That bad Take me away 'cause tonight is the night I That bad love Pure badness La-la Take me away 'cause tonight is the night I That bad love Pure badness La-la Take me away 'cause tonight is the night",37,10,35,38,24,41,29,30,3,12,-0.9668
6,6,/songs/830136,Sean Paul,Beat Like Drum,https://genius.com/Sean-paul-beat-like-drum-lyrics,http://api.genius.com/songs/830136,None,2007-02-08," Beat like drum, mi gyal   Flip it den dip, whip it And mek yuh body get wit it (Dum drum drum) Mek yuh body get wit it (Hey) Mek yuh body get wit it (Hey) Buss up tun, curl out, burn Fit and yuh a sick wit it Fit and yuh a sick wit it (Hey) Fit and yuh a sick wit it (Hey)   All around de world men from all nation put dem clam for it Tru dem know yuh fantastic, fantastic, gyal yuh eva legit Dem neva see a gyal wha look so damn good and classic Go-got to get wit it nuff man got to get wit it   Gyal yuh a mek di dappa heart beat like drum (Drum, drum) Keep doin' what yuh feel like, wheel and tun (Tun, tun) Any gyal follow back a yuh dem haffi pop dung (Dung, dung) So keep doin' wha yuh doin' mek di gal dem feel dumb Gyal yuh a mek di dappa heart beat like drum (Drum, drum) Yuh doin' wha yuh feel like wheel and tun (Tun, tun) Any gyal follow back a yuh dem haffi pop dung None a dem a up to speed nuh inna yuh league dem too dung gyal   Gyal a yuh ready for di get-go Tell a gyal yuh nuh pet nuh tell har fi lef yuh Cah when yuh a dip low fetcha-fetch so tell har fi step yuh Original ego dan fi de man just like a cabaret show Push yuh out and tip toe, she cyaan waan nuh crack nuh So drop dem like a domino (Hey) Play dem just like Tic Tac Toe Chop dem up like a pop-chow Gyal cah yuh a de real top poss An gyal dem a wuk like stereo Nuh man nuh waan gi dem de neerio Nuh man nuh waan pop dem cheerio Dem lose di scenario   Gyal yuh a mek di dappa heart beat like drum (Drum, drum) Keep doin' what yuh feel like, wheel and tun (Tun, tun) Any gyal follow back a yuh dem haffi pop dung (Dung, dung) So keep doin' wha yuh doin' mek di gal dem feel dumb Gyal yuh a mek di dappa heart beat like drum (Drum, drum) Yuh doin' wha yuh feel like wheel and tun (Tun, tun) Any gyal follow back a yuh dem haffi pop dung None a dem a up to speed nuh inna yuh league dem too dung gyal   Tell a gyal wi a bye-bye Seh yuh nuh start rule inna cat fight, nuh nite Cyaan come inna spotlight, cah yuh a de real light, gyal an yuh real tight Time gyal yuh nuh force right, right I mean, yuh an a de nob tide Gyal yuh a de man like (Hey), tell a gyal chuck hav yuh kno she fi tek flight Full time she fi lef outta sight, gyal feel like she raise non right When come pon time like she nah look right Nuh coca cola she a de red-stripe When it come to sight borrow our red kite Blur har wi gal, an call dem de might Tell har seh don't baddah try it (Hey) Cah yuh got de man everynight, dat's right!   Gyal yuh a mek di dappa heart beat like drum (Drum, drum) Keep doin' what yuh feel like, wheel and tun (Tun, tun) Any gyal follow back a yuh dem haffi pop dung (Dung, dung) So keep doin' wha yuh doin' mek di gal dem feel dumb Gyal yuh a mek di dappa heart beat like drum (Drum, drum) Yuh doin' wha yuh feel like wheel and tun (Tun, tun) Any gyal follow back a yuh dem haffi pop dung None a dem a up to speed nuh inna yuh league dem too dung gyal   Flip it den dip, whip it And mek yuh body get wit it (Dum drum drum) Mek yuh body get wit it (Hey) Mek yuh body get wit it (Hey) Buss up tun, curl out, burn Fit and yuh a sick wit it Fit and yuh a sick wit it (Hey) Fit and yuh a sick wit it (Hey)   All around de world men from all nation put dem clam for it Tru dem know yuh fantastic, fantastic, gyal yuh eva legit Dem neva see a gyal wha look so damn good and classic Go-got to get wit it nuff man got to get wit it   Gyal yuh a mek di dappa heart beat like drum (Drum, drum) Keep doin' what yuh feel like, wheel and tun (Tun, tun) Any gyal follow back a yuh dem haffi pop dung (Dung, dung) So keep doin' wha yuh doin' mek di gal dem feel dumb Gyal yuh a mek di dappa heart beat like drum (Drum, drum) Yuh doin' wha yuh feel like wheel and tun (Tun, tun) Any gyal follow back a yuh dem haffi pop dung None a dem a up to speed nuh inna yuh league dem too dung gyal Gyal yuh a mek di dappa heart beat like drum (Drum, drum) Keep doin' what yuh feel like, wheel and tun (Tun, tun) Any gyal follow back a yuh dem haffi pop dung (Dung, dung) So keep doin' wha yuh doin' mek di gal dem feel dumb Gyal yuh a mek di dappa heart beat like drum (Drum, drum) Yuh doin' wha yuh feel like wheel and tun (Tun, tun) Any gyal follow back a yuh dem haffi pop dung None a dem a up to speed nuh inna yuh league dem too dung gyal",7,10,35,4,2,36,33,7,15,11,0.9945
7,7,/songs/742261,Sean Paul,Birthday Suit,https://genius.com/Sean-paul-birthday-suit-lyrics,http://api.genius.com/songs/742261,Imperial Blaze,2009-08-18,"Firm structure from your birth You know dem can't touch you 'cause you know your worth Gal can't dish you no dirt If she try touch your shoulder, she gonna get hurt  I'm telling you girl, see the man dem a flirt Like dem waan get up your skirt ay yow Gal you fi run weh Ernie and Bert 'cause dem bwoy deh a joker Dem can't do the work  Woman you know seh that you hot Inna your birthday suit, me say you win it Man a mad over your style just get inna di spirit You nah drop off, gal to your merit You never pop down, gal your body mi will cherish  Come gimme 'cause you hot Inna your birthday suit, me say you win it Man a mad over your style and you got them infinite You no run down gal man, to your merit So gwan buss the place Gal your body me will cherish, come give it to me  Me pick it up and put it right deh so I got it For you I know you got it tight deh so Yes inna di morning when mi wake up inna the night deh so Me woulda hoist it up and fly it like a kite deh so  Any which part a weh you deh me take a flight deh so So me get caught, a true you hot yuh brain bright deh so Any gal war you, you know you no haffi fight deh so Because you done take the lead, ah, I and I say so  Woman you know seh that you hot Inna your birthday suit, me say you win it Man a mad over your style just get inna di spirit You nah drop off, gal to your merit You never pop down, gal your body mi will cherish  Come gimme 'cause you hot Inna your birthday suit, me say you win it Man a mad over your style and you got them infinite You no run down gal man, to your merit So gwan buss the place Gal your body me will cherish, come give it to me  Because me never spot a girl like you Me woulda never tell you nothing gal if it untrue Gal you body calling me it is overdue You want the drill I got the skill so mek we join like glue  If a di ruff and tuff I give you just like that If a di cool and deadly right pon di G-spot Weh you want mi deh ya fi yu eye roll back Inua yu head, in other words I make your booty pop  Woman you know seh that you hot Inna your birthday suit, me say you win it Man a mad over your style just get inna di spirit You nah drop off, gal to your merit You never pop down, gal your body mi will cherish  Come gimme 'cause you hot Inna your birthday suit, me say you win it Man a mad over your style and you got them infinite You no run down gal man, to your merit So gwan buss the place Gal your body me will cherish, come give it to me  Me hear dem a talk seh that you buss this year Any which part pon earth you walk me see the man dem a stare Some a dem blind and some a dem a get hearing impaire True the riddim weh your booty clap, it loud around here  A no lie big man a cry because you round like sphere Twenty-one gun salute dem leggo inna di air See you figure, gal, you richer than a millionaire You so sexy so your clothes dem you nuh have to wear  Woman you know seh that you hot Inna your birthday suit, me say you win it Man a mad over your style just get inna di spirit You nah drop off, gal to your merit You never pop down, gal your body mi will cherish  Come gimme 'cause you hot Inna your birthday suit, me say you win it Man a mad over your style and you got them infinite You no run down gal man, to your merit So gwan buss the place Gal your body me will cherish, come give it to me  Woman you know seh that you hot Inna your birthday suit, me say you win it Man a mad over your style just get inna di spirit You nah drop off, gal to your merit You never pop down, gal your body mi will cherish  Come gimme 'cause you hot Inna your birthday suit, me say you win it Man a mad over your style and you got them infinite You no run down gal man, to your merit So gwan buss the place Gal your body me will cherish, come give it to me",26,24,14,17,27,31,57,15,29,29,0.9977
8,8,/songs/829432,Sean Paul,Body,https://genius.com/Sean-paul-body-lyrics,http://api.genius.com/songs/829432,Tomahawk Technique,2012-01-24," (Turn the lights on!) Soakin' wet She can't keep dry I need it bad Man, I tell no lie Put both your hands Upon the wall Fling it up girl I won't let you fall Gotta front row seat Bare as you dare Put it on repeat Why you do that girl Getta little lower Push on wine She gon' feel my power She gon' blow my mind   5... 4... 3... 2... 1... Girl, time is up I want to see all of your lighters up Soon I'll spend all night tied up with her All tied up with her All tied up with her   'Cause me love it when you push it up on me Seh me love it when you twist up weh body on me She know I can't resist when she on me Seh me love it when you twist up weh body on me   Set it down on me Fling it up on me Seh me love it when she twist up weh body on me Been fiendin' all day Come girl and show me So me love it when you twist up your body on me (Turn the lights on!) So me love it when you twist up your body on me 'Cause me love it when you twist up your body on me   World em-Eminent Me ah represent Give her red magnificent She a tell me say she loves my body Sent why me ah give her the strength Don't have to pay not a cent Count she ah count on me Lent Ah me love her talent Me ah give her current Just like a Christian me make her repent When shes see di pitch tent to the fullest extent Girl, don't tell me fi not a Clark Kent Shoulda know seh me fly straight never bent Shoulda know seh me well experienced Other little guys them can't make ah that Girl, come feel the consequent Girl, me know seh you well excellent Girl, wine up you body Wine up you body, girl 'Cause me know seh you most Godsend   5... 4... 3... 2... 1... Girl, time is up I want to see all of your lighters up Soon I'll spend all night tied up with her All tied up with her All tied up with her   Jah me love it when you push it up on me Seh me love it when you twist up her body on me She know I can't resist when she on me So me love it when you twist up her body on me   Set it down on me Fling it up on me Seh me love it when she twist up her body on me Been fiendin' in all day Come girl and show me So me love it when you twist up your body on me   She do that thing That thing I love So glad I got Stamina I run her down Gotta catch that girl She makes that sound When I hear her yell   5... 4... 3... 2... 1... Girl, time is up I want to see all of your lighters up Soon I'll spend all night tied up with her All tied up with her All tied up with her   Jah me love it when you push it up on me Seh me love it when you twist up her body on me She know I can't resist when she on me So me love it when you twist up her body on me   Set it down on me Fling it up on me Seh me love it when she twist up weh body on me Been fiendin' in all day Come girl and show me So me love it when you twist up your body on me So me love it when you twist up your body on me So me love it when you twist up your body on me",4,8,2,3,27,9,36,4,4,13,0.999
9,9,/songs/4548679,Sean Paul,Braff & Laugh,https://genius.com/Sean-paul-braff-and-laugh-lyrics,http://api.genius.com/songs/4548679,Lifestyle Riddim by Redboom Supamix,2019-05-03,"Redboom, bdi bang, bang,bang See it deh, yeah, bang,bang, whooo Bdi bang,bang,bang  Chorus: Becau' a braff you a braff & laugh Nuh make dem stress you mi girl cau you bless from start Choke dem a choke and cough When dem see how long inna dis game weh you last Braff you a braff & laugh Hate dem a hate and a underrate you from start Choke dem a choke, you nah take life fi joke You know say you do this from heart  Pre-Chorus: You see dem, you see dem, you see dem Dem violate God be wid dem One advice u fi gi dem, dis a ur life a nuh fi dem So give away di negative and gimme di riddim Baby girl just shake and jiggle dat ting Cau di shape weh you got, it is everlastin’ And di vibe weh you got it is ever braffin'  Chorus: Becau' a braff you a braff & laugh Nuh make dem stress you mi girl cau you bless from start Choke dem a choke and cough When dem see how long inna dis game weh you last Braff you a braff & laugh Hate dem a hate and a underrate you from start Choke dem a choke, you nah take life fi joke You know say you do this from heart  Verse 1: Nipple pon di tapple, baby girl nuh stop it Press it back pon di rattle, u fi take a hard tackle Me a buss bottle and di spliff dem a trackle Watch di gyal dem a bubble and dem a cause trouble Braffin cau di riddim it a swing and di gyal dem know say mi ready fi di ting Pa- Pa- Panty string it bussin and she ready fi mi bring all di vibe and mi ready fi get in Win mi destined fi win,wid a big fat grind pon mi face and mi ever braffin’ So we nuh watch dem chat, dem a damn idiot You done know we nuh watch dem talkin'  Chorus: Braff you a braff & laugh Nuh make dem stress you mi girl cau you bless from start Choke dem a choke and cough When dem see how long inna dis game weh you last Braff you a braff & laugh Hate dem a hate and a underrate you from start Choke dem a choke, you nah take life fi joke You know say you do this from heart  Pre-Chorus: You see dem, you see dem, you see dem Dem violate God be wid dem One advice u fi gi dem, dis a ur life a nuh fi dem So give away di negative and gimme di riddim Baby girl just shake and jiggle dat ting Cau di shape weh you got, it is everlastin' And di vibe weh you got it is ever braffin'  Chorus: Braff you a braff & laugh Nuh make dem stress you mi girl cau you bless from start Choke dem a choke and cough When dem see how long inna dis game weh you last Braff you a braff & laugh Hate dem a hate and a underrate you from start Choke dem a choke, you nah take life fi joke You know say you do this from heart  Outro: You see dem, you see dem, you see dem Dem violate God be wid dem One advice u fi gi dem, dis a ur life a nuh fi dem Braff you a braff & laugh(braff you a braff, braff, you a braff, braff & laugh) Choke dem a choke and a cough (choke dem a choke, choke) dem a choke, choke and cough Braff you a braff & laugh Hate dem a hate and a underrate you from start Choke dem a choke, you nah take life fi joke You know say you do this from heart",45,27,27,24,21,63,29,46,20,10,-0.9983
