,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/4177569,Selena Gomez,All Night Long,https://genius.com/Selena-gomez-all-night-long-lyrics,http://api.genius.com/songs/4177569,None,2008-05-19,"Rabbits hopping through the fields Monkeys swinging from the trees Lions are the king of the forest But the scariest things alive...  It's dark outside There’s a moonlight The dark scares me But I won't believe That you love me Cause I know you don't You’re a filthy liar Who likes Mickeyds Who orders everything Cheeseburger and select chicken What are you talking about Oh no one important Ok A1nyway Let's say ohhhhhhh Oh yeah All night long Up from top now Now ohhhhhhhh All night long Alright All night looooooooong A pretty tired what about you A little bit tired What about we wrap this mother up Wrapping it up, wrapping it up (wrapping it up, wrapping it and wrapping it up) And scene Ouch my ears are bleeding",2,8,4,4,5,7,10,4,2,7,0.9456
1,1,/songs/3684536,Selena Gomez,Back to You,https://genius.com/Selena-gomez-back-to-you-lyrics,http://api.genius.com/songs/3684536,13 Reasons Why Season 2 (A Netflix Original Series Soundtrack),2018-05-10," Took you like a shot Thought that I could chase you with a cold evenin' Let a couple years water down how I’m feelin' about you (Feelin' about you) And every time we talk Every single word builds up to this moment And I gotta convince myself I don’t want it Even though I do (even though I do)   You could break my heart in two But when it heals, it beats for you I know it's forward, but it's true   I wanna hold you when I'm not supposed to When I'm lyin' close to someone else You're stuck in my head and I can't get you out of it If I could do it all again, I know I’d go back to you   I know I’d go back to you (Go back to you, go back to you) (Go back to you, go back to you) I know I'd go back to you   We never got it right Playin’ and replayin' old conversations Overthinkin' every word and I hate it 'Cause it’s not me ('cause it's not me, 'cause it's not me) And what's the point in hidin'? Everybody knows, we got unfinished business And I'll regret it if I didn't say This isn't what it could be (isn't what it could be)   You could break my heart in two But when it heals, it beats for you I know it's forward, but it's true   I wanna hold you when I'm not supposed to When I'm lyin' close to someone else You're stuck in my head and I can't get you out of it If I could do it all again, I know I'd go back to you   I know I'd go back to you I know I'd go back to you I'd go back to you I'd go back to you I know I said I wasn't sure But I'd go back to you I know I'd go back to you   You can break my heart in two But when it heals, it beats for you I know it's forward, but it's true Won't lie, I'd go back to you You know, my thoughts are runnin' loose It's just a thing you make me do And I could fight, but what's the use? I know I'd go back to you   I wanna hold you when I'm not supposed to When I'm lyin' close to someone else You're stuck in my head and I can't get you out of it If I could do it all again, I know I'd go back to you   I'll go back to you I'll go back to you I know I'd go back to you I'd go back to you, I'd go back to you I know I'd go back to you (Go back to you, go back to you) (Go back to you, go back to you) (Go back to you, go back to you)",4,4,2,3,3,8,12,4,4,7,-0.898
2,2,/songs/3084463,Selena Gomez,Bad Liar,https://genius.com/Selena-gomez-bad-liar-lyrics,http://api.genius.com/songs/3084463,SG3,2017-05-18," I was walking down the street the other day Tryna distract myself But then I see your face Oh wait, that's someone else Tryna play it coy Tryna make it disappear But just like the battle of Troy There's nothing subtle here In my room there's a king size space Bigger than it used to be If you want you can rent that place Call me an amenity Even if it's in my dreams   Ooh you're taking up a fraction of my mind Ooooh every time I watch you serpentine   Oh I'm tryin', I'm tryin', I'm tryin' I'm tryin', I'm tryin' Oh tryin', I'm tryin', I'm tryin' I'm tryin', I'm tryin' Not to think about you No, no, no, no Not to think about you No, no, no, no Oh I'm tryin', I'm tryin', I'm tryin' I'm tryin', I'm tryin' Oh tryin', I'm tryin', I'm tryin' I'm tryin', I'm tryin' Not to give in to you No, no, no, no Not to give in to you No, no, no, no   With my feelings on fire Guess I'm a bad liar   I see how your attention builds It's like looking in a mirror Your touch like a happy pill But still all we do is fear What could possibly happen next? Can we focus on the love? Paint my kiss across your chest If you're the art, I'll be the brush   Ooh you're taking up a fraction of my mind Ooooh every time I watch you serpentine   Oh I'm tryin', I'm tryin', I'm tryin' I'm tryin', I'm tryin' Oh tryin', I'm tryin', I'm tryin' I'm tryin', I'm tryin' Not to think about you No, no, no, no Not to think about you No, no, no, no Oh I'm tryin', I'm tryin', I'm tryin' I'm tryin', I'm tryin' Oh tryin', I'm tryin', I'm tryin' I'm tryin', I'm tryin' Not to give in to you No, no, no, no Not to give in to you No, no, no, no   With my feelings on fire Guess I'm a bad liar   And oh baby let's make reality, actuality, a reality Oh baby let's make reality, actuality, a reality   Oh, oh, I'm tryin', I'm tryin', I'm tryin' I'm tryin', I'm tryin' Oh tryin', I'm tryin', I'm tryin' I'm tryin', I'm tryin' Not to think about you No, no, no, no Not to think about you No, no, no, no Oh I'm tryin', I'm tryin', I'm tryin' I'm tryin', I'm tryin' Oh tryin', I'm tryin', I'm tryin' I'm tryin', I'm tryin' Not to give in to you No, no, no, no Not to give in to you No, no, no, no   With my feelings on fire Guess I'm a bad liar",8,12,9,14,9,13,15,7,8,5,-0.9992
3,3,/songs/3096384,Selena Gomez,Bad News*,https://genius.com/Selena-gomez-bad-news-lyrics,http://api.genius.com/songs/3096384,None,2018-05-10,"Lyrics From Snippet     You've been nothing but bad news Flesh fade in your tattoos Low life in this high too You give me love with an attitude I throw the drink and the glass through I see your ex and some brand new I pack my bags and I'm leaving you   'Cause you've been nothing but bad news, bad news Nothing, a thing but bad news Nothing, a thing but bad news Nothing, a thing but bad news No one to blame, you're bad news It's such a shame, you're bad news I had it good for bad news   You took me under Fuck me right over Do what I had to You knew I'd come back to you, baby   You've been nothing but bad news Flesh fade in your tattoos Low life in this high too You give me love with an attitude I throw the drink and the glass through I see your ex and some brand new I pack my bags and I'm leaving you   'Cause you've been nothing but bad news, bad news Nothing, a thing but bad news Nothing, a thing but bad news Nothing, a thing but bad news No one to blame, you're bad news It's such a shame, you're bad news I had it good for bad news",20,2,24,20,5,24,5,20,2,2,0.9962
4,4,/songs/183160,Selena Gomez,Bang a Drum,https://genius.com/Selena-gomez-bang-a-drum-lyrics,http://api.genius.com/songs/183160,Another Cinderella Story - EP,2008-08-26," You got my eye, and I'm trying to holla at ya You're walking by, and I trip on the furniture I'm on a ride that won't stop moving And I don't know exactly what I'm doing I see you shake, shake, and I'm spinning It's like I won a win race, yeah, I'm winning I'm all dizzy when you're here with me So, let's bring the heat   'Cause there aren’t nothing to it (holiday) Just got to do it (every day) You got to own it, own it Party to the beat of your own drum When it's hot like that (burn it up like that) Party to the beat of your own drum When you got it like that (yeah, it's hot like that) ""Eh-eh"", yeah Gotta make ya say, ""eh-eh"", yeah So, bang a drum (get up, get up) Bang a drum   You got me floating ten feet off the ground It's like ""whoa"" I'm up, and I can't come down My heart's pumping, it's working overtime I got the crazy butterflies We're doing it right when we we're together With you by my side, it don't get better With you on my team got it figured it out It's you and me No doubt   'Cause there aren’t nothing to it (holiday) Just got to do it (every day) You got to own it, own it Party to the beat of your own drum When it's hot like that (burn it up like that) Party to the beat of your own drum When you got it like that (yeah, it's hot like that) ""Eh-eh"", yeah Gotta make ya say, ""eh-eh"", yeah So, bang a drum (get up, get up) Bang a drum Yeah, bang a drum Turn it up, bang a drum Yeah, bang a drum Turn it up, bang a drum   You got my eye, and I'm trying to holla at ya You're walking by, and I trip on the furniture I'm on a ride that won't stop moving And I don't know exactly what I'm doing I see you shake, shake, and I'm spinning It's like I won a win race, yeah, I'm winning I'm all dizzy when you're here with me So, let's bring the heat   'Cause there aren’t nothing to it (bang a drum ) Just got to do it (bang a drum) You got to own it, own it Party to the beat (ya gotta take it to the drum) When it's hot like that (burn it up like that) Party to the beat of your own drum If you got it like that (yeah, it's hot like that) ""Eh-eh"", yeah Gotta make ya say, ""eh-eh"" So, bang a drum Bang a drum Yeah, bang a drum Turn it up, bang a drum Yeah, bang a drum Turn it up, bang a drum Bang a drum Turn it up, bang a drum Yeah, bang a drum Turn it up, bang a drum",27,4,22,22,4,24,8,24,24,8,0.9975
5,5,/songs/191803,Selena Gomez,B.E.A.T.,https://genius.com/Selena-gomez-beat-lyrics,http://api.genius.com/songs/191803,Stars Dance,2013-07-19," It's a big bad world, but I ain't ashamed I like the lights in my hand and the beat in my face It's a big bad world, but I ain't ashamed I like the lights in my hand and the beat in my face   B-b-b-beat in my face B-b-b-beat in my face I like the lights in my hand and the beat in my face B-b-b-beat in my face B-b-b-beat in my face I like the lights in my hand and the beat in my face   I'ma make you bend your back Back, b-b-back, back Ey-yo, ey-yo Oh my god, this beat is crack When I do this, you do that   I feel like dancing when I hear that sound Just wanna do it, eh Just wanna do it, eh I feel like dancing when I hear that sound Just wanna do it, eh Just wanna do it, eh   It's a big bad world, but I ain't ashamed I like the lights in my hand and the beat in my face It's a big bad world, but I ain't ashamed I like the lights in my hand and the beat in my face   B-b-b-beat in my face B-b-b-beat in my face I like the lights in my hand and the beat in my face B-b-b-beat in my face B-b-b-beat in my face I like the lights in my hand and the beat in my face   I'ma bring the party back Back, b-b-back, back Ey-yo, ey-yo We gon' blow the thermostat When I do this, you do that   I feel like dancing when I hear that sound Just wanna do it, eh, just wanna do it, eh I feel like dancing when I hear that sound Just wanna do it, eh, just wanna do it, eh   It's a big bad world, but I ain't ashamed I like the lights in my hand and the beat in my face It's a big bad world, but I ain't ashamed I like the lights in my hand and the...   Beat-beat-beat (c'mon) Beat beat beat (bass) Beat beat beat (bass)   Automatic, dance-o-matic I can't get enough, I can't get enough I can't get enough of dat Beat in my face   B-b-b-beat in my face B-b-b-beat in my face I like the lights in my hand and the beat in my face B-b-b-beat in my face B-b-b-beat in my face I like the lights in my hand and the beat in my face",6,1,12,7,2,13,2,12,0,3,0.9446
6,6,/songs/594043,Selena Gomez,Bidi Bidi Bom Bom,https://genius.com/Selena-gomez-bidi-bidi-bom-bom-lyrics,http://api.genius.com/songs/594043,For You,2014-11-24," Hey, yeah Hey, yeah Bidi bidi bom bom Bidi bidi bom bom Bidi bidi bidi bidi bidi bom bom Bidi bidi bidi bidi bidi bom   Cada vez Cada vez que lo veo pasar Mi corazon se enloquece (se enloquece) Y me empieza a palpitar   Y se emociona (y se emociona) Ya no razona No lo puedo controlar Y se emociona (y se emociona) Ya no razona Y me empieza a cantar (Cantar) Me canta así, (así), así, (así)   Bidi bidi bom bom Bidi bidi bom bom Bidi bidi bidi bidi bidi bom bom Bidi bidi bidi bidi bidi bom   Cada vez Cada vez que lo oigo hablar Me tiemblan hasta las piernas Y el corazón igual  [Pre-Coro: Selena Gomez + (Selena)] Y se emociona (y se emociona) Ya no razona No lo puedo controlar Y se emociona (y se emociona) Ya no razona Y me empieza a cantar (Cantar) Me canta así, (así), así, (así)   Bidi bidi bom bom Bidi bidi bom bom Bidi bidi bidi bidi bidi bom bom Bidi bidi bidi bidi bidi bom   Cuando escucho esta cancion Mi corazón quiere cantar asi   Y empieza a palpitar asi Cada vez Cada vez que lo veo pasar, woah Mi corazón se enloquece Y me empieza a palpitar Así, así   Bidi bidi bom bom Bidi bidi bom bom Bidi bidi bidi bidi bidi bom bom Bidi bidi bidi bidi bidi bom Bidi bidi bom bom Bidi bidi bom bom Me canta así, me canta así Cada vez que lo veo pasar Bidi bidi bom bom Bidi bidi bom bom (Y me empieza a palpitar Así, así) Bidi bidi bidi bidi bidi bom bom Bidi bidi bidi bidi bidi bom Bidi bidi bom bom Bidi bidi bom bom   Me canta así, me canta así Cada vez que lo veo pasar Cada vez que lo veo pasar Cada vez que lo veo pasar Así",0,0,0,0,0,0,0,0,0,0,-0.7783
7,7,/songs/189852,Selena Gomez,Birthday,https://genius.com/Selena-gomez-birthday-lyrics,http://api.genius.com/songs/189852,Stars Dance,2013-07-19," Tell 'em that it's my birthday Tell 'em that it's my birthday Tell 'em that it's my birthday when I party like that Every night's my birthday They don't know, so it's okay Tell 'em that it's my birthday, when I party like that   (Uh, uh-uh-uh) Jazz it up (Uh, uh-uh-uh) Jazz it up   Happy as can be Fallin' into you, fallin' into me (so yummy!) How do you do? Come and meet the queen Cake and cream   Blow your dreams, blow your dreams Blow your dreams away with me Blow your dreams, blow your dreams Blow your dreams away with me   Tell 'em that it's my birthday Tell 'em that it's my birthday Tell 'em that it's my birthday when I party like that Every night's my birthday They don't know, so it's okay Tell 'em that it's my birthday, when I party like that   (Uh, uh-uh-uh) Jazz it up (Uh, uh-uh-uh) Jazz it up   Feeling fine and free Crashing into you, crashing into me (so yummy!) It's all I wanna do Come and dance with me Pretty please   Blow your dreams, blow your dreams Blow your dreams away with me Blow your dreams, blow your dreams Blow your dreams away with me   Tell 'em that it's my birthday Tell 'em that it's my birthday Tell 'em that it's my birthday when I party like that Every night's my birthday They don't know, so it's okay Tell 'em that it's my birthday, when I party like that   (Uh, uh-uh-uh) Jazz it up (Uh, uh-uh-uh) Jazz it up   Blow your dreams, blow your dreams Blow your dreams away with me Blow your dreams, blow your dreams Blow your dreams away with me Blow your dreams, blow your dreams Blow your dreams away with me Blow your dreams, blow your dreams Blow your dreams away with me Party on baby!   Tell 'em that it's my birthday Tell 'em that it's my birthday Tell 'em that it's my birthday when I party like that Every night's my birthday They don't know, so it's okay Tell 'em that it's my birthday, when I party like that   (Uh, uh-uh-uh) Jazz it up (Uh, uh-uh-uh) Jazz it up   Tell 'em that it's my birthday Tell 'em that it's my birthday Tell 'em that it's my birthday when I party like that Every night's my birthday They don't know, so it's okay Tell 'em that it's my birthday, when I party like that   (Uh, uh-uh-uh) Jazz it up (Uh, uh-uh-uh) Jazz it up",1,29,1,1,31,1,36,1,27,9,0.9991
8,8,/songs/2296921,Selena Gomez,Body Heat,https://genius.com/Selena-gomez-body-heat-lyrics,http://api.genius.com/songs/2296921,Revival,2015-10-09," I'm going in, I'm ready to surrender Like a diamond, I need a little pressure So press me down till I scream If you're the flame, I'm kerosene I'm burning up, baby   All I need is your body heat right next to me Burning up burning up, so give it up give it up All I need is your body heat right next to me I’m burning up baby, all I want is your body heat Burning up burning up, so give it up give it up All I need is your body heat   I'm restless, I'm craving your attention My red lips have found a new obsession Let's go all night, just you and me If you're the flame, I'm kerosene I'm burning up, baby   All I need is your body heat right next to me Burning up burning up, so give it up give it up All I need is your body heat right next to me I’m burning up baby, all I want is your body heat Burning up burning up, so give it up give it up All I need is your body heat   I’m burning up, burning up, you’re right there Your body heat right next to me I’m burning up, burning up, you’re right there Your body heat right next to me We're connected by the sun And all of the stars above You melt me and my body feels no shame And I don't care tonight If it burns too bright Cause baby, that's why I came   All I need is your body heat right next to me Burning up burning up, so give it up give it up All I need is your body heat right next to me I’m burning up baby, all I want is your body heat Burning up burning up, so give it up give it up All I need is your body heat",1,4,2,5,10,4,12,2,2,4,-0.5907
9,9,/songs/183169,Selena Gomez,Brain Zapped,https://genius.com/Selena-gomez-brain-zapped-lyrics,http://api.genius.com/songs/183169,None,2019-07-10," Mom always said that books could take you to another world But I don't think that this is what she meant (This is what she meant) I'm shuttling through these distant lands and ocean shores Don't really know where I'll go next 'Cause I've been...   Brain Zapped Let’s go explore Brain Zapped To a whole new world Brain Zapped Come be my guest Brain Zapped Don't know where I'll go next   My mind is spinning around Got all this knowledge I just want to shout out Got to get it under control Because the light is green, and we're ready to go (Go, go)   Brain Zapped Let’s go explore Brain Zapped To a whole new world Brain Zapped Come be my guest Brain Zapped Don't know where I'll go next",1,3,0,0,1,0,7,0,1,5,0.5719
