,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/430727,Shania Twain,Ain't No Particular Way,https://genius.com/Shania-twain-aint-no-particular-way-lyrics,http://api.genius.com/songs/430727,Up!,2002-01-01," Here it comes Mmm, the thing about love   Love has a way to find ya Sneaks up right behind ya There ain't no particular way You don't know when it's gonna Come runnin' 'round the corner There ain't no particular way   So, don't give up (don't give up on love 'til you get your share) You're gonna get your share The thing about love (the thing about love is it's) Is that it's everywhere   There ain't nowhere it won't hide (There ain't nowhere it won't hide) There ain't no speed it won't drive (There ain't no speed it won't drive) There ain't no law it won't break (There ain't no law it won't break) There ain't no chance it won't take There ain't no, no particular way   Oh, it could come so fast, it fools ya Might take its time to move ya There ain't no particular way It might just drift in while you're dreamin' It don't sleep, always schemin' There ain't no particular way   So, don't give up (don't give up on love 'til you get your share) You're gonna get your share The thing about love (the thing about love is it's) Is that it's everywhere   There ain't nowhere it won't hide (There ain't nowhere it won't hide) There ain't no speed it won't drive (There ain't no speed it won't drive) There ain't no law it won't break (There ain't no law it won't break) There ain't no chance it won't take There ain't no, no particular way   Ohh Yeah You can't hide, oh   (There ain't no time) It comes when you least expect it (There ain't no day) When you thought you've been rejected (There ain't no how) There ain't no particular way, yeah (There ain't no way) (There ain't no why) Love ain't for just the lucky (There ain't no way) It's there for everybody (There ain't no why) There ain't no particular way, yeah (There ain't no way)   So, don't give up (don't give up on love 'til you get your share) You're gonna get your share The thing about love (the thing about love is it's) Is that it's everywhere   There ain't nowhere it won't hide (There ain't nowhere it won't hide) There ain't no speed it won't drive (There ain't no speed it won't drive) There ain't no law it won't break Oh, no, no (There ain't no law it won't break) There ain't no chance it won't take (There ain't nowhere it won't hide) There ain't nowhere it won't hide (There ain't no speed it won't drive) Im gonna tell you now There ain't no speed it won't drive   (There ain't no time) Yeah, yeah, yeah (There ain't no day) (There ain't no how) There ain't no way (There ain't no way) Oh (There ain't no why) There ain't no way (There ain't no way) There ain't no time (There ain't no one) (There ain't no way) Oh, there ain't no way",0.999,1,12,1,10,19,3,28,0,12,21
1,/songs/3254971,Shania Twain,All In All,https://genius.com/Shania-twain-all-in-all-lyrics,http://api.genius.com/songs/3254971,Now,2017-09-29," Reach the top and start to cry Heaven looked me in the eye Afraid to jump, but had to try Exhaled and said ""goodbye"" I'm flying I'm flying   Always knew I had to go Find the me I did not know Who I'd be when I got old Just how far the wind would blow I'm sailing I'm sailing   All in all this much is true Cause love and hate and they both burn Peace and war, they take turns All in all there's nothing new I'm still myself, but I've changed Things I always thought were strange Aren't that strange at all All in all All in all   God is older than I am He was where it all began I try to do the best I can To see truth from where I stand I'm praying I'm praying   All in all this much is true Cause love and hate and they both burn Peace and war, they take turns All in all there's nothing new I'm still myself, but I've changed Things I always thought were strange Aren't that strange at all All in all there's nothing new I'm still myself, but I've changed Things I always thought were strange Aren't that strange at all All in all Oh, all in all",0.9513,2,8,2,8,8,6,12,4,0,7
2,/songs/1542317,Shania Twain,Amneris' Letter,https://genius.com/Shania-twain-amneris-letter-lyrics,http://api.genius.com/songs/1542317,Elton John and Tim Rice's Aida,1999-01-01,"I'm sorry for everything I've said And for anything I forgot to say too When things get so complicated I stumble, at best, muddle through I wish that our lives could be simple I don't want the world, only you I wish I could tell you this face to face But there's never the time, never the place So this letter will have to do I love you",0.8965,0,2,0,0,1,3,2,0,0,1
3,/songs/375168,Shania Twain,Any Man of Mine,https://genius.com/Shania-twain-any-man-of-mine-lyrics,http://api.genius.com/songs/375168,The Woman in Me,1995-04-26," This is what a woman wants...   Any man of mine better be proud of me Even when I'm ugly, he still better love me And I can be late for a date—that's fine But he'd better be on time Any man of mine'll say it fits just right When last year's dress is just a little too tight And anything I do or say better be okay When I have a bad hair day   And if I change my mind A million times I wanna hear him say ""Yeah, yeah, yeah, yeah, yeah, I like it that way!""   Any man of mine better walk the line Better show me a teasin', squeezin', pleasin', kinda time I need a man who knows how the story goes He's gotta be a heartbeatin', fine treatin' Breathtakin', earthquakin' kind Any man of mine   Well, any man of mine better disagree When I say another woman's looking better than me And when I cook him dinner and I burn it black He'd better say, ""Mmmm, I like it like that, yeah""   And if I change my mind A million times I wanna hear him say ""Yeah, yeah, yeah, yeah, yeah, I like it that way!""   Any man of mine better walk the line Better show me a teasin', squeezin', pleasin', kinda time I need a man who knows how the story goes He's gotta be a heartbeatin', fine treatin' Breathtakin', earthquakin' kind Any man of mine   Let me hear you say ""Yeah, yeah, yeah, yeah, yeah, I like it that way!""   Any man of mine better walk the line Better show me a teasin', squeezin', pleasin', kinda time I need a man who knows how the story goes He's gotta be a heartbeatin', fine treatin' Breathtakin', earthquakin' kind Any man of mine   You gotta shimmy shake Make the earth quake Kick, turn, stomp, stomp, then you jump Heel to toe, Do Si Do 'Til your boots wanna break 'Til your feet and your back ache Keep it movin' 'til you just can't take anymore Come on everybody on the floor A-one two, a-three four Hup two, hup If you wanna be a man of mine, that's right This is what a woman wants...",0.9988,3,7,2,4,6,8,7,4,1,7
4,/songs/3254970,Shania Twain,Because Of You,https://genius.com/Shania-twain-because-of-you-lyrics,http://api.genius.com/songs/3254970,Now,2017-09-29," I'm independent to a fault, I know this well But I finally found love without losing myself I'm so much happier sharing my life All of the good things and bad things alike I'm not afraid of the truth, I'm not me without you   Because of you, I'm me All of a sudden, I'm something I wasn't Because of you, I see Everything I can be, lonely is history I know that I'm better when we're together Because of you, I'm me   Well, there's nothing wrong with the world Oh, when you smile The most beautiful sound I ever heard Is you breathing at night When you're asleep and don't know I can hear Sounds like an angel whispering in my ear I don't know what I would do If it wasn't for you   Because of you, I'm me All of a sudden, I'm something I wasn't Because of you, I see Everything I can be, lonely is history I know that I'm better when we're together Because of you, I'm me Oh, because of you, I'm me   I don't need you the way a child needs a home It's more like I'm free to admit I'm not too proud to say out loud I am who I am 'cause you're part of me now   Because of you, I'm me All of a sudden, I'm something I wasn't Because of you, I see Everything I can be, lonely is history I know that I'm better when we're together Because of you, I'm me Oh, because of you, I'm me",0.9937,5,5,5,5,9,8,13,6,7,10
5,/songs/430871,Shania Twain,"Black Eyes, Blue Tears",https://genius.com/Shania-twain-black-eyes-blue-tears-lyrics,http://api.genius.com/songs/430871,Come On Over,1997-11-04," Black eyes, I don't need 'em Blue tears, give me freedom Oh, yeah Oh   Positively never goin' back I won't live where things are so out of whack No more rollin' with the punches No more usin' or abusin'   I'd rather die standin' Than live on my knees Begging please, no more   Black eyes, I don't need 'em Blue tears, give me freedom Black eyes, all behind me Blue tears will never find me now   Definitely found my self esteem Finally I'm forever free to dream No more crying in the corner No excuses, no more bruises   I'd rather die standin' Than live on my knees Begging please, no more   Black eyes, I don't need 'em Blue tears, give me freedom Black eyes, all behind me Blue tears will never find me now     I'd rather die standin' Than live on my knees Begging please, no more   Black eyes, I don't need 'em Blue tears, give me freedom Black eyes, all behind me Blue tears will never find me now   Oh, never find me now It's all behind me, they'll never find me now Find your self-esteem and be forever free to dream",0.3832,1,2,1,4,8,18,12,21,2,12
6,/songs/430751,Shania Twain,C'est la Vie,https://genius.com/Shania-twain-cest-la-vie-lyrics,http://api.genius.com/songs/430751,Up!,2002-11-19," Oh, yeah Oh, yeah, yeah, yeah   It must be Monday What a dumb day Can't drag my butt outta bed Somebody stop me I need another coffee Like a hole in my head When everyday begins this way Gets you down and can drive you mad   The daily grind can freak your mind But life isn't all that bad   Don't let it get to you C'est la vie That's life and that's how it's gonna be C'est la vie! Hold tight, it comes right eventually Oh, oh   If only I could sleep in And wake up on the weekend Oh, what a dream that would be, yeah But fat chance for that one It ain't gonna happen Better get back to reality I could be a slob or keep my job That is the choice we have   The daily grind can freak your mind But life isn't all that bad   Don't let it get to you C'est la vie That's life and that's how it's gonna be C'est la vie! Hold tight, it comes right eventually Oh, oh   Everybody's got to do it Everybody's got to earn their way Uh, come on now You gotta work your own way through it Everybody's got their dues to pay Yeah   The daily grind can freak your mind But life isn't all that bad   Don't let it get to you C'est la vie That's life and that's how it's gonna be C'est la vie! Hold tight, it comes right eventually Yeah, yeah, yeah C'est la vie! That's life and that's how it's gonna be Come on, c'est la vie Hold tight, it comes right eventually Oh, oh   Oh, oh C'est la vie",0.9569,4,5,5,4,1,7,7,5,1,4
7,/songs/430658,Shania Twain,Come On Over,https://genius.com/Shania-twain-come-on-over-lyrics,http://api.genius.com/songs/430658,Come On Over,1999-09-06," Get a life, get a grip Get away somewhere, take a trip Take a break, take control Take advice from someone you know   Come on over, come on in Pull up a seat, take a load off your feet Come on over, come on in You can unwind, take a load off your mind   Make a wish, make a move Make up your mind, you can choose When you're up, when you're down When you need a laugh come around   Come on over, come on in Pull up a seat, take a load off your feet Come on over, come on in You can unwind, take a load off your mind   Oh, oh, oh   Be a winner, be a star Be happy to be who you are Got to be yourself, gotta make a plan Got to go for it while you can   Come on over, come on in Pull up a seat, take a load off your feet Come on over, come on in You can unwind, take a load off your mind   Get a life, get a grip Get away somewhere, take a trip Take a break, take control Take advice from someone you know   Come on over, come on in Pull up a seat, take a load off your feet Come on over, come on in You can unwind, take a load off your mind   Oh, oh, oh",0.93,0,4,0,0,4,0,8,0,6,4
8,/songs/430464,Shania Twain,Crime Of The Century,https://genius.com/Shania-twain-crime-of-the-century-lyrics,http://api.genius.com/songs/430464,Shania Twain,1993-04-20," I was into being out on my own I could take love or leave it alone That's how you get when you're hurt to the bone One too many times I had this heart of mine locked away I kept my guard up night and day I had enough of the games they play out there on the line   It was the crime of the century You played robin hood and rescued me Ali baba and the forty thieves Ain't got nothing on you You came on like jesse james You stole my heart like you were robbing trains I'm gonna lock you up for life with me It was the crime of the century   You stacked the deck, you didn't gamble at all You knew exactly how the cards would fall You bet your heart, but as i recall I didn't even stand a chance I bet you had an ace up your sleeve An' here i thought that you were so naive You took my hand an' made me believe In love an' real romance   And if i live to be a hundred and one Honey, don't you think that it would be fun To do it all over again   I'm gonna lock you up and throw away the key It was the crime of the century It was love in the third degree It was the crime of the century",0.9182,7,4,2,5,5,11,11,5,4,4
9,/songs/430433,Shania Twain,Dance With The One That Brought You,https://genius.com/Shania-twain-dance-with-the-one-that-brought-you-lyrics,http://api.genius.com/songs/430433,Shania Twain,1993-07-13, Well he shines like a penny in a little kid's hand When he's out on a saturday night He's a real go-getter and the best two-stepper you'll see But when i'm sitting alone at a table for two Cause he's already out on the floor I think about something that my mama used to say to me   You got to dance with the one that brought you Stay with the one that want's you The one who's gonna love you when all of the others go home Don't let the green grass fool you Don't let the moon get to you Dance with the one that brought you and you can't go wrong   He's got his old best buddies and his new best friends And all the girls give him the eye He's a good time charlie and the life of the party tonight But when i think about another well i don't think twice Cause there'll never be another like him I know he really loves me and i think maybe mama was right   You've got to dance with the one that brought you And you can't go wrong,0.9941,0,3,1,0,9,3,14,0,1,11
10,/songs/430760,Shania Twain,Don't!,https://genius.com/Shania-twain-dont-lyrics,http://api.genius.com/songs/430760,Greatest Hits ,2005-01-17," Don't Don't you wish we'd tried? Do you feel what I feel inside? You know our love is stronger than pride Don't No, don't Don't let your anger grow Just tell me what you need me to know Please talk to me—don't close the door ‘Cause I wanna hear you Wanna be near you   Don't fight, don't argue Just give me the chance to say that I'm sorry Just let me love you Don't turn me away Don't tell me to go   Don't Don't give up on trust Don't give up on me—on us If we could just hold on long enough, mmm We can do it We'll get through it   Don't fight, don't argue Just give me the chance to say that I'm sorry Just let me love you Don't turn me away Don't tell me to go   Don't pretend that it's okay Things won't get better that way And don't do something you might regret someday Don't Don't give up on me Oh, don't We can do it We'll get through it   Don't fight, don't argue Just give me the chance to say that I'm sorry Just let me love you Don't turn me away Don't tell me to go, no Don't fight, don't argue Don't give up on me Give me the chance to say that I'm sorry Say that I'm sorry Just let me love you Don't give up on me Don't turn me away Don't tell me to go, no Don't fight, don't argue Give me the chance to say that I'm sorry Just let me love you Don't give up on me Don't turn me away Don't tell me to go, no",0.9916,11,2,0,5,8,13,46,1,5,39
11,/songs/430641,Shania Twain,Don't Be Stupid (You Know I Love You),https://genius.com/Shania-twain-dont-be-stupid-you-know-i-love-you-lyrics,http://api.genius.com/songs/430641,Come On Over,1997-11-11," Cool Yeah Uh-uh, yeah   You're so complicated You hang over my shoulder when I read my mail I don't appreciate it When I talk to other guys You think they're on my tail I get so aggravated when I get off the phone And get the third degree I'm really feelin' frustrated Why don't you take a pill and put a little trust in me? And you'll see   Don't freak out until you know the facts Relax   Don't be stupid, you know I love you Don't be ridiculous, you know I need you Don't be absurd, you know I want you Don't be impossible   I'm mad about you (I'm mad about you) Can't live without you (can't live without you) I'm crazy about you (I'm crazy about you) So don't be stupid, you know I love you   Stop overreacting You even get suspicious when I paint my nails It's definitely distracting The way you dramatize every little small detail   Don't freak out until you know the facts Relax, max   Don't be stupid, you know I love you Don't be ridiculous, you know I need you Don't be absurd, you know I want you Don't be impossible No, no   I'm mad about you (I'm mad about you) I can't live without you (can't live without you) I'm crazy about you (I'm crazy about you) So don't be stupid, you know I love you   Don't be stupid My baby   I'm mad about you (I'm mad about you) Can't live without you (can't live without you) I'm crazy about you (I'm crazy about you) So don't be stupid, you know I love you   Don't be stupid, you know I love you Don't be ridiculous, you know I need you Don't be absurd, you know I want you Don't be impossible, impossible Oh, no, no, no   Don't be, don't be, don't be, baby Don/t be rediculous No, no Oh, don't me stupid",0.9917,19,3,9,12,8,36,38,16,0,30
12,/songs/430725,Shania Twain,Forever and for Always,https://genius.com/Shania-twain-forever-and-for-always-lyrics,http://api.genius.com/songs/430725,Up!,2003-04-07," In your arms I can still feel the way you want me when you hold me I can still hear the words you whispered when you told me I can stay right here forever in your arms   And there ain't no way I'm letting you go now And there ain't no way And there ain't no how I'll never see that day   'Cause I'm keeping you forever and for always We will be together all of our days Wanna wake up every morning to your sweet face Always Mmmm, baby   In your heart I can still hear a beat for every time you kiss me And when we're apart I know how much you miss me I can feel your love for me in your heart   And there ain't no way (ain't no way) I'm letting you go now And there ain't no way (ain't no way) And there ain't no how I'll never see that day   'Cause I'm keeping you forever and for always We will be together all of our days Wanna wake up every morning to your sweet face Always   Oh Yeah Wanna wake up every morning Oh   In your eyes (I can still see the look of the one) I can still see the look of the one who really loves me (I can still feel the way that you want) The one who wouldn't put anything Else in the world above me (I can still see love for me) I can still see love for me in your eyes (I still see the love)   And there ain't no way (ain't no way) I'm letting you go now And there ain't no way (ain't no way) And there ain't no how I'll never see that day   'Cause I'm keeping you forever and for always We will be together all of our days Wanna wake up every morning to your sweet face I'm keeping you forever and for always We will be together all of our days Wanna wake up every morning to your sweet face I'm keeping you forever and for always   Oh I'm keeping you forever Got to keep you, baby Forever In your arms",0.9939,0,6,0,0,12,0,13,0,5,5
13,/songs/430451,Shania Twain,Forget Me,https://genius.com/Shania-twain-forget-me-lyrics,http://api.genius.com/songs/430451,Shania Twain,1993-07-13," Don't go around talkin' to your friends about me Bury the past, just let it rest in peace Leave well enough alone Treat me like someone you've never known   Forget me Like you forgot to come home at night Forget me Like you forgot to hold me tight (Well) now you're sorry, now you cry But don't you wipe those tears Till your memories run dry Please forget me   Don't let the lonely days remind you of anything Oh baby try to erase the fact we had everything No you can't come back this time So let me slip right out of your mind   Cause i forgot to forgive and forget So just pretend we never met   Baby, please forget me Forget me",0.3441,2,3,2,3,5,13,10,5,3,7
14,/songs/430657,Shania Twain,From This Moment On,https://genius.com/Shania-twain-from-this-moment-on-lyrics,http://api.genius.com/songs/430657,Come On Over,1998-03-14," I do swear that I'll always be there I'd give anything and everything and I will always care Through weakness and strength, happiness and sorrow For better for worse, I will love you With every beat of my heart  [Verse 1: Shania Twain, Bryan White, Both] From this moment life has begun From this moment, you are the one Right beside you is where I belong From this moment on From this moment I have been blessed I live only for your happiness And for your love, I'd give my last breath From this moment on  [Chorus 1: Shania Twain, Bryan White, Both] I give my hand to you with all my heart I can't wait to live my life with you, can't wait to start You and I will never be apart My dreams came true because of you  [Verse 2: Shania Twain & Bryan White] From this moment, as long as I live I will love you, I promise you this There is nothing I wouldn't give From this moment on Ohh  [Chorus 2: Shania Twain, Bryan White, Both] You're the reason I believe in love And you're the answer to my prayers from up above All we need is just the two of us My dreams came true because of you  [Verse 3: Shania Twain & Bryan White] From this moment as long as I live I will love you, I promise you this There is nothing I wouldn't give From this moment  [Outro: Shania Twain, Bryan White, Both] I will love you (I will love you) as long as I live From this moment on (on) Mmm, mmm",0.9958,0,15,0,2,20,5,25,2,0,12
