,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/86715,Shinedown,45,https://genius.com/Shinedown-45-lyrics,http://api.genius.com/songs/86715,Leave a Whisper,2003-05-27," Send away for a priceless gift One not subtle, one not on the list Send away for a perfect world One not simply so absurd In these times of doing what you're told Keep these feelings, no one knows   Whatever happened to the young man's heart? Swallowed by pain, as he slowly fell apart   And I'm staring down the barrel of a .45 (.45) Swimming through the ashes of another life (another life) No real reason to accept the way things have changed Staring down the barrel of a .45   Send a message to the unborn child ""Keep your eyes open, for a while In a box high up on the shelf Left for you, no one else There's a piece of a puzzle known as life Wrapped in guilt, sealed up tight""   Whatever happened to the young man's heart? Swallowed by pain, as he slowly fell apart   And I'm staring down the barrel of a .45 (.45) Swimming through the ashes of another life (another life) No real reason to accept the way things have changed Staring down the barrel of a .45   Everyone's pointing their fingers Always condemning me And nobody knows what I believe I believe   And I'm staring down the barrel of a .45 (.45) And I'm swimming through the ashes of another life (another life) There is no real reason to accept the way things have changed Staring down the barrel of a .45 And I'm staring down the barrel of a .45 (woah) Swimming through the ashes of another life (woah) There is no real reason to accept the way things have changed (woah) Staring down the barrel of a .45 (.45)   .45 Staring down the barrel of a .45",-0.504,1,7,2,3,6,21,15,6,4,6
1,1,/songs/572009,Shinedown,Adrenaline,https://genius.com/Shinedown-adrenaline-lyrics,http://api.genius.com/songs/572009,Amaryllis,2013-08-13," Give me the wheel, so we can move a little faster I make it real, I'm not a glorious disaster What part of living says you gotta die? I plan on burning through another nine lives One more for measure, that's ten for the soul That never sleeps, so are you ready to go?   Bloodshot against the clear blue sky Tick tock, I think the well is running dry My, my I can't lie I need a shot again, that sweet adrenaline Dead scared cause I'm fearless in the head Bang, bang 'Cause the needle's in the red My, my I can't lie I need a shot again, that sweet adrenaline My, my My sweet adrenaline   Crack in the vision, who said the motivation's all wrong? Not your decision, the detonation of a time bomb Which way is up, when your high is low? It's time to find it are you ready to go?   Bloodshot against the clear blue sky Tick tock, I think the well is running dry My, my I can't lie I need a shot again, that sweet adrenaline Dead scared cause I'm fearless in the head Bang, bang 'Cause the needle's in the red My, my I can't lie I need a shot again, that sweet adrenaline My, my My sweet adrenaline   My, my, I just can't lie It's the speed and the sound that I'm dying to try My, my, I just can't lie It's the love of the chase that created the ride   Bloodshot against the clear blue sky Tick tock, I think the well is running dry My, my (My, my) I can't lie (Can't lie) I need a shot again, that sweet adrenaline Dead scared cause I'm fearless in the head Bang, bang 'Cause the needle's in the red My, my (My, my) I can't lie (Can't lie) I need a shot again, that sweet adrenaline My, my (My, my) I can't lie (Can't lie) I need a shot again, that sweet adrenaline My, my (My, my) My sweet adrenaline",0.9809,29,16,20,20,11,32,22,32,25,12
2,2,/songs/2163984,Shinedown,All I Ever Wanted,https://genius.com/Shinedown-all-i-ever-wanted-lyrics,http://api.genius.com/songs/2163984,Leave a Whisper,2003-05-27," I lie here, alone and wonder why That I come alive, just before I have to hide 'Cause I believe I’m losing my nerve But could I ever do, better than this?   'Cause all I've ever wanted, was a place to call my home To shelter me when I am there, and to miss me when I’m gone All I've ever wanted, was a place to call my own Where stars will dance and sun still shines, and the storms feel free to roam   I listen, if only for a while But I can’t decide, if I’m aware that I’m on trial 'Cause I believe I’m losing my nerve But could I ever do, better than this?   'Cause all I've ever wanted, was a place to call my home To shelter me when I am there, and to miss me when I’m gone All I've ever wanted, was a place to call my own Where stars will dance and sun still shines, and the storms feel free to roam   If there’s a way to a remedy then lead me straight to it If there’s a path or a door I missed, then show me now, well show me this   'Cause all I've ever wanted, was a place to call my home To shelter me when I am there, and to miss me when I’m gone All I've ever wanted, was a place to call my own Where stars will dance and sun still shines, and the storms feel free to roam   'Cause all I've ever wanted, was a place to call my home To shelter me when I am there, and to miss me when I’m gone All I've ever wanted, was a place to call my own Where stars will dance and sun still shines, and the storms feel free to roam   Feel free, when I am gone",0.9768,7,10,1,1,14,7,25,3,4,20
3,3,/songs/440314,Shinedown,Amaryllis,https://genius.com/Shinedown-amaryllis-lyrics,http://api.genius.com/songs/440314,Amaryllis,2012-01-01," In a while now I will feel better I’ll face the weather before me In a while now I’ll race the irony And buy back each word of my eulogy All the uninvited tragedies Step outside   Ask yourself now where would you be without Days like this When you finally collide With the moment you can’t forget   So do I remind you of Someone you never met, a lonely silhouette? And do I remind you of Somewhere you wanna be, so far out of reach? Oh oh, I wish you’d open up for me 'Cause I wanna know you Amaryllis Bloom   Stay a while now, undress your colors 'Cause they’re like no others, I’ve ever seen I could get used to your company Step inside   Ask yourself now where would you be without Days like this When you finally collide With the motions you can’t resist   So do I remind you of Someone you never met, a lonely silhouette? And do I remind you of Somewhere you wanna be, so far out of reach? Oh oh, I wish you’d open up for me 'Cause I wanna know you Amaryllis   In a while now I will feel better I will be better...   So do I remind you of Someone you never met, a lonely silhouette? And do I remind you of Somewhere you wanna be, so far out of reach? Oh oh, I wish you’d open up for me 'Cause I wanna know you Amaryllis Bloom Amaryllis Bloom Amaryllis",0.8105,3,6,5,4,5,6,6,5,2,6
4,4,/songs/3693294,Shinedown,ANWTD,https://genius.com/Shinedown-anwtd-lyrics,http://api.genius.com/songs/3693294,ATTENTION ATTENTION,2018-05-04," Keep your hands, where I can see 'em Not gonna lie, I don't think I believe 'em They said you stole the power They said you stormed the tower But the myth don't make the man And these kids don't give a damn So I hope you paid the bill Cause this shit's about to get real   You were gettin' pretty high Ain't nothin' gonna get you down Tell them pretty little lies   Truth, is you look strung out And I ain't takin' it, takin' it Proof beyond a reasonable doubt That you ain't makin' it, makin' it And I've got some questions cause I don't understand Who and when, where and why You tryin' to find a new way to die A new way to die A new way to   Photograph, told you so Not gonna lie, I ain't sold (I ain't sold) They think there's foul play They think you paved the way (paved the way) But you know there's consequences You seem a little defensive (Little defensive) So I hope you got your thrills Cause this shit just got real (shit just got real)   You were gettin' pretty high Ain't nothin' gonna get you down Tellin' pretty little lies   Truth, is you look strung out And I ain't takin' it, takin' it Proof beyond a reasonable doubt That you ain't makin' it, makin' it And I've got some questions cause I don't understand Who and when, where and why You tryin' to find a new way to die A new way to die A new way to   *badass guitar solo*   You were gettin' pretty high Ain't nothin' gonna get you down Tellin' pretty little lies   Truth, is you look strung out And I ain't takin' it, takin' it Proof beyond a reasonable doubt That you ain't makin' it, makin' it And I've got some questions cause I don't understand Who and when, where and why You tried to find a new way to die A new way to die A new way to die Who and when, where and why You tryin' to find a new way to die",-0.9621,10,9,10,13,9,21,25,16,3,26
5,5,/songs/2308848,Shinedown,Asking For It,https://genius.com/Shinedown-asking-for-it-lyrics,http://api.genius.com/songs/2308848,Threat to Survival,2016-04-05," Can I have a moment of your time? Just a single second so you see that indeed we’ll be leaving you behind Far across that line Turn it up so you can hear the bells, crashing through the clouds as it rain down the drain We know all too well, it’s a living hell   Careful what you say and who you say and who you say it to Careful what you say and who you say it to   Maybe you talk too much and you were asking for it, asking for it, asking You can blame bad luck but you were asking for it, asking for it, asking When all is said and done, you need to tie your tongue 'Cause when you spit on everyone You are, you are, you know you're asking for it, asking for it, asking   Caught up in the gutter once again Crashing through the mud, throwing lies, cutting ties 'til the sidewalk ends And the truth begins Power through the point of no return Famously deranged all the same, hope you change if the world is gonna turn It’s none of my concern    Oooh hoo hoo oooh hoo hoo oh Oooh hoo hoo oooh hoo hoo oh   You are, you are, you are, you are, you are, asking for it You are, you are, you are, you are, you are, asking for it   You know you’re asking for it, asking for it You know you’re asking for it, asking!",-0.1386,6,3,8,5,2,7,7,4,2,2
6,6,/songs/2163995,Shinedown,Atmosphere,https://genius.com/Shinedown-atmosphere-lyrics,http://api.genius.com/songs/2163995,Us and Them,2005-10-04," Once I had a halo, but then it caught on fire Once I knew a good man, but he turned into a liar Once I saw a blind man, still looking for his eyes Once I met a bastard, who watched his father die   And now, I'll tell you how I know 'em all   I'm looking down on the atmosphere I took my number and I waited in line I'm not frail from the exposure I'm taking pictures with my mind I'm looking down on the atmosphere I took my number and I waited in line I'm not frail from the exposure I'm taking pictures with my mind   Once I met a leader, born from genocide Once I knew a preacher, to his faith he said goodbye Once I met a good girl, who shows her face no more It's hard to learn your lesson, when you become the whole world's whore   And now, I'll tell you how I know 'em all   I'm looking down on the atmosphere I took my number and I waited in line I'm not frail from the exposure I'm taking pictures with my mind I'm looking down on the atmosphere I took my number and I waited in line I'm not frail from the exposure I'm taking pictures with my mind  Looking down the atmosphere Looking down the atmosphere  I know 'em all   And now, I'll tell you how I know 'em all   Looking down on the atmosphere Looking down on the atmosphere I took my number and I waited in line I'm looking down on the atmosphere",-0.9602,0,4,3,2,3,5,6,2,2,7
7,7,/songs/3578793,Shinedown,ATTENTION ATTENTION,https://genius.com/Shinedown-attention-attention-lyrics,http://api.genius.com/songs/3578793,ATTENTION ATTENTION,2018-05-04," (Attention, attention, an emergency has been reported)   Attention, attention, get down on the floor Don't reach for your pockets, don't run for the door The tension, the tension, it's urgent, it's real The cameras are rolling, the envelopes sealed   Attention attention By the way did I mention   The stories I hear are the stories I tell Like jumpin' over buildings and sneakin' outta hell Intention, retention, it's all in your head That pretty little mistress that’s hidin' in your bed   Attention attention By the way did I mention   Nothin' 'bout me is ordinary My friends all say I'm goin' crazy I don't hear a word that they say 'Cause the voices in my head are legendary But I'll never tell 'em where the bodies are buried Keeps 'em comin' back every day   Oh no, oh no They're just villains in my mind doin' time Oh no, oh no They're just matches burnin' holes in my soul   Attention, attention, 'cause this ain't a stunt The judge is a racist, the jury's corrupt The shelves are all empty but the seats are all filled If you're a shiny new penny, I'm a hundred dollar bill   Attention attention By the way did I mention   Nothin' 'bout me is ordinary My friends all say I'm goin' crazy I don't hear a word that they say 'Cause the voices in my head are legendary But I'll never tell 'em where the bodies are buried Keeps 'em comin' back every day   Oh no, oh no They're just villains in my mind doin' time Oh no, oh no They're just matches burnin' holes in my soul   Attention, attention Attention, attention They're just villains in my mind doin' time   Nothin' 'bout me is ordinary My friends all say I'm goin' crazy I don't hear a word that they say 'Cause the voices in my head are legendary But I'll never tell 'em where the bodies are buried Keeps 'em comin' back every day   Oh no, oh no They're just villains in my mind doin' time Oh no, oh no They're just matches burnin' holes in my soul Oh no, oh no They're just villains in my mind doin' time Oh no, oh no They're just matches burnin' holes in my soul   Attention, attention Attention, attention",-0.9978,10,7,2,14,4,19,38,8,2,14
8,8,/songs/2164010,Shinedown,Begin Again,https://genius.com/Shinedown-begin-again-lyrics,http://api.genius.com/songs/2164010,Us and Them,2005-10-04," Welcome friends, to seconds lost and starts that won't begin To twisted eyes that see inside, rules that always bend A simple task, a see through mask, that questions where and why We shed our skin, to occupy, and keep our peace of mind   Bring only what you need to survive   They burned an image from lines on my face They stole it from the pages that kept my place I stand on the outside, would die to get in I’d crawl inside just to begin again   So unfair, this broken smile that keeps us all aware Of wishful thoughts, and scenes we lost, and times we’ll never share I'll ask you now, to show me how, to fill the circle in What tells us all, there is no fall, and the story never ends   Bring only what you need to survive   They burned an image from lines on my face They stole it from the pages that kept my place I stand on the outside, would die to get in I’d crawl inside just to begin again   They never loved, they never cared I wish you'd understand I'm already dead What would you be? Why would you die? How would you lie? Take something from me! (they burned an image) They took it from me! (they burned an image) They made a demon! (Image) They took it from me! (Image) (Image!)   They burned an image from lines on my face They stole it from the pages that kept my place I stand on the outside, would die to get in I’d crawl inside just to begin again   They burned an image from lines on my face They stole it from the pages that kept my place I stand on the outside, would die to get in I’d crawl inside just to begin again",-0.9897,4,6,7,8,4,17,9,12,1,7
9,9,/songs/1037350,Shinedown,Beyond the Sun,https://genius.com/Shinedown-beyond-the-sun-lyrics,http://api.genius.com/songs/1037350,Us and Them,2005-10-04," Speak to me, so I can understand your tongue You seem rather fragile It's been said, it's cold beyond the sun Have you ever been there?   Communicating thoughts of ways, to never have to speak again Let me be the fire in your hand   Bring what's yours, I'll take what's mine, and meet you on the other side We'll leave a sign so anyone can find us A better place, a sweeter time, we won't need any wings to fly A place beyond the sun   Look for me, the way you would if you were blind Don't be so resistant I've been known, to travel much too fast Is that you in the distance?   Communicating thoughts of ways, to never have to speak again Let me be the fire in your hand   Bring what's yours, I'll take what's mine, and meet you on the other side We'll leave a sign so anyone can find us A better place, a sweeter time, we won't need any wings to fly A place beyond the sun  Sun   Communicating thoughts of ways, to never have to speak again Let me be the fire in your hand   Bring what's yours, I'll take what's mine, and meet you on the other side We'll leave a sign so anyone can find us A better place, a sweeter time, we won't need any wings to fly A place beyond the sun  Sun",0.8466,0,12,0,5,6,7,7,4,9,7
