,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/511110,Sia,Academia,https://genius.com/Sia-academia-lyrics,http://api.genius.com/songs/511110,Some People Have Real Problems,2008-01-08," You can be my alphabet and I will be your calculator And together we'll work out on the escalator I will time you as you run up to down And you'll measure my footsteps as I blow through this town The mean of our heights is divided by the nights Which is timesed by the daggers in the root of all our fights The pass of your poem is to swathe me in your knowing And the beauty of the word is that you don't have to show it   Oh, academia, you can pick me up Soothe me with your words when I need your love   I am a dash and you're a dot When will you see that I am all that you've got? I'm a binary code that you've cracked long ago But to you I'm just a novel that you wish you never wrote I'm greater than X and lesser than Y, so why is it That I still can't catch your eye? You're a cryptic crossword, a song I've never heard While I sit here drawing circles, I'm afraid of being hurt   Oh, academia, you can pick me up Soothe me with your words when I need your love   You're a difficult equation with a knack for heart evasion Will you listen to my proof or will you add another page on? It appears to me the graph has come and stolen all the laughs It appears to me the pen is overanalyzed again And if I am a number, I'm infinity plus one And if you are five words, you are ""afraid to be the one"" And if you are a number, you're infinity plus one And if I am four words then I am ""needing of your love""   Oh, academia, you can pick me up Soothe me with your words when I need your love   Oh, academia, academia, academia Oh, academia, academia, academia",0.9822,4,4,1,8,8,9,25,2,2,13
1,/songs/2892959,Sia,Angel By The Wings,https://genius.com/Sia-angel-by-the-wings-lyrics,http://api.genius.com/songs/2892959,Golden Globes,2016-12-02," Oh so, your wounds they show I know you have never felt so alone But hold on, head up, be strong Oh hold on, hold on until you hear them come Here they come, oh   Take an angel by the wings Beg her now for anything Beg her now for one more day Take an angel by the wings Time to tell her everything Ask her for the strength to stay   Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Oh Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Oh You can, you can do anything, anything You can do anything You can, you can do anything, anything You can do anything You can, you can do anything, anything You can do anything You can, you can do anything, anything You can do anything   Look up, call to the sky Oh, look up and don't ask why, oh   Just take an angel by the wings Beg her now for anything Beg her now for one more day Take an angel by the wings Time to tell her everything Ask her for the strength to stay   Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Oh Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Oh-oh-oh-oh-oh Oh You can, you can do anything, anything You can do anything You can, you can do anything, anything You can do anything You can, you can do anything, anything You can do anything You can, you can do anything, anything You can do anything   You can, you can do anything, anything You can do anything You can, you can do anything, anything You can do anything You can, you can do anything, anything You can do anything You can, you can do anything, anything You can do anything",0.9223,1,6,0,1,4,5,8,5,4,8
2,/songs/547783,Sia,A Situation,https://genius.com/Sia-a-situation-lyrics,http://api.genius.com/songs/547783,OnlySee,1997-01-01,"Well I live here with you In, in a kind of ""yes, will do"" Oh what part of now don't you understand I'm showing you well apparent Yeah I get the bluff if I'll get out No room for three, you, me and your doubts One of us has got to leave And it'll sure be me   And I think we could have a situation We could have a situation  Any reason we can't just settle around now Yeah, ok, and how? Rather than shout and praise [?] with them, not without [?] Oh, what part of our old tune don't you understand I think I made it clear that you're in the mend In the mend   Oh, we could have a situation Oh, we could have a situation",0.9223,1,0,0,1,2,3,5,2,2,5
3,/songs/3526149,Sia,Ask My Mom,https://genius.com/Sia-ask-my-mom-lyrics,http://api.genius.com/songs/3526149,None,2018-10-12,"Can't find my car, I saw it just last night I won't ask mom or dad 'Cause I can find this car all by myself I'll use my eyes, I won't ask those guys I look around like I'm the FBI I know that I can do this It's got to be where I last put it down This living room is one small town  I'm getting warmer I'm getting closer I'm getting hotter I am...  I'm getting near it, here I've got a hunch And it's time for lunch... Now my detective work is done, I want I found that car, it wasn't hard Didn't have to ask my mom",0.6481,0,1,0,0,1,2,1,0,0,1
4,/songs/542614,Sia,Asrep Onosim,https://genius.com/Sia-asrep-onosim-lyrics,http://api.genius.com/songs/542614,OnlySee,1997-01-01," Ort oh'l Otavort oh'l Iel otavort oh'l   Ho trovato lei L'ho trovata Ho trovato lei   Onosim Onosim Asrep onosim   Mi sono persa Scusami, sai dove dovrei andare? Io no Ho trovato lei L'ho trovata Non lo so dove vado Mi sono persa Mi sono persa, yeah Ho trovato lei L'ho trovata   Onosim Onosim Asrep onosim   Ho trovato lei L'ho trovata Ho trovato lei L'ho trovata   Onosim Onosim Asrep onosim  Mi sono persa   Onosim Onosim Asrep onosim   Mi sono persa, yeah Mi sono, mi sono Mi sono persa, yeah Mi sono persa, yeah Mi sono persa, yeah Mi sono persa, yeah Mi sono, mi sono, mi sono",0.8402,0,2,0,0,2,0,2,0,0,2
5,/songs/502169,Sia,Beautiful Calm Driving,https://genius.com/Sia-beautiful-calm-driving-lyrics,http://api.genius.com/songs/502169,Some People Have Real Problems,2008-01-08, Beautiful calm driving Deep sea pearl diving Constantly unwinding Beautiful calm driving   You turned into another You turned into a nutter You turned into another man   You're a stranger to me You're a danger to me You're a stranger to me You're a danger To me   Beautiful calm driving Emotional hiding Effortlessly shining Beautiful calm driving     You're a stranger to me You're a danger to me You're a stranger to me You're a danger to me You're a stranger to me You're a danger to me You're a stranger to me You're a danger to me   (x8) Beautiful calm driving,0.8519,0,1,0,13,6,12,12,6,0,1
6,/songs/2377572,Sia,Beautiful People,https://genius.com/Sia-beautiful-people-lyrics,http://api.genius.com/songs/2377572,None,2013-04-01," Oh Hands out stretch, what you got Give me your best and I won't turn you down Cause you're always out to impress (oh!) You're always out to impress (oh!) You're always out to impress   This is the high life, nothing dragging us through the thorns This is the best time to be young and then reborn Live like we're gonna die Do things we've never done before This is the high life, the high life   No we won't say no Beautiful people say go go go Beautiful people don't stress stress stress They never rest Beautiful people say yes No we won't say no Beautiful people say go go go Beautiful people don't stress stress stress They never rest Beautiful people say yes OH! (oh!)   Hands out stretch, what you got Give me your best and I won't turn you down Cause you're always out to impress Always out to impress Always out to impress   So come come come with me Let's push on 'til the break of dawn I love to party And when I'm with you give me some I've got the view you see Ready set go I drop the bomb This is the high life The high life   No we won't say no Beautiful people say go go go Beautiful people don't stress stress stress They never rest Beautiful people say yes No we won't say no Beautiful people say go go go Beautiful people don't stress stress stress They never rest Beautiful people say yes (Oh, oh, oh, oh)",0.9881,1,4,0,2,15,15,29,2,4,5
7,/songs/548274,Sia,Beautiful Reality,https://genius.com/Sia-beautiful-reality-lyrics,http://api.genius.com/songs/548274,OnlySee,1997-01-01," I sometimes believe that everything I dream Will one day be my reality I sometimes think that every move I make Will gather in shape in my reality   I can only dream I can only hope That one day I will see A beautiful reality I can only wish And I can only want That one day I will see A beautiful reality   I sometimes search for signs my dreams can work Until I stand alert with my reality I sometimes look in paradise by the book To give back what I took from my reality   I can only dream I can only hope That one day I will see A beautiful reality I can only wish And I can only want That I will one day see A beautiful reality I can only dream I can only hope That one day I will see A beautiful reality I can only wish And I can only want That I will one day see A beautiful reality   Beautiful, beautiful reality A beautiful reality Beautiful, beautiful, beautiful, beautiful Beautiful reality",0.9981,0,3,0,0,17,0,18,0,3,3
8,/songs/381891,Sia,Be Good To Me,https://genius.com/Sia-be-good-to-me-lyrics,http://api.genius.com/songs/381891,We Are Born,2010-06-18," He said, Darling don't forget There is sweetness left on earth for you and me He says, Honey, no regrets We just do our best and die I just wanna cry cause you'll be   Be good to me, be good to me I need you now more than ever oh ooooh I'm faithful, me, and when you're down I'll be around, I'll be your every weather   He says, this is just today It will be okay, and I, I am listening He says, you can trust in me You'll get all you'll need and how can I doubt you? Cause you'll be   Be good to me, be good to me I need you now more than ever oh ooooh I'm faithful, me, and when you're down I'll be around, I'll be your every weather   You know what you do to me You light up Light up the dark and You're all the good within me My heart is filled, rebuilt   Be good to me, be good to me I need you now more than ever oh ooooh I'm faithful, me, and when you're down I'll be around, I'll be your every weather Be good to me, be good to me I need you now more than ever oh ooooh I'm faithful, me, and when you're down I'll be around, I'll be your every weather Be good to me, be good to me I need you now more than ever oh ooooh I'm faithful, me, and when you're down I'll be around, I'll be your every weather Be good to me, be good to me I need you now more than ever oh ooooh I'm faithful, me, and when you're down I'll be around, I'll be your every weather",0.9951,0,13,0,2,14,5,23,5,13,23
9,/songs/381902,Sia,Big Girl Little Girl,https://genius.com/Sia-big-girl-little-girl-lyrics,http://api.genius.com/songs/381902,We Are Born,2010-06-18," Big girl, little girl, you're a ripcurl Tearing your way through this huge swirl I know you're mad, you're on a war path You know you don’t want to bury no more   Friends Then we could be friends I wish that we were friends But you can't stop, stop seeing us as the enemy   Big girl, it's hell being unwell You know you're stuck where you fell Your words give birth like Rosemary You know you don’t want to bury no more   Friends Then we could be friends I wish that we were friends But you can't stop, stop seeing us as the enemy Friends Then we could be friends I wish that we were friends But you can't stop, stop seeing us as the enemy   Can't bury more friends Then we could be friends I wish that we were friends But you can't stop, stop seeing us as the enemy   Friends Then we could be friends I wish that we were friends But you can't stop, stop seeing us as the enemy   You know with every cruel word that you utter That you bury yourself even deeper every day Oh little girl, theres enough love in this circle You can shackle yourself or be free from this pain You know with every cruel word that you utter That you bury yourself even deeper every day Oh little girl, theres enough love in this circle You can shackle yourself or be free from this pain You know with every cruel word that you utter That you bury yourself even deeper every day Oh little girl, theres enough love in this circle You can shackle yourself or be free from this pain",0.9957,13,4,13,18,19,19,25,19,0,22
