,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/280379,Skrillex,All I Ask Of You,https://genius.com/Skrillex-all-i-ask-of-you-lyrics,http://api.genius.com/songs/280379,Scary Monsters and Nice Sprites,2010-10-23," In comes the dawn I've fallen asleep with my head pressed against your flaws Oh my love (Oh my love) And something got in the way And your soul turned black as the sun grows somber Took my heart, and my love   All I ask of you, all I ask of you Just open up a little bit more All I ask of you, all I ask of you Just open up a little bit more   Just open up a little bit more Just open up a little bit more (A little bit more)   All I ask of you, all I ask of you Just open up a little bit more Just open up a little bit more All I ask of you, all I ask of you   Just open up a little bit more Just open up a little bit more (A little bit more)   All I ask of you, all I ask of you Just open up a little bit more Just open up a little bit more All I ask of you, all I ask of you",0.6249,0,2,0,0,5,3,5,3,2,2
1,/songs/389826,Skrillex,All is Fair in Love and Brostep,https://genius.com/Skrillex-all-is-fair-in-love-and-brostep-lyrics,http://api.genius.com/songs/389826,Recess,2014-03-14," To get a thousand miles from the earth A rocket would need this much power It would take far more than a human lifetime But a space station might look something like this  To get a thousand miles from the earth A rocket would need this much power This much power This much power This much power This much power   (When dem) si we a bun dem up and load den we enta Buss up di place, people all let off rockas Mi kinda know dem ya yute have no fiya Practically fit fi energy an de powa Check seh we a fren, dem mussy check seh we a star All up na mi face, now get ready fi di war Put bullet pon a punk a di mac-10 bizarre Mad like a lion, now a time fi wi roar   To get a thousand miles from the earth A rocket would need this much power This much power, this much power, this much power   Practically fit fi energy an de powa Practically fit fi energy an de powa   Ba-ba-ba-ba-ba-ba-badboy lyricist, big entertaina Coming up di place mon yuh know wi all retain here All of di crew betta jump up seh booya Some of dem will scream and some of dem will holla Now we get hot, a long time we get warm We’re bad bad bad bad biddie biddie bad bad bad from we born When Ragga Twins comin' up they ring di alarm Wid dis one coming like a  [Bridge: Ragga Twins, Zomboy & Skrillex] It's fucking (haha!) Practically fit (stop!) Many types of animals are used in the various... Back motherf-- Guess who's back motherf-- Back motherf-- Guess who's back motherf--   Ba-ba-badboy lyricist, big entertaina Coming up di place mon yuh know wi all retain here All of di crew betta jump up seh booya Some of dem will scream and some of dem will holla Now we get hot, a long time we get warm We’re bad bad bad bad biddie biddie bad bad bad from we born When Ragga Twins comin' up they ring di alarm Wid dis one coming like a desert storm   To get a thousand miles from the earth A rocket would need this much power It would take far more than a human lifetime But a space station might look something like this  To get a thousand miles from the earth A rocket would need this much power This much power This much power This much power This much power   Rocket would need this much power It would take far more than a human lifetime",-0.9961,27,11,18,22,3,23,7,16,7,5
2,/songs/81107,Skrillex,Bangarang,https://genius.com/Skrillex-bangarang-lyrics,http://api.genius.com/songs/81107,Bangarang,2011-12-23," Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys   Bangarang! (Bass!) Bangarang! You feel the...? Bangarang! You feel (Bass!) Bangarang! You feel the...? Bangarang! You feel the (Bass!)   My lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys Bangarang! Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout   Bangarang! (Bass!) You feel the...? You feel the...? You feel the...? Bangarang! (Bass!)   Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We... Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys Bangarang!   Shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys   Bangarang! (Bass!) You feel the...? You feel the...? Bangarang! You feel the...? Bangarang! You feel the...?   ""Hey, still ain't got my marbles, but I got these beats banging out the back of my toy car."" ""Aye, yo! I'm eating fun-dip right now, not giving a fuck.""",-0.9847,28,1,28,0,1,65,3,28,28,0
3,/songs/4127847,Skrillex,Bangarang VIP,https://genius.com/Skrillex-bangarang-vip-lyrics,http://api.genius.com/songs/4127847,None,2013-01-01, Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We’re rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy We're rowdy We’re rowdy Sh-sh-sh-sh-sh-shout to all my lost boys   Sh-sh-sh-sh-sh-shout to all my lost boys Rowdy Rowdy Rowdy Rowdy Rowdy Rowdy Rowdy We're rowdy Sh-sh-sh-sh-sh-shout to all my lost boys   Bangarang! (Bass!) Bangarang! You feel the...? Bangarang! You feel (Bass!) Bangarang! You feel the...? Bangarang! You feel the (Bass!)   Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy Shout to all my lost boys Sh-sh-sh-sh-sh-shout to all my lost boys We're rowdy We’re rowdy We’re rowdy Sh-sh-sh-sh-sh-shout to all my lost boys Tell them to shut the fuck up   You feel the...? You feel the...? You feel the...? Bass!,-0.9956,28,0,28,0,0,77,0,28,28,0
4,/songs/1851705,Skrillex,Breathe,https://genius.com/Skrillex-breathe-lyrics,http://api.genius.com/songs/1851705,None,2017-09-14," Baby when you leave I hold nothing back Weapons up my sleeve Like I'm under attack So cover up your ears Cause it only fuels the fire I'll be what you fear I'm the answer of your desire   I touch the sky-y-y (Your heart is) I touch the sky-y-y (Your heart is) I touch the sky-y-y (Your heart is) I touch the sky-y-y (Your heart is)   If you could hear me now, why don't you recall? I was the one who cared after all   I touch the sky Let the light in my face Pierce through my skin Gone with the wind I touch the sky Let it fade into grey Burst through the seams I'm on the wing   I touch the sky I touch the sky I touch the sky I touch the sky   I touch the sky-y-y (Your heart is) I touch the sky-y-y (Your heart is) I touch the sky-y-y (Your heart is) I touch the sky-y-y (Your heart is)",0.1793,2,0,0,3,1,4,16,1,1,2
5,/songs/378485,Skrillex,Coast Is Clear,https://genius.com/Skrillex-coast-is-clear-lyrics,http://api.genius.com/songs/378485,Recess,2014-03-14," Ayo Peter!   What are the odds we'd even meet? What does it mean? It's meant to be Why hug a wall? Why hold a seat? Not for nothin' but it ain't nothin' for us to dip out this club right now Shhh, I think the coast is clear, let's go Leave our coats and beers, let's go Leave your girlfriends here, let's go Leave your hopes and fears, let's go What you scared for? Let's go, let's go, let's go, let's go   What's your interest are? Who you be with? Can I ask a question? Can you keep a secret? I don't really give a what! What I need to know is Do you wanna fuck? Do you wanna fuck? Do you wanna fuck? Do you wanna fuck? What's your interest are? Who you be with? Can I ask a question? Can you keep a secret? I don't really give a what! What I need to know is Do you wanna fuck? Do you wanna fuck? Do you wanna fuck? Do you wanna fuck? What's your interest are? Who you be with? Can I ask a question? Can you keep a secret? I don't really give a what! What I need to know is Do you wanna fuck? Do you wanna fuck?  (Let's blow this popsicle stand)   What are the odds we'd even meet? What does it mean? It's meant to be Why hug a wall? Why hold a seat? Not for nothin' but it ain't nothin' for us to dip out this club right now Shhh, I think the coast is clear, let's go Leave our coats and beers, let's go Leave your girlfriends here, let's go Leave your hopes and fears, let's go What you scared for? Let's go, let's go, let's go, let's go   What's your interest are? Who you be with? Can I ask a question? Can you keep a secret? I don't really give a what! What I need to know is [Do you wanna? Do you wanna? Do you wanna? Do you wanna? What's your interest are? Who you be with? Can I ask a question? Can you keep a secret? I don't really give a what! What I need to know is Do you wanna fuck? Do you wanna fuck? Do you wanna fuck? Do you wanna fuck? What's your interest are? Who you be with? Can I ask a question? Can you keep a secret? I don't really give a what! What I need to know is [Do you wanna fuck? Do you wanna fuck? Do you wanna fuck? Do you wanna fuck?   Dance like it hurts to stand still   What's your interest are? Who you be with? Can I ask a question? Can you keep a secret? I don't really give a what! What I need to know is [Do you wanna fuck? Do you wanna fuck? Do you wanna fuck? Do you wanna fuck?] What's your interest are? Who you be with? Can I ask a question? Can you keep a secret? I don't really give a what! What I need to know is Do you wanna fuck? Do you wanna fuck? Do you wanna fuck? Do you wanna fuck?",-0.9985,3,2,0,3,7,9,33,7,8,21
6,/songs/3269363,Skrillex,Concentrical,https://genius.com/Skrillex-concentrical-lyrics,http://api.genius.com/songs/3269363,Bells,2008-03-25," I want to be fit To take your breath and exhale a resolution I want to be fit To sing along with a pair of sunset lungs   Where do you walk? Where do I taste the wind behind you? I lose my veil In hopes that you will stare right through me   I can hear you crying for that halo That isn't even yours for you to lose And you tell me that you're bound to your circle Concentrical, concentrical   Toss me like a rope And hopefully you'll have their approval Inside your imitation that I loath With the bad hands and the callow knees   All suckers for the taste of illusion For you to love and cradle I lose my faith In hopes that you will stare right through me   I can hear you crying for that halo That isn't even yours for you to lose And you tell me that you're bound to your circle Concentrical, concentrical   My fate, my brother Can you excuse my lack of company? Can you excuse my lack of me? My soul, my love for Can you excuse my lack of company? Can you excuse my lack of me?  I am a fool to have not known as the limping walk But I'm not willing to blame, but I'm not willing to blame I am a fool to have not known as the limping walk But I'm not willing to blame, but I'm not willing to blame   I can hear you crying for that halo That isn't even yours for you to lose Now you tell me that you're bound to your circle Concentrical, concentrical   Kiss your son, now kiss your bible Now plead Jesus through your notes Kiss your son, kiss your bible Now plead Jesus through your notes",0.9174,12,11,12,6,11,31,14,10,12,6
7,/songs/3268393,Skrillex,Copaface,https://genius.com/Skrillex-copaface-lyrics,http://api.genius.com/songs/3268393,Bells,2008-03-25," I'm quick learning lessons from the devil But can't decide whether I arrived or was contrived I view so many faces from the tower, up above Neglected inner wants and hungers for what I love  Cluttered bunched black-eyed and voiceless I fill up the sugar cup to stay up all night in my black, up above My face is a moon full of craters with crummy eyes And cyst-thighs, a perfect beacon for the fictionettes  Who spread their legs wide open on the plasma Embodiments of everything I hide about myself, today Today, today...   Hips rashed, elastic, crowded Barely wrenched into my upmost ambition for attraction So I nurse fellow wilted and the withered Shallow love, smut love, our love in my black, up above  My face is a room full of mirrors with crummy eyes And blistered thighs, a bent brain full of lies A beacon for the fiction body voodoo Embodiments in morbid tense misplace your grace  To chase your copaface Copaface Copaface Copaface",0.9771,4,4,6,4,6,13,17,8,0,6
8,/songs/1230100,Skrillex,Copaface2,https://genius.com/Skrillex-copaface2-lyrics,http://api.genius.com/songs/1230100,Gypsyhook - EP,2009-04-07," Copaface, oh Copaface, now find my way back home Copaface, oh Copaface, now find my way back home   How I crave the way the world spins under me But I sleep, instead I grip a shallow shake with crippled company Who speak in my head  The more messes I made The closer I came home from my roam Understood are few So, I'm speaking in simple tongue   Copaface, oh Copaface, now find my way back home Copaface, oh Copaface, now find my way back home   How I crave the world kept spinning Though, I dream instead South shallow song my box is closing Over my head  Binge, purge all day Fuck strangers I'll never know, how cold Understood are few So, I'm speaking in difficult tongue   Copaface, oh Copaface, now find my way back home Copaface, oh Copaface, now find my way back home",-0.8201,0,2,1,3,0,5,0,1,0,0
9,/songs/274218,Skrillex,DNB Ting,https://genius.com/Skrillex-dnb-ting-lyrics,http://api.genius.com/songs/274218,None,2017-09-14," I got flow'ns I'm amazing, Calama tension, every time I'm the dancin' I'm in the ringing, I've got flow main champion, I'm in the rappin' dem if I'm on the big team and then I'm in the center   I'm a root wire I'm a root wire I'm a glitch   I got flow'ns I'm amazing, Calama tension, every time I'm the dancin' I'm in the ringing, I've got flow main champion, I'm in the rappin' dem if I'm on the big team and then I'm in the center   I'm a root wire I'm a root wire I'm a glitch",0.9153,2,4,0,0,2,0,10,0,0,6
