,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/1436505,Snow Patrol,Absolute Gravity,https://genius.com/Snow-patrol-absolute-gravity-lyrics,http://api.genius.com/songs/1436505,Songs for Polarbears,1998-08-31," Her gravity makes me feel light-headed Small-talk turns to dust in my mouth She doesn't know that I'm already Thinking 'bout how I'm gonna make her look my way   But she smiles at herself in mirrors A little too often these days, maybe I'm unbalanced   The way she walks my god she'd get it All my friends reckon she is oh so fine But the way I talk when I'm speaking near her She must think I crawled out of the sea today   But she smiles at herself in mirrors A little too often these days, maybe I'm unbalanced",1,1,0,1,4,3,7,0,3,4,0.9593
1,1,/songs/3569898,Snow Patrol,A Dark Switch,https://genius.com/Snow-patrol-a-dark-switch-lyrics,http://api.genius.com/songs/3569898,Wildness,2018-05-25," Your hands found a dark switch in me That I, that I didn't know existed The lost tribes in the back of my brain Making fires from wood they've stacked for years in secret   Don't give me more than I can handle Don't give me more than I can take Don't give me more than I can handle Oh, hell, just give me all you've got in every way   This is not like it was before Baby, I'm not afraid Some things fall when they're meant to fall And you can see everything   Who knew when you brought me your storm Who knew, who knew that I would like it The small town of my mind as it was Now a city, wreaking havoc, stretching endless   Don't give me more than I can handle Don't give me more than I can take Don't give me more than I can handle Oh, hell, just give me all you've got in every way   This is not like it was before Baby, I'm not afraid Some things fall when they're meant to fall And you can see everything  It's not like it was before Some things fall when they're meant to fall It's not like it was before Some things fall when they're meant to fall  This is not like it was before Baby, I'm not afraid Some things fall when they're meant to fall And you can see everything  This is not like it was before Baby, I'm not afraid Some things fall when they're meant to fall And you can see everything",5,0,2,9,6,23,12,17,0,10,-0.9802
2,2,/songs/1351256,Snow Patrol,Ask Me How I Am,https://genius.com/Snow-patrol-ask-me-how-i-am-lyrics,http://api.genius.com/songs/1351256,When It's All Over We Still Have to Clear Up,2002-11-20," Hey your ride to your ride, hey your ride to your ride Hey your ride to your ride, hey your ride to your ride   Has nobody asked you how you are? You look like you might not last the day I wouldn't have made it very far So we'd make a good team right away I've not made amends for yesterday My lip won't get me out of it Waking up dreading hearing tales Of all of my nightmares being true   Hey your ride to your ride, hey your ride to your ride Hey your ride to your ride, hey your ride to your ride   Has nobody asked you how you are? You look like you might not last the day I wouldn't have made it very far So we'd make a good team right away I've not made amends for yesterday My lip won't get me out of it Waking up dreading hearing tales Of all of my nightmares being true I take a breath and grab the phone Secretly hoping you're not home I'd leave a message I was out Out of my mind on drink and drugs   Hey your ride to your ride, hey your ride to your ride Hey your ride to your ride, hey your ride to your ride Hey your ride to your ride, hey your ride to your ride Hey your ride to your ride, hey your ride to your ride",1,2,0,4,4,6,8,1,3,6,0.9088
3,3,/songs/3569900,Snow Patrol,A Youth Written in Fire,https://genius.com/Snow-patrol-a-youth-written-in-fire-lyrics,http://api.genius.com/songs/3569900,Wildness,2018-05-25, Remember the first time we got high We felt like the rampart lion's roar We were elastic and then we were healed Healed in the blinking of an eye   And then when the dawn cracked over us The day wouldn't hit us hard at all We could ride the morning into night again We knew the days were there to waste   But these days That light hit so heavy And those days Feel like another life   This isn't like the first time anymore And I've been chasing that too long Digging for the lost memories Of a youth written in fire You've always said it's not too late for me Well I sure am listening to you now Believe in me so I can trust myself 'Cause there's a first time for that too   Remember the first time that we kissed - It felt like a planet forming Though we were just novices at this - It felt like an ancient wisdom There was lightning then and those songs were all proved true No wonder I still think so much about you   But these days My heart feels too heavy And those days Are someone else's life   This isn't like the first time anymore And I've been chasing that too long Digging for the lost memories Of a youth written in fire You've always said it's not too late for me Well I sure am listening to you now Believe in me so I can trust myself 'Cause there's a first time for that too,6,12,1,7,4,9,6,4,4,5,0.9882
4,4,/songs/1420615,Snow Patrol,Batten Down the Hatch,https://genius.com/Snow-patrol-batten-down-the-hatch-lyrics,http://api.genius.com/songs/1420615,When It's All Over We Still Have to Clear Up,2001-03-05, Batten down the hatch 'Cause we're all coming in Like uninvited guests Romancing everything Keep your hands away From what you can't afford We don't think that we'll stay Now that you look bored   God only knows What Brian Wilson meant Pick out your clothes With some real intent You don't seem to care That I've been waiting here Pulling out my hair For you to come My dear   I'll go all the way As long as you go first Running all this way Has given me a thirst Believe in what you want As long as you can see What's right in front of you I guess that that's just me,0,5,0,1,1,0,7,2,2,4,0.6977
5,5,/songs/927602,Snow Patrol,Black and Blue,https://genius.com/Snow-patrol-black-and-blue-lyrics,http://api.genius.com/songs/927602,When It's All Over We Still Have to Clear Up,2001-03-05," Blood red lips like soft intentions Kiss my eyes, they're black and blue Even if I shouldn't be here I cannot help myself with you There's something that I should have told you We won't get a second chance Just one night is all we'll spend Together and it's killing me, she ree-ee-ee...   She rescues me, she rescues me, she rescues me, she rescues me She rescues me, she rescues me, she rescues me, she rescues me She rescues me, she rescues me, she rescues me, she rescues me She rescues me, she rescues me, she rescues me, she ree-ee-ee...",1,16,0,1,16,2,16,3,17,15,0.9761
6,6,/songs/1774481,Snow Patrol,Brave,https://genius.com/Snow-patrol-brave-lyrics,http://api.genius.com/songs/1774481,None,2006-05-01,"Without a word you threw up on my shoulder I shot up from my seat in disgust I've been talking to someone with my back To your sickness until right now Later you'd say the ground swallowed you up I'd say no, that's the drugs you were on  If only ice cream didn't melt If only we laughed every day If only closing time was myth If only we hat one more hour  And I cringed when I said something stupid But you laughed anyway which was nice And to fall down the stairs in the art school And to wake us and curse that I drank  If only aeroplanes made sense If only trees breathed more than us If only Belfast caught the sun If only we had one more hour",4,5,4,4,4,6,7,6,5,6,-0.0772
7,7,/songs/469084,Snow Patrol,Called Out In The Dark,https://genius.com/Snow-patrol-called-out-in-the-dark-lyrics,http://api.genius.com/songs/469084,Fallen Empires,2011-09-02," It's like we just can't help ourselves Cause we don't know how to back down We were called out to the streets We were called out to the towns How the heavens they opened up Like arms of dazzling gold With our rain-washed histories Well, we do not need to be told   Show me now, show me the arms aloft Every eye, trained on a different star This magic, this drunken semaphore, and I   We are listening and we're not blind This is your life, this your time We are listening and were not blind This is your life, this is your time   I was called out in the dark By a choir of beautiful cheats And as the kids took back the parks You and I were left with the streets   Show me now, show me the arms aloft Every eye, trained on a different star This magic, this drunken semaphore, and I   We are listening and we're not blind This is your life, this your time We are listening and were not blind This is your life, this is your time  We are listening and we're not blind This is your life, this is your time We are listening and we're not blind This is your life, this is your time",1,8,3,0,4,9,6,1,0,8,0.9595
8,8,/songs/1602642,Snow Patrol,Cartwheels,https://genius.com/Snow-patrol-cartwheels-lyrics,http://api.genius.com/songs/1602642,Up to Now,2009-10-23,My wounds are nicely slated dear I never got to thank you right I was finished way before I could see Quite what you had in mind for me  I'm doing cartwheels  Now the pessimism in me yawns As I'm pissing on their perfect front lawns A voice calls out behind my back And i take off into the grounds  I'm doing Cartwheels  It'll all tie me up into knots  I didn't mean to speak out of turn Now you can sit and watch me squirm Now the party's really in full swing I wish i had a friend I could ring  I'm doing cartwheels  You're really loving this aren't you dear Now you've got me on the ropes out here With nowhere else to run to now Just stay and face the music  It'll all tie me up into knots,2,2,1,3,4,4,7,3,0,4,0.9391
9,9,/songs/1048148,Snow Patrol,Chased By...I Don't Know What,https://genius.com/Snow-patrol-chased-by-i-dont-know-what-lyrics,http://api.genius.com/songs/1048148,When It's All Over We Still Have to Clear Up,2001-03-05," And I'll come running for my life Scramble through these greasy pathways I can't look up for fear of forwards I hear your words reverberate   An easy ride is all you said I was, an easy ride is all you said I was An easy ride is all you said I was, an easy ride is all you said I was   Please try to control your feelings It doesn't make me want you more I'm terrified by every vacant Glance you shoot across my way   An easy ride is all you said I was, an easy ride is all you said I was An easy ride is all you said I was, an easy ride is all you said I was",3,1,2,3,1,3,3,1,1,2,0.9246
