,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/2905788,Sting,"50,000",https://genius.com/Sting-50000-lyrics,http://api.genius.com/songs/2905788,57th & 9th ,2016-11-11,"Another obituary in the paper today One more for the list of those who've already fallen Another one of our comrades is taken down Like so many others of our calling  We tweet our anecdotes, our commentary Or we sing his songs in some sad tribute While the tabloids are holding a story of kiss and tell That he's no longer able to deny or refute  50,000 voices rising every time he'd sing And every word he ever wrote reflecting back to him  How well I remember the stadiums we played And the lights sweeping across a sea of 50,000 souls we'd face A serious drug that you could never kick Or one that you couldn't imagine you'd ever replace  We flew like kites on the wings of amphetamine Secured only to a bass line and a snare drum beat But really what did any of it mean? When there's a higher philosophy in reflection and defeat  50,000 voices rising every time he'd sing And every word he ever wrote reflecting back to him Still believing that old lie, the one that your own face betrays Rock Stars don't ever die, they only fade away  Reflecting now on my own past Inside this prison I've made of myself I'm feeling a little better today Although the bathroom mirror is telling me something else  These lines of stress, one bloodshot eye The unhealthy pallor of a troubled ghost Where did I put my spectacle case? I'm half blind and as deaf as any post  50,000 hands are raised to a man that's just like you and me We create the gods we can and gift them immortality Still believing that old lie, the one that your own face betrays Rock Stars don't ever die, they only fade away",6,14,5,9,12,20,24,12,3,14,-0.9466
1,1,/songs/389564,Sting,A Cradle Song [Bonus Track],https://genius.com/Sting-a-cradle-song-bonus-track-lyrics,http://api.genius.com/songs/389564,None,2010-11-24," Sweet dreams, form a shade Over my lovely infant's head Sweet dreams of pleasant streams By happy, silent, moony beams Sweet sleep, with soft down Weave thy brows an infant crown Sweet sleep, Angel mild Hover over my happy child Sleep, sleep, happy child All creation slept and smiled Sleep, sleep, happy sleep While over thee thy mother weep Sweet babe, in thy face Holy image I can trace Sweet babe once like thee Maker lay and wept for me Wept for me, for thee, for all When He was an infant small Thou His image ever see Heavenly face that smiles on thee Smiles on thee, on me, on all Who became an infant small Infant smiles are His own smiles Heaven and earth to peace beguiles",0,23,0,5,28,4,29,3,18,20,0.9965
2,2,/songs/1524567,Sting,A Day in the Life,https://genius.com/Sting-a-day-in-the-life-lyrics,http://api.genius.com/songs/1524567,None,2010-11-24,"I read the news today oh boy About a lucky man who made the grade And though the news was rather sad I just had to laugh I saw the photograph  He blew is mind out in car He didn't notice that the lights had changed A crowd of people stood and stared They'd seen his face before Nobody was really sure If he was from the house of lords  I saw a film today oh boy The english army had just won the war A crowd of people turned away  But I just had to look Having read the book I'd love to turn you on  Woke up, fell out of bed Dragged a comb across my head Found my way downstairs and drank a cup And looking up I noticed I was late Found my coat and grabbed my hat Made the bus in seconds flat Found my way upstairs and had a smoke Somebody spoke and I went into a dream  I read the news today oh boy Four-thousand holes in blackburn, lancashire And though the holes were rather small they had to count them all Now they know how many holes it takes to fill the albert hall I'd love to turn you on",0,0,4,1,7,9,9,2,2,6,0.9562
3,3,/songs/389353,Sting,After The Rain Has Fallen,https://genius.com/Sting-after-the-rain-has-fallen-lyrics,http://api.genius.com/songs/389353,Brand New Day,1999-09-24," The palace guards are all sleeping Their fires burn into the night There's a threat of rain on the dark horizon And all that's left is a quarter moon of light He climbs up through the darkness No weapon but his surprise The greatest thief in the high Sahara Enters the room where a sleeping princess lies All your money, your pretty necklace This is my work on such a night There's a storm coming over the mountain I'll be gone long before the morning   After the rain has fallen After the tears have washed your eyes You find that I've take nothing, that Love can't replace in the blink of an eye   He was as gentle as the night wind As no lover had been before And the rings she wore for her bride groom Slipped from her fingers and fell to the floor Take me with you, take me with you Before my lonely life is set I've been promised to another To a man I've never even met   After the rain has fallen After the tears have washed your eyes You'll find that I've take nothing, that Love can't replace in the blink of an eye After the thunder's spoken, and After the lightning bolt's been hurled After the dream is broken, there'll Still be love in the world   She said take me to another life Take me for a pirate's wife Take me where the wind blows Take me where the red wine flows Take me to the danger Take me to the life of crime Take me to the stars Take me to the moon while we still have time   After the rain has fallen After the tears have washed your eyes You'll find that I've taken nothing, that Love can't replace in the blink of an eye After the thunder's spoken, and After the lightning bolt's been hurled After the dream is broken, there'll Still be love in the world ",13,10,3,12,11,12,15,9,5,6,-0.9702
4,4,/songs/1754082,Sting,Ain't No Sunshine,https://genius.com/Sting-aint-no-sunshine-lyrics,http://api.genius.com/songs/1754082,None,2010-11-24,"Ain't no sunshine when she's gone It's not warm when she's away Ain't no sunshine when she's gone And she's always gone too long anytime she goes away  Wonder this time where she's gone Wonder if she's gone to stay Ain't no sunshine when she's gone And this house just ain't no home anytime she goes away  And I know, I know, I know, I know, I know I know, I know, I know, I know, I know, I know, I know  I know, I know, I know, I know, I know, I know I know, I know, I know, I know, I know, I know, I know, I know  Hey, I ought to leave the young thing alone But ain't no sunshine when she's gone, only darkness everyday Ain't no sunshine when she's gone And this house just ain't no home anytime she goes away  Anytime she goes away Anytime she goes away Anytime she goes away Anytime she goes away",1,3,0,1,6,2,6,2,2,0,-0.7173
5,5,/songs/241370,Sting,All This Time,https://genius.com/Sting-all-this-time-lyrics,http://api.genius.com/songs/241370,The Soul Cages,1991-01-22," I looked out across the river today Saw a city in the fog and an old church town where the seagulls play Saw the sad shire horses walking home in the sodium light Two priests on the ferry October geese on a cold winter's night   All this time the river flowed Endlessly to the sea   Two priests came 'round our house tonight One young, one old, to offer prayers for the dying to serve the final rite One to learn, one to teach which way the cold wind blows And fussing and flapping in priestly black like a murder of crows   All this time the river flowed Endlessly to the sea If I had my way I'd take a boat from the river And I'd bury the old man I'd bury him at sea   Blessed are the poor, for they shall inherit the earth Better to be poor than be a fat man in the eye of the needle As these words were spoken I swear I hear the old man laughing What good is a used up world and how could it be worth having?  All this time the river flowed Endlessly like a silent tear All this time the river flowed Father, if Jesus exists then how come he never lives here?   Teachers told the Romans built this place They built a wall and a temple and an edge of the empire garrison town They lived and they died They prayed to their gods, but the stone gods did not make a sound And their empire crumbles 'till all that was left Were the stones the workmen found   All this time the river flowed In the falling light of a Northern sun If I had my way, take a boat from the river Men go crazy in congregations, they only get better one by one One by one",5,11,3,5,10,11,25,8,5,17,0.2287
6,6,/songs/946174,Sting,All Would Envy,https://genius.com/Sting-all-would-envy-lyrics,http://api.genius.com/songs/946174,None,2010-11-24,"Old enough to be her dad But the young men were just mad they nursed their grievances And she was flattered by his charm It wouldn't do her any harm they all had their chances  He sent her flowers and limousines She was treated like a queen Anything she ever wanted It was no problem for a man like him And everyone expected soon That she could ask him for the moon If she would wear his ring  Knowing glances from his friends In the homes at the weekends of high society But he didn't give a damn He never felt more like a man  And all the time the clock was ticking And all would envy the older man and his beautiful young wife Yes, all would envy  In a house upon a hill She was there with time to kill She lived a life she'd only dreamed The life was never what it seemed To all her friends that she'd ignored She denied she was bored She had no time for dancing, no time for dancing  But the clock upon the wall That was ticking in the hall Always reminded her That life was going on as well But she was happy and she would swear she wouldn't change a thing  And all would envy the older man and his beautiful young wife Yes, all would envy  Now it's 5 o'clock AM She must have spent the night again with that old friend of hers She loves to dance She's missing more and more these days But he's still stuck in his old ways Perhaps she needs a little more romance But the clock upon the wall is still ticking in the hall She must be home soon, soon Where a younger man would weep He takes a pill and goes to sleep  Now who would envy the older man and his beautiful young wife Who would envy? Who would envy?",3,15,3,7,14,11,19,11,6,9,0.9026
7,7,/songs/389571,Sting,And Yet,https://genius.com/Sting-and-yet-lyrics,http://api.genius.com/songs/389571,The Last Ship,2013-08-13," This town, this stain on the sunrise Disguised in the mist this morning It's 8 a.m., a seagull shouts a sailor's warning This sky, this bend in the river Slows down and delivers me, the tide rolls back And all my memories fade to black   And yet, and yet, I'm back   This town has a strange magnetic pull Like a homing signal in your skull And you sail by the stars of the hemisphere Wondering how in the Hell did ye end up here? It's like an underground river, or a hidden stream That flows through your head, and haunts your dreams And you stuffed those dreams in this canvas sack And there's nothing round here that the wide world lacks   And yet, and yet, you're back   Some nights I'd lie on the deck and I'd stare at the turning of the stars Those constellations hanging up there from the cables and the rigging I'd wonder if she saw the same, or managed to recall my name But why would she ever think of me? Some boy she loved who fled to sea? And why waste time debating whether she'd be waiting for the likes of me? So you drift into port with the scum of the seas To the dance halls and the brothels where you took your ease! And the ship's left the dock but you're half past caring And you haven't got a clue whose bed you're sharing And your head's like a hammer on a bulkhead door And it feels like somebody might have broken your jaw And there's bloodstains and glass all over the floor And you swear to God you'll drink no more And yet, and yet In truth, it's too late to find her Too late to remind her at some garden gate Where a servant tells me I should wait And perhaps a door's slammed in my face My head must be in outer space   And yet, and yet Before the sun has set Before the sea There may be something else that's waiting for The likes of me   This town, this stain on the sunrise",5,8,9,7,6,19,16,7,3,10,0.9825
8,8,/songs/389350,Sting,A Thousand Years,https://genius.com/Sting-a-thousand-years-lyrics,http://api.genius.com/songs/389350,Brand New Day,1999-09-24," A thousand years, a thousand more A thousand times a million doors to eternity I may have lived a thousand lives, a thousand times An endless turning stairway climbs To a tower of souls If it takes another thousand years, a thousand wars The towers rise to numberless floors in space I could shed another million tears, a million breaths A million names but only one truth to face A million roads, a million fears A million suns, ten million years of uncertainty I could speak a million lies, a million songs A million rights, a million wrongs in this balance of time But if there was a single truth, a single light A single thought, a singular touch of grace Then following this single point, this single flame The single haunted memory of your face   I still love you I still want you A thousand times the mysteries unfold themselves Like galaxies in my head   I may be numberless, I may be innocent I may know many things, I may be ignorant Or I could ride with kings and conquer many lands Or win this world at cards and let it slip my hands I could be cannon food, destroyed a thousand times Reborn as fortune's child to judge another's crimes Or wear this pilgrim's cloak, or be a common thief I've kept this single faith, I have but one belief   I still love you I still want you A thousand times the mysteries unfold themselves Like galaxies in my head On and on the mysteries unwind themselves Eternities still unsaid 'Til you love me",7,16,3,7,9,14,20,5,7,9,0.9659
9,9,/songs/389575,Sting,August Winds,https://genius.com/Sting-august-winds-lyrics,http://api.genius.com/songs/389575,The Last Ship,2013-09-20, When August winds are turning The fishing boats set out upon the sea I watch 'til they sail out of sight The winter follows soon I watch them drawn into the night Beneath the August moon No one knows I come here Some things I don't share I can't explain the reasons why It moves me close to tears Or something in the season's change Will find me wandering here And in my public moments I hear the things I say but they're not me Perhaps I'll know before I die Admit that there's a reason why   I count the boats returning to the sea I count the boats returning to the sea   And in my private moments I drop the mask that I've been forced to wear But no one knows this secret me Where albeit unconsciously   I count the boats returning from the sea I count the boats returning from the sea,0,4,0,5,1,3,17,1,0,9,-0.9441
