,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/734799,T-Pain,15,https://genius.com/T-pain-15-lyrics,http://api.genius.com/songs/734799,The Iron Way,2015-03-27," Man I been drinking, drinking all weekend, stunting I be rolling up in that big body, I’m hunting I’m feeling freaky, freaking a Costa Rican like it’s nothing I’m drunk as fuck and that’s the end of my discussion I’m a bad role model, now look at how I’m rolling Ball so hard, look like everything stolen But a nigga been hustling, a few budgets done got opened I done brought a few hustlers in, got cocked back and reloaded Now I’m getting at these hoes, getting at these hoes I don’t give a fuck if they dimes, I’m throwing pennies at these hoes But I might hit the strip club and get busy on these hoes Or counting out some of these ones just depending on my mode   I'ma be like (1 2 3 4 5 6 7 8 9 10) I'ma be like (1 2 3 4 5 6 7 8 9 10) I'ma be like (1 2 3 4 5 6 7 8 9 10) I'ma be like (1 2 3 4 5 6 7 8 9 10) Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah   Man I been styling, styling on these weak niggas for decades They worry bout me and I’m just worried bout how to get paid They get a few months in and they call me when their shit fade But don’t call me nigga, keep listening to what that bitch say I’m a threat to the industry, a hot commodity Thots call me hot chocolate When I offer to hop in my Audi they opt out of whatever you slopping in I’m taking over again, the mission is mine Imma get it back operative So if you running low on your dough Then it’s best that you know where the fuck that top ramen is Synonyms, homonyms, whatever I gotta do to get a nigga back on Dividends coming in, said it’s too hot for you, so nigga take it back home I got this, I need you to understand one thing, that you not this How you think I got rich, sit back nigga, watch this   I'ma be like (1 2 3 4 5 6 7 8 9 10) I'ma be like (1 2 3 4 5 6 7 8 9 10) I'ma be like (1 2 3 4 5 6 7 8 9 10) I'ma be like (1 2 3 4 5 6 7 8 9 10) Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah Yeah, yeah, yeah",13,7,4,7,2,17,8,6,1,6,0.9949
1,1,/songs/4347104,T-Pain,1UP,https://genius.com/T-pain-1up-lyrics,http://api.genius.com/songs/4347104,1UP,2019-02-27," It's whatever, man It’s whatever, man It's whatever, man   Yeah, yeah Man, I swear that I got one up on these niggas Bling, blow, put that gun up, fuck these niggas Use that second chance to make a better plan Be a better man or it's whatever, man Yeah, my dawg go on and light that blunt up for my nigga Bling, blow, put that gun up, fuck these niggas Use that second chance to make a better plan Be a better man or it’s whatever, man  [Verse 1: T-Pain] I hate to see my dawg through that window Phone smell like tears how my dawg get up in there He roll for his peers now we all look like sinners Now we outchea eatin', I thought we all would be at dinner, yeah Don't let this shit distract you from your purpose, bruh They just trying to stop what you been workin' for You said that you'd buy your mama a whole crib But now your kid ain't got no crib, you doin' a whole bid, shit That ain't where you ’posed to be Thousands in the crowd, that’s just what you supposed to see I told her that you supposed to just lay low, stay close to me Let me do all the workin', I know that we both could eat  [Pre-Chorus: T-Pain] Supposedly, we all should be destined for the same fate Tryna impress all these niggas just to save face Bigger guns, bigger whips, we in the same race Then we end up in the same place   Yeah, yeah Man, I swear that I got one up on these niggas Bling, blow, put that gun up, fuck these niggas Use that second chance to make a better plan Be a better man or it’s whatever, man Yeah, my dawg go on and light that blunt up for my nigga Bling, blow, put that gun up, fuck these niggas Use that second chance to make a better plan Be a better man or it's whatever, man  [Verse 2: T-Pain] I hate to see my dawgs stuck in they hometown Runnin' in place and can't make no ground I keep tellin’ my dawg to make they own sound Put them O's down, the police comin' and it's over now Yeah, havin' that pack ain't where it's at Put your city on the map, and leave that bitch behind your back 'Cause them niggas gon' start hatin' all the sudden And if they can't find you, they make examples out your cousin What the fuck is goin' on with niggas? Somethin' wrong with niggas You make that cake and can't feel safe in your own home with niggas But if you can't stay out that place, then you belong with niggas And you gone raise that lil baby to be a grown lil nigga  [Pre-Chorus: T-Pain] Supposedly, we all should be destined for the same fate Tryna impress all these niggas just to save face Bigger guns, bigger whips, we in the same race Then we end up in the same place   Yeah, yeah Man, I swear that I got one up on these niggas Bling, blow, put that gun up, fuck these niggas Use that second chance to make a better plan Be a better man or it's whatever, man Yeah, my dawg go on and light that blunt up for my nigga Bling, blow, put that gun up, fuck these niggas Use that second chance to make a better plan Be a better man or it's whatever, man   Swear my grind was hard as I hustled hard Prayin' for these blessings, gave it all to God Ain't nobody have faith in Betty grandboy Pain made a phone call and now I'm headed north It's shame my own city hate to see me shine Bitch, I'm focused on these millions, we need every dime NappyBoy to the death, I'm talkin' dotted lines Got everybody lookin' froze like a broken spine Knew my time was comin', all it took was patience Actions speak louder than words, so now they really hatin' Business over bullshit when we at the occasion And you know we 'bout them chips like a trip to Vegas Made it out the hood but still love Ty 1700 forever, RIP to Jah Made a vow to my son that I would never stop And if I ever got a chance, I would never flop   Yeah, yeah Man, I swear that I got one up on these niggas Bling, blow, put that gun up, fuck these niggas Use that second chance to make a better plan Be a better man or it's whatever, man Yeah, my dawg go on and light that blunt up for my nigga Bling, blow, put that gun up, fuck these niggas Use that second chance to make a better plan Be a better man or it's whatever, man",26,21,13,27,9,38,27,16,13,17,-0.992
2,2,/songs/3321292,T-Pain,2 Fine,https://genius.com/T-pain-2-fine-lyrics,http://api.genius.com/songs/3321292,Oblivion,2017-11-17," Ooh (ooh), yeah Yeah Oh yeah (yeah) Heeeyy (yeah) Oh yeah (yeah) Heeeyy Oooh (woo) Ay (woo, woo, woo)  [Pre-Chorus: T-Pain] Man I got a problem with my baby, right She too fine everytime I see my baby like Oooh (oh yeah) Oooh (oh yeah) Everytime my bitch comin' out the bathroom Butt naked 'round the house God that ass lookin' Oooh (oh yeah) Oooh (oh yeah)  [Chorus : T-Pain] Hey, have you ever seen an ass that’ll make you Put you dick up on the cake like a baker (God damn) She gotta rock it now, shock it like a taser And she my girl but I still wanna pay her like oooh Tip her like a waiter ‘cause ain’t no other bitches servin’ nothin' greater Coulda, shoulda, woulda 'bout to get up in that cooter Put her on a pedestal, she might just take your bitch to school and oooh  [Verse 1: T-Pain] Baby let's get it on Them other niggas had it but they did it wrong I be on the same shit that Diddy on She suck that dick good she gon' get a home (Oooh) Put a whole fuckin' bag in her bag She don't hit the club 'til she say she kill the bag Now them lame niggas seeing what they coulda had But that ain't my problem  [Pre-Chorus: T-Pain] But I got a problem with my baby, right She too fine everytime I see my baby like Oooh (oh yeah) Oooh (oh yeah) Everytime my bitch comin' out the bathroom Butt naked 'round the house God that ass lookin' Oooh (oh yeah) Oooh (oh yeah)   Have you ever seen an ass that’ll make you Put you dick up on the cake like a baker, like Oooh (oh yeah) Oooh (oh yeah) Now she'll rock it now, shock it like a taser And she my girl but I still wanna pay her like Oooh (oh yeah) Oooh (oh yeah) Oooh   How did you know? Bitch how did you know? How low, low can you go? Just hold on for the show (Oooh) Got that booty bouncin' on the floor How low, low can you go? Just hold on for the show Oooh (it's lit), Oooh (it's lit) Oooh (it's lit), Oooh (it's lit) Oooh (it's lit), Oooh (it's lit) Oooh (it's lit), Oooh (it's lit)  [Verse 2: Ty Dolla $ign] Ah, yeah Shawty got a vibe, shawty got a vibe My shawty gassed up Kickin' off a Phantom Coupe ain't got no roof, coupe ain't got no roof Smoking and riding My bitch like to ride it Shawty too lit, keep a jay lit She my favorite, yeah, yeah We gon' blow the ounce She gon' make it bounce Sexin' on the couch (Yeah, yeah) Hit it from the front, hit it from the side, hit it from the pipe (Yeah, yeah) I've been in the cut, we been layed up, shawty bad as fuck  [Pre-Chorus: T-Pain] But I got a problem with my baby, right She too fine everytime I see my baby like Oooh (oh yeah) Oooh (oh yeah) Everytime my bitch comin' out the bathroom Butt naked 'round the house God that ass lookin' Oooh (oh yeah) Oooh (oh yeah)   Have you ever seen an ass that’ll make you Put you dick up on the cake like a baker, like Oooh (oh yeah) Oooh (oh yeah) Now she'll rock it now, shock it like a taser And she my girl but I still wanna pay her like Oooh (oh yeah) Oooh (oh yeah) Oooh   How did you know? Bitch how did you know? How low, low can you go? Just hold on for the show, Oooh Got that booty bouncin' on the floor How low, low can you go? Just hold on for the show Oooh (it's lit), Oooh (it's lit) Oooh (it's lit), Oooh (it's lit) Oooh (it's lit), Oooh (it's lit) Oooh (it's lit), Oooh (it's lit)  [Verse 3: T-Pain] I'm a prop that ass up on a table And bust it open cuz I can and I'm able And when I'm done she gon' swear she disabled She watch the footage like it's air and no cable, like Oooh Jose Cuervo She wanna fuck on top of my paper Yeah You know I got her squirtin' She tried to drop that pussy on me, tryin' to to hurt me like Oooh baby Get in there I walked right up in heaven when I went in there Put a plate all on that pussy, that's my dinner there Thought I told you baby all I do is win in there Oooh Put a whole fuckin' bag in her bag She don't hit the club 'til she say she kill the bag Now them lame niggas seeing what they coulda had But that ain't my problem  [Pre-Chorus: T-Pain] But I got a problem with my baby, right She too fine everytime I see my baby like Oooh (oh yeah) Oooh (oh yeah) Everytime my bitch comin' out the bathroom Butt naked 'round the house God that ass lookin' Oooh (oh yeah) Oooh (oh yeah)   Have you ever seen an ass that’ll make you Put you dick up on the cake like a baker, like Oooh (oh yeah) Oooh (oh yeah) Now she'll rock it now, shock it like a taser And she my girl but I still wanna pay her like Oooh (oh yeah) Oooh (oh yeah) Oooh   How did you know? Bitch how did you know? How low, low can you go? Just hold on for the show, Oooh Got that booty bouncin' on the floor How low, low can you go? Just hold on for the show Oooh (it's lit), Oooh (it's lit) Oooh (it's lit), Oooh (it's lit) Oooh (it's lit), Oooh (it's lit) Oooh (it's lit), Oooh (it's lit) Ooooh",24,13,13,39,22,47,39,29,6,22,-0.9992
3,3,/songs/55480,T-Pain,5 O'Clock,https://genius.com/T-pain-5-oclock-lyrics,http://api.genius.com/songs/55480,RevolveR,2011-09-27," It's 5 o' clock in the morning Conversation got boring You said you'd go into bed soon So I snuck off to your bedroom And I thought I'd just wait there Until I heard you come up the stairs And I pretended I was sleeping And I was hoping you would creep in   It's 5 o'clock in the morning, and I want ya And you want me, don't ya? I can see it cause you've been waiting on me Since I said that I was hitting in the club Sun be coming up on me And I know you be getting so horny Cause you be sending me textses Like, ""Boy just get your ass up in that car And come get all of this love"" (It's 5 o'clock in the morning) You ain't got to remind me She already said if I don't come on time She might go crazy And she'll be waiting on me naked with one of my chains on She might come and find me (aw, aw, aw) And then ask me kindly (aw, aw, aw) Do I want her to go crazy? We do this every night And yet we wake up singing the same song  [Hook: Lily Allen & T-Pain] It's 5 o' clock in the morning (Yeah) Conversation got boring (Talk to me, girl) You said you'd go into bed soon (Let's go) So I snuck off to your bedroom (Come on) And I thought I'd just wait there (Wait on me) Until I heard you come up the stairs (I won't let you stay lonely) And I pretended I was sleeping (All right) And I was hoping you would creep in (All right) It's 5 o' clock in the morning The conversation got boring You said you'd go into bed soon So I snuck off to your bedroom And I thought I'd just wait there Until I heard you come up the stairs And I pretended I was sleeping And I was hoping you would creep in  [Verse 2: T-Pain] It's 5 o'clock in the morning, and you calling And these females got me stalling I can hear your voice in my head like ""What is he doing? What is he doing?"" Cause I keep checking my cell phone And these missed calls And you texting me like, ""I'mma kill y'all If you don't get your ass up out of that club And do you know what time it is?"" (It's 5 o'clock in the morning) Ooh, and my bad, girl And this Nuvo got me trippin and I know that you mad, girl But you ain't got to worry about nothing (worry 'bout nothing) Girl I got you, girl I got you She might come and find me (no, no, no) And then ask me kindly (no, no, no) Do I want her to go crazy? We do this every night And then we always wake up singing the same song  [Hook: Lily Allen & (T-Pain)] It's 5 o' clock in the morning (Yeah) Conversation got boring (Talk to me, girl) You said you'd go into bed soon (Let's go) So I snuck off to your bedroom (Come on) And I thought I'd just wait there (Wait on me) Until I heard you come up the stairs (I won't let you stay lonely) And I pretended I was sleeping (All right) And I was hoping you would creep in (All right) It's 5 o' clock in the morning The conversation got boring You said you'd go into bed soon So I snuck off to your bedroom And I thought I'd just wait there Until I heard you come up the stairs And I pretended I was sleeping And I was hoping you would creep in   Oh-oh, and you ain't got nothing on But the t-shirt that I left over your house The last time I came and put it on ya Too many thirsty girls up in this club For me to leave here with one of them, that's why I call her And you'll be right at home waiting for me IPhone plugged in the wall, just waiting for me Club closed at 6, left around 4:30 Yeah, so by the time I'm at your crib (It’s 5′O Clock in the morning) And you yawning But I’ve been drinking all night and I feel like performing With you in the bedroom, floor to the dresser Dont want nothing less cause I’m sure you’re the best You’re the one, so I let you, thats how you show me love And when we finish you like “damn, babe you woke me up” I like you way you put it down likes its for both of us The sun ain't the only thing thats coming up   It's 5 o' clock in the morning (Yeah) Conversation got boring (Talk to me, girl) You said you'd go into bed soon (Let's go) So I snuck off to your bedroom (Come on) And I thought I'd just wait there (Wait on me) Until I heard you come up the stairs (I won't let you stay lonely) And I pretended I was sleeping (All right) And I was hoping you would creep in (All right) It's 5 o' clock in the morning The conversation got boring You said you'd go into bed soon So I snuck off to your bedroom And I thought I'd just wait there Until I heard you come up the stairs And I pretended I was sleeping And I was hoping you would creep in",10,39,7,14,4,52,11,15,3,6,0.9885
4,4,/songs/44361,T-Pain,69,https://genius.com/T-pain-69-lyrics,http://api.genius.com/songs/44361,Epiphany,2007-06-05," In the back of my 'Lac and with the suicide doors Ehh, uh-huh, hahaha T-Pain, J-Lyriq, Nappy Boy Hit me on my hotline, I am so lonely now So as I.. ohhh, lowwww Baby that is alright with me YEAH! (Y'all know you gotta clap your hands to this mayne) In the back of my Lan-coln with the suicide doors (C'mon clap this one of my classics) (Don't act like you don't know) (Oh man, it's indiverous) Baby that is alright with me   I know you waitin fo' daddy it won't be long shawty Be patient cause I'm flyin to you Ridin dirty down Orange Avenue Maybe I'm comin after you to do a 69 with you Baby girl - I've been doin tongue exercises And girl - I'm thinkin 'bout that booty and them thighs And them curls - you know that I love your brown hair I got you up here, you just handle me shawty   Baby, let's do a 69 in the back of my Lincoln with the suicide doors Sayin' time for a 69, baby that is alright with me Baby let's do a 69 (shawty) Hit me on my hotline, while I'mma slob on the 9 So that's a soft, 69, baby that is alright with me   I know you want it baby, I'm sorry to keep you waitin Don't worry I'mma do what I do Got me zoomin all in this rain, tryin to find where you stay To put this 69 on you Girl I got plans, to use my hands, and I ain't playin wit'chu I'mma give it to you straight rub from front to back shawty side to side Go down on me baby then show me how you ride    When she was suckin on me, well I was lickin on her I got so into it, I spreaded that booty so wide I can tell that she was with it by the look in her eyes When I was kissin on her, and she was suckin on me I just wanted to get into it, cause shawty got so into it I'm glad that she do it for free (shawty)   - repeat 2X   Yeah yeah yeah",7,8,4,6,13,12,20,6,0,6,0.8905
5,5,/songs/90345,T-Pain,Ain't That A Bitch,https://genius.com/T-pain-aint-that-a-bitch-lyrics,http://api.genius.com/songs/90345,Stoic,2012-10-01," Yeah Aw-wah-aw-wah, ugh! Nappy Boy! Ahahah! Yeah! Ugh!   These niggas tryin' to be black Bill Gates (Gates!) But what they can't see (See!) Is Bill Gates tryin' to be the white version of me Ain't that a bitch> (Ain't that a bitch? Ain't that some shit?) Ain't that a bitch? Man, I just wanna get rich So I can see my niggas live (Live) and watch them haters die slow I used to be in your position so you know that I know That's a bitch (ain't that a bitch) Ain't that a bitch (Ain't that some shit?) Man, I just wanna get rich, ain't that a bitch? Man, how'd you wanna get rich? And I can see my niggas live and watch them haters die slow I used to be in your position So you know that I know that's a bitch   Smoking on this technology My presence is a present, you ain't gotta acknowledge me Don't matter how I gotta get it, even robbery It's black mask on you motherfuckers like it's Halloween Follow me bitch I'm all that You gotta be kidding, that big dog with that small cat I'm the dean, I got a permanent hall pass So when you see me in the hall, you better haul ass F-F-F-Fall back, all my watches is wrong 3 hours late to the Grammys, you can watch me at home My 808's a gracious taste like a Glock to the dome Ten thousand dollar suit, you think I was mocking Capone These people hate the truth if you don't believe in that Then why the paparazzi don't give a fuck where I'm eating at Cause you know real niggas ride and wack niggas hate So then you realize   These niggas tryin' to be black Bill Gates But what they can't see Is Bill Gates tryin' to be the white version of me Ain't that a bitch (ain't that a bitch?) Ain't that a bitch? Man, how'd you wanna get rich? And I can see my niggas live and watch them haters die slow I used to be in your position so you know that I know That's a bitch (ain't that a bitch) ain't that a bitch Man how'd you wanna get rich Ain't that a bitch? Man, how'd you wanna get rich? And I can see my niggas live and watch them haters die slow I used to be in your position so you know that I know That's a bitch   Ugh, I-I got good news and bad news The bad news is that the good news is sad news B-B-But the good news is you finally gettin' what you wished for But everybody wished they can get shit they don't do shit for So what makes you so different? Is this what you deserve? I've been eatin', I've been eatin', I'm not ready for dessert Tires screeching, tires screeching; man, I'm finna hit the curb I believe it, I've been reading, I take in the good word Praise the Lord, nigga; you got me! All these candy yours, nigga; houses and Bugattis! Y-Y-You doin' bad, hoe? D-D-D-Do better! You tryin' to get this bread bro? Bruschetta! My mindframe is boss-boss-boss, that's on everything I get on Make a fucking throne out of anything I sit on You niggas look like toilets, I prepare to get my shit on You keep pissing me off, you gon' get pissed on, yeah!   These niggas tryin' to be black Bill Gates (Gates!) But what they can't see (See!) Is Bill Gates tryin' to be the white version of me Ain't that a bitch? (Ha, ain't that a bitch? Ain't that some shit?) Ain't that a bitch? Man,  I just wanna get rich And I can see my niggas live (Live) And watch them haters die slow (Die slow) I used to be in your position so you know that I know That's a bitch (Ha, ain't that a bitch? Ain't that some shit?) Ain't that a bitch? Man, I just wanna get rich Ain't that a bitch? (Mm-mm) Man, I just wanna get rich And I can see my niggas live, and watch them haters die slow I used to be in your position so you know that I know That's a bitch",41,20,44,46,10,59,25,45,6,28,0.9702
6,6,/songs/3517999,T-Pain,Airplane,https://genius.com/T-pain-airplane-lyrics,http://api.genius.com/songs/3517999,Everything Must Go (Vol. 1),2018-01-01," Yeah, oh baby Yeah, ah, now baby   Please don't do this right before I leave You gon' make me fall apart, oh baby I was so stupid, too many tricks up my sleeve All I did was break your heart, oh baby   I know what I did, I know it was wrong The only thing I don't know is why it happened at all Oh baby I got a flight to catch, baby I don't wanna fight you back I was wrong, I can't even get mad at all, oh baby   Cause now I'm sittin' on this airplane People lookin' at me like I'm crazy They don't even know what's wrong But they know it's all my fault 'Cause now I'm sittin' on this airplane and I'm crying like a baby We might have to turn around 'Cause right about now, I'm wishin' that this plane would just go down   Down, down, down Down, down, down, down Down, down, down Down, down, down, down   No excuses, I am on my knees Confessions are way too hard, oh baby I'm about to lose it Why aren't you beside me? Couldn't let down my guard, oh baby   I know you ain't gon' never come back I shouldn't have done that and run back for cover How stupid am I? Oh baby And you don't wanna see me again And you'll never believe me again Now I'm in 1st class feeling like I've died, oh baby   'Cause now I'm sittin' on this airplane People lookin' at me like I'm crazy They don't even know what's wrong But they know it's all my fault 'Cause now I'm sittin' on this airplane and I'm crying like a baby We might have to turn around 'Cause right about now, I'm wishin' that this plane would just go down   Down, down, down Down, down, down, down Down, down, down Down, down, down, down",6,2,3,8,14,21,21,12,7,9,-0.9862
7,7,/songs/4310266,T-Pain,All I Want,https://genius.com/T-pain-all-i-want-lyrics,http://api.genius.com/songs/4310266,1UP,2019-02-13," Rollie on my finger (Rollie, Rollie) Patek on my neck (My neck, my neck) Necklace on my shin bone, get gone Yeah, woo (Yeah)   I don't love these lame hoes All I want is my girl I can't believe they all the same, no All I want is my girl, I All I want, ooh, all I want All I want, ooh, all I want Oh, all I want is my girl, I All I want, ooh, all I want All I want, ooh, all I want Oh, all I want is my girl, I  [Verse 1: T-Pain] Yeah, yeah Big ol' booty droppin' (Droppin') Smile that can kill (Ooh) I'm not cappin', baby (Baby) I'm being real (Ooh) You get presents for your presence (Presence) How does it feel? (Feel) We gon' make beautiful music (Yeah) Sign record deals Yeah, Lambo' in your driveway (Driveway) Gucci on your body (Yeah) Stuntin' on these bitches (Bitches) Pull up to the party (Yeah) That Lambo' gettin' boring Go and cop that new Ferrari (Yeah) Ooh, I need your love I can't do nothing without it   I don't love these lame hoes All I want is my girl I can't believe they all the same, no All I want is my girl, I All I want, ooh, all I want All I want, ooh, all I want Oh, all I want is my girl, I All I want, ooh, all I want All I want, ooh, all I want Oh, all I want is my girl, I   Yeah, if you in here with your girl sing this shit here with me, dog All I want is my girl, I Put your hands in the air, baby, you deserve applause All I want is my girl, I   Yeah, all I want, my shawty Yeah, she know the deal Bet she always call me and my girl, she keep it real If I go through struggle, yeah, she know just how I feel Loving when we fucking 'cause she know I wanna kill I been on the hustle, I'm just tryna eat these meals Yeah, I really came from nothing, you was with me when I fell I ain't never know you loved me and I hurt you, I ain't tell I ain't never know you loved me, girl, I'm sorry 'cause I failed Yeah, trap, yeah For you I get them racks, yeah Flippin' and gettin' it back, yeah For you, I spend the bag, yeah Girl, you know I tried, yeah For you, I do the dash, yeah Money we gettin' it back, yeah Lovin' you 'til I can't, ya ya   I don't love these lame hoes All I want is my girl I can't believe they all the same, no All I want is my girl, I All I want, ooh, all I want All I want, ooh, all I want Oh, all I want is my girl, I All I want, ooh, all I want All I want, ooh, all I want Oh, all I want is my girl, I   All I want is my girl, I All I want is my girl, I",7,6,3,8,17,11,27,11,6,15,0.9298
8,8,/songs/1019366,T-Pain,Alone,https://genius.com/T-pain-alone-lyrics,http://api.genius.com/songs/1019366,None,2018-12-13,"Alone   You are my lady... My everything, my baby... Sometimes you drive me crazy... Don't you ever leave me alone...  Alone   Please don't leave me... Please don't leave me... Awl alone... Aye, aye, aye, aye...  Some ah ya'll may know my lady She keep them clubs packed When you hit the bar ask 'em bout konyak... That dark, brown, sexy thing that put a tingle in your throat You need her when you smokin a poke You can get her by herself or you can get her and her best friend coke Nah, I ain't talkin bout the drug I'm talkin bout the soda yeah cola bro An if your stomach ain't strong enough Please tell em, don't try to hold her up Me an my niggas ride yea she can roll with us When I tell her no she gon blow my motorola up If you hit her with no ice she'll burn you like the breath of a dragon Baby girl be a stallion in a fifth or a gallon She's the reason that my rappin Career elevated now I'm able to afford to go an buy fifty medallions If I wanted to, dass why I'm flauntin you In a class of your own got these niggas wantin you  An You are my lady... My everything, my baby... Sometimes you drive me crazy... Don't you ever leave me alone...  Alone, alone... (baby I'm so)  Alone, alone, alone... (please!) Alone, alone... (baby I'm so) Alone, alone, alone... (Oh my God...)  I remember when we first met, shit it was crazy for me... Cause u was short, brown skin, and you had ADAT... And then I heard your voice come out, I unballed my fist I can't remember too much after that but I remember this... The sound that you made was sweeter then watermelon If bein beautiful was a crime then you a felon... You was right next door so I could see you anytime Dinner time, spring, fall, summer, winter time... This tha episode: boy meets girl, then girl meets world Lil' bored, then boy and girl have lil girl Then the girl grows healthy, year after year People wanna hear her talk so she makes it a career And girl makes daddy happy Cause now people know him They b hollerin out his name an he don't even know him I wanna thank you for everything that you gave me Cause baby you are, baby, baby you are, baby, baby you are...  You are my lady... My everything, my baby... Sometimes you drive me crazy... Don't you ever leave me alone...  Alone   You are my lady... My everything, my baby... Sometimes you drive me crazy... Don't you ever leave me alone...  Alone ",12,7,4,8,16,23,36,13,6,11,0.6576
9,9,/songs/4328514,T-Pain,A Million Times,https://genius.com/T-pain-a-million-times-lyrics,http://api.genius.com/songs/4328514,1UP,2019-02-20," Boop No, boop Yeah, yeah Boop Yeah  [Pre-Chorus: T-Pain] Baby it's that time and I’m so glad you waited (Oh, yeah) It's a shame that all your friends hate that we're datin’ (Oh, yeah) But I get it (Oh) They ain't with it (Oh) Unless they know I'm better than the rest So tell 'em a hundred (Oh) Tell 'em a thousand (Oh) Tell 'em a hundred thousand times A million times, yes   Yeah, yeah, yeah, yeah, yeah-yeah yeah A million times, yes Yeah, yeah, yeah, yeah, ooh, ooh, yeah-yeah-yeah A million times, yes Yeah, yeah, yeah, yeah, ooh, ooh, yeah-yeah-yeah A million times, yes Yeah, yeah, yeah, yeah, ooh, ooh, yeah-yeah-yeah Yeah  [Verse 1: T-Pain] Oh, I like them tattoos on your leg (On your leg) I wonder how they look up by my head (Aw baby, baby) I'ma lay you down on this bed (On this bed) Show you Florida niggas ain't scared (Oh baby, baby) I’ma take your problems away (Away) And tell me what your friends got to say (Hey) Tell ’em to be careful how they play (Play) 'Cause they gon’ fuck around and get it one day Like ooh, ooh, ooh, ooh, you gon' be lookin' like I told you girl Ooh, ooh, ooh, ooh, get on the phone and bring some more through girl   Ooh, bitch, I know you like that (Yeah) She tried to throw it back on me, I threw it right back (Yeah) Yeah, straight Hennessy the night cap (Yeah) 'Cause we not goin’ to sleep, you gotta fight that  [Pre-Chorus: T-Pain] 'Cause baby it's that time and I'm so glad you waited (Oh yeah) It's a shame that all your friends hate that we're datin' (Oh, yeah) But I get it (Oh) They ain't with it (Oh) Unless they know I'm better than the rest So tell 'em a hundred (Oh) Tell 'em a thousand (Oh) Tell 'em a hundred thousand times A million times, yes   Yeah, yeah, yeah, yeah, yeah-yeah yeah A million times, yes Yeah, yeah, yeah, yeah, ooh, ooh, yeah-yeah-yeah A million times, yes Yeah, yeah, yeah, yeah, ooh, ooh, yeah-yeah-yeah A million times, yes Yeah, yeah, yeah, yeah, ooh, ooh, yeah-yeah-yeah Yeah  [Verse 2: T-Pain] Baby you done put me in a schmood (In a schmood) You ain't 'bout to get no interlude (No baby, baby) I'ma eat it up like it's food (Like it's food) Thought I told you I was that dude, oh baby, babe (Yeah) Girl, give me that (Give me that) Whatever you into I be into that (I be into that) You said your man couldn't do it, put a end to that (Put a end to that) If you can handle what I'm doin', get a grip for that, baby Like ooh, ooh, ooh, ooh, put up or shut up and let me put this thing on you Ooh, ooh, ooh, ooh, keep on doin' what you doin', I'ma put a ring on you   Ooh, bitch, I know you like that (Yeah) She tried to throw it back on me, I threw it right back (Yeah) Yeah, straight Hennessy the night cap (Yeah) 'Cause we not goin' to sleep, you gotta fight that  [Pre-Chorus: T-Pain] 'Cause baby it's that time and I'm so glad you waited (Oh yeah) It's a shame that all your friends hate that we're datin' (Oh, yeah) But I get it (Oh) They ain't with it (Oh) Unless they know I'm better than the rest So tell 'em a hundred (Oh) Tell 'em a thousand (Oh) Tell 'em a hundred thousand times A million times, yes   Yeah, yeah, yeah, yeah, yeah-yeah yeah A million times, yes Yeah, yeah, yeah, yeah, ooh, ooh, yeah-yeah-yeah A million times, yes Yeah, yeah, yeah, yeah, ooh, ooh, yeah-yeah-yeah A million times, yes Yeah, yeah, yeah, yeah, ooh, ooh, yeah-yeah-yeah Yeah   I'm a addict, wrist, Patek (Yeah) Rolls, matted, we in, Cali (Yeah) You acting like your homegirl Oprah (Oprah) Fuck that bitch, she ain't Oprah (Nah) Ain't got a man, no car, she tired (Tired) All that work, no work, she fired (Fired) Cold, better bundle up (Huh) Cuddle up (Huh) But when you with them hoes, you wanna huddle up (Yeah) Clout chase, no PR (PR) No ER, get that ass shot like BR Ask your homegirl, she could call right in (What's up?) Listenin' to hoes you gon' fall right in, what's up?  [Pre-Chorus: T-Pain] 'Cause baby it's that time and I'm so glad you waited (Oh yeah) It's a shame that all your friends hate that we're datin' (Oh, yeah) But I get it (Oh) They ain't with it (Oh) Unless they know I'm better than the rest So tell 'em a hundred (Oh) Tell 'em a thousand (Oh) Tell 'em a hundred thousand times A million times, yes   Yeah, yeah, yeah, yeah, yeah-yeah yeah A million times, yes Yeah, yeah, yeah, yeah, ooh, ooh, yeah-yeah-yeah A million times, yes Yeah, yeah, yeah, yeah, ooh, ooh, yeah-yeah-yeah A million times, yes Yeah, yeah, yeah, yeah, ooh, ooh, yeah-yeah-yeah Yeah",11,31,11,21,25,27,36,20,1,11,0.9997
