,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/1665893,Taio Cruz,Best Girl,https://genius.com/Taio-cruz-best-girl-lyrics,http://api.genius.com/songs/1665893,None,2017-10-20,"Hey Hey Hey   Young girl you're the type I need Baby you should know you are the one that I see Everything about you is the way that I like We can do it baby anytime of the night Cause you stay down and you always go right Even when we tired girl you wanna go twice  I just wanna tell you're the one that I need Baby you're the one, the only one for me  So when we get the motion, oh, in the ocean We keep it goin', keep, keep it goin' I feel the lotion feel emotion And I just gotta tell you one more time   You're the best damn girl in the whole wide world Baby you're the best in the whole wide world You're the only one that I'm ever gonna need Baby you're the one, only one for me  The best damn girl I've ever seen in my life Every time I look at you I'm proud that you're mine You just got the shape, just the shape that I like Everything about you got me feeling all right So I know that we can do it, baby all night We can make love anytime that you like  I just wanna tell you're the one that I need Baby you're the one the only one for me  So when we get the motion, oh, in the ocean We keep it goin', keep, keep it goin' I feel the lotion feel emotion And I just gotta tell you one more time   You're the best damn girl in the whole wide world Baby you're the best in the whole wide world You're the only one that I'm ever gonna need Baby you're the one, only one for me  Best damn girl Check it now mama you are the bestest And I love the way that we dress, the freshest You're in the passenger, I'm driving in the R8 Pumpin' that brand new shizzle, by the R.K And I'm hardly, ever shy baby That's why I say it lookin' at you in your eyes baby I got the vehicle, let's take this for a ride baby Now listen one more time   You're the best damn girl in the whole wide world Baby you're the best in the whole wide world You're the only one that I'm ever gonna need Baby you're the one, only one for me Best Girl  Hey Hey Hey ",0.9924,6,10,6,1,19,7,21,1,2,2
1,/songs/113544,Taio Cruz,Break Your Heart,https://genius.com/Taio-cruz-break-your-heart-lyrics,http://api.genius.com/songs/113544,Break Your Heart (Remixes),2009-09-13," Whoa, oh Whoa, oh Whoa, oh Whoa, oh   Now listen to me baby Before I love and leave you They call me heart breaker I don't wanna deceive you   If you fall for me I'm not easy to please I'm might tear you apart Told you from the start, baby, from the start   I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart   There's no point trying to hide it No point trying to evade it I know I got a problem Problem with misbehavin'   If you fall for me I'm not easy to please I might tear you apart Told you from the start, baby from the start   I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart Whoa, oh Whoa, oh Whoa, oh Whoa, oh Whoa, oh   And I know karma's gonna get me back for being so cold Like a big bad wolf, I'm born to be bad and bad to the bone If you fall for me, I'm only gonna tear you apart Told you from the start   I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart I'm only gonna break break your break break your heart   Whoa, oh Whoa, oh Whoa, oh Whoa, oh",-0.9565,5,5,5,7,4,12,5,10,65,1
2,/songs/1258998,Taio Cruz,Dirty Picture,https://genius.com/Taio-cruz-dirty-picture-lyrics,http://api.genius.com/songs/1258998,Rokstarr,2010-04-05," I could dream of ways to see you I could close my eyes to dream I could fantasize about you Tell the world what I believe But whenever I'm not with you It's so hard for me to see I need to see a picture of you A special picture just for me, yeah  [Chorus: Taio Cruz & Ke$ha] So take a dirty picture for me Take a dirty picture Take a dirty picture for me Take a dirty picture Send a dirty picture to me Send a dirty picture Send a dirty picture to me Send a dirty picture Picture, picture, picture, picture   Snap Snap Uh   Whenever you are gone, I just wanna be with ya Please don't get me wrong, I just wanna see a picture Take a dirty picture for me Take a dirty picture Take a dirty picture for me Take a dirty picture  [Verse 3: Ke$ha] Whenever you are gone, I just wanna be wit ya Please don't get me wrong, I just wanna see your picture Take a dirty picture for me Take a dirty picture Take a dirty picture for me Take a dirty picture  [Pre-Chorus: Taio Cruz with Ke$ha] I could dream of ways to see you I could close my eyes to dream Fantasize about this with you But the way is never seen, oh  [Chorus: Taio Cruz & Ke$ha] Take a dirty picture for me Take a dirty picture Take a dirty picture for me Take a dirty picture Just send a dirty picture to me Send a dirty picture Send a dirty picture to me Send a dirty picture  [Post-Chorus: Taio Cruz & Ke$ha] Ah Snap Snap Snap  [Bridge: Taio Cruz & Ke$ha] Whenever you are gone, I just wanna be wit ya Please don't get me wrong, I just wanna see your picture Take a dirty picture for me Take a dirty picture Take a dirty picture for me Take a dirty picture  [Verse 4: Ke$ha] When you're all alone, boy, I got something to give ya Will ya play along if I take a dirty picture? I'll take a dirty picture for ya Take a dirty picture I'll take a dirty picture for ya Take a dirty picture (picture)  [Chorus: Taio Cruz & Ke$ha] Take a dirty picture for me Take a dirty picture Take a dirty picture for me Take a dirty picture Send a dirty picture to me Send a dirty picture Send a dirty picture to me Send a dirty picture Picture, picture, picture  [Outro: Taio Cruz & Ke$ha] Snap, uh Snap Snap Click, click, snap",-0.9994,0,0,42,0,1,45,11,0,0,3
3,/songs/458092,Taio Cruz,Don't You Dare,https://genius.com/Taio-cruz-dont-you-dare-lyrics,http://api.genius.com/songs/458092,None,2017-10-20," Take all the love we had Give all the love in back Burn all the words we had But don't you dare, don't you dare come crawlin' back Take everything you need Take all the blood I bleed Burn all this left of me But don't you dare, don't you dare come crawlin' back   Go if you have to leave Go where you have to be Don't you feel [?] of me Just don't you dare, don't you dare come crawlin' back Do what you have to do Do what is best for you Go if you think it's cool Just don't you dare, don't you dare come crawlin' back   Cuz I still believe in love You gave it all back So don't you come crawling here Don't you dare come crawlin' back  Don't you dare come crawlin' back",0.9659,0,10,0,0,3,1,17,1,1,23
4,/songs/1742588,Taio Cruz,Do What You Like,https://genius.com/Taio-cruz-do-what-you-like-lyrics,http://api.genius.com/songs/1742588,None,2015-04-27," Girl, why you gotta be so cruel? Why you gotta be so special? Heaven ain't got nothin' on you Got me feeling like a horny devil   We keep on going, keep on going till our hearts burn out And we can keep on going till the lights burn out And no one needs to know what we are all about What we are all about   So get up off that sexy round thing and Move your body and do what you like Keep it going if it feels alright Move your body and do what you like Keep it going if it feels alright (Keep on rockin' with me) Get down (Love it when you rockin' with me) Do what you like (Keep on rockin' with me) Get down, get down, do what you like (Keep on rockin' with me) Get down (Love it when you rockin' with me) Do what you like (Keep on rockin' with me) Get down   Girl, why you gotta be so bad? Why you gotta be my guilty pleasure? It's like you got your feet up on the dash It's like I got my foot down on the pedal    Girl, girl  ",0.9507,5,2,4,4,4,5,4,5,1,1
5,/songs/1252998,Taio Cruz,Falling in Love,https://genius.com/Taio-cruz-falling-in-love-lyrics,http://api.genius.com/songs/1252998,Rokstarr,2010-11-10,"It must be love Because we are too afraid to say It must be love And so we paint everything in gray  Lets not lose this chance Hold on to my hands Lets not waste this time  Cause today Is a great day For falling in love Cause today Is a great day For falling in love, for falling in love  It must be hard To know the we'll never be the same It must be hard To take this on on a leap of faith  Lets not lose our way Lets not wait to say How we feel inside  Cause today Is a great day For falling in love Cause today Is a great day For falling in love, 5x Cause today Is a great day For falling in love, falling in love  When you're falling, falling Just don't let go When you're falling, falling Just don't let go  Lets not lose this chance Hold on to my hands Lets not waste this time  Cause today  Is a great day For falling in love Cause today Is a great day For falling in love, falling in love Falling in love, falling in love Falling in love  Cause today Is a great day For falling in love, falling in love",0.9988,3,4,6,4,18,26,20,23,5,3
6,/songs/598306,Taio Cruz,Fast Car,https://genius.com/Taio-cruz-fast-car-lyrics,http://api.genius.com/songs/598306,TY.O,2012-12-16,"I'm in a battle with my heartbeat The more I struggle the more I get deep I go full throttle down the dark streets And there is trouble ahead I get weak It's like I'm running through a red light Girl you know you make me weak I should be hittin' all the brake lights Hold up, hold up oh!  Girl you really turn me on, on, on, on You know you make my engine run, run, run, run And there's no turning back cause We've gone too far I'll drive you like a fastcar  Girl you really turn me on, on, on, on You know you make my engine run, run, run, run And there's no turning back cause We've gone too far I'll drive you like a fastcar  It isn't like me to get caught up But when you running you're never quite free I wasn't really meant to find love But now you found me and got me all weak It's like I'm running through a red light Girl you know you make me weak I should be hittin' all the brake lights Hold up, hold up oh!  Girl you really turn me on, on, on, on You know you make my engine run, run, run, run And there's no turning back cause We've gone too far I'll drive you like a fastcar  Girl you really turn me on, on, on, on You know you make my engine run, run, run, run And there's no turning back cause We've gone too far I'll drive you like a fast car (oh oh oh oh, oh oh oh oh) I'll drive you like a fast car  I'm in a battle with my heartbeat The more I struggle the more I get deep I go full throttle down the dark streets And there is trouble ahead I get weak I get weak I get weak  Girl you really turn me on, on, on, on You know you make my engine run, run, run, run And there's no turning back cause We've gone too far I'll drive you like a fastcar  Girl you really turn me on, on, on,on You know you make my engine run, run, run, run And there's no turning back cause We've gone too far I'll drive you like a fastcar (oh oh oh oh, oh oh oh oh) I'll drive you like a fastcar!",-0.9663,6,0,0,2,2,6,6,4,0,1
7,/songs/1377498,Taio Cruz,Feel Again,https://genius.com/Taio-cruz-feel-again-lyrics,http://api.genius.com/songs/1377498,Rokstarr,2010-11-10,"I believe that in time my heart will heal again And I believe that in time my heart will feel again So I keep on holding on, yeah So I keep on being strong, yeah  'Cause I know one day I'm gonna feel again I know one day I'm gonna feel again And I know although my heart hurts now I'll find a way to get up off the ground Cause I know that one day I'm gonna feel again  I believe that this heart of mine can make it through And I believe that my heart can make it over you So I keep on holding on, yeah So I keep on being strong, yeah  'Cause I know one day I'm gonna feel again I know one day I'm gonna feel again And I know although my heart hurts now I'll find a way to get up off the ground Cause I know that one day I'm gonna feel again  And though it's hard for me to breathe And even harder to believe I know that one day I'm gonna find I'm gonna be just fine  'Cause one day I'm gonna feel again I know one day I'm gonna feel again And I know although my heart hurts now I'll find a way to get up off the ground Cause I know that one day I'm gonna feel again",0.6705,3,2,0,3,1,3,1,3,0,4
8,/songs/58045,Taio Cruz,Hangover,https://genius.com/Taio-cruz-hangover-lyrics,http://api.genius.com/songs/58045,TY.O,2011-10-04," I got a hangover, wo-oh! I've been drinking too much for sure I got a hangover, wo-oh! I got an empty cup, pour me some more So I can go until I blow up, eh And I can drink until I throw up, eh And I don't ever ever want to grow up, eh I wanna keep it going, keep, keep it going, going, going, going!   I got a little bit trashed last night, night I got a little bit wasted, yeah yeah I got a little bit mashed last night, night I got a little shit faceted, yeah yeah (well) Oh oh oh oh oh I'm on the roof If you don't know Well now you know   I got a hangover, wo-oh! I've been drinking too much for sure I got a hangover, wo-oh! I got an empty cup, pour me some more So I can go until I blow up, eh And I can drink until I throw up, eh And I don't ever ever want to grow up, eh I wanna keep it going, keep keep it going, come on!   Drink up, 'cause a party ain't a party 'till you ride out through it End up on the floor with cameraman you clueless Officer like what the hell is you doing? Stumbling, fumbling, you wanna what? Come again Give me Henn, give me gin, give me liquor Give me champagne bubbles 'till I'm bent What happens after that? If you inspired then tell a friend Like oh my homie Taio, we can all sip again Get it in and again and again, leave evidence Wasted, so what? Irrelevant Beer keg to the head, who's selling it I got a hangover, that's my medicine Don't mean to brag or sound too intelligent A little Jack can't hurt this veteran I show up but I never throw up So let the drinks pour up, pour up   I got a hangover, wo-oh! I've been drinking too much for sure I got a hangover, wo-oh! I got an empty cup, pour me some more So I can go until I blow up, eh And I can drink until I throw up, eh And I don't ever ever want to grow up, eh I wanna keep it going, keep keep it going, come on!   I got a hangover, wo-oh! I've been drinking too much for sure I got a hangover, wo-oh! I got an empty cup, pour me some more So I can go until I blow up, eh And I can drink until I throw up, eh And I don't ever ever want to grow up, eh I wanna keep it going, keep keep it going, come on!",0.8624,6,4,4,2,8,13,16,4,2,16
9,/songs/3207820,Taio Cruz,Higher,https://genius.com/Taio-cruz-higher-lyrics,http://api.genius.com/songs/3207820,Rokstarr,2010-11-10," Now I know how to get down on the floor, floor Experienced in moves you can't ignore, 'nore But something 'bout this beat that's got me hooked, hooked Come over here and take a closer look, look   Cause I can't get enough, I can't get enough I can't stay on the ground Woah, I can't get enough, I can't get enough This is taking me now   It's taking me higher, higher Higher off the ground It's taking me higher, higher Higher off the ground   I do this just for kicks, just for the thrill, thrill I got this high without takin' a pill, pill This groove has got me way over the sun, sun I'm dancin' like I am the only one, one   Cause I can't get enough, I can't get enough I can't stay on the ground Woah, I can't get enough, I can't get enough This is taking me now   It's taking me higher, higher Higher off the ground It's taking me higher, higher Higher off the ground The music's got me going higher I feel like I can touch the sky...   It's taking me higher, higher Higher off the ground It's taking me higher, higher Higher off the ground It's taking me higher, higher Higher off the ground It's taking me higher, higher Higher off the ground",0.9268,2,4,0,2,5,5,9,1,4,15
