,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/1701000,Take That,6 in the Morning Fool,https://genius.com/Take-that-6-in-the-morning-fool-lyrics,http://api.genius.com/songs/1701000,Beautiful World,2007-10-22," I walk along these tired streets That I walked the night before I cleared my head a thousand times Whilst staring at your door I tore up your photograph And found myself taping it back together again Can we start again?   Cause the road is cold And the sun's too bright And the sunglasses on my face I can't hide behind I can't hide behind   This is my wake-up calling This is my way of falling Back into love with you I'm a 6 in the morning fool My feet are tired of walkin' My words are tired of talkin' I'm back in love with you I'm a 6 in the morning fool   Days are nights and nights are days And what are afternoons? My only company is staring at the evening news My friends try to take me out To talk to me out of you and me getting together again Yeah, they call themselves friends   All the lights are out And the stores are closed But the day is coming And I'm the only one that knows I'm the only one that knows   This is my wake-up calling This is my way of falling Back into love with you I'm a 6 in the morning fool My feet are tired of walkin' My words are tired of talkin' I'm back in love with you I'm a 6 in the morning fool   Baby could you come outside We can watch the red sunrise Even if you say goodbye I know that I have tried I've tried to tell you Got to tell you   This is my wake-up calling This is my way of falling Back into love with you I'm a 6 in the morning fool My feet are tired of walkin' My words are tired of talkin' I'm back in love with you I'm a 6 in the morning fool  Yeah, yeah I'm a 6 in the morning fool  This is my wake-up calling This is my way of falling Back into love with you I'm a 6 in the morning fool My feet are tired of walkin' My words are tired of talkin' I'm back in love with you I'm a 6 in the morning fool",-0.8016,0,6,9,3,13,25,19,4,1,8
1,/songs/2393194,Take That,84,https://genius.com/Take-that-84-lyrics,http://api.genius.com/songs/2393194,None,2009-03-02," '84 was a pretty good year I lost my heart back then in 1984 was a pretty good year I lost my heart to 1984   It was 1984 And I was nearly 16 years old Thatcher was the minister in charge All the miners were on strike And my dad had gone away And the Smiths were riding high up in the charts It was there on Broad Oak Road While I was waiting in the cold For my mate when you came along And heaven knows that it was like a heart attack That year when you said to me   ""If you give a little bit more Just a little bit more You'll get a little bit more If you try a little bit harder Just a little bit harder Then you'll get it for sure You'll get it for sure""   I was nervous, I was sweating Seemed like she was on a mission When she took me by the hand up to her room There were posters on her wall I saw flowers in her hair But I never got the chance to see them bloom Cause the clocks stopped And the years rolled by But the time never left my mind When she said   ""If you give a little bit more Just a little bit more You'll get a little bit more If you try a little bit harder Just a little bit harder Then you'll get it for sure You'll get it for sure""   24 years later And we're in the hands of Labour And we've got 10,000 troops out in Iraq I am living now in London And, at present, I am single And it took my dad a long time to come back   '84 was a pretty good year I lost my heart back then in 1984 was a pretty good year I lost my heart to 1984   If you give a little bit more Just a little bit more You'll get a little bit more If you try a little bit harder Just a little bit harder Then you'll get it for sure You'll get it for sure   1984 (1984) 1984 (1984) 1984 (1984) 1984 (1984)",0.9813,2,15,0,2,10,8,12,4,6,13
2,/songs/1318679,Take That,Affirmation,https://genius.com/Take-that-affirmation-lyrics,http://api.genius.com/songs/1318679,Progress,2010-11-15," It's just a fraction of time Until we move in reverse Can feel the pressure on all our minds And the whole Universe Is it a question of force? A metaphysical law? We've had this battle a thousand times Never been here before And never been here before   Ain't got the strength to fight anymore Got no desire to die anymore I need an affirmation I want to see you again, again, again Ain't got the strength to fight anymore Don't even know what I'm fighting you for I need an affirmation (I need an affirmation)   We're at the end of the line At the start of the race I want to swim where the water falls Off the edge of your face I'm reaching out for the light Past the silhouette of you In the cold reflection of time Is a point of view Is a point of view Can you see me, like I see you? Can you see me, like I see you? Can you see me, like I see you?   Ain't got the strength to fight anymore Got not desire to die anymore I need an affirmation I wanna see you again, again, again Ain't got no strength to fight anymore Don't even know what I'm fighting you for I need an affirmation (I need an affirmation)   I wanna fill you with love I wanna see you survive Just take a second to know yourself For the rest of your life We're just a minute away From the place that we wanna be We're not really falling appart, we're just incomplete We're not really falling appart, we're just incomplete We're just incomplete We're just incomplete   I need an affirmation (I need an affirmation) I need an affirmation (I need an affirmation) I need an affirmation (I need an affirmation) I need an affirmation I wanna see you again, again, again, again, again",-0.9659,8,5,0,8,2,15,24,5,0,8
3,/songs/883335,Take That,Ain't No Sense in Love,https://genius.com/Take-that-aint-no-sense-in-love-lyrics,http://api.genius.com/songs/883335,Beautiful World,2006-11-24," I'm afraid of the morning I'm afraid of the light You should come with a warning You should be wearing a sign That says you're beautiful trouble So you better beware One look and I was in right over my head   Oh, this misery There's no place on earth I'd rather be   Cause you're not the one I need You're just the one that I want Makes a perfect sense to me Cause you're not the one I need But you're the one that I want There ain't no sense in love Ain't no sense in love   I try to stop myself So many times But I keep falling over Yeah, I keep crossing the line The heart of a gypsy and the soul of a stone It's just a matter of time before you leave me alone   Sweet misery Fill my heart up and pour it all over me   You're not the one I need You're just the one that I want Makes a perfect sense to me Cause you're not the one I need But you're the one that I want There ain't no sense in love Ain't no sense in love   It's not logical That's the way I feel (It's not logical Psychological) It's heaven underneath my skin But it's hell out here It's hell out here There's no sense in love   Cause you're not the one I need You're just the one that I want Makes a perfect sense to me Cause you're not the one I need But you're the one that I want There ain't no sense in love Ain't no sense in love You're just the one that I want Makes perfect sense to me Ain't no sense in love No sense in love",0.9921,5,8,4,8,15,11,30,6,2,6
4,/songs/1568818,Take That,Aliens,https://genius.com/Take-that-aliens-lyrics,http://api.genius.com/songs/1568818,Progressed,2011-06-13," No one would've believed in the first years of the 21st century that humans were becoming transformed into machines Floating and [?] Here we go To your places Alien alien alien alien alien alien alien alien   Through the carnage of the crash Baby I'm with you And the photos in the flash Baby I'm with you Through violent seas Baby I'm with you Until release Baby I'm with you   And all the animals in the park Are waiting for their dinner to come And all the creatures in the dark Are waiting for the light to come on   We are the aliens, we are, we are, we are alien God loves the aliens, we are, we are, we are alien All the animals in the park, alien And all the strangers that wake up the in the dark Are waiting for the light to come on   Alien alien Through electronic desire Baby I'm with you And the elements of fire Baby I'm with you Through everything Baby I'm with you   All the counterfeited scream tonight When all the elevated Become illuminated   We are the aliens, we are, we are, we are alien God loves the aliens, we are, we are, we are alien All the animals in the park, alien And all the strangers that wake up in the dark Are waiting for the light to come on   Alien alien alien alien alien alien alien We are the [?], we are alien We are the [?], we are alien   We are the aliens, we are, we are, we are alien God loves the aliens, we are, we are, we are alien All the animals in the park, alien (We are the aliens, we are, we are, we are alien) And all the strangers that wake up in the dark (God loves the aliens, we are, we are, we are alien)",0.887,3,4,42,51,15,46,17,6,4,6
5,/songs/1147125,Take That,All I Want Is You,https://genius.com/Take-that-all-i-want-is-you-lyrics,http://api.genius.com/songs/1147125,Everything Changes,1994-05-17,If you believe that you really need someone That always will be true So what's the problem of finding this someone I need somebody too I need a chance to prove to you All the things I say and do I only do to make you happy And in my mind I've made the plans As soon as we both get the chance I will make all these things happen  If all you want is me then all I want is you If all you want is me then all I want is you If all you want is me then all I want is you I want you girl If all you want is me then all I want is you I want you lady  Don't make excuses don't tell me sad stories Let's get things sorted out Don't change your mind Don't let a big chance get smaller In this dream there's no doubt We need a day to be alone Say the things that are unknown I only want to make you happy And in my mind I've made the plans As soon as we both get the chance I will make all these things happen  If all you want is me then all I want is you If all you want is me then all I want is you If all you want is me then all I want is you If all you want is me then all I want is you Yeah If all you want is me then all I want is you I want you girl If all you want is me then all I want is you I want you lady If all you want is me then all I want is you I want you girl If all you want is me then all I want is you Yeah  If all you want is me then all I want is you If all you want is me then all I want is you,0.9833,0,7,0,4,3,4,8,2,4,8
6,/songs/1594986,Take That,All That Matters To Me,https://genius.com/Take-that-all-that-matters-to-me-lyrics,http://api.genius.com/songs/1594986,Nobody Else,1995-07-24,"Now that you're older and girl I'm older too (yeah yeah) Baby I'll still have those feelings, those feelings for you  Cos you are all that matters to me You're all that matters (all that matters to love) You're all that matters to love (all that matters to me without your love where would I be?) Where would I be? Where would I be?  Girl can't you see, I'm so close to surrender This lady has changed, from the girl I remember Now you're all that I could ever dream and more This is a lifetime of love I'm so sure  Cos you are all that matters to me You are all that matters to love You are all that matters to me Without your love where would I be  Baby I found mmm, a drean that's making me stronger (making me stronger) I've looked and I've realised, that noone's taking me from ya Now you gave me more than all my dreams come true Where would I be now baby without you?  Cos you are all that matters to me You're all that matters (all that matters to love) You're all that matters to love (all that matters to me without your love where would I be?) Where would I be? Where would I be?  Cos you are all that matters to me You're all that matters (all that matters to love) You're all that matters to love (all that matters to me without your love where would I be?) Where would I be? Where would I be?  Now you are all that I could ever dream and more And baby you know that this is a life time of love I'm sure Life time of love You know that baby it's a life time (baby it's a life time) of love It's a life time of love  Cos you are all that matters to me You're all that matters (all that matters to love) You're all that matters to love (all that matters to me without your love where would I be?) Where would I be? Where would I be?",0.998,2,7,2,3,29,3,29,5,2,4
7,/songs/1791216,Take That,Amazing,https://genius.com/Take-that-amazing-lyrics,http://api.genius.com/songs/1791216,III,2014-11-28," Nobody knows, if I told you, you'd laugh out loud If you heard her voice calling your name You'd never be the same Nothing was new and nowhere was safe and sound And then she arrived, oh, just in time To save this heart of mine Oh, I'd waited all my life   All I know is Nobody knows it feels so amazing And nobody else got my story to tell My head's in the clouds I'm no longer chasing And nobody knows that it feels so amazing   Maybe she knows, and maybe she'll soon be mine In a perfect world, you know that this girl would be right here tonight Weighing heavy on my mind   All I know is Nobody knows it feels so amazing And nobody else got my story to tell My head's in the clouds I'm no longer chasing And nobody knows that it feels so amazing And nobody knows that it feels so amazing   Maybe my heart and my head are colliding Or maybe it's more than I dare to believe Don't ever let me forget what I'm feeling Or wake up to find that it's all just a dream   Now all I know is Nobody knows it feels so amazing And nobody else got my story to tell My head's in the clouds that I'm no longer chasing And nobody knows that it feels so amazing And nobody knows that it feels so amazing   Feels so amazing",0.9947,1,4,1,1,5,2,6,1,2,6
8,/songs/1477821,Take That,A Million Love Songs,https://genius.com/Take-that-a-million-love-songs-lyrics,http://api.genius.com/songs/1477821,Take That & Party,1992-08-17,"Put your head against my life What do you hear? A million words just trying to make The love song of the year Close your eyes but don't forget What you have heard A man who's trying to say three words The words that make me scared  A million love songs later And here I am trying to tell you that I care A million love songs later And here I am, here I am Million love songs later And here I am  Looking to the future now This is what I see Million chances pass me by Million chances to hold you Take me back, take me back To where I used to be And hide away from all my truths Through the light I see  A million love songs later And here I am trying to tell you that I care Million love songs later Here I am, just for you, girl Million love songs later Here I am  I feel for you baby, I feel for you baby  A million love songs later And here I, here I am",0.9961,0,0,0,1,10,1,15,0,2,5
9,/songs/2983968,Take That,And the Band Plays,https://genius.com/Take-that-and-the-band-plays-lyrics,http://api.genius.com/songs/2983968,Wonderland,2017-03-24," If life was simple Every day like Sunday afternoon There'd be no reason To wake up, fight back, be a better you   Come dance by the fire 'Til you're feeling higher Than the State of Empire Let that New York feeling Kill your pain into your ears Let the rhythm dry your tears As the world stops   And the band plays Walking to the light all of a sudden And the band plays Always making something out of nothing Turn your heartache into loving And the band plays   Beware the straight roads Or they'll catch you sleeping at the wheel The warning sirens are more than sounds There's something you can feel   Come let down your hair Let your despair be shared You can dance in your bed Let that downtown feeling Kill your pain and all your fears Let the rhythm dry your tears As the work stops   And the band plays Walking to the light all of a sudden And the band plays We're always making something out of nothing Turn your heartache into loving And the band plays   And the band plays Boom boom boom Pow wow wow Crashing on the cymbals And the band plays Boom boom boom Pow wow wow Can you hear the trumpets Screaming at the trombones Walking to the light all of a sudden And the band plays You know we're always making something out of nothing Turn your heartache into loving And the band plays",0.9501,9,4,5,15,8,17,11,11,7,8
10,/songs/1161517,Take That,Angels,https://genius.com/Take-that-angels-lyrics,http://api.genius.com/songs/1161517,None,2017-02-17,I sit and wait Does an angel contemplate my fate And do they know The places where we go When we're grey and old Cause I've been told That salvation lets their wings unfold  So when I'm lying in my bed Thoughts running through my head And I feel that love is dead I'm loving angels instead  And through it all she offers me protection A lot of love and affection Whether I'm right or wrong And down the waterfall Wherever it may take me I know that life won't break me When I come to call she won't forsake me I'm loving angels instead  When I'm feeling weak And my pain walks down a one way street I look above And I know I'll always be blessed with love  And as the feeling grows She breathes flesh to my bones And when love is dead I'm loving angels instead  And through it all she offers me protection A lot of love and affection Whether I'm right or wrong And down the waterfall Wherever it may take me I know that life won't break me When I come to call she won't forsake me I'm loving angels instead  And through it all she offers me protection A lot of love and affection Whether I'm right or wrong And down the waterfall Wherever it may take me I know that life won't break me When I come to call she won't forsake me I'm loving angels instead,0.9884,3,13,4,3,24,12,28,6,11,17
11,/songs/1590261,Take That,Another Crack In My Heart,https://genius.com/Take-that-another-crack-in-my-heart-lyrics,http://api.genius.com/songs/1590261,Everything Changes,1994-05-17," I am just one man With just one pair of eyes I dress in normal clothes And I don't try to disguise I'm looking out for love However it may seem I never do return In the always-winning team   Maybe I should try to live alone (maybe I should try) Or raise the flag of mercy to unknown Maybe I should run and hide away (maybe I should run) Until another day   Another crack in my heart Another picture on the wall Another way to spend an evening When there's no one there at all Another kiss to say goodbye Another cross upon the chart Another suitcase at the door Another crack in my heart   I've had my spills and thrills of love And held it in my hand I held on tight until it broke, and I crashed to the ground Love cannot be on my side It's clearer everyday That everytime I reach for love It always runs away   Maybe I should try to live alone (maybe I should try) Or raise the flag of mercy to unknown Maybe I should run and hide away (maybe I should run) Until another day   Another crack in my heart Another picture on the wall Another way to spend an evening When there's no one there at all Another kiss to say goodbye Another cross upon the chart Another suitcase at the door Another crack in my heart   Another picture on the wall Way to spend an evening When there's no one there at all Kiss to say goodbye Cross upon the chart Suitcase at the door Another crack in my heart   Another crack in my heart Another picture on the wall Another way to spend an evening When there's no one there at all Another kiss to say goodbye Another cross upon the chart Another suitcase at the door Another crack in my heart",0.9765,4,8,1,10,10,14,13,6,6,8
12,/songs/1596734,Take That,Babe,https://genius.com/Take-that-babe-lyrics,http://api.genius.com/songs/1596734,Everything Changes,1994-05-17," I come to your door To see you again But where you once stood Was an old man instead I asked where you'd be He said ""she's moved on, you see All I have is a number You'd better ask her, not me""   So I picked up the phone And dialled your number Not sure to put it down or speak Then a voice I once knew answered In a sweet voice She said hello then paused Before I began to speak   Babe (babe) I'm here again (I'm here again) I tell you I'm here again (babe) Where have you been (where have you been) Babe (babe) I'm back again I tell you I'm back again (babe) Where have you been   You held your voice well There were tears I could tell But where were you now Was you gonna tell me in time Just give me a town And I'll be straight down I've got so much to tell you About where I have been   As I walk down your road Can't wait to be near you (I) I can't keep (I) the feeling inside (I can't keep it inside) As I stand at your door You answer in a sweet voice You say hello then pause Before I begin to speak   Babe (babe) I'm here again (I'm here again) I tell you I'm here again (babe) Where have you been (where have you been) Babe (babe) I'm back again I tell you I'm back again (babe) Where have you been   As you looked away I saw a face behind you A little boy stood at your door (boy stood at your door) And when I looked again I saw his face was shining He had my eyes (my eyes) He had my smile (my smile)   Babe (babe) I'm back again (I'm here again) I'm back again (babe) Where have you been (where have you been) Babe (babe) please take me back (I'm back again) Take me back (babe) Back home again  Babe (babe) I'm back again (I'm here again) Can't you see that I'm back again (babe) I'm here for you (where have you been) Babe (babe) just me and you (I'm back again) You and me (babe)",0.9679,1,6,3,1,6,4,6,1,5,5
13,/songs/156619,Take That,Back for Good,https://genius.com/Take-that-back-for-good-lyrics,http://api.genius.com/songs/156619,Nobody Else,1995-03-27," I guess now it's time for me to give up I feel it's time Got a picture of you beside me Got your lipstick mark still on your coffee cup Got a fist of pure emotion Got a head of shattered dreams Gotta leave it, gotta leave it all behind now   Whatever I said, whatever I did I didn't mean it I just want you back for good (Want you back, want you back, want you back for good) Whenever I'm wrong just tell me the song and I'll sing it You'll be right and understood (Want you back, want you back, want you back for good) I want you back for good   Unaware but underlined I figured out this story (No, no) It wasn't good (No, no) But in the corner of my mind (corner of my mind) I celebrated glory But that was not to be In the twist of separation you excelled at being free Can't you find (Can't you find) A little room inside for me   Whatever I said, whatever I did I didn't mean it I just want you back for good (Want you back, want you back, want you back for good) See I want you back for good Whenever I'm wrong just tell me the song and I'll sing it You'll be right and understood (Want you back, want you back, want you back for good) I want you back for good   And we'll be together, this time is forever We'll be fighting and forever we will be So complete in our love We will never be uncovered again   Whatever I said, whatever I did I didn't mean it I just want you back for good Whenever I'm wrong just tell me the song and I'll sing it You'll be right and understood   I guess now it's time, that you came back for good",0.993,1,21,0,0,18,8,18,6,16,16
14,/songs/1441146,Take That,Beatles Medley,https://genius.com/Take-that-beatles-medley-lyrics,http://api.genius.com/songs/1441146,None,2017-02-17,"I WANNA HOLD YOUR HAND Oh yeah, I'll tell you something I think you'll understand When I say that something I wanna hold your hand  I wanna hold your hand I wanna hold your hand I wanna hold your hand  Oh please say to me You'll let me be your man And please say to me You'll let me hold your hand  Now let me hold your hand I wanna hold your hand  And when I touch you I feel happy inside It's such a feeling my love I can't hide  HARD DAYS NIGHT It's been a hard day's night And I've been working like a dog It's been a hard days night I should be sleeping like a log You know I work all day, to get you money, to buy you things And it's worth it just to hear you say: ""you are gonna give me everything"" Why on earth should I mean, 'cause when I get you alone You know I feel alright When I'm home, everything seems to be all right When I'm home, feeling you holding me tight  SHE LOVES YOU So if you think you've lost your love, well I saw her yesterday It's you she's thinking of, and she told me what to say She says she loves you, and you know that can't be bad Yes, she loves you and you know you should be glad  She loves you yeah yeah yeah She loves you yeah yeah yeah She loves you yeah yeah yeah And with a love like that You know you should be glad  I FEEL FINE Baby's good to me you know She's happy as can be you, she said so I'm in love with her and I feel fine Baby says she's mine you know She tells me all the times you know, she said so I'm in love with her and I feel fine I'm so glad that she's my little girl She's so glad, she's telling all the world That her baby buys her thing you know He buys her diamond things you know She said so She's in love with me and I feel fine  GET BACK Jojo was a man who thought he was a loner But he knew it couldn't last Jojo left his home in Tugson, Arizona For some Californian grass  Get back Get back Get back To where you once belonged  Sweet Loretta Martin thought she was a woman But she was another man All the girls around her said she's got it coming But gets it while she can Get back Get back Get back To where you once belonged  HEY JUDE Hey Jude, don't make it bad Take a sad song and make it better Remember to let her into your heart Then you can start to make it better Hey Jude, don't be afraid You were made to go out and get her The minute you let her under your skin Then you begin to make it better  Any time you feel the pain, hey Jude refrain Don't carry the world upon your shoulders Now you know that's a fool who plays it cool By making his world a little colder  Nanananana hey Jude",0.9975,5,17,5,7,27,8,34,6,5,11
15,/songs/1075913,Take That,Beautiful,https://genius.com/Take-that-beautiful-lyrics,http://api.genius.com/songs/1075913,Progressed,2011-06-13," Let all that's simple pass you by Let all that lives be free to die We're all, we're all key to life Face all that rage and history It makes no sense to you and me We're all, we're all free to fight   I broke all my vows, my common sense Says find vocation somewhere else   This should've been so beautiful Should've been my proudest moment How to have and lose you all How to be a disappointment Save your cheers and my applause I never was worth fighting for This should've been so beautiful Been so beautiful It could've been so beautiful tonight   Lay all that's sinful down to rest May all our judgements be confessed We're all, we're all guilty now Drink for the crowd not for yourself Til someone hears your cry for help Let's all, let's all take a bow   I spent all my mind on making sense It made no difference in the end   This should've been so beautiful Should've been my proudest moment How to have and lose you all How to be a disappointment Save your cheers and my applause I never was worth fighting for This should've been so beautiful Been so beautiful It could've been so beautiful   Tonight, I close my eyes and I am somebody else Tonight, I close my eyes and I don't need any help Every moment of laughter Every moment I fear Every moment that you're not here This should've been so beautiful Been so beautiful This should have been so beautiful   This should've been so beautiful Should've been my proudest moment How to have and lose you all How to be a disappointment Save your cheers and my applause I never was worth fighting for This should've been so beautiful Been so beautiful It could've been so beautiful tonight",0.9983,11,5,7,8,26,18,34,11,10,11
16,/songs/1227731,Take That,Beautiful Morning,https://genius.com/Take-that-beautiful-morning-lyrics,http://api.genius.com/songs/1227731,Beautiful World,2007-10-22," Day through my window Sunlight's breaking through my eyes I'm still sleeping Dreaming for the band to play   I can hear it, yeah I can feel it in my soul Like a rocket in the sky   It's a beautiful morning (a beautiful day) It's a beautiful place for us to start A beautiful morning (a beautiful day) A beautiful way to lose your heart   Time flies, the sun shines Behind me forgiveness everywhere I am breathing, believing The love is always there   Can you feel it? Yeah Can you feel it in the air? Like a rocket, I'm so high   It's a beautiful morning (a beautiful day) It's a beautiful place for us to start A beautiful morning (a beautiful day) A beautiful way to lose your heart   Just the day to take it easy on yourself, my friend Just the day to say I think of no one else but you   Oh, can you feel it? Yeah Can you feel it touching down? Like a rocket on the moon   It's a beautiful morning A beautiful place for us to start A beautiful morning A beautiful way to lose your heart  It's a beautiful morning (a beautiful day) A beautiful place for us to start A beautiful morning (a beautiful day) What a beautiful way to lose your heart   What a beautiful beautiful morning What a beautiful beautiful day What a beautiful beautiful morning",0.9991,7,6,4,4,31,4,34,4,5,3
17,/songs/1036950,Take That,Beautiful World,https://genius.com/Take-that-beautiful-world-lyrics,http://api.genius.com/songs/1036950,Beautiful World,2006-11-24," Here standing in the rain The sun has gone again and nothing's gonna change Time, I need a little time as you slip out of sight And nothing heals the pain   And I know that it's you that's stopping me from falling Crashing down, losing ground 'til I see you again And you know   The sun will shine, and we will see There's nothing standing in our way Love will stand and never break Never thought this could be me Do you feel what I feel Every time that you are near It's a beautiful world A beautiful world   Words are hard to keep inside Even though I've tried Impossible to hide   And you know that it's me that's stopping you from falling Crushing down, losing ground 'til I see you again And you know   The sun will shine, and we will see There's nothing standing in our way Love will stand and never break Never thought this could be me Do you feel what I feel Everytime that you are near It's a beautiful world A beautiful world   I'll be the stars guiding you I'll be the place that you hide I'd run a thousand miles, a thousand miles To be by your side   The sun will shine, and we will see There's nothing standing in our way Love will stand and never break Never thought this could be me Do you feel what I feel Everytime that you are near It's a beautiful world A beautiful world  Do you feel what I feel Everytime that you are near It's a beautiful world A beautiful world  It's a beautiful world A beautiful world It's a beautiful world A beautiful world It's a beautiful world",0.9954,3,11,1,5,21,8,29,6,8,8
