,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/401369,The All-American Rejects,11:11pm,https://genius.com/The-all-american-rejects-11-11pm-lyrics,http://api.genius.com/songs/401369,Move Along,2006-09-19," All the windows swear to miss you And the doors are cell block tight Sweet sedation, sweep the issues And the clock's about to strike Did it call you down, are you back just yet? Waiting now, please come, set me free And the only sound is a minute left   This could be, this could be the last time   It's a chance to fix mistakes One more for the last time Does it blow our dreams away? Don't waste this chance with your smile 10 seconds left on this dial This could be the last time   Along the staircase, I dream to hear you In a whisper quiet room Space the thinking, space to scream to But the echoes sound like you Not the stars at night, in a pitch black sky I don't know just wants to see you But the time is right and it only flies   This could be, this could be the last time   It's only us, it's only now A simple wish, it's only tonight This could be the last time Now I've made our last mistake   One more for the last time (This could be, this could be) Does it blow our dreams away (This could be, this could be)   Don't waste this chance with your smile (This could be, this could be) 10 seconds left on this dial (This could be, this could be) This could be the last time   It's only us, it's only now It's only tonight",2,11,3,1,4,7,10,4,7,8,0.9624
1,1,/songs/397746,The All-American Rejects,Affection,https://genius.com/The-all-american-rejects-affection-lyrics,http://api.genius.com/songs/397746,Kids in the Street,2012-10-15," I always wonder where you are I'm right beside you, you're so far away Moments you're not facing me Moments you're not chasing me I don't believe in good good-byes Cause even when the roses die There's still some thorns left in your side It's like a funeral for the bride And i know candy girls, yeah they just rot your teeth, but I've always been such a sucker for sweets I need affection   All I want right now is affection I don't mean to point your direction Girl it's not what you do What you don't do makes me have to talk to you about affection I need affection   Somewhere alone is when I died On the banks of some canal Yeah the river bed of tears i tried to ride And even fools will believe in lies And if every word you ever said were true You'd be my god and i'd just pray to you for affection   All I want right now is affection I don't mean to make a confession Girl it's not what you do What you don't do makes a man come unglued Oh, affection, I need affection   Why won't you dance with me? (covered in gas you couldn't catch fire) There's no more romance with me (I know there's someone else burning in your eyes) You don't think I see you But I see right through you, baby   Whoa, affection All I wanted was affection All I needed was affection What you do (what you do) What you do (what you do) Where would you go? Affection Yeah, yeah, yeah, yeah, yeah, yeah  And don't think I see you I see right through you You don't think i see you But I do",2,9,3,7,22,7,32,6,7,31,0.9972
2,2,/songs/397657,The All-American Rejects,Another Heart Calls,https://genius.com/The-all-american-rejects-another-heart-calls-lyrics,http://api.genius.com/songs/397657,When The World Comes Down,2009-06-08,"Do you remember when we didn't care We were just two kids that took the moment when it was there Do you remember you at all Another heart calls  Yeah I remember when we stole the night We'd lie awake but dreaming 'til the sun would wash the sky Just as soon as I see you But didn't I, but didn't I tell you As deep as I need you You wanna leave it all  What can I do? Say it's true Or everything that matters breaks in two Say it's true I'll never ask for anyone but you  Talk to me I'm throwing myself in front of you This could be the last mistake That I would ever wanna do Yeah all I ever do is give it's time you see my point of view  Just as soon as I see you But didn't I, but didn't I tell you As deep as I need you You wanna leave it all  What can I do? Say it's true Or everything that matters breaks in two Say it's true I'll never ask for anyone but you But I know what you want is to figure it out And God knows I do too What can I do? Say it's true I'll never ask for anyone but you Oh, oh, oh, oh, oh, oh, oh, oh Na, na, na, na, na, na  I'm sorry So what? But you don't think I've said enough I'm sorry I don't care You were never there As soon as I see you But didn't I, but didn't I tell you As deep as I need you You wanna leave it all  What can I do? Say it's true Or everything that matters breaks in two Say it's true I'll never ask for anyone but you But I know what you want is to figure it out And God knows I do too What can I do? Say it's true I'll never ask for anyone but you Oh, oh, oh, oh, oh, oh, oh, oh I'll never ask for anyone but you Oh, oh, oh, oh, oh, oh, oh, oh I'll never ask for anyone but you Oh, oh, oh, oh, oh, oh, oh, oh I'll never ask for anyone but you Oh, oh, oh, oh, oh, oh, oh, oh I'll never ask for anyone but you Oh, oh, oh, oh, oh, oh, oh, oh I'll never ask for anyone but you",1,4,1,2,11,5,15,5,7,13,0.9854
3,3,/songs/397660,The All-American Rejects,Back To Me,https://genius.com/The-all-american-rejects-back-to-me-lyrics,http://api.genius.com/songs/397660,When The World Comes Down,2009-06-08, Hey you So you never really found your way Stay true Did you ever make it through today That when I think about a day without it Everyday's the same You wish that you could find someone But I'm the only one to blame   Can't you see I beg and plead Cause when your eyes light up the skies at night I know you're gonna find your way back to me   No don't Don't you ever let a piece of me down Cause time won't Get back when I'm never around When we live between so many walls That I can barely breathe You say that you just want someone But I'm the only one you need   Can't you see I Beg and plead Cause when your eyes light up the skies at night I know you're gonna find your way If it's me That you don't need When the lights go out tonight I know You're never gonna find your way   Soon when I get you I won't let you go Oooh if I let you You can take away all that I thought was wrong And if you hear me there's not much to say There's gotta be a better way   Can't you see I beg and plead Cause when your eyes light up the sky tonight I know you're going to find your way back to me Can't you see I beg and plead Cause when the lights go out tonight I know you're never gonna find your way If it's me That you don't need That when the lights go out tonight I know you're never gonna find you way If you pace around the world 'til you're with me And when your eyes light up the skies at night I know you're gonna find your way back to me,1,2,1,0,2,6,10,4,0,6,-0.4588
4,4,/songs/136671,The All-American Rejects,Beekeeper's Daughter,https://genius.com/The-all-american-rejects-beekeepers-daughter-lyrics,http://api.genius.com/songs/136671,Kids in the Street,2012-01-31,"I’ve been known a thousand ways Choked a hundred hearts in half as many days Oh no, I think so And I get so lost inside this city You ugly girls all look so pretty It’s true What am I supposed to do?  I still got you waiting Look out your window What do you see? You don’t see me  You’re a pretty little flower I’m a busy little bee Honey, that’s all you need to see I can take you for an hour But then I’m gonna leave Honey I know you’ll wait for me  You’re all alone but you understand That we’re too young to start making plans agreeing Monogamy’s not a part of me And I know my line and is just a sin But I swear to you I’m gonna do it again I’m not making any friends  I just wanted you to wait There out your window What do you see? You don’t see me  Cause you’re a pretty little flower But I’m a busy little bee Honey, that’s all you need to see I can take you for an hour Baby then I’m gonna leave Honey I know you’ll wait for me  Pulled out your picture the other day (Oh isn’t that sweet) You didn’t have that much to say (Cause it wasn't even me) Cause I know that you said I’m better off on my own and I’m better off dead  I just want you there to wait Look out your window What do you see? You don’t see me  Come on, come on, come on Pretty little flower I’m a busy little bee Honey that’s all you need to see I can take you for an hour Maybe two or maybe three Honey, I know you’ll wait for me  Honey, that’s all you had to say",4,13,2,4,9,10,21,4,4,13,0.7146
5,5,/songs/398390,The All-American Rejects,Believe,https://genius.com/The-all-american-rejects-believe-lyrics,http://api.genius.com/songs/398390,When The World Comes Down,2009-06-08, I don't ever want to believe I don't ever want to believe yeah That when we die We all leave   Your innocence is not forgotten I hope you know that where you are I wish you well I hope you sleep in a perfect memory You know it's hard I tried I could never say goodbye   I don't ever wanna believe I don't ever wanna believe yeah That when we die We all leave I don't ever wanna let go I hope that you see yeah That there's a part of you that's left inside of me   Yesterday just took me hostage Yesterday locked me away from any truth And now tomorrow's here without you I know it's hard I've tried I could never say goodbye   I don't ever wanna believe I don't ever wanna believe yeah That when we die We all leave I don't ever wanna let go I hope that you see yeah That there's a part of you that's left inside of me That there's a part of you that left inside   I try to push you away But you never push back You know I'll never forget you I never thought I'd say that You made a mess out of me   I don't ever wanna believe I don't ever wanna believe yeah That when we die That we all leave I don't ever wanna believe I don't ever wanna believe yeah That when we die That we all leave I don't ever wanna let go I hope that you see yeah That there's a part of you that's left inside of me ,1,8,1,7,6,14,21,11,10,20,-0.8863
6,6,/songs/397730,The All-American Rejects,Bleed Into Your Mind,https://genius.com/The-all-american-rejects-bleed-into-your-mind-lyrics,http://api.genius.com/songs/397730,Kids in the Street,2012-10-15,"How long has it been since i ripped you These paper cut hands need to stop And lonely's a plague but it skipped you I suffer till you cut me up  Then i bleed into your mind I need to make you blind I bleed into your mind I need you one last time  Well you put yourself together But pieces of you slipped away And somehow forever whenever Put me on my knees at your feet today  And then I bleed into your mind I need to make you blind I bleed into your mind I need you one last time  You'll never forgive me, I can not forgive you Yeah I fill you full of little lies You're still hungry for the truth And I know we've got problems Let's just try to solve them  But they know  In your mind I stay with you I know in time you'll feel it to  Bleed into your mind I need to make you blind I bleed into your mind I need you one last And I bleed into your mind With a love that'll make you blind I bleed into your mind I need you one last",2,5,3,3,1,10,5,4,0,2,-0.971
7,7,/songs/397655,The All-American Rejects,Breakin',https://genius.com/The-all-american-rejects-breakin-lyrics,http://api.genius.com/songs/397655,When The World Comes Down,2009-06-08," Hold on tight Wrap your arms around me til your knuckles are burning white All your tears Couldn't match the bitter taste of all these wasted years You take take Everything that wasn't even yours Wait wait You don't got a hold of me anymore   In a clear view there's a silhouette And I watch you and I can't forget (Knew we were done when you locked that door) Yeah I figured it out now Breaking's what the heart is for When I see you in a silhouette And you hold close, do you feel regret (Keeping me down when I hit that floor) And I figured it out girl Breaking's what your heart is for   (For) so long I've had to bite my tongue but what's the point if the feelings gone I turn my head (I turn my head) A blind eye only sees a memory but all I see is red (all I see is red) Now don't don't Say it didn't happen that way I won't won't Believe another word that you say   In a clear view there's a silhouette And I watch you and I can't forget (Knew we were done when you locked that door) Yeah I figured it out now Breaking's what the heart is for When I see you in a silhouette And you hold close, do you feel regret (Keeping me down when I hit that floor) And I figured it out girl Breaking's what your heart is for Yeah breaking's what your heart is for  And not a soul sleeps Another heart skips a beat It's every note that you wrote And I hope that you choke on the lines You're wasting my time, another heart beats tonight   In a clear view there's a silhouette And I watch you no I'll never forget (Knew we were done when you locked that door) Yeah I figured it out now Breaking's what the heart is for When I see you in a silhouette And you hold close, do you feel regret (Keeping me down when I hit that floor) And I figured it out girl Breaking's what your heart is for Yeah breaking's what your heart is for ",6,11,3,5,3,18,7,6,2,7,0.0209
8,8,/songs/399255,The All-American Rejects,Can't Take It,https://genius.com/The-all-american-rejects-cant-take-it-lyrics,http://api.genius.com/songs/399255,Move Along,2006-09-19," You speak to me I know this will be temporary You ask to leave But I can tell you that I've had enough   I can't take it, this welcome is gone And I've waited long enough to make it And if you're so strong You might as well just do it alone and I'll watch you go   Step up to me I know that you've got something buried I'll set you free You set conditions but I've had enough   Come back home, won't you come back home? You step in line, you've got a lot to prove It comes and goes, ya, it comes and goes A step in time, ya, it's a lot to move   I know this will be temporary I know this will be temporary I know this will be But I've had enough  ",0,3,0,2,0,2,1,2,1,0,0.9525
9,9,/songs/397771,The All-American Rejects,Change Your Mind,https://genius.com/The-all-american-rejects-change-your-mind-lyrics,http://api.genius.com/songs/397771,Move Along,2006-09-19," Don't solve the problem When danger is better Far away you stock them In cages and tether   And all the bridges you've burned Leave you trapped off at all sides Now the tables do turn And it's all gone, what's left for you  And when the sky is falling Don't look outside the window Step back and hear I'm calling Give up, don't take the fast road  It's just your doubt that binds you Just drop those thoughts behind you, now Change your mind, let go too soon   Sit down, you're sinking There's no one to watch you Skip town, you're thinking There's no one to stop you   Don't run away, start feeling fine It's better than your worst, worst day No words to say, I'll give you mine  And pocket all the hurt Just stay, don't run away It's better than your worst, worst day   And when the sky is falling Don't look outside the window Step back and hear I'm calling Give up, don't take the fast road  And when the sky is falling Don't look outside the window Step back and hear I'm calling Give up, don't take the fast road  It's just your doubt that binds you Just drop those thoughts behind you, now Change your mind, let go too soon   Don't run away Change your mind Let go too soon  ",2,5,1,10,1,13,15,11,2,14,-0.9872
