,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/4028630,The Black Eyed Peas,4EVER,https://genius.com/The-black-eyed-peas-4ever-lyrics,http://api.genius.com/songs/4028630,MASTERS OF THE SUN VOL. 1,2018-10-26," We are the music makers And we are the dreamers of dreams  [Chorus: will.i.am & Esthero] One is for the love Two is for the soul Three's the magic number And four is forever Five is so alive And six is in the mix So peep, I hope you’re ready for   I'm out for the night, smile for the lights Looking for a taste and I end up with a slice Like P à la mode, I'm fresh and I’m froze My chain hang low and my raps pure gold I'm nasty and nice, a wolf on the mic These sheep sound ba-a-a-d, but they flock for a bite Let's Midnight Maraud, we out with the claws Howl at the moon and we glance at the stars We up and away, top tier everyday They pause and we play, we ball and they fade We rockin' over here, just jumpin' over here Them other niggas gold but we shine like veneers I'm rush over those wack little haters like plaque With the L M N O P's and the Peas that be Black With the elemental freeze so please stand back Tell me can you rock it, can you rock it like that?  [Pre-Chorus 1: will.i.am] Yup, yup, yo Tab and Ap, time to get the strap Hit em off with the click clack, Mortal Kombat I'ma slap em with the boom bap, top a four mat Told them niggas step back, these are power maniacs I’m the black Power Ranger, baby you can call me Zack That’s exactly how I flip the lyric, rap acrobat That a wrap, ready to attack, heavy impact Nigga I'ma a thunder cat, you know where my number’s at, number one  [Chorus: will.i.am & Esthero] One is for the love Two is for the soul Three's the magic number And four is forever Five is so alive And six is in the mix So peep, I hope you're ready for  [Verse 2: apl.de.ap] I slip on the scene, I'm slick and I’m clean I slide off the green like my money's vaseline The mood is Supreme, the ladies lookin' nice They rollin' with the team yeah we gotta fit 'em right You won't be on the night 'cause the itch don't stop We blowin' up the spot 'til the roof goes pop You somethin' and they not, they warm and we hot They sink to the bottom and we rise to the top Umm We doin' things she just talk about We makin' headlines, she just word of mouth We knock it out the park and you strikin' out You fallin' off, we hold it down You crack when the alligator snap With the L M N O P's and the Peas that be Black With the elemental freeze so please stand back Tell me can you rock it, can you rock it like that?  [Pre-Chorus 2: will.i.am] Yup, yup, real shit, I go rock it like this 3 pointer, hit a three, yes indeed, it a swish I be deep in the abyss, I am Pisces the fish When I'm dick up a bitch it be heavenly bliss Oh yes, look at this wicked shit that I spit Two long one tongue, two lips, larynx Kill a lyricist, rock the fatal linguistic On my 1-2 shit, never on that two list, we number one  [Chorus: will.i.am & Esthero] One is for the love Two is for the soul Three's the magic number And four is forever Five is so alive And six is in the mix So peep, I hope you're ready for",15,18,7,11,19,26,41,11,10,21,0.9967
1,1,/songs/10642,The Black Eyed Peas,A8,https://genius.com/The-black-eyed-peas-a8-lyrics,http://api.genius.com/songs/10642,Behind The Front,1998-06-30," Yo son, whatcha think about those Peas, though? Yo, yo, I don't know, them dudes just be on stage, dancin' and stuff... They on some old Las Vegas bullshit They move too much, man I can't take them fools seriously I mean, they ain't talk about no 6-4, no Impalas They ain't shootin' nobody (Shootin nobody) They ain't talkin' about clothes You know what I'm saying?   Yo, my man, I got a plan to do it all (What kind of plan you got) I got a plan that none of y'all ever Talked about 'cause underground niggas don't be thinking I'm going continental like Lincoln How can you make moves when you're always strapped under I plan to read the scriptures, tell you more about the thunder I wonder what really makes the world go round Not thugs, 'cause thugs go 'round the brain of a brother's down You be in it for a quick blink But when you start to sink You be deeper than you was When you should've stop to think About your consequence, your actions don't make lots of sense Brothers use the wicked life 'cause of lack of confidence The devil jacked you for your sense now You can't pay your rent and That's no accident, you let us slip so we win The rest of your development You should've took time to prevent The compiscation of your monument Now ya, wash up, and a nobody No one blame but your body You livin' life, had thick and uneasy You chose to be involved with no deals and crisis In a hole 'cause of lust and greed Your mind held captive and unable to exceed Come out and follow the Peas, we give you what you need We proceed to give you, what (What, what)   A... A... A... A... A... A... A... A... We givin' you what you want (We give you what you want) (We give you what you want) (We give you what you want) And you proce-e-e-e-e-e-e-ed On fienin' on what you need (We give you what you need) (We give you what you want) (We give you what you want)   Yo, everybody's goal is to win But others getting caught up within the line of committing sins And everybody seems to wanna rule It's so ridicule we gotta find the right cure We approach to penetrate equivalent and strong To wash out individual with evil forms Conquering battles in these fields of greed Dark faces all around me makes it hard for me to see Who's got my back and who will backstab I'm ready for foes and hoes who tries to grab My currency, if I ain't got none The [?] crip to runs to the ones who got some The war billows to those who makes action The main caption is to bring satisfaction If you like that contend you see How you suppose to call yourself a real MC So what's the definition of a true MC? (Someone who rocks swell and put my soul at ease) Lyrics went entertaining capability (Now that's the realest, see, all around 360 degrees) I'm givin' you what you want, want I'm givin' you what you want Na-na-na-na-na-na-na Na-na-na-na-na-na I'm givin' you what you want, want Na-na-na-na-na-na-na Hmm, hmm, hmm, hmm...   A... A... A... A... A... A... A... A... We givin' you what you want (We give you what you want) (We give you what you want) (We give you what you want) And you proce-e-e-e-e-e-e-ed On fienin' on what you need (We give you what you need) (We give you what you want) (We give you what you want)   Hey, witness grief through startin' material You are blinded by lights, had an ego ratio God bless you with the gift of only show Business but you a careless professional Is where your failing will show Over indos and end only cash flows Makin it big, but yet, you never know You will pay in your dues bringin' on sorrow Here today, easily gone tomorrow Feel the pain and I never borrow From another man, instead I'm making grand Watch the Peas as we make a stand   A... A... A... A... A... A... A... A... We givin' you what you want (We give you what you want) (We give you what you want) (We give you what you want) And you proce-e-e-e-e-e-e-ed On fienin' on what you need (We give you what you need) (We give you what you want) (We give you what you want)",14,21,11,20,12,28,31,12,4,21,-0.9828
2,2,/songs/4028631,The Black Eyed Peas,ALL AROUND THE WORLD,https://genius.com/The-black-eyed-peas-all-around-the-world-lyrics,http://api.genius.com/songs/4028631,MASTERS OF THE SUN VOL. 1,2018-10-26," Yo, what it is? What it do? What's goodie? You are now tuned in to the sounds of A Tribe Called De La Peas L.A. New York collabo You know what it is, East West all day I go by the name of- ahh don't worry 'bout that   (All around the world) Come take a trip, Ma (All around the world) Come rock with us (All around the world) Come vibe with us (All around the world) Come ride with us (All around the world) Come ill with us (All around the world) Come build with us (All around the world) Who wanna spit with us? Come make it bounce (keep bouncing)   We on that world tour with Muhammad again Fifty cities run with Black Eyed Peas 'n them First show in T-Dot where the shorty's be gems Twenty-thou' loosin' they minds as we recite these hymns See, lyrically I'm more like Stephen Curry with the mic though Kyrie Irv's sweety with that Bubba Chuck handle First heard me in the nineties with that native tongues yo Raspy type flows, De La jones arose Twenty five years later, ain't too much done changed, B Owner of three homes with my eyes on a Bentley Drive support system, I could never be shady Me cheat the game, fuck I look like, Brady? Staples in LA, Japan, Sapporo Dome, Camp Nou in Barcelona, Sweden's Ericsson Globe Make a hater's stomach bubble til they straight up hurl And while I'm out on tour keep ya hands off my girl As we commence to rock   (All around the world) Come take a trip, Ma (All around the world) Come rock with us (All around the world) Come vibe with us (All around the world) Come ride with us (All around the world) Come ill with us (All around the world) Come bill with us (All around the world) Who wanna spit with us (All around the world) Come make it bounce  [Verse 2 - will.i.am] Creepin' like a zone creeper, reekin' like I smoke reefer Mind reader, thought leader, no blink and never sleeper Beat you with beat beater, EQ the bass deeper Attitude like Ice Cube, put you in that cold freezer A hundred miles of running so I ran a hundred kilometers Grim Reaper ain't hunting 'cause they couldn't kill the leader Tried to break my center but they couldn't come a centimeter Blast off, semi-up, arcade Centipeder Space Evader, Animater, rollin' with the alligator Glow like illuminator, follow I'm the navigator Overthrowin' dictators, posin' for the pic takers Dick in swollen digits, paper aggregator Yeah, I'm on that Hip-Hop grown shit EMC squared means I'm on the microphone shit Dead with mumble rap, Attack of the Clones I'm on that Jedi , I'm in that ziggy, ziggy zone   (All around the world) Come take a trip, Ma (All around the world) Come rock with us (All around the world) Come vibe with us (All around the world) Come ride with us (All around the world) Come ill with us (All around the world) Come bill with us (All around the world) Who wanna spit with us (All around the world) Come make it bounce  [Verse 3 - apl.de.ap] Flow tighter, globe trotter, don't need a ghost writer Night time, all nighter, rhyme like a bull fighter Dynamite igniter, near sider, far sider Legally blind but I got the foresight Insider, outsider, Northsider, Southsider West side, East side, every where I'm worldwide Rugged like a Ruff Ryder, sunken like a skin diver Plug in' I dug in, but don't cum inside her Blessed with the insight, stay lit, I've been bright Murder that ink, now you see how my pen fight Inner space, outer space, base like an upright Fornicate, in a cape, capable of flight Up, up all the way, up on the throne Kingdom I ring all them bell made from chrome Bring only singles, so they give me dome I'm in my zigga, zigga, I'm in my zone   (All around the world) Come take a trip, Ma (All around the world) Come rock with us (All around the world) Come vibe with us (All around the world) Come ride with us (All around the world) Come ill with us (All around the world) Come bill with us (All around the world) Who wanna spit with us (All around the world) Come make it bounce (Keep bouncing)   I am not of this format So let me formally introduce to you a formula Standing on your doormat I'm an East Coast equation Qualified to earn it worldwide Running through your tour laps Twenty tears is gain like the currency And I reside within the state of currently So when I travel it seems my passport looks like Them sandwiches made out of them ice creams And when Jack Frost comes around We bounce to the other side of the globe To towns where he just can't chillax Met up with peeps instead it has past to be safe In a place where its known to get relaxed Life's merry-go-round and she want to spin Got me thinking about back when due to my dark skin They ask me, when they pass me They used to diss me, harass me Now they ask me if they can kiss me   All around the world All around the world All around the world All around the world   We went all around the planet (planet) With big dreams, gigantic (gigantic) Picture this shit, panoramic (panoramic) We grew this shit organic (yeah) We didn't blow up quick, we volcanic We work that shit like mechanics (mechanics) No sinking ship, no Titanic (Titanic) To be specific, we crossed the Pacific and Atlantic Goddamn it we worldwide (All around the world) (All around the world) (All around the world)",18,13,18,16,9,28,37,11,9,21,-0.7349
3,3,/songs/10691,The Black Eyed Peas,Another Weekend,https://genius.com/The-black-eyed-peas-another-weekend-lyrics,http://api.genius.com/songs/10691,The E.N.D. (The Energy Never Dies) [Deluxe Edition],2010-11-30," Weekend come for, the weekend come Weekend come for, the weekend come Weekend come for, the weekend come We can't wait for the weekend come Hey   [Verse 1: will.i.am] I called Tab on Wednesday night So we could make plans for Thursday night He said ""We could go hit the Peapods"" I was like yeah, that's my favorite spot Plus I like it there, cause I got love on the list High powered juice where I don't even get frisked Walk up in the place and get hugs from the misses Pounds from my brothers cause they knowin that this is The place to be to let it all out But when the weekend come, the weekend come... ... y'all could come So go tell ya momma come and ya poppa come Go to spin the record so we can get dumb Place packed, capacity maximum Due to my man Polo Promotion And I can't wait to go out and hear some   Jumping music, swift DJ's Smoke machines and laser rays Look out weekend cause, here I come Because weekends were, werrrre  [Verse 2: apl.de.ap] Walked in the club at like 10 o'clock And the spot is hot, blowin up rooftops This is Thursday night and the night is young Four day weekend, time to have some fun Deejays cut it up, drop them joints Everybody's been waitin to dance and make noise B-boys, let me see you break it down And ladies, let your hips move around It's the sound of the B-E-P family Got a poet named Life and a sister Kimmy And the blood of Abraham So let's get ready for the jam   Jumping music, swift DJ's Smoke machines and laser rays Look out weekend cause, here I come Because weekends were, werrrre   It was a Thursday night and the party was bumpin And the bass was thumpin and people was jumpin And Taboo's at the front door comin Taboo's at the front door comiiiiiiiiiiiiiiiiiiin, and And (here he come now) And.. nah, nah, nah   Yo, Mister will.i.am (Mister will.i.am) When oh when (Mister will.i.am) Get our boogie on when the weekend COME Check the Peapod, cause the vibes is STRONG Salinas, Filipinas, they come one by ONE All lined up, and they ready for FUN Short ones, tall ones, beautiful ONES B-boys, b-girls, ready to WHAT?  [Verse 4: will.i.am] Breakin and shakin when we doing our ish J-Rock from the Beat Junkies ready to mix Cause they cuttin up the wax for everybody Come on over cause were having a party We lightin up the sky with the burning STAR Throw your hands in the air, if you know who you ARE Cause we jumpin around with the Broshigeez And get blessed by the Beat Pharmacy Cause they hittin you with   Jumping music, swift DJ's Smoke machines and laser rays Look out weekend cause, here I come Because weekends were, werrrre   Look out weekend cause, here I come Because weekends were, werrrre",3,13,4,2,13,10,26,3,2,12,0.9952
4,4,/songs/741,The Black Eyed Peas,Anxiety,https://genius.com/The-black-eyed-peas-anxiety-lyrics,http://api.genius.com/songs/741,Elephunk,2004-01-12," I feel like I wanna smack somebody Turn around and bitch slap somebody But I ain't goin' out bro (no, no, no) I ain't givin' into it (no, no, no) Anxieties bash my mind in Terrorizing my soul like Bin Laden But I ain't fallin' down bro (no, no, no) I won't lose control bro (no, no, no) Shackle and chained My soul feels stained I can't explain got an itch on my brain Lately my whole aim is to maintain And regain control of my mainframe My bloods boiling its beatin' out propane My train of thoughts more like a runaway train I'm in a fast car drivin' in a fast lane In the rain and I'm might just hydroplane   I don't fear none of my enemies And I don't fear bullets from Uzi's I've been dealing with something that's worse than these That'll make you fall to your knees and that's The anxiety The sane and the insane rivalry Paranoias brought me to my knees Lord, please, please, please Take away my anxiety   My head keeps running away my brother The only thing making me stay my brother But I won't give into it bro (no, no, no) Gotta get myself back now God, I can't let my mind be Tell my enemy is my own Gots to find my inner wealth Gots to hold up my thoughts I can't get caught (no, no, no) I can't give into it now (no, no, no) Emotions are trapped set on lock Got my brain stuck goin through the motions Only I know what's up I'm filled up with pain Tryin' to gain my sanity Everywhere I turn it's a dead end in front of me With nowhere to go gotta shake this anxiety Got me feelin' strange paranoia took over me And its weighin' me down And I can't run any longer, yo Knees to the ground   I don't fear none of my enemies And I don't fear bullets from Uzi's I've been dealing with something that's worse than these That'll make you fall to your knees and that's The anxiety The sane and the insane rivalry Paranoias brought me to my knees Lord, please, please, please Take away my anxiety The sane and the insane rivalry Paranoias brought me to my knees Lord, please, please, please Take away my anxiety   I don't fear none of my enemies And I don't fear bullets from Uzi's I've been dealing with something that's worse than these That'll make you fall to your knees and that's The anxiety The sane and the insane rivalry Paranoias brought me to my knees Lord, please, please, please Take away my anxiety The sane and the insane rivalry Paranoias brought me to my knees Lord, please, please, please Take away my anxiety",35,16,12,39,3,55,17,21,2,17,-0.9722
5,5,/songs/3902,The Black Eyed Peas,Audio Delite at Low Fidelity,https://genius.com/The-black-eyed-peas-audio-delite-at-low-fidelity-lyrics,http://api.genius.com/songs/3902,Monkey Business,2005-05-25,"[Verse 1: will.i.am] Ever since I was a little younger I always had a ryhme that I flung up Any situation that you brung up Black Eyed Peas will shake a party like thunder Now everybody wanna ask and wonder How the Black Eyed Peas took it from the under From the bottom to the top Now we make your body rock Mutha (Hey!) don't sit and ponder Cause we come with no bloops no blunders We keep it fat like Attila the Hun-a Latin ladies by like ay caramba We caliente like you chilling in the summer  [Hook: will.i.am] We gave you something now you gonna ask for some more But no brother you ain't gonna get no more And I know you really like this audio delite Cause my drum goes dum diddy dum-a (check it out) One-time-for-ya-mind, two's for your soul Three's for your body, and four's for the ambience, check it out cause this is how it go  [Verse 2: will.i.am] I'm sick with the rhyme, I'm infected Since '95 the BEP's perfected The way we get down on the record We comin' up with heat that's not expected You can't, you can't, you can't help but check it We stand out like chubby people in checkers We coming hectic and hyper, aiming like a sniper And when I rock the mic you'll respect me You respect it cause you know I'm known to kill it I make it, make it, make it, make it hotter than a skillet Yeah, and I know you goin' feel it Black Eyed Peas we do it we're the realest  [Hook: will.i.am] We gave you something now you gonna ask for some more But no brother you ain't gonna get no more And I know you really like this audio delite Cause my drum goes dum diddy dum-a (check it out) One-time-for-ya-mind, two's for your soul Three's for your body, and four's for the ambience, check it out cause this is how it go  [Verse 3: apl.de.ap] My faith will never fall Forever remain myself after all Gainin' fame, mass appeal, entertainin' y'all Never change or conform We always rock it raw I remember when we used to bust at the mall Ways of expressin' my love for the art Now we here to restore these rap laws Cause the way it is now is not the way I saw so check it I'mma do it like this So y'all could recite this Hip hop anthem once more I won't let the mic rest You won't catch me rhyme-less No matter what the future got in store  [Hook: will.i.am] We gave you something now you gonna ask for some more But no brother you ain't gonna get no more And I know you really like this audio delite Cause my drum goes dum diddy dum-a (check it out) One-time-for-ya-mind, two's for your soul Three's for your body, and four's for the ambience, check it out cause this is how it go",0,12,3,2,5,9,18,10,2,9,0.9761
6,6,/songs/911371,The Black Eyed Peas,Awesome,https://genius.com/The-black-eyed-peas-awesome-lyrics,http://api.genius.com/songs/911371,None,2015-04-17,"SNIPPET:   [Intro: will.i.am] This is awesome (4x) Yeah, you know it It's the boss I know you know it So sing a chorus  [Chorus: will.i.am] Baby (7x) This is Awesome And you know it This is Awesome And you know it This is Awesome And you know it This is Awesome Baby  [Verse ?: will.i.am] I'm ballin', baby baby i'm ballin' Got phone on my wrist when i'm rockin' like this I can see who callin' And you know it I don't be stallin I be installin I'm being stolen I feel like Jordan takin' flight I'm boardin' (And you know it) Can't touch me now (Can't touch me now) Can't stop me now (Can't stop me now) I go all in I go to her like oh my god Oh my lordy, Oh my goodness Lordy, mercy, You just watch me Watch me like a movie I'm too Gucci - Awesome!  [Chorus: will.i.am] Baby (7x) This is Awesome And you know it",1,5,0,3,8,1,13,1,1,4,0.9933
7,7,/songs/10710,The Black Eyed Peas,Ba Bump,https://genius.com/The-black-eyed-peas-ba-bump-lyrics,http://api.genius.com/songs/10710,Monkey Business,2005-05-25,"[Intro: will.i.am] Yea (woo) Uh (woo) The shit (woo) Ya.. Hey This is the beat that make you shake your rump That make your booty go ba-bump, ba-bump It's that beat that make ya bump ya bump (ohh)  [Verse 1: Taboo & will.i.am] Yea, just do what you want Up in the club just do what you want Get into it baby, get off your stump Girlies on the dance floor wiggle your fronts We got rhymes that always triumph This is the beat that make ya bump ya bump Shake your rump rump shaky shake your rump Its that beat that make ya bump ya bump And only gettin' little booties little bit of hump (thanks) And if you got boobies baby keep 'em all plump And if you got blunts s-smoke 'em if you want Got a 6 - 4 get pump it in your trunk Cause we got biz that been boomin like... (ohh) Yea nigga don't front Cause this beat got you running just like Gump (run Forest) Bump ya bump And if you got money fellas keep it like Trump Fellas, huh Whip out your money And go get a Honey And buy what she want Take her to the ball and try to get her drunk But if the girl's UGLY Then get drunk This that beat that make ya get crunk It's that beat that make ya bump ya bump (ohh) I'll give you what ya want   (Ye-eh-eh, Ye-eh-eh, Ye-eh-eh, Ye-eh-eh...) B to the U to the M to the P That's what we gave ya cause that's what you need B to the E to the P make ya bump (ooh) I'll give you what you want  [Verse 2: Taboo & will.i.am] I come with rhymes that are dangerous like stunts (yea) Keep the girls screaming just like trumpets (yea) Keep the hits from smashing like pumpkins Get ya drunk like it's too, too much consumption (ohh) Throw the assume, there's no room for assumption We the crew that keep the funk just funking The bump just ba-bump, ba-bump, ba-bumping (ohh) We give ya what you want Some that thing lil some one of Just like your mamma nigga this beats Chunky Look imma be real blunt We punch up cops, no, we don't get punk'd Never stagged near the dragon, keep it on jump (ohh) If you're askin' it's the year of the Monkey So ba bump ba bump (ohh)   Do what you want (Up in the club just do what you want) Give it to me baby, yea, get off your stump Brothers on the floor just wiggle your front Cause we got rhymes that always triumph, huh Got blunts s-smoke 'em if you want This that beat that make ya, you know the rest  [Will.i.am] It's that beat that make ya bump ya bump (ohh)   I'll give ya what you want, come on   (Ye-eh-eh, Ye-eh-eh, Ye-eh-eh, Ye-eh-eh...) B to the U to the M to the P That's what we gave ya cause that's what you need B to the E to the P make ya bump (ooh)   This is bumping, bumping, (oh) bumping, bumping When it's bumping in your trunk, it takes over me (This is bumping, bumping) and this is real (bumping, bumping) Cause I feel The ba-bump bump ba-bump This is bumping, bumping, (Oh) bumping, bumping When the base ba-bumps, ba-bumps it takes over me (This is bumping, bumping) you know I feel (bumping, bumping) So unreal Ba-da bump bump da-bump",8,6,5,8,9,13,16,2,4,12,0.0388
8,8,/songs/4028627,The Black Eyed Peas,BACK 2 HIPHOP,https://genius.com/The-black-eyed-peas-back-2-hiphop-lyrics,http://api.genius.com/songs/4028627,MASTERS OF THE SUN VOL. 1,2018-10-26,"[Verse 1: will.i.am] Ring the alarm, get on the horn and inform Everyone from Oregon to Melbourne That the funk phenomenon has been reborn and transformed You coulda sworn that you wasn't warned 'cause we was Trapped in the box that rap had spawned It was a square until we kicked it to an octagon We gotten strong from the pain it's undergone Whereupon we kill the beat when the mic ain't on That's my motherfuckin' procedure I'm cold with the flow I will freeze ya I'm the emperor, I'm Caesar Can somebody tell me where the MCs are? I violate over guitars, annihilate and operate like I'm on ER Lyrically gang bang 'cause I'm behind bars And rearrange DNA, play like God I bring it back   Back to life, back to life Back to life, back to life Back to life, back to life Back to life, back to life  [Verse 2: apl.de.ap] It's dang credible, original, strong individual Send a million decibels of sound through your physical Alligator ritual turns out it was the visual Proficient with the lyrical, a vision like a miracle Damage all you mumblin' MCs rhyming 'bout decimal Increasing no residual, why you still remain minimal Maximize, utilize, my plan mineral Do not try to bite because my shit is not edible Rhyme unforgettable like Nat King Cole You can feel it on your neck like you in a choke hold Unfold the mystery, unload the BEP Bangin' on your speakers while you haters wait impatiently What would be the next step, next move on set Betting they're not sober, we haven't even started yet More shit, raw shit, complex intricate Resurrect the bitch and bring it back like this   Back to life, back to life Back to life, back to life Back to life, back to life Back to life, back to life   One show, Joe go for the gusto On a boat full of dope, goin' up flow Ali when I float it's a KO Face to the flo', gonna hit 'em with the payload MOAB got 'em runnin' like Usain Bolt Started lowdown, now I'm in they download Slice through you slo-mo's like a Lambo Runnin' through these levels like I'm playing with a cheat code Left right, left right, BEP mode Stop, roll back on my dope shit Pablo, white Esco mine shinin' like I'm Destro Back to life with this death manifesto   Yeah, Nas, Nas, Nas, Nas, in your area Yeah, Nas, Nas, in your area (Back to life)   Fat boy had a nigga makin' noise 'til midnight Then that 'gac poison and got us a fist fight Hat low in a Regal, cracks all in that diesel Pack corners, gat pointed at people, know I beef dude Can't afford a funeral never Mortician have your man face lookin' like leather I'll be walkin' out the way shook and shiverin' Lookin' so different from when he was just livin' man Another 40-side killin', man North side in the sixteenth building and I'm on the corporate side, still pull off a New York walk by Keep tryin' talk fly  [Break: will.i.am] I talk fly, verbalize a pilot Poetic fertilizer that's lyrical shit Hip-hop die but we resurrect it Yeah bring it back, that mystic linguistic   Bring it back It's a resur-re-rection bring it back It's a resur-re-rection bring it back It's a resur-re-rection bring it back Bring it back (Back to life) Bring it back, bring it back It's a resur-re-rection bring it back (Back to life) Bring it (Back to life) Bring it (Back to life) Bring it (Back to life)  [Verse 5: will.i.am] Yo, resur-re-rection, yeah Reassemblin' bringing it back with the pen, yeah It all depends how I be feelin' when I descend I'm prolly gonna go Kamikaze like Eminem Look at them tremblin' when I stomp in Timberlan' Boots, I come through and scoop you feminine Vibration, we penetratin' your skeleton Reanimation we bringin' it back again   Son of a bitch, they wanna take what I made from nothin' Then the struggle to erase any proof that I came from sufferin' Now they hate I survived every trick by hustlin' I stay on my G, we don't cease fire or die Get your whole family hog tied Nigga you small fries And you never should have started beef You know I can't fall back like Ferrari seats I'm in the Max all black, black hoodie and gloves Strap with the fully, dutch full of bud I'm on that Hypnotic and Goose And I ain't gotta shoot I'll have you ass hangin' high from a noose, yeah",21,10,16,21,5,42,26,20,9,14,-0.902
9,9,/songs/10708,The Black Eyed Peas,Bebot,https://genius.com/The-black-eyed-peas-bebot-lyrics,http://api.genius.com/songs/10708,Monkey Business,2006-08-04," Bebot, bebot, beb Bebot, bebot, beb Bebot, bebot, beb Ikaw ang aking Bebot, bebot, beb Bebot, bebot, beb Bebot, bebot, beb Ikaw ang aking Bebot, bebot, beb Bebot, bebot, beb Bebot, bebot, beb Ikaw ay Filipino Filipino Filipino Filipino   Hoy pare pakinggan 'nyo ko Heto 'nang tunay na Filipino Galing sa bario Sapang Bato Pumunta ng L.A. nagtrabaho Para makatulong sa nanay Dahil sa hirap ng buhay Pero masaya parin ang kulay Pag kumain, nagkakamay 'yung kanin chicken adobo 'yung balot binebenta sa kanto Tagay mo na nga ang baso Pare ko inuman na tayo!   Bebot, bebot, beb Bebot, bebot, beb Bebot, bebot, beb Ikaw ang aking Bebot, bebot, beb Bebot, bebot, beb Bebot, bebot, beb Ikaw ang aking Bebot, bebot, beb Bebot, bebot, beb Bebot, bebot, beb Ikaw ay Filipino Filipino Filipino Filipino   Masdan mo ang magagandang dalaga Nakakagigil ang beauty mo talaga Lambing hindi nakakasawa Ikaw lang ang gustong makasama Yung bahay o kubo, pag-ibig mo ay tutoo Puso ko'y laging kumikibo Wala kang katulad sa mundo (c'mon) Pinoy ka sigaw na, sige! Kung maganda ka sigaw na, sige! Kung buhay mo'y mahalaga, sige! Salamat sa 'yong suporta   Filipino Filipino Filipino Filipino Filipino Filipino Filipino Filipino Bebot, bebot, beb Bebot, bebot, beb Bebot, bebot, beb Ikaw ang aking Bebot, bebot, beb Bebot, bebot, beb Bebot, bebot, beb Ikaw ang aking Bebot, bebot, beb Bebot, bebot, beb Bebot, bebot, beb Ikaw ang aking Bebot, bebot, beb Bebot, bebot, beb Bebot, bebot, beb Ikaw ang aking Bebot, bebot, beb Bebot, bebot, beb Bebot, bebot, beb Ikaw ay   Pinoy ka sigaw na, sige! Kung maganda ka sigaw na, sige! Kung buhay mo'y mahalaga, sige! Salamat sa 'yong suporta, sige! Pinoy ka sigaw na, sige! Kung maganda ka sigaw na, sige! Kung buhay mo'y mahalaga, sige! Salamat sa 'yong suporta Filipino",2,2,0,3,1,2,5,2,0,0,0.7156
