,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/1349613,The Fray,1961,https://genius.com/The-fray-1961-lyrics,http://api.genius.com/songs/1349613,Scars & Stories,2012-02-07," Two brothers, 1961 On a road 90 miles too long Someone don't want us together but We just keep on walking 'cause we're one I got a voice and you've got a reason For the glory, we sing our broken song Take a side and I'll take the other one Two brothers under one nation   Wanna feel your love right now Wanna see the night and feel the day Ever try to touch somebody 90 miles away But it won't be the same again No, it won't be the same again Yeah   Third brother, 1989 Got through it, opened up the line Stand tall, I'll follow you this time We're all just waiting on a sign   Wanna feel your love right now Wanna see the night and feel the day Ever try to touch somebody 90 miles away But it won't be the same again No, it won't be the same again I'll be with you until the end But it won't be the same   We're broken, we're battered We're torn up and we're shattered We turned back on each other The moment that it mattered But the curtain is shaking It's bending and it's breaking And I'll be with you in the end   But it won't be the same again Can't go back to the way it's been I'll be with you until the end But it won't be the same again It won't be the same again",2,4,0,4,4,6,9,5,0,7,-0.1434
1,1,/songs/185299,The Fray,48 to Go,https://genius.com/The-fray-48-to-go-lyrics,http://api.genius.com/songs/185299,Scars & Stories,2012-02-07,"From Denver to California By way of Mexico We're lost and we're finding each other And we may never see the West Coast We may never see the West Coast  We're taking it slow But for now we're two down And 48 to go  Missed an exit in Albuquerque But we don't seem to mind at all We pull over, the sun is burning And we lay down to feel the rainfall  We're taking it slow, But for now we're two down And 48 to go  The desert winds blowing your hair back Window down, town after town Where will be in half a century Two down and 48 to go  The sun rises in Bernardino Sometime after 6 am You take 27 up old canyon road Sometimes you win before you run Sometimes you win before We got 48, 48 to go 48 to go 48, 48  Come on, baby Come on, darling 48 to go",1,2,1,1,4,2,8,2,2,4,0.9343
2,2,/songs/2857809,The Fray,"500,000 Acres",https://genius.com/The-fray-500000-acres-lyrics,http://api.genius.com/songs/2857809,Helios,2014-02-25, I look out across your landscape And I can see for miles My outstretched hands run through your wild flowers But the valleys of your shadow Hide a mystery untold Out in the desert Where you never go   You're but half a million acres Lying underneath the sun So much left untouched by anyone   Will I ever know you? Will I ever know? Will I ever know you all the way?   Follow me beyond the fences And lose track of the days And let your wild horses lead the way When we finally reach the water And walk that ocean floor We'll find a pearl and head on back to shore   You're but half a million acres Lying underneath the sun So much left untouched by anyone There's another million acres Lying underneath your wing Will I ever know you all the way?   Will I ever know you? Will I ever know? Will I ever know you all the way?     Half a million acres Lying underneath the sun So much left untouched by anyone There's another million acres Lying underneath your wings Will I ever know you all the way?  [Bridge: Isaac Slade and Joe King] (Will I ever know you all the way) Just when I think I'm getting close (Will I ever know you all the way) That's when I see how deep (Will I ever know you?) (Will I ever know?) Will I ever know you all the way?   You are half a million acres Lying out there on your own So much left untouched by anyone,8,7,9,3,4,11,6,2,8,5,-0.9891
3,3,/songs/185308,The Fray,Absolute,https://genius.com/The-fray-absolute-lyrics,http://api.genius.com/songs/185308,The Fray,2009-02-03," I've seen this one before, the girl, she gets away Everybody knows it, but no one tries to stop it 'Cause she barely even knows him, but if she could see inside Everything is quiet as she waits to tell him who she is   Is this all we get to be absolute?   Quiet, but I'm sure there is something here Tell me everything 'cause I want to hear   It's a kiss that sits upon on her lips that waits for planes and battleships She wants to be a dancer and he has got a picture On his wall and it's a sailor in a new port every night Yet man was born to trouble like sparks fly upwards innocent   Is this all we get to be absolute?   Quiet, but I'm sure there is something here Tell me everything 'cause I want to hear Quiet, but I'm sure there is something here Tell me everything 'cause I want to hear   All we are and all we want 40 years come and gone All we are in photographs Will never be taken   Quiet, but I'm sure there is something here Tell me everything 'cause I want you here Quiet, but I'm sure there is something here Tell me everything 'cause I want to hear Quiet, but I'm sure there is something here Tell me everything 'cause I want you here There is something here There is something here",0,3,0,0,1,2,11,7,1,1,0.9697
4,4,/songs/94214,The Fray,All at Once,https://genius.com/The-fray-all-at-once-lyrics,http://api.genius.com/songs/94214,How to Save a Life,2005-09-13," There are certain people you just keep coming back to She is right in front of you You begin to wonder could you find a better one Compared to her now, she's in question   And all at once the crowd begins to sing Sometimes the hardest thing and the right thing are the same   Maybe you want her, maybe you need her Maybe you started to compare to someone not there   Looking for the right one, you line up the world to find Where no questions cross your mind But she won't keep on waiting for you without a doubt Much longer for you to sort it out   And all at once the crowd begins to sing Sometimes the hardest thing and the right thing are the same   Maybe you want her, maybe you need her Maybe you started to compare to someone not there Maybe you want it, maybe you need it Maybe it's all you're running from Perfection will not come   And all at once the crowd begins to sing Sometimes We'd never know what's wrong without the pain Sometimes the hardest thing and the right thing are the same   Maybe you want her, maybe you need her Maybe you started to compare to someone not there Maybe you want it, maybe you need it Maybe it's all you're running from Perfection will not come   Maybe you want her, maybe you need her Maybe you had her, maybe you lost her to another To another",1,6,0,3,5,5,7,7,2,6,0.9719
5,5,/songs/1562877,The Fray,Away in a Manger,https://genius.com/The-fray-away-in-a-manger-lyrics,http://api.genius.com/songs/1562877,Christmas EP,2009-12-22,"Away in a manger no crib for a bed The little Lord Jesus laid down his sweet head The stars in the bright sky looked down where he lay The little Lord Jesus asleep on the hay  The cattle are lowing the baby awakes But little Lord Jesus no crying he makes I love you Lord Jesus; look down from the sky And stay by my side until morning is nigh  Be near me Lord Jesus I ask you to stay Close by me for ever, and love me, I pray Bless all the dear children in your tender care And fit us for heaven, to live with you there",0,5,5,1,9,6,17,1,2,10,0.9846
6,6,/songs/1660614,The Fray,Be Still,https://genius.com/The-fray-be-still-lyrics,http://api.genius.com/songs/1660614,Scars & Stories,2012-02-07,"Be still and know that I'm with you Be still and know that I am here Be still and know that I'm with you Be still, be still and know  When darkness comes upon you And covers you with fear and shame Be still and know that I'm with you And I will say your name  If terror falls upon your bed And sleep no longer comes Remember all the words I said Be still, be still and know  And when you go through the valley And shadow comes down from the hill If morning never comes to be Be still, be still, be still  If you forget the way to go And lose where you came from If no one is standing beside you Be still and know I am  Be still and know that I'm with you Be still and know I am",3,0,2,5,0,7,2,4,1,2,-0.9565
7,7,/songs/355770,The Fray,Be the One,https://genius.com/The-fray-be-the-one-lyrics,http://api.genius.com/songs/355770,The Fray,2009-01-28," They're two lovers in the night waiting on the sun to rise Passing ships into the night under different skies Would you just whisper what you said one last time I could have sworn I heard you say that you are mine   Fading flowers in your hand, the best that I could do It's the only way I've had of reaching you Never saw it like you did, didn't know that it was there You don't see it in your head, it's in the air   Be the one and only Wait for me, will you be the only one Will you be, be the one and only Wait for me, will you be the only one   What if I knew how to yell, what would I pray What if I knew how to tell, what would I say I will be the only one if you say you'll never go I'll be screaming out your name from the back road   Be the one and only Wait for me, will you be the only one Will you be, be the one and only Wait for me, will you be the only one   Be the one, be the one and only Wait for me, let me be your only one Will you be, be the one and only Wait for me, let me be your only one",2,11,1,3,3,8,5,0,3,4,0.8804
8,8,/songs/1520821,The Fray,Boulder to Birmingham,https://genius.com/The-fray-boulder-to-birmingham-lyrics,http://api.genius.com/songs/1520821,Covers,2012-02-07,"I don't want to hear a love song I got on this airplane just to fly And I know there's life below me But all that you can show me is the prairie and the sky And I don't want to hear a sad story Full of heartbreak and desire The last time I felt like this It was in the wilderness and the canyon was on fire  And I stood on the mountain In the night and I watched it burn I watched it burn, I watched it burn   I would rock my soul in the bosom of Abraham I would hold my life in his saving grace I would walk all the way from Boulder to Birmingham If I thought I could see, I could see your face  Well, you really got me this time And the hardest part is knowing I'll survive I have come to listen for the sound Of the trucks as they move down out on ninety five  And pretend that it's the ocean Coming down to wash me clean, to wash me clean Baby, do you know what I mean   I would rock my soul in the bosom of Abraham I would hold my life in his saving grace I would walk all the way from Boulder to Birmingham If I thought I could see, I could see your face  And I stood on the mountain In the night and I watched it burn I watched it burn, I watched it burn   I would rock my soul in the bosom of Abraham I would hold my life in his saving grace I would walk all the way from Boulder to Birmingham If I thought I could see, I could see your face If I thought I could see (If I thought I could see), I could see your face",0,11,0,2,4,1,16,1,0,6,0.9423
9,9,/songs/371945,The Fray,Break Your Plans,https://genius.com/The-fray-break-your-plans-lyrics,http://api.genius.com/songs/371945,Helios,2014-02-25," I wish I had cheated, at least that's a reason I'd understand why you're leaving now We both stopped breathing and it could not last I guess I'm just afraid to ask   But what if you don't, what if you stay and   Break your plans tonight Lay your hand in mine There's no guarantee we'll make it Or make this thing right But break your plans for me tonight   You call this closure, it's barely over How do you move on so fast Maybe there's someone, or maybe it's all gone I guess I'm just too afraid to ask   But all that counts is what comes next   Break your plans tonight Lay your hand in mine There's no guarantee we'll make it Or make this thing right But break your plans for me tonight   And I know better than to say there's just one lover for you But will you stay with me anyway   Break your plans tonight Lay your hand in mine There's no guarantee we'll make it Or make this thing right But break your plans for me tonight",0,8,0,2,2,2,8,1,8,6,0.9694
