,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/4254091,The Pussycat Dolls,Away,https://genius.com/The-pussycat-dolls-away-lyrics,http://api.genius.com/songs/4254091,Doll Domination [Interscope Sessions],2008-01-01," Away, away, oh Away, away  (I wanna know, I wanna know, I wanna know, I wanna know)   This feels like the coldest day In a hurricane Lookin' through a glass window  You're screamin' to the top of your lungs And the bells are rung And the crowd can't hear you  And all that I can see is a building burnin' (I just gotta rescue my baby) But you don't even recognize me (ahahah)   And even though the feeling's been gone I just want to be here But you pick up the little pieces of remains I'm going down the plane is smokin' And the only one who can save me is you but you wanna throw me away   Away, away, away, away - oh, why? I wanna know, I wanna know why you wanna throw me away Away, away, away, away - oh, why? I gotta to know why you wanna throw me away Away, away, away, away - oh, why? I gotta know, I wanna know why you wanna throw me away   You used to ask why was I so skeptic of love Boy 'cause it changes And it ain't got to be no real reason  You start to live the dream and before you know There's a door that opens And the moment you walk in it closes   Maybe it's somebody else or a situation that you can't help Ooh lover, lover, lover, lover - it just ain't what it used to be I confronted my fears with open arms Although you said you will never give up on us but now you blow me away   Away, away, away, away - oh, why? I wanna know, I wanna know why you wanna throw me away Away, away, away, away - oh, why? I gotta to know why you wanna throw me away Away, away, away, away - oh, why? I gotta know, I wanna know why you wanna throw me away   Perfect we said we'd never be So why is this happening to me?  No way, no way (no way) No way, no way (no way) No way, no way (no way) No way, no way (no way, no way)  No way, no way (no way) No way, no way (no way) No way, no way (no way) No way, no way (no way, no way)   Away, away, away, away - oh, why? I wanna know, I wanna know why you wanna throw me away Away, away, away, away - oh, why? I gotta to know why you wanna throw me away Away, away, away, away - oh, why? I wanna know why you wanna throw me away",2,9,3,5,10,5,17,1,2,12,-0.9951
1,1,/songs/32064,The Pussycat Dolls,Beep,https://genius.com/The-pussycat-dolls-beep-lyrics,http://api.genius.com/songs/32064,PCD,2006-02-09," Ha, ha-ha, ha-ha Ha, ha-ha, ha Ha-ha, ha-ha, ha-ha Ha, ha-ha, ha  [Chours 1: will.i.am & Nicole Scherzinger] It's funny how a man only thinks about the... You got a real big heart, but I'm lookin at yo'... You got real big brains, but I'm lookin at yo'... Girl, it ain't no pain in me lookin at yo'... I don't give a... Keep lookin at my... 'Cause it don't mean a thang if you're lookin at my... Heh, I'mma do my thing while you're playin wit ya... Ha, ha-ha, ha-ha-ha...   Every boy's the same since up in the seventh grade They've been tryna get with me Tryna - ha-ha-haaa, ha-ha-haaaa They always got a plan to be my one and only man Wanna hold me with their hands Wanna - ha-ha-haaa, ha-ha-haaaa I keep turning them down But they always come around Asking me to go around, that's not the way it's going down   'Cause they only want, only want My - ha-ha-haaaa, ha-ha-haaaa Only want, what they want But, na ah-ahhhh, na, ah-ahhhh  [Chorus 1: will.i.am & Nicole Scherzinger] It's funny how a man only thinks about the... You got a real big heart, but I'm lookin at yo'... You got real big brains, but I'm lookin at yo'... Girl, it ain't no pain in me lookin at yo'... I don't give a... Keep lookin at my... 'Cause it don't mean a thang if you're lookin at my... Heh, I'mma do my thing while you're playin wit ya... Ha, ha-ha, ha-ha-ha...   Do you know that no Don't mean yes, it means no? So just hold up, wait a minute, let me put my two cents in it One; just be patient Don't be rushin' like you're anxious And two; you're just too aggressive Tryna get your [*gasps*]   Do you know... that I know? And I don't... wanna go there... Only want, only want My - ha-ha-haaaa, ha-ha-haaaa Only want, what they want But, na ah-ahhhh, na, ah-ahhhh  [Chorus: will.i.am & Carmit Bachar] It's funny how a man only thinks about the... You got a real big heart, but I'm lookin at yo'... You got real big brains, but I'm lookin at yo'... Girl, it ain't no pain in me lookin at yo'... I don't give a... Keep lookin at my... 'Cause it don't mean a thang if you're lookin at my... Heh, I'mma do my thing while you're playin wit ya... Ha, ha-ha, ha-ha-ha...  [Post-Chorus Repeated: will.i.am] Boom-boom, boom-boom Boom-boom-boomp... Boom-boom, boom-boom Boom-boom-boomp...   Oooh, you've got it bad, I can tell You want it bad, but oh well Dude, what you got for me Is something I - Something I don't need Hey!  [Chorus: will.i.am & Melody Thornton] It's funny how a man only thinks about the... You got a real big heart, but I'm lookin at yo'... You got real big brains, but I'm lookin at yo'... Girl, it ain't no pain in me lookin at yo'... I don't give a... Keep lookin at my... 'Cause it don't mean a thang if you're lookin at my... Heh, I'mma do my thing while you're playin wit ya... Ha, ha-ha, ha-ha-ha...  [Chorus / Outro: will.i.am & Nicole Scherzinger] It's funny how a man only thinks about the... You got a real big heart, but I'm lookin at yo'... You got real big brains, but I'm lookin at yo'... Girl, it ain't no pain in me lookin at yo'... I don't give a... Keep lookin at my... 'Cause it don't mean a thang if you're lookin at my... Heh, I'mma do my thing while you're playin wit ya... Ha, ha-ha, ha-ha-ha...",3,4,3,9,0,11,35,7,1,24,0.9945
2,2,/songs/562694,The Pussycat Dolls,Bite the Dust,https://genius.com/The-pussycat-dolls-bite-the-dust-lyrics,http://api.genius.com/songs/562694,PCD,2005-09-13," Oooh, oh Oooh, oh Ooh   Bite the dust Trust me, anything you can do I can do better than you (Bite the dust) Some things remain impossible You're no exception to rules (Bite the dust) How many times I gota tell you? He don't even see you (Bite the dust) You see, I'm really helping you I'm keeping you from looking a fool   She's got a plan to have my man She's gonna have to deal with me   Ooh, sugar I got him Got 20/20 vision I can see that you want my man Ooh, but sugar I got him 'Cause it's my job to make you understand Ooh, but sugar I got him Try to make a move And I'm on him like 5-0 Ooh, but sugar I got him So you can go 'Cause I got him, got him   Bite the dust Big girl, I really hope you get the message I'm trying to convey (Bite the dust) 'Cause you pushing me to the edge And I ain't got time to play (Bite the dust) How many times I gotta tell you? He's where he wants to be (Bite the dust) Keep on, act like you didn't know My hands going to do the talking today   She's got a plan (she's go a plan) to have my man She's gonna have to deal with me   Ooh, but sugar I got him Got 20/20 vision I can see that you want my man Ooh, but sugar I got him (yeah) 'Cause it's my job to make you understand (Understand) Ooh, but sugar I got him Try to make a move And I'm on him like 5-0 Ooh, but sugar I got him So you can go (No, no) Cause I got him, got him   Oooh, oh Give it up (Oooh) Give it up Give it up (Oh) Give it, give it, give it, give it up Ooh, I know what she wants Ooh, I know, not my man   She's got a plan to have my man (To steal my man) She's gonna have to deal with me   Ooh, but sugar I got him Got 20/20 vision I can see that you want my man Ooh, but sugar I got him Cause it's my job to make you understand Ooh, but sugar I got him Try to make a move And I'm on him like 5-0 Ooh, but sugar I got him So you can go 'Cause I got him, got him (Bite the dust) Got 20/20 vision I can see that you want my man (Bite the dust) 'Cause it's my job to make you understand (Bite the dust) Try to make a move And I'm on him like 5-0 (Bite the dust) So you can go 'Cause I got him, got him   Your other girl bites the dust, yeah Your other girl bites the dust, yeah Your other girl bites the dust, yeah Your other girl bites the dust, yeah",1,15,1,2,4,35,25,2,4,7,0.991
3,3,/songs/423653,The Pussycat Dolls,Bottle Pop,https://genius.com/The-pussycat-dolls-bottle-pop-lyrics,http://api.genius.com/songs/423653,Doll Domination,2009-02-23," Tip top, drip drop Bottles pop, lips lock Hips rock, don't stop Big Snoop Dogg is back on the block PC, Disney Shake that thing to this beat Taste like Brandi, shaped like Landi Sweet like candy, candy, candy  [Middle 8: The Pussycat Dolls] All them other models bottling like mama's bottle tasty If you pop my bottle, all them models gonna hate me   When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop, shake me  [Verse 2: The Pussycat Dolls] Every girl dreams of herself in pearls Wanna be the fast driver of a shiny car But the good girls suddenly the bad girls Just because they wanna be a movie star   When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop, shake me When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop, shake me  [Verse 3: The Pussycat Dolls] Every girl feels this world belongs to her No matter who make her purr, she's a superstar Never worry; there’s us, my girl with curves That’ll make this mutha burn when her bottle pops   When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop, shake me When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop, shake me   Pass the fifth, I pass it back Turn around lil mama, got ass in the back See, it's a fact, a bottle of pop If you shake it, then drop it like it's hot Time is money and money is time And if you're with me, all your money is mine Yup, yup, do it to deaf Is it true that you get wet? (Wet, wet)   When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop, shake me When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop, shake me   You're turning me on You're shaking me up So don'tcha wanna take me Just because I'm the chosen one All them models gonna hate me  [Middle 8: The Pussycat Dolls] All them other models bottling like mama's bottle tasty If you pop my bottle, all them models gonna hate me   When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop, shake me When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop, shake me   When my bottle pop, shake me   When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop, shake me When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop (Bottle) When my bottle pop, shake me",8,10,4,6,13,57,21,5,56,13,-0.9782
4,4,/songs/32118,The Pussycat Dolls,Buttons,https://genius.com/The-pussycat-dolls-buttons-lyrics,http://api.genius.com/songs/32118,PCD,2006-07-06," What it do, baby boo? Yeah, lil' mama, you lookin' good I see you wanna play wit a player from the hood Come holla at me, you got it like that Big Snoop Dogg with the lead Pussycat I show you how it go down, yeah, I wanna throw down Me and you one-on-one, treat it like a showdown You look at me and I look at you I'm reachin' for your shirt, whatchu want me to do?   I'm telling you to loosen up my buttons, babe (Uh-huh!) But you keep fronting, uh Sayin' what you gon' to do to me (Uh-huh!) But I ain't seen nothing I'm telling you to loosen up my buttons, babe (Uh-huh!) But you keep fronting, uh Sayin' what you gon' to do to me (Uh-huh!) But I ain't seen nothing  [Verse 2: The Pussycat Dolls] Typical and hardly the type I fall for I like when the physical Don't leave me asking for more I'm a sexy mama (Mama) Who knows just how to get what I wanna (Wanna) What I wanna do is spring this on ya (On ya) Back up all of the things that I told ya (Told ya, told ya, told ya) You been sayin' all the right things all night long But I can't seem to get you over here to help take this off  [Pre-Chorus: The Pussycat Dolls] Baby, can't you see (See) How these clothes are fitting on me (Me) And the heat coming from this beat? (Beat) I'm about to blow, I don't think you know   I'm telling you to loosen up my buttons, babe (Uh-huh!) But you keep fronting, uh Sayin' what you gon' to do to me (Uh-huh!) But I ain't seen nothing I'm telling you to loosen up my buttons, babe (Uh-huh!) But you keep fronting, uh Sayin' what you gon' to do to me (Uh-huh!) But I ain't seen nothing  [Verse 3: The Pussycat Dolls] You say you're a big boy, but I can't agree 'Cause the love you said you had ain't been put on me I wonder (Wonder) if I'm just too much for you Wonder (Wonder) if my kiss don't make you just Wonder (Wonder), what I got next for you What you wanna do? (Do) Take the chance to recognize that this could be yours I can see just like most guys that your game don't please  [Pre-Chorus: The Pussycat Dolls] Baby, can't you see (See) How these clothes are fitting on me (Me) And the heat coming from this beat? (Beat) I'm about to blow, I don't think you know   I'm telling you to loosen up my buttons, babe (Uh-huh!) But you keep fronting, uh Sayin' what you gon' to do to me (Uh-huh!) But I ain't seen nothing I'm telling you to loosen up my buttons, babe (Uh-huh!) But you keep fronting, uh Sayin' what you gon' to do to me (Uh-huh!) But I ain't seen nothing   Now you can get what you want, but I need what I need Now let me tell you what's crackalackin' 'fore I proceed I'mma show you where to put it at PCD on me, yeah, I thought I saw a pussycat Now roll with the big dog, all six of y'all on me Now tell me how it feel, babydoll Ashley, Nicole, Carmit, Jessica, Kimberley, Melody, you tellin' me?   Loosen up my buttons, babe Loosen up my buttons, babe Baby, won't you loosen up my buttons, babe? Loosen up my buttons, babe Come on baby, loosen up my buttons, babe Loosen up my buttons, babe Baby, won't you loosen up my buttons, babe? Loosen up my buttons, babe   I'm telling you to loosen up my buttons, babe (Uh-huh!) But you keep fronting, uh Sayin' what you gon' to do to me (Uh-huh!) But I ain't seen nothing I'm telling you to loosen up my buttons, babe (Uh-huh!) But you keep fronting, uh Sayin' what you gon' to do to me (Uh-huh!) But I ain't seen nothing I'm telling you to loosen up my buttons, babe (Uh-huh!) But you keep fronting, uh Sayin' what you gon' to do to me (Uh-huh!) But I ain't seen nothing I'm telling you to loosen up my buttons, babe (Uh-huh!) But you keep fronting, uh Sayin' what you gon' to do to me (Uh-huh!) But I ain't seen nothing",2,9,3,2,16,7,23,3,5,11,0.9898
5,5,/songs/4243510,The Pussycat Dolls,Calling All Angels,https://genius.com/The-pussycat-dolls-calling-all-angels-lyrics,http://api.genius.com/songs/4243510,Doll Domination [Interscope Sessions],2008-01-01,"© Sony/ATV Music Publishing LLC, Universal Music Publishing Group, BMG Rights Management  Here I am again With tears rolling down my face And I'm searching deep within Will there ever be a change?There's so much I have left to live And my whole life brought me to this moment The answer's waiting in the wind If I can believe it...So I'm calling all angels I've been lost so long Shine a light for me I'm calling all angels Help me to be strong Now I'm on my knees  Waiting all my life For a chance to find The answer to set me free It lives within me I just need to believe I'm calling all angels I'm calling all angelsAnswered all my prayers And still I can't see the light I'm filled with so much fear From shadows deep inside...And now I can't afford to wait Another day feels like an eternity I will never lose my faith 'Cause it's every part of me!  (So I'm calling all angels) Yeah-ah! I've been lost so long Shine a light for me I'm calling all angels Help me to be strong Now I'm on my kneesWaiting all my life For a chance to find The answer to set me free It lives within me I just need to believe I'm calling all angels (I'm calling all angels)If you're out there, answer my prayer, woah-oh... (I'm calling all angels) If you're out there, answer my prayer, woah-ah!(So I'm calling all) Angels I've been lost so long Shine a light for me (I'm calling all angels) Ah! Help me to be strong Now I'm on my kneesWaiting all my life For a chance to find The answer to set me free It lives within me I just need to believe I'm calling all angels, woah-oh (I'm calling all angels)If you're out there, answer my prayer, mmm... (I'm calling all angels) If you're out there, answer my prayer (I'm calling all angels) Wooh-ooh-ooh-ooh-ohh... Woah-ah...",2,19,1,3,17,6,22,6,18,16,0.9756
6,6,/songs/32219,The Pussycat Dolls,Don't Cha,https://genius.com/The-pussycat-dolls-dont-cha-lyrics,http://api.genius.com/songs/32219,PCD,2005-09-05,"[Intro: Busta Rhymes & The Pussycat Dolls] Ayo, what the fuck you think a record 'Bout Pussycat Dolls featurin' Busta Rhymes is gon' sound like? Okay (Ahh), yeah (Ahh) Oh, we about to get it Just a lil' hot and sweaty in this motherfucker (Ooh, baby) Ladies, let's go (Uhh), soldiers, let's go (Dolls) Let me talk to y'all and just, you know Give you a little situation... listen (Fellas)  [Verse 1: Busta Rhymes & The Pussycat Dolls] You see this shit get hot, every time I come through When I step up in the spot (Are you ready?) Make the place sizzle like a summertime cookout Prowl for the best chick, yes, I'm on the lookout (Let's dance) Slow bangin' shorty like a belly dancer with it Smell good, pretty skin, so gangsta with it (Ooh, baby) No tricks, only diamonds under my sleeve Gimme the number, but make sure you call before you leave  [Verse 2: The Pussycat Dolls & Cee-Lo Green] I know you like me (I know you like me) I know you do (I know you do) That's why whenever I come around, she's all over you And I know you want it (I know you want it) It's easy to see (It's easy to see) And in the back of your mind I know you should be fuckin' with me (Ahh)   Don't cha wish your girlfriend was hot like me? Don't cha wish your girlfriend was a freak like me? Don't cha? Don't cha? Don't cha wish your girlfriend was raw like me? Don't cha wish your girlfriend was fun like me? Don't cha? (Ah-ah-ah) Don't cha?  [Verse 3: The Pussycat Dolls & Cee-Lo Green] Fight the feeling (Fight the feeling) Leave it alone (Leave it alone) 'Cause if it ain't love It just ain't enough to leave a happy home (Uh-uh, uh-uh) Let's keep it friendly (Let's keep it friendly) You have to play fair (You have to play fair, yeah) See, I don't care But I know, she ain't gon' wanna share (Ah, ah-ah)  [Chorus: The Pussycat Dolls & Busta Rhymes] Don't cha wish your girlfriend was hot like me? (Oh) Don't cha wish your girlfriend was a freak like me? (Like me) Don't cha? Don't cha, baby? Don't cha? Alright, sing Don't cha wish your girlfriend was raw like me? (Raw) Don't cha wish your girlfriend was fun like me? (Big thug) Don't cha? (Ah-ah-ah) Don't cha? (Okay, I see how it's goin' down Seem like shorty wanna little ménage pop off or somethin' Let's go)   Well, let me get straight to it Every broad wanna watch a nigga when I come through it It's the God almighty, lookin' all brand new If shorty wanna jump in my Aston Vanquish Lookin' at me all like she really wanna do it Tryna put it on me 'til my balls black and blueish You wanna play with a player, girl, then play on Strip out the Chanel and leave the lingerie on (Ha) Watch me and I'mma watch you at the same time Lookin' at you wanna break my back You're the very reason why I keep a pack of the Magnum And with the wagon, hit you in the back of the Magnum For the record, don't think it was something you did Shorty all on me 'cause it's hard to resist the kid I got a idea that's dope for y'all As y'all could get cold so I could hit the both of y'all  [Verse 5: The Pussycat Dolls & Cee-Lo Green] See, I know she loves ya (I know she loves ya) I understand (I understand, yeah) I'd probably be just as crazy about you if you were my own man Maybe next lifetime (Maybe next lifetime) Possibly (Possibly) Until then, old friend, your secret is safe with me (Shhh... hot)   Don't cha wish your girlfriend was hot like me? (Oh) Don't cha wish your girlfriend was a freak like me? (Like me) Don't cha? Don't cha, baby? Don't cha? Alright, sing Don't cha wish your girlfriend was raw like me? (Raw) Don't cha wish your girlfriend was fun like me? (Big thug) Don't cha? (Ah-ah-ah) Don't cha?",20,20,6,12,37,24,65,13,12,46,0.9967
7,7,/songs/988718,The Pussycat Dolls,Elevator,https://genius.com/The-pussycat-dolls-elevator-lyrics,http://api.genius.com/songs/988718,Doll Domination,2009-02-23," If we can stop fighting each other Long enough for us to see that, see that, see that That we are stronger together than separate, babe You gotta believe that, -lieve that, -lieve that But you love me today, don't want me around tomorrow Every time you change your mind I follow caught up, all up in your maze and I'm so dizzy, babe Can't keep going back and forth on these waves I'm getting sea sick, sea sick, sea sick   Like the way we were before and I wanna know If we can go back to the days when we was close Sometimes I think I'm so low Think you don't want me no more And I've gotta get up off this see-saw   Like an elevator, we go up, and we go down Down, down, like an elevator We touch the sky then touch the ground, ground, ground Like an elevator You're stuck on one while I'm pressing three Then we end up on the fourth floor And then we disagree Then you keep on blamin' me But I wish that you would see that I'm just tryna elevate you Like an elevator   Take you higher, t-t-take you higher That I'm just tryna elevate you Like an elevator Take you higher, t-t-take you higher That I'm just tryna elevate you Like an elevator   And I feel like we're speaking two different languages It's hard to read ya, read ya, read ya But I know if you at least try to make it half way I swear that I'll meet ya, meet ya, meet ya But we can't have a conversation without beefing Yellin' back and forth for no good reason I won't let you leave and you keep asking me to stay One of us better figure out what we want 'Cause I'm getting a headache, headache, headache   Like the way we were before and I wanna know If we can go back to the days when we was close Sometimes I think I'm so low Think you don't want me no more And I've gotta get up off this see-saw   Like an elevator, we go up, and we go down Down, down, like an elevator We touch the sky then touch the ground, ground, ground Like an elevator You're stuck on one while I'm pressing three Then we end up on the fourth floor And then we disagree Then you keep on blamin' me But I wish that you would see that I'm just tryna elevate you Like an elevator   Oh, if there's any man who understands what I'm saying Won't you help me? Say yeah, yeah, yeah Oh, there's gotta be some women who feeling the way I'm feeling Say yeah, yeah, yeah I'll take the blame if that'll make this go stop I'll hold for you if we can make it to the top But we gotta find a way to break down these walls, baby I'm waitin' on you, stop waitin' on me Damn, this elevator!   We go up, and we go down Down, down, like an elevator We touch the sky then touch the ground, ground, ground Like an elevator You're stuck on one while I'm pressing three Then we end up on the fourth floor And then we disagree Then you keep on blamin' me But I wish that you would see that I'm just tryna elevate you Like an elevator   Take you higher, t-t-take you higher That I'm just tryna elevate you Like an elevator Take you higher, t-t-take you higher That I'm just tryna elevate you Like an elevator",8,7,7,3,5,16,17,6,5,17,0.9934
8,8,/songs/1310454,The Pussycat Dolls,Feelin' Good,https://genius.com/The-pussycat-dolls-feelin-good-lyrics,http://api.genius.com/songs/1310454,PCD,2006-10-16," Come on Birds flying high, you know how I feel Sun in the sky, you know how I feel Breeze driftin' on by, you know how I feel   It's a new dawn And a new day And new life for me And I'm feelin'... so good, yeah   Fish in the sea, you know how I feel Rivers running free, you know how I feel Blossom on the tree, you know how I feel   It's a new dawn And a new day And a new life for me And I'm feelin' good So good, so good   Dragonfly out in the sun, you know what I mean, don't you know? Butterflies all havin' fun, you know what I mean Sleep in peace when day is done, that's what I mean And this old world is a new world And a bold world, for me, for me   Stars when you shine, you know how I feel Scent of pine, you know how I feel Oh, freedom is mine And I know how I feel   It's a new dawn And a new day And new life for me And I'm feelin'... oh, whoa, whoa, whoa I'm feelin'... good   Come on You know how I feel You know how I feel You, you know how I feel Feelin' good I'm feelin' good I'm feelin' good Feelin' good Feelin' good It's a new dawn, it's a new day It's a new life, for me",1,20,1,1,22,1,28,1,17,21,0.9955
9,9,/songs/562685,The Pussycat Dolls,Flirt,https://genius.com/The-pussycat-dolls-flirt-lyrics,http://api.genius.com/songs/562685,PCD,2006-10-16," Flirt Flirt   You wanna chill in my Lamborghini? You wanna look, but you don't wanna see So what you think of that look in my eyes? You think it's for you? You think you read minds? You better watch where you're putting those hands You better stop if you're making more plans 'Cause everything you do makes you look like a fool   You're looking for some dirt I'm lifting up my skirt I'm searching for a light under me in my purse You always think the worst I just wanna flirt You found me on my knees Next thing you're saying ""tease"" Cause I'm trying to find my phone and my keys Not your sleaze My spell is like a curse I just wanna flirt   I gotta know Don't you really understand One syllable words, old man? You got a problem with my space? Get your look out of my face 'Cause I've had it with your lies You're pretty damn close to being unfine 'Cause everything you do makes you look like a fool   You're looking for some dirt I'm lifting up my skirt I'm searching for a light under me in my purse You always think the worst (You always think the worst) I just wanna flirt (I just wanna flirt) You found me on my knees Next thing you're saying ""tease"" I'm trying to find my phone and my keys Not your sleaze My spell is like a curse (My spell is like a curse) I just wanna flirt (I just wanna flirt)   I'm just so lucky to be walking on a wire I'm up so high that I can barely feel your fire You can't touch me, no That's just a dream   You're looking for some dirt I'm lifting up my skirt I'm searching for a light under me in my purse You always think the worst (You always think the worst) I just wanna flirt (I just wanna flirt) You found me on my knees Next thing you're saying ""tease"" I'm trying to find my phone and my keys Not your sleaze My spell is like a curse I just wanna flirt (I just wanna flirt)   Flirt Flirt Flirt Flirt",9,22,11,7,21,31,24,9,17,23,-0.9821
