,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/310689,The Rolling Stones,100 Years Ago,https://genius.com/The-rolling-stones-100-years-ago-lyrics,http://api.genius.com/songs/310689,Goats Head Soup,1973-08-31," Went out walking through the wood the other day And the world was a carpet laid before me The buds were bursting and the air smelled sweet and strange And it seemed about a hundred years ago Mary and I, we would sit upon a gate Just gazing at some dragon in the sky What tender days, we had no secrets hid away Well, it seemed about a hundred years ago Now all my friends are wearing worried smiles Living out a dream of what they was Don't you think it's sometimes wise not to grow up? Went out walking through the wood the other day Can't you see the furrows in my forehead? What tender days, we had no secrets hid away Now it seems about a hundred years ago Now if you see me drinking bad red wine Don't worry 'bout this man that you love Don't you think it's sometimes wise not to grow up?   You're going to kiss and say good-bye, yeah, I warn you You're going to kiss and say good-bye, oh Lord, I warn you   And please excuse me while I hide away Call me lazy bones I ain’t got no time to waste away Lazy bones has not got no time to waste away Don't you think it's just about time to hide away? Yeah, yeah!",0.9054,2,15,4,7,12,13,20,4,8,19
1,/songs/105926,The Rolling Stones,19th Nervous Breakdown,https://genius.com/The-rolling-stones-19th-nervous-breakdown-lyrics,http://api.genius.com/songs/105926,Hot Rocks 1964–1971,1966-02-04," You're the kind of person You meet at certain dismal dull affairs Center of a crowd, talking much too loud Running up and down the stairs Well, it seems to me that you have seen too much in too few years And though you've tried you just can't hide Your eyes are edged with tears   You better stop Look around Here it comes, here it comes, here it comes, here it comes Here comes your nineteenth nervous breakdown   When you were a child You were treated kind But you were never brought up right You were always spoiled with a thousand toys But still you cried all night Your mother who neglected you Owes a million dollars tax And your father's still perfecting ways of making sealing wax   You better stop Look around Here it comes, here it comes, here it comes, here it comes Here comes your nineteenth nervous breakdown   Oh, who's to blame, that girl's just insane Well nothing I do don't seem to work It only seems to make matters worse. Oh please   You were still in school When you had that fool Who really messed your mind And after that you turned your back On treating people kind On our first trip I tried so hard to rearrange your mind But after while I realized you were disarranging mine   You better stop Look around Here it comes, here it comes, here it comes, here it comes Here comes your nineteenth nervous breakdown   Oh, who's to blame, that girl's just insane Well nothing I do don't seem to work It only seems to make matters worse. Oh please  When you were a child You were treated kind But you were never brought up right You were always spoiled with a thousand toys But still you cried all night Your mother who neglected you Owes a million dollars tax And your father's still perfecting ways of making sealing wax You better stop Look around   Here comes Here comes your nineteenth nervous breakdown Here comes your nineteenth nervous breakdown Here comes your nineteenth nervous breakdown Here comes your nineteenth nervous breakdown Here comes your nineteenth nervous breakdown Here comes your nineteenth nervous breakdown",-0.9926,6,13,6,15,8,33,11,10,1,12
2,/songs/105927,The Rolling Stones,2000 Light Years from Home,https://genius.com/The-rolling-stones-2000-light-years-from-home-lyrics,http://api.genius.com/songs/105927,Their Satanic Majesties Request,1967-12-08," Sun turnin' 'round with graceful motion We're setting off with soft explosion Bound for a star with fiery oceans It's so very lonely, you're a hundred light years from home Freezing red deserts turn to dark Energy here in every part It's so very lonely, you're six hundred light years from home   It's so very lonely, you're a thousand light years from home It's so very lonely, you're a thousand light years from home   Bell flight fourteen you now can land See you on Aldebaran, safe on the green desert sand It's so very lonely, you're two thousand light years from home It's so very lonely, you're two thousand light years from home",-0.9221,8,3,8,9,4,11,6,9,2,4
3,/songs/310547,The Rolling Stones,2000 Man,https://genius.com/The-rolling-stones-2000-man-lyrics,http://api.genius.com/songs/310547,Their Satanic Majesties Request,1967-12-08," Well, my name is a number A piece of plastic film And I'm growing funny flowers In my little window sill Don’t you know I'm a 2,000 man And my kids, they just don't understand me at all Well my wife still respects me I really misused her I am having an affair With the Random computer Don't you know I'm a 2,000 man And my kids, they just don't understand me at all   Oh daddy, proud of your planet Oh mummy, proud of your sun Oh daddy, proud of your planet Oh mummy. proud of your sun   Oh daddy, your brain's still flashing Like it did when you were young Or do you come down crashing Seeing all the things you'd done All was a big put on     And you know who's the 2000 man And your kids they just won't understand you at all",0.9729,0,8,0,0,8,0,12,0,3,11
4,/songs/877725,The Rolling Stones,"Ain't That Loving You, Baby",https://genius.com/The-rolling-stones-aint-that-loving-you-baby-lyrics,http://api.genius.com/songs/877725,None,1970-01-01,(Reed)  I could ride around the world in an old oxcart And never let another girl thrill my heart  Ain't that loving you baby? Ain't that loving you baby? Ain't that loving you baby? Ain't that loving you so?  I could meet a hundred girls and have loads of fun My huggin' and my kissin' belong to just one  Ain't that loving you baby? Ain't that loving you baby? Ain't that loving you baby? Ain't that loving you so?  If you gave me nine lives like a tommy cat I'd give 'em all to you and never take one back  Ain't that loving you baby? Ain't that loving you baby? Ain't that loving you baby? Ain't that loving you so?  I'm putting on my Sunday suit and I'm goin' downtown But I'll be kissin' your lips before the sun goes down  Ain't that loving you baby? Ain't that loving you baby? Ain't that loving you baby? Ain't that loving you so?  Ain't that loving you baby? Ain't that loving you so?,-0.992,0,3,0,1,34,0,34,0,2,19
5,/songs/310700,The Rolling Stones,Ain't Too Proud to Beg,https://genius.com/The-rolling-stones-aint-too-proud-to-beg-lyrics,http://api.genius.com/songs/310700,It's Only Rock 'n Roll,1974-10-25," I know you want to leave me But I refuse to let you go If I have to beg, plead for your sympathy I don't mind Because you mean that much to me   Ain't too proud to beg and you know it Please don't leave me girl, don't you go Ain't too proud to plead, baby, baby Please don't leave me girl, don't you go   Now I heard a quiet man is half a man With no sense of pride But if I have to cry to keep you I don't mind weeping If it will keep you by my side   If I have to sleep on your door step all night and day Just to keep you from walking away Let your friends laugh, even this I can stand Because I want to keep you anywhere I can   Now I've got a love so deep in the pit of my heart And each day it grows more and more I'm not ashamed to come and plead to you, baby If pleading keeps you from walking out the door  ",0.9608,0,2,1,0,9,8,18,10,4,9
6,/songs/312272,The Rolling Stones,All About You,https://genius.com/The-rolling-stones-all-about-you-lyrics,http://api.genius.com/songs/312272,Emotional Rescue,1980-06-20," Well if you call this a life Why must I spend mine with you? If the show must go on Let it go on without you So sick and tired hanging around with jerks like you  Who'll tell me those lies And let me think they're true, yeah What am I to do You want it, I got it too  Though the laughs may be cheap That's just 'cause the joke's about you I'm so sick and tired hanging around with dogs like you You're the first to get blamed Always the last bitch to get paid  Oh, tell me those lies Let me think they're true, yeah I heard one or two They weren't about me, they weren't about her They were all about you  I may miss you But missing me just isn't you I'm so sick and tired hanging around with dogs  Tell me those lies Let me think they're true I heard one or two, and they weren't about me, they weren't about her They're all about you, all about you I'm so sick and tired What should I do You want it, want it, want it, you get it, get it, get it So how come I'm still in love with you?",-0.9733,8,0,11,5,5,18,5,12,2,4
7,/songs/77873,The Rolling Stones,All Down the Line,https://genius.com/The-rolling-stones-all-down-the-line-lyrics,http://api.genius.com/songs/77873,Exile on Main St.,1972-05-12," Yeah, heard the diesel drumming all down the line Oh, heard the wires a humming all down the line Yeah, hear the women sighing all down the line Oh, hear the children crying all down the line We'll be watching out for trouble, yeah And we'd better keep the motor running, yeah Well, you can't say yes and you can't say no Just be right there when the whistle blows I need a sanctified girl with a sanctified mind to help me now Yeah, all the people singing all down the line Mmmm, watch the men all working, working, yeah You're gonna open up the throttle, yeah We're going to bust another bottle, yeah I need a shot of salvation, baby, once in a while Hear the whistle blowing, hear it for a thousand miles You're gonna open up the throttle, yeah All down the line, We're going to bust another bottle, yeah Well you can't say yes, and you can't say no Just be right there when the whistle blows I need a sanctified mind to help me out right now Be my little baby for a while Won't you be my little baby for a while?",0.9681,3,3,0,2,5,4,7,2,1,1
8,/songs/1539459,The Rolling Stones,All of Your Love,https://genius.com/The-rolling-stones-all-of-your-love-lyrics,http://api.genius.com/songs/1539459,Blue & Lonesome ,2016-12-02," All your love, baby can it be mine All your love, baby can it be mine I hate to be the one The one you left behind   All your love, baby don't put around All your love, baby don't put around Love is one thing baby You won't find on the ground   All your love, I've got to have one day All your love, I've got to have one day Don't you leave me baby Please come back this way",0.9705,1,0,1,1,13,2,16,2,1,4
9,/songs/310503,The Rolling Stones,All Sold Out,https://genius.com/The-rolling-stones-all-sold-out-lyrics,http://api.genius.com/songs/310503,Between the Buttons,1967-01-20," Why put this sadness inside of me? Why be so matter-of-fact? Why put this one bit of hope in me? You sold me out, and that's that   I hope that you're having fun with me There's not much left to attack I hope that you're nearly done with me You sold me out, and that's that   All sold out, I’d never seen A mind so tangled, a girl so strangled All sold out, well, I felt so green It was just like that, I was put down flat I was sold out just like that   Oh, baby Hey, hey Hey, hey Hey, hey, that's that   All sold out, I’d never seen A mind so tangled, a girl so strangled All sold out, well, I felt so green It was just like that, I was put down flat I was sold out just like that   I missed the point of you doing it Your mind has just jumped the track I took a bit different view of it You sold me out, and that's that   Hey hey Hey hey Hey hey That's that",0.7255,1,5,0,1,7,4,7,1,3,7
