,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/484781,The Script,Anybody There,https://genius.com/The-script-anybody-there-lyrics,http://api.genius.com/songs/484781,The Script,2008-08-08," My head is saying no But my heart keeps giving in So hard to let it go When it's there under my skin   Well, if this is the face of a sinner And if heaven is only for winners Well, I don't care 'Cause I won't know anybody there   Thought that I'd let it slide But it's me that's slipping in Thought that I'd go for a ride Before this crash I'm dying in   Well, if I'm judged on the life I've been living And if heaven is not so forgiving Well, I don't care 'Cause I won't know anybody there I don't care 'cause I won't know anybody there   My head is saying no But my heart keeps giving in So hard to let it go When it's there under my skin   Well, if I'm judged on the life I've been living And if heaven is not so forgiving Well, I don't care 'Cause I won't know anybody there I don't care 'cause I won't know anybody there Oh, I don't care 'cause I won't know anybody there   Is there anybody there? Is there anybody there? Is there anybody there?",-0.3279,2,3,2,3,1,3,11,3,2,8
1,/songs/3175082,The Script,Arms Open,https://genius.com/The-script-arms-open-lyrics,http://api.genius.com/songs/3175082,Freedom Child,2017-09-01," I can't unfeel your pain I can't undo what's done I can't send back the rain But if I could I would My love, my arms are open   So when you feel like you can't take another round of being broken My arms are open And when you're losing faith and every door around you keeps on closing My arms are open   I can't uncry your tears I can't rewind the time I can't unsay what's said In your crazy life My love, my arms are open   Ooh, and when you're cursing at the sky And thinking, ""Lord, you must be joking"" My arms are open And, and when you're looking in the mirror Thinking that, ""My life is over"" My arms are open   My arms are open (ooh, ooh) My arms are open (ooh, ooh) My arms are open (ooh, ooh) My arms are open (ooh, ooh)   So let me do to you What you've always done for me And let me be the ground Underneath your feet   I can't unfeel your pain I can't undo what's done I can't send back the rain But if I could I would My love - my arms are open, arms are open   So when you feel like you can't take another round of being broken My arms are open Oh, and when you're losing faith and every door around you keeps on closing My arms are open   My arms are open (ooh, ooh) My arms are open (ooh, ooh) My arms are open (ooh, ooh) My arms are open (ooh, ooh)   (My arms are open) I will be standing here I will be by your side (My arms are open) You see me loud and clear With my arms open wide (My arms are open) I will be standing here I will be by your side (My arms are open) You feel me loud and clear With my arms open wide (My arms are open)",0.9844,6,3,2,5,5,11,10,7,0,4
2,/songs/515707,The Script,Army of Angels,https://genius.com/The-script-army-of-angels-lyrics,http://api.genius.com/songs/515707,No Sound Without Silence,2014-09-09," When love’s a battle And life’s a war When I just can’t go on fighting anymore When I’m surrounded And they’re closing in When I feel the bullets graze against my skin   This world’s a warzone And I’ve got a shield And I won’t surrender Cause your love feels   Like an army of angels Like an army of angels Like an army of angels Like an army of angels   If hate is poison, then loves the cure And it’s you that drives the demons from my door When they got me cornered, close to giving in Oh, I feel you 'round me like a second skin   This world’s a warzone And I’ve got a shield And I won’t surrender Cause your love feels Like an army of angels Like an army of angels Like an army of angels Like an army of angels, angels, angels, angels   'Cause the flames in the fire out with old (out with old) 'Cause I know, yeah, I know that I’m not alone (not alone) 'Cause the flames in the fire out with old (out with old) 'Cause I know, yeah, I know that I’m not alone (not alone)  Oh, what a beautiful sight wo-ah A hundred thousand soldiers in the sky wo-ah I don’t need to worry tonight With you by my side, yeah   Like an army of angels Like an army of angels Like an army of angels Like an army of angels, angels, angels Like an army of angels Cause the flames in the fire out with old (out with old) Like an army of angels Cause I know yeah I know that I’m not alone (not alone) Like an army of angels Cause the flames in the fire out with old (out with old) Like an army of angels Cause I know yeah I know that I’m not alone (not alone)",0.9906,6,22,3,11,26,9,30,7,21,22
3,/songs/152420,The Script,Before the Worst,https://genius.com/The-script-before-the-worst-lyrics,http://api.genius.com/songs/152420,The Script,2008-08-08," It's been a while since the two of us talked About a week since the day that you walked Knowing things would never be the same With your empty heart and mine full of pain So explain to me how it came to this Take it back to the night we kissed It was Dublin city on a Friday night With vodkas and coke, I was Guinness all night   We were sitting with our backs against the world Saying things that we thought but never heard Oh, who would ever thought we would end up like this? Where everything we talked about is gone And the only chance we have of moving on Is try to take it back before it all went wrong   Before the worst, before we mend Before our hearts decide it's time to love again Before too late, before too long Let's try to take it back before it all went wrong   There was a time when we stayed up all night Best friends, yeah, talking till the daylight We took the joys alongside the pain With not much to lose but so much to gain Are you hearing me? 'Cause I don't wanna miss Set you adrift on a memory bliss It was Grafton Street on a rainy night I was down on one knee and you were mine for life   We were thinking we would never be apart With your name tattooed across my heart Oh, who would ever thought we would end up like this? Where everything we talked about is gone And the only chance we have of moving on Is try to take it back before it all went wrong   Before the worst, before we mend Before our hearts decide it's time to love again Before too late, before too long Let's try to take it back before it all went wrong   If the clouds don't clear We'll rise above it We'll rise above it (whoa) Heaven's gate is so near Come walk with me through Just like we used to Just like we used to  Yeah Yeah  Let's take it back before it all went wrong   Before the worst (before) Before we mend (before) Before our hearts decide it's time to love again Before too late Before too long Let's try to take it back before it all went wrong (all wrong)  Let's try to take it back before it all went wrong",0.949,1,12,1,5,7,16,12,8,3,5
4,/songs/71276,The Script,Breakeven,https://genius.com/The-script-breakeven-lyrics,http://api.genius.com/songs/71276,The Script,2008-08-08," I'm still alive but I'm barely breathing Just praying to a God that I don't believe in 'Cause I got time while she got freedom 'Cause when a heart breaks no it don't break even   Her best days will be some of my worst She finally met a man that's gonna put her first While I'm wide awake she's no trouble sleeping 'Cause when a heart breaks no it don't breakeven Even... no   What am I supposed to do when the best part of me was always you? And what am I supposed to say when I'm all choked up and you're ok? I'm falling to pieces, yeah I'm falling to pieces   They say bad things happen for a reason But no wise words gonna stop the bleeding 'Cause she's moved on while I'm still grieving And when a heart breaks no it don't breakeven even, even ... no   What am I gonna do when the best part of me was always you? And what am I supposed to say when I'm all choked up and you're ok? I'm falling to pieces, yeah I'm falling to pieces, yeah I'm falling to pieces (One still in love while the other one's leaving) I'm falling to pieces ('Cause when a heart breaks no it don't break even)   Oh, you got his heart and my heart and none of the pain You took your suitcase, I took the blame Now I'm tryna make sense of what little remains, oh 'Cause you left me with no love and no love to my name   I'm still alive but I'm barely breathing Just prayed to a God that I don't believe in 'Cause I got time while she got freedom 'Cause when a heart breaks no it don't break No it don't break no it don't break even no   What am I gonna do when the best part of me was always you? And what am I supposed to say when I'm all choked up that you're ok? I'm falling to pieces, yeah I'm falling to pieces, yeah I'm falling to pieces (One still in love while the other one's leaving) I'm falling to pieces ('Cause when a heart breaks no it don't break even)   Oh, it don't break even, no Oh, it don't break even, no Oh, it don't break even, no",0.9468,2,8,5,6,11,15,29,13,16,22
5,/songs/92343,The Script,Broken Arrow,https://genius.com/The-script-broken-arrow-lyrics,http://api.genius.com/songs/92343,#3,2012-09-07,"This time he's gonna wear an iron suit This time she's gonna fix her heart and make it bullet proof He says he's gonna take a bite from the forbidden fruit She says never never bite more than you can chew But this time he's not gonna be another could've been This time she's gonna get real, love the skin she's in She says a winner never quits, quitters never win She said this time that she is built to face anything This time he's gonna stand for who he is This time she's gonna live to work, she's not working to live He says just because you say it's true, it don't mean it is She says it seems too good to be true, well then it probably is This time he's hell bent yeah he's heaven bound This time she's gonna pick herself up no more breaking down He says he's gonna turn the wheel, turn this shit around She says if he's looking for love then she don't want to be found  When you shoot across the sky like a broken arrow It's so hard to keep yourself on the straight and narrow When you shoot across the sky like a broken arrow You fall of course Yeah when you hit the ground It's hard to get to heaven when your falling hell bound  This time he's gonna make it to the aftermath This time she's gonna raise her head choose the righteous path He said one day we will look back and it will make us laugh She said better to have and not need, than to need and not have No matter what the cause it's better to have loved and lost Have you ever met a man who never loved at all? Yeah the higher they are the bigger they fall You have to choose something cuz you can't have it all No, he's not gonna be the last to the finish line She said even losers get lucky sometimes He says it's gonna get better like a fine wine She says it's harder to smell the roses when the sun don't shine This time he's gonna find another way This time she's gonna take you to the good ol'days with no... gracing Only warm embraces with the two little sweet angels with dirty faces  When you shoot across the sky like a broken arrow It's so hard to keep yourself on the straight and narrow When you shoot across the sky like a broken arrow You fall of course Yeah when you hit the ground It's hard to get to heaven when your falling hell bound  Every break, every burn, every toss, every turn, every sin, anything you've learned it's all programmed, all programmed Every break, every burn, every toss, every turn, every sin, everything we've learned it's all programmed, all programmed  When you shoot across the sky like a broken arrow It's so hard to keep yourself on the straight and narrow When you shoot across the sky like a broken arrow You fall of course Yeah when you hit the ground It's hard to get to heaven when you're born hell bound",0.9565,24,20,10,19,14,39,29,20,11,19
6,/songs/66819,The Script,Bullet From A Gun,https://genius.com/The-script-bullet-from-a-gun-lyrics,http://api.genius.com/songs/66819,Science & Faith ,2011-05-27,"I'm in the boot of a car breathing air through a hole She's driving me down to the river She'll watch over me in the tears in her eyes Couldn't dig my own grave any deeper She's pushing me blindfolded down to my knees But her finger still shakes on the trigger She's untying my hands, though I gave her the rope This is so much harder to leave her, leave her, leave her  When you're forgiving but you can't forget Feels like you're drownin' but you still got breath And we've been tryna lay this ghost to rest Oh, but there ain't no getting out of this mess No, there ain't no getting out There ain't no getting out There ain't no getting out of this mess  Now she's showing me mercy as much as she can She's letting me live with my demons See her washing her hands as she's walking away Oh, but still she looks back, she looks back But she's leaving, she's leaving  When you're forgiving but you can't forget Feels like you're drownin' but you still got breath And we've been tryna lay this ghost to rest Oh, but there ain't no getting out of this mess No, there ain't no getting out There ain't no getting out There ain't no getting out of this mess No, there ain't no getting out No, there ain't no getting out of this mess  What's done is done Can't resurrect the setting sun What's done is done Oh, you can't reverse the bullet from a gun What's done is done Can't resurrect the setting sun What's done is done No, you can't reverse the bullet from a gun  When you're forgiving but you can't forget Feels like you're drownin' but you still got breath And we've been tryna lay this ghost to rest Oh but there ain't no getting out of this mess When you're forgiving but you can't forget Feels like you're drownin' but you still got breath And we've been tryna lay this ghost to rest Oh but there ain't no getting There ain't no getting out of this mess Out of this mess Out of this mess Out of this mess Out of this mess Out of this mess Out of this mess",-0.9933,3,3,14,9,2,24,11,5,5,6
7,/songs/217414,The Script,Dead Man Walking,https://genius.com/The-script-dead-man-walking-lyrics,http://api.genius.com/songs/217414,Science & Faith ,2010-09-10," I hear the angels talking talking talking Now I'm a dead man walking walking walking I hear the angels talking talking talking Now I'm a dead man I hear the angels talking talking talking Now I'm a dead man walking walking walking I hear the angels talking talking talking Now I'm a dead man   I see you standing there but you're already gone I'm holding your hand but you're barely holding on I'm kissing your lips but it just don't feel the same Am I dead there now, left living with the blame   Oh I hear the angels talking talking talking Now I'm a dead man walking walking walking   Already broken, already gone Already know you're moving on I'm a breathing, talking Dead man, walking Already see it, in your face Already someone, in my place I'm a breathing, talking Dead man, walking   I hear the angels talking talking talking Now I'm a dead man walking walking walking I hear the angels talking talking talking Now I'm a dead man   We're in the same room just one million miles away With all these books around but we ain't got two words to say Am I a dead man now, left living with the shame? I'm...   Already broken, already gone Already know you're moving on I'm a breathing, talking Dead man, walking Already see it, in your face Already someone, in my place I'm a breathing, talking Dead man, walking  (Ahhh Oooooh-Ooooooh)  I'm a breathing, talking Dead man, walking   I hear the angels talking talking talking Now I'm a dead man walking walking walking I hear the angels talking talking talking Now I'm a dead man   Already broken, already gone Already know you're moving on I'm a breathing, talking Dead man, walking Already see it, in your face Already someone, in my place I'm a breathing, talking Dead man, walking (Uuuuuuuuuuuu) I'm a breathing, talking Dead man, walking I'm a breathing, talking Dead man, walking   I hear the angels talking talking talking Now I'm a dead man walking walking walking I hear the angels talking talking talking Now I'm a dead man I hear the angels talking talking talking Now I'm a dead man walking walking walking I hear the angels talking talking talking Now I'm a dead man Now I'm a dead man",-0.9995,4,13,2,4,13,5,16,4,13,15
8,/songs/3162929,The Script,Divided States of America,https://genius.com/The-script-divided-states-of-america-lyrics,http://api.genius.com/songs/3162929,Freedom Child,2017-01-01," Divided States of America Divided States of the World If we don't all stand together We will fall Divided States of America Divided States of the World If we don't all stand together We will fall   How many miles must I walk in your shoes 'Fore I know how you feel, know how you feelin'? How many times must I see you on the news 'Fore I know it's for real, know it's for real? And how many nights must I hear you sing the blues? Another gun man running on the loose How many times must I turn a blind eye And deny what I'm seeing, deny what I'm seeing?   Another protest to another march Incite a riot, boy - ready, set, charge Another gun fest, drop another bomb Another war child, tell me, what the fuck is going on? Another scandal from the man in charge Another white collar criminal at large We're waking up, we're catching on We've had enough, we're standing strong, oh   Divided States of America Divided States of the World If we don't all stand together We will fall Divided States of America Divided States of the World If we don't all stand together We will fall   'Cause they built these walls so high Let's reach across that great divide   How many crimes do we have to live through 'Fore we start intervening, start intervening? How many lives are we going to lose 'Fore we lost all the meaning, lost all the meaning?   Another battleground to another war Another time to speak less, listen more We're waking up, we're catching on We've had enough, we're standing strong   Divided States of America Divided States of the World If we don't all stand together We will fall Divided States of America Divided States of the World If we don't all stand together We will fall   'Cause they built these walls so high Let's reach across that great divide 'Cause they built these walls so high Let's reach across that great divide   Brick by brick, stone by stone Let's tear this down until it's gone Until it's gone, until it's gone Brick by brick, stone by stone Let's build the bridge to get us home We're not alone, we're not alone Yeah (We're not alone)   Divided States of America Divided States of the World If we don't all stand together We will fall Divided States of America Divided States of the World If we don't all stand together We will fall   'Cause they built these walls so high Let's reach across that great divide 'Cause they built these walls so high Let's reach across that great divide",-0.9437,14,10,3,10,3,29,21,14,2,12
9,/songs/3175075,The Script,Eden,https://genius.com/The-script-eden-lyrics,http://api.genius.com/songs/3175075,Freedom Child,2017-09-01," My kingdom was falling down to dust, yeah And no one can stop the exodus, ooh   I've always been livin' on a prayer Hopin', hopin', hopin' that I'd find you out there, somewhere My life, it was going nowhere Hopin', hopin', hopin' for somebody who can take me there   Now I have reached my heaven In a world of Armageddon I've finally found my Eden There's no way I'm leaving Blinded by temptation, and you gave me salvation I've finally found my Eden There's no way I'm leaving you   My heart is a prison, half the time, yeah But your love can break the chains that bind, ooh   I've always been livin' on a prayer Hopin', hopin', hopin' that I'd find you out there, somewhere My life, it was going nowhere Hopin', hopin', hopin' for somebody who can take me there   Now I have reached my heaven In a world of Armageddon I've finally found my Eden There's no way I'm leaving Blinded by temptation, and you gave me salvation I've finally found my Eden There's no way I'm leaving you   You You, you I've finally found my Eden There's no way I'm leaving you You You, you I've finally found my Eden There's no way I'm leaving you   Blinded by temptation, and you gave me salvation I've finally found my Eden There's no way I'm leaving you   You You, you I've finally found my Eden There's no way I'm leaving you You You, you I've finally found my Eden There's no way I'm leaving you",-0.7935,1,13,9,1,22,9,22,2,10,21
