,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/209255,The Wanted,A Good Day for Love to Die,https://genius.com/The-wanted-a-good-day-for-love-to-die-lyrics,http://api.genius.com/songs/209255,The Wanted,2010-10-22," Seen the change watching it fade Holding my breath feeling it fail Working hard wondering why Can't fix it now so why even try   We've run out of time It's over I'm over this life, I'm running dry I'm out of here out of your life It's a good day for resurrection It's a good time to break the connection To the heart that I've been neglecting It's a good day for love for love to die   Not easy to say harder to do But that's no kinda life, so I'll leave it to you Working it hard wondering why Can't fix it now so why even try   There's not a chance, there's not a prayer Can't pull a miracle out of the air So now I'm leaving letting it lie, letting it die   For love to die, for love to die For love to die, for love to die It's a good day for love for love to die, for love to die",0.1309,2,8,2,10,15,13,18,11,9,6
1,/songs/110036,The Wanted,All Time Low,https://genius.com/The-wanted-all-time-low-lyrics,http://api.genius.com/songs/110036,The Wanted,2010-05-30," Praying won't do it Hating won't do it Drinking won't do it Fighting won't knock you out Of my head   Hiding won't hide it Smiling won't hide it Like I ain't tried it Everyone's tried it now And failed somehow   So when you gonna let me When you gonna let me out, out   And if you know How do you get up from an all time low? I'm in pieces It seems like peace is The only thing I'll never know How do you get up? Get up?   Cause driving won't do it Flying won't do it Denying won't do it Crying won't drown it out What you said   When I'm standing on the yellow line Waiting at the station Or I'm late for work A vital presentation If you call me now girl Without reservation I would try to break through     I can't even find a place to start How do I choose between my head and heart? Till it ceases I'll never know How do you get up from an all time low?   A low  Can you hear me? A low  Can't you hear me? A low  Can you hear me? A low   ",0.6604,2,5,0,5,2,7,5,3,1,1
2,/songs/209251,The Wanted,Behind Bars,https://genius.com/The-wanted-behind-bars-lyrics,http://api.genius.com/songs/209251,The Wanted,2010-10-22," I feel something over me And try to runaway from the demons that haunted me The key turns inside, no place to hide I'm locked in no place, no place   I think I could be going crazy, going crazy, oh Feeling the walls come closer, find these corners out Cause I'm behind bars, cause I'm behind bars   Now a whispers calling me And why does my skin crawl with the pain on insanity? The key turns inside, no place to hide I'm locked in no place, no place   Get me out of here, I need somebody, please  ",-0.9741,5,1,4,9,1,9,1,8,1,1
3,/songs/914115,The Wanted,Be Your Strength,https://genius.com/The-wanted-be-your-strength-lyrics,http://api.genius.com/songs/914115,None,2017-11-21,"This is not gonna last forever It's a time where you must hold on And I won't let you surrender And I'll heal you if your broken We can stand so tall together We can make it through the stormy weather We can go through it all together Do it all together Do it all I'll be your strength I will, I will, I will I'll be your strength Yes I will, yes I will I won't sleep till the sky is calmer Keep on searching till I've found you And my love will be your armour In this battle field around you Hand in hand we walk together We can make it through the stormy weather We can break down walls together Do it all together Do it all I'll be your strength I will, I will, I will I'll be your strength Yes I will yes I will Hold on Hold on I'll be.. there soon So hold on Hold on I'll be ..there soon So hold on Hold on I'll be.. there soon So hold on Hold on I'll be there I'll be your strength I'll be I'll be I'll be your strength I'll be I'll be I'll be your strength I'll be I'll be I'll be your strength I'll be I'll be I'll be your strength I'll be strong for you I'll be your strength And I'll keep strong for you",0.995,2,1,0,4,3,5,14,2,1,12
4,/songs/100855,The Wanted,Broken heart,https://genius.com/The-wanted-broken-heart-lyrics,http://api.genius.com/songs/100855,None,2017-11-21,Im broken cause of you You looked at me straight in the eyes but you weren't that good with my life you said that you were gonna get my heart broken broken but you didn't think that was enough so went down to the corner and you were thinking in your mind ohhh rap part :listen to me directly in the eyes do you love do you hate me do you think I was the best for you but listen to the voice inside your'e head.what do you think i am standing in the corner but now do you understand how the broken heart feels now listen to your to your heart,-0.8628,5,1,1,5,2,5,3,5,1,1
5,/songs/80797,The Wanted,Chasing the Sun,https://genius.com/The-wanted-chasing-the-sun-lyrics,http://api.genius.com/songs/80797,The Wanted EP,2012-04-24," I'm better, so much better now I see the light, touch the light, we're together now I'm better, so much better now Look to the skies, gives me life, we're together now   We've only just begun, hypnotized by drums Until forever comes, you'll find us chasing the sun They said this day wouldn't come, we refused to run We've only just begun, you'll find us chasing the sun   Oh-oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh, you'll find us chasing the sun Oh-oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh, you'll find us chasing the sun   And when they say life's faded We're gonna play in the dark 'til it's golden again And now it feels so amazing Can't see it coming, I will never grow old again You'll find us chasing the sun   I'm never, I'm never down Lying here, staring up, and you're looking down I'm never, I'm never down Live forever, forever with you around   We've only just begun, hypnotized by drums Until forever comes, you'll find us chasing the sun They said this day wouldn't come, we refused to run We've only just begun, you'll find us chasing the sun The sun, the sun, the sun, the sun, the sun You'll find us chasing the sun   Oh-oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh, you'll find us chasing the sun Oh-oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh, you'll find us chasing the sun   And when they say life's faded We're gonna play in the dark 'til it's golden again And now it feels so amazing Can't see it coming, I will never grow old again You'll find us chasing the sun   You'll find us chasing the sun   And when they say life's faded We're gonna play in the dark 'til it's golden again And now it feels so amazing Can't see it coming, I will never grow old again You'll find us chasing the sun   Oh-oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh, you'll find us chasing the sun Oh-oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh Oh-oh-oh-oh-oh-oh, you'll find us chasing the sun",0.9898,1,30,1,0,23,4,24,5,20,23
6,/songs/742428,The Wanted,Could This Be Love,https://genius.com/The-wanted-could-this-be-love-lyrics,http://api.genius.com/songs/742428,Word of Mouth,2013-10-07," She takes my breath away She's got me calling every day I can't seem to get enough Could this be love? Stay up 'til late at night Watch the stars burst into light Watch movies all the time We can't get enough   I'd jump out of a plane Write your name in the sky You're shaking my life up   Could this be love? I'm feeling drifting up On ceilings with your touch Could this be love? (love, love) 'Cause when we kiss My heart drops like a bomb I'm in pieces when you're gone Could this be love? (love, love) Could this be love?   Sat in bed, we're on the phone Her voice is sweet, she doesn't know Could stay awake all night long Could this be love? Walk together through the night Sky is clear, the stars are bright I kiss her lips and hold her tight Is that enough?   I'd jump out of a plane Write your name in the sky You're shaking my life up Let's take a chance on this time Could be the best of our lives I think you already know   Could this be love? I'm feeling drifting up On ceilings with your touch Could this be love? (love, love) 'Cause when we kiss My heart drops like a bomb I'm in pieces when you're gone Could this be love? (love, love) Could this be love?   Could this be love? Could this be love? Could this be love? Could this be love? Could this be love, love, love? Could this be love?   She takes my breath away She's got me calling every day I can't seem to get enough Could this be love?   Could this be love? I'm feeling drifting up On ceilings with your touch Could this be love? (love, love) 'Cause when we kiss My heart drops like a bomb I'm in pieces when you're gone Could this be love? (love, love) Could this be love?   Could this be love? Could this be love? Could this be love? Could this be love? Could this be love, love, love? Could this be love?",0.9994,6,15,3,10,55,9,58,7,12,6
7,/songs/209425,The Wanted,Dagger,https://genius.com/The-wanted-dagger-lyrics,http://api.genius.com/songs/209425,Battleground,2011-11-04," Stay Won't beg you to stay Go, yeah, I'll be ok Won't kill me this way Oh, Oh At least that's what I'll say   No, you don't have to know The wounds that hurt me the most Cos I'll never show Just how deep they go   That's why I'm telling you Everytime you have to go I don't think you even know It's like a dagger in my heart Everytime you have to leave Can't believe it cuts so deep It's like a dagger in my heart Dagger Dagger  It's like a dagger in my heart Dagger Dagger  It's like a dagger in my heart   Strong, I thought I was strong These scars will heal before long I guess I was wrong Oh, Oh And I'm too far gone   Try, I know I should try To just get on with my life But it's slipping away tonight There's some loves you can't survive   The last words I would say Is there ain't anyone else Can take this pain away   Everytime you have to go I don't think you even know It's like a dagger in my heart Everytime you have to leave Can't believe it cuts so deep It's like a dagger in my heart",0.9396,3,2,1,15,2,19,7,8,3,6
8,/songs/209400,The Wanted,Drunk on Love,https://genius.com/The-wanted-drunk-on-love-lyrics,http://api.genius.com/songs/209400,Word of Mouth,2013-11-04," We’re drunk on love So turn the music up I wanna loose control We’re gonna lose control We're going out tonight Going with no invite I wanna take it home We’re gonna take it home   I’m a lover not a hater, not a fighter or a player And I’ll party 'til the sun comes up Getting a hangover without a cure We could end up anywhere, but that’s all part of the rush   When the lights are shining, that’s where you will find me Getting drunk on love That’s what we do When I see you dancing Gets me so excited, girl I pour my love all over you We’re drunk on love We’re drunk on love   We’re drunk on love, we’re gonna light it up The fire never ends, this fire never ends And when tomorrow comes, we’re gonna hear those drums And do it all again, lets do it all again   I’m a lover not a hater, not a fighter or a player And I’ll party 'til the sun comes up Getting a hangover without a cure We could end up anywhere, but that’s all part of the rush   When the lights are shining, that’s where you will find me Getting drunk on love That’s what we do When I see you dancing Gets me so excited, girl I pour my love all over you We’re drunk on love We’re drunk on love   When the lights are shining, that’s where you will find me Getting drunk on love That’s what we do When I see you dancing Gets me so excited, girl I pour my love all over you   When the lights are shining, that’s where you will find me Getting drunk on love That’s what we do When I see you dancing Gets me so excited, girl I pour my love all over you We’re drunk on love We’re drunk on love",0.9984,1,14,1,3,30,3,30,2,8,9
9,/songs/906816,The Wanted,Everybody Knows,https://genius.com/The-wanted-everybody-knows-lyrics,http://api.genius.com/songs/906816,Word of Mouth,2013-11-04," I'm pretty sure you've heard of me I'm a local celebrity But not the kind you look to Hollywood for No flashing lights or autographs In fact, people avoid me if they can I got no fans hanging right outside of my door And I hear them whispering when I pass Saying to each other ""Is that the man?"" With a broken heart Cause you tore it apart   Now everybody knows my name Everybody feels my pain But you don't even care You're so unaware I'm left to deal with the shame Now everybody knows that I'm Just a bum without you by my side Welcome to the show Everybody knows Everyone but you Everyone but you   I've got a thousand friends that follow me Just to read about my misery I'm popular for reasons that I ha-a-ate And I, I strike up the conversation Most time with total strangers Anyone who will listen to my fate But they shake their heads and they walk away And all I'm left with is this fame And a broken heart Cause you tore it apart   And now everybody knows my name Everybody feels my pain But you don't even a care Yes, you're unaware I'm left to deal with the shame Now everybody knows that I'm Just a bum without you by my side Welcome to the show Everybody knows Everyone but you Everyone but you Everyone but you...   Now if I die today would you even come? Written on my grave would say ""Here, lies someone with a broken heart 'Cause she tore it apart""   Everybody knows my name Everybody feels my pain But you don't even care You're so unaware And I'm left to deal with the shame Everybody knows that I'm Just a bum without you by my side Welcome to the show Everybody knows Everyone but you Everyone but you Everyone but you...   I'm pretty sure you've heard of me I'm a local celebrity That all the people know, everyone but you",-0.9957,9,9,11,15,9,26,14,17,5,16
10,/songs/1130270,The Wanted,Fight For This Love,https://genius.com/The-wanted-fight-for-this-love-lyrics,http://api.genius.com/songs/1130270,None,2017-11-21,"Too much of anything can make you sick Even the good can be a curse Makes it hard to know which road to go down Knowing too much can get you hurt Is it better? Is it worse? Are we sitting in reverse It's just like we're going backwards I know where I want this to go Driving fast but lets go slow What I don't wanna do is crash nooo Just know you're not in this thing alone There's always a place in me that you can call home Whenever you feel like we're growing apart Let's just go back, back, back, back, back to the start.oh Anything that's worth having Is sure enough worth fighting for Quitting's out of the question When it gets tough, gotta fight some more We gotta fight, fight, fight, fight, fight for this love We gotta fight, fight, fight, fight, fight for this love We gotta fight, fight, fight, fight, fight for this love If it's' worth having, it's worth fighting for oh-oh-oh Now everyday ain't gon' be no picnic Love ain't a walk in the park All you can do is make the best of it now Can't be afraid of the dark We gotta fight, fight, fight, fight, fight for this love We gotta fight, fight, fight, fight, fight for this love We gotta fight, fight, fight, fight, fight for this love If it's worth having, it's worth fighting for I don't know where I'm heading,ohh I'm willing and ready to go We've been driving so fast We just need to slow down And just ro-o-o-o-o-oll Anything that's worth having Is sure enough worth fighting for Quitting's out of the question When it gets tough, gotta fight some more We gotta fight, fight, fight, fight, fight for this love We gotta fight, fight, fight, fight, fight for this love We gotta fight, fight, fight, fight, fight for this love If it's worth having, it's worth fighting for oh-oh-oh We gotta fight, fight, fight, fight, fight for this love We gotta fight, fight, fight, fight, fight for this love We gotta fight, fight, fight, fight, fight for this love It's worth having, it's worth fighting for oh-oh-oh-oh-oh...",-0.9987,70,4,3,67,15,77,32,8,3,4
11,/songs/70517,The Wanted,Glad You Came,https://genius.com/The-wanted-glad-you-came-lyrics,http://api.genius.com/songs/70517,Battleground,2011-07-10," The sun goes down, the stars come out And all that counts is here and now My universe will never be the same I'm glad you came (came, came, came)   You cast a spell on me, spell on me You hit me like the sky fell on me, fell on me And I decided you look well on me, well on me So let's go somewhere no one else can see You and me   Turn the lights out now Now, I'll take you by the hand Hand you another drink Drink it if you can Can you spend a little time? Time is slipping away Away from us, so stay Stay with me, I can make Make you glad you came   The sun goes down, the stars come out And all that counts is here and now My universe will never be the same I'm glad you came I'm glad you came   You cast a spell on me, spell on me You hit me like the sky fell on me, fell on me And I decided you look well on me, well on me So let's go somewhere no one else can see You and me   Turn the lights out now Now, I'll take you by the hand Hand you another drink Drink it if you can Can you spend a little time? Time is slipping away Away from us, so stay Stay with me, I can make Make you glad you came   The sun goes down, the stars come out And all that counts is here and now My universe will never be the same I'm glad you came I'm glad you came   (Oh, oh, oh) I'm glad you came So glad you came I'm glad you came I'm glad you came   The sun goes down, the stars come out And all that counts is here and now My universe will never be the same I'm glad you came I'm glad you came",0.9954,2,25,0,0,21,6,27,4,4,12
12,/songs/2097757,The Wanted,Glad you came - alex gaudino dub,https://genius.com/The-wanted-glad-you-came-alex-gaudino-dub-lyrics,http://api.genius.com/songs/2097757,None,2017-11-21,"The sun goes down, the stars come out And all that counts is here and now My universe will never be the same I'm glad you came  You cast a spell on me, spell on me You hit me like the sky fell on me, fell on me And I decided you look well on me, well on me So let's go somewhere no one else can see you and me  Turn the lights out now Now I'll take you by the hand Hand you another drink Drink it if you can Can you spend a little time?  Time is slipping away Away from us, so stay Stay with me, I can make Make you glad you came  The sun goes down, the stars come out And all that counts is here and now My universe will never be the same I'm glad you came, I'm glad you came  You cast a spell on me, spell on me You hit me like the sky fell on me, fell on me And I decided you look well on me, well on me So let's go somewhere no one else can see you and me  Turn the lights out now Now I'll take you by the hand Hand you another drink Drink it if you can Can you spend a little time?  Time is slipping away Away from us, so stay Stay with me, I can make Make you glad you came  The sun goes down, the stars come out And all that counts is here and now My universe will never be the same I'm glad you came, I'm glad you came  I'm glad you came So glad you came I'm glad you came I'm glad you came  The sun goes down, the stars come out And all that counts is here and now My universe will never be the same I'm glad you came, I'm glad you came",0.9954,2,25,0,0,21,6,27,4,4,12
13,/songs/2002985,The Wanted,Glad you came - bassjackers dub,https://genius.com/The-wanted-glad-you-came-bassjackers-dub-lyrics,http://api.genius.com/songs/2002985,None,2017-11-21,"The sun goes down, the stars come out And all that counts is here and now My universe will never be the same I'm glad you came  You cast a spell on me, spell on me You hit me like the sky fell on me, fell on me And I decided you look well on me, well on me So let's go somewhere no one else can see you and me  Turn the lights out now Now I'll take you by the hand Hand you another drink Drink it if you can Can you spend a little time?  Time is slipping away Away from us, so stay Stay with me, I can make Make you glad you came  The sun goes down, the stars come out And all that counts is here and now My universe will never be the same I'm glad you came, I'm glad you came  You cast a spell on me, spell on me You hit me like the sky fell on me, fell on me And I decided you look well on me, well on me So let's go somewhere no one else can see you and me  Turn the lights out now Now I'll take you by the hand Hand you another drink Drink it if you can Can you spend a little time?  Time is slipping away Away from us, so stay Stay with me, I can make Make you glad you came  The sun goes down, the stars come out And all that counts is here and now My universe will never be the same I'm glad you came, I'm glad you came  I'm glad you came So glad you came I'm glad you came I'm glad you came  The sun goes down, the stars come out And all that counts is here and now My universe will never be the same I'm glad you came, I'm glad you came",0.9954,2,25,0,0,21,6,27,4,4,12
14,/songs/1106671,The Wanted,Glow in the Dark,https://genius.com/The-wanted-glow-in-the-dark-lyrics,http://api.genius.com/songs/1106671,Word of Mouth,2014-03-23,"I was on it from the get go The way you stood out from the crowd Still shining with the lights low Even when the sun goes down  When you move, my eyes are locked on you So stuck, I'm hypnotized It's the way you shine  Cause it's like The strobe light's Not as bright as you are You're the only one that I can see from afar And I follow the rays until I get to your heart I just gotta know who you are  You glow in the dark You glow in the dark You glow in the dark You glow in the dark (I can see you)  Glow in the dark  Shocked me like electro The way you put it down I should've came here with my Shades on, cause I'm blinded by you now  When you move, my eyes are locked on you So stuck, I'm hypnotized It's the way you shine  Cause it's like The strobe lights Not as bright as you are You're the only one that I can see from afar And I follow the rays until I get to your heart I just gotta know who you are  You glow in the dark You glow in the dark You glow in the dark You glow in the dark (I can see you)  Glow in the dark Glow in the dark Glow in the dark Glow in the dark Glow in the dark Glow in the dark Glow in the dark",-0.7135,0,18,0,0,18,1,20,16,1,17
15,/songs/209243,The Wanted,Golden,https://genius.com/The-wanted-golden-lyrics,http://api.genius.com/songs/209243,The Wanted,2010-10-22, Don't live in black and white do we It's just another fight to me If we don't take it on we won't get far   It seems so far away but so close It's there for us to take when most Would waste it don't waste it   And we try and we fall And we live another day And we rise like a phoenix From the flames And it burns but it turns out golden   We loved to dream aloud With both feet on the ground But where's the sense in that We'd never get it back We'd be wasted we'd be wasted   And went for the sky And fell down low And flew too high But we still survived cos you and I We turned out Golden   They tore it to pieces We'll build it again Ah ah ah ah Ah ah ah ah And we try and we fall And we live another day And we rise like a phoenix From the flames And it burns but it turns out golden And went for the sky And fell down low And flew too high But we still survived cos you and I We turned out Golden,0.0811,3,1,4,1,1,10,10,5,0,5
16,/songs/209424,The Wanted,Gold Forever,https://genius.com/The-wanted-gold-forever-lyrics,http://api.genius.com/songs/209424,Battleground,2011-03-13,"[Verse 1: Tom & Max] Say my name like it's the last time Live today like it's your last night We want to cry but we know it's alright Cause I'm with you and you're with me   Butterflies, butterflies, we were meant to fly You and I, you and I, colors in the sky We could rule the world someday, somehow, but we'll never be as bright as we are now   We're standing in a light that won't fade Tomorrow's coming but this won't change Cause some days stay gold forever The memory of being here with you Is one I'm gonna take my life through Cause some days stay gold forever  [Verse 2: Siva & Nathan] Promise me you'll stay the way you are Keep the fire alive and stay young at heart When the storm feels like it could blow you out remember You got me and I got you, cause we are   Butterflies, butterflies, we were meant to fly You and I, you and I, colors in the sky When the innocence is dead and gone These will be the times we look back on   We're standing in a light that won't fade Tomorrow's coming but this won't change Cause some days stay gold forever The memory of being here with you Is one I'm gonna take my life through Cause some days stay gold forever   I won't, I won't let your memory go cause your colors they burn so bright Who knows, who knows what tomorrow will hold but I know that we'll be alright  Cause we're butterflies, butterflies, we were meant to fly You and I, you and I, colors in the sky We could rule the world someday, somehow but we'll never be as bright as we are now   We're standing in a light that won't fade Tomorrow's coming but this won't change Cause some days stay gold forever The memory of being here with you Is one I'm gonna take my life through Cause some days stay gold forever",-0.1967,1,11,0,6,3,5,16,1,1,4
17,/songs/209401,The Wanted,Have Some Fun,https://genius.com/The-wanted-have-some-fun-lyrics,http://api.genius.com/songs/209401,None,2017-11-21," All I wanna do is have some fun. I gotta feeling that I'm not the only one All I gotta do is take you home. I gotta feeling this party has just begun. It's all I want I gotta feeling that I'm not the only one. It's all I want I gotta feeling that you're gonna give me some. It's all I want Baby. It's all I want   You know the type of women that I like, the ones that understand my life, the ones that understand wrong is right So let's do something wrong tonight. You name it, I'll do it. Always the fluid, in Spanish I'm fluent That means my tongue is bilingual, ready to play with that spot where you tingle Gotta bingo, she's a star, ringo. Her and two friends? Hmm, I like that lingo She asked if I'm single, I said ""of course not"" and she loved it Next thing you know we're both having fun in public! Dale   All I wanna do is have some fun. I gotta a feeling that I'm not the only one All I wanna do is take you home. I gotta feeling this party has just begun. It's all I want I gotta feeling that I'm not the only one. It's all I want I gotta feeling that you're gonna give me some. It's all I want Baby, it's all I want   You know I love an open mind. So I can see what you're thinking That way I can give you exactly what you want, matter of fact, what you drinking Some call it pimpin, I call it leverage I call it slips, they call it marriage. She got me up like the Eiffel Tower no Paris Mami, you can fuck like a rabbit but no diamonds, no carats She asked if I'm single, I said ""of course not"" and she loved it Next thing you know we were both having fun in public     Baby, it's all I want Baby, it's all I want Baby, it's all I want Baby, it's all I want",0.9297,8,19,8,8,23,12,28,8,9,12
18,/songs/1419785,The Wanted,Heartbreak Story,https://genius.com/The-wanted-heartbreak-story-lyrics,http://api.genius.com/songs/1419785,Word of Mouth,2013-11-04," She was staring out the window And the snow, it was falling Seemed like everything I used to know It was crumbling She cannot cope and it hurts inside her mind Couldn't let it go, let it go Couldn't bear to ever be alone She wondered how this had happened   He gave you up and then he let you down And all the trust is broken now You can't remember how it used to be Doesn't have to be a heartbreak story Just say you'll let me in your heart I should've been there from the start I promise you as long as you're with me There'll never be a heartbreak story   Girl, there is no need to hide away What's done is done now Tangled up, you and I lay Here together as one now I'll surround you and keep you safe Everyday, everyday I know you never like to be alone And now you don't have to   He gave you up and then he let you down And all the trust is broken now Can't remember how it used to be Doesn't have to be a heartbreak story Just say you'll let me in your heart I should've been there from the start I promise you as long as you're with me There'll never be a heartbreak story Oh, there'll never be a heartbreak story, yeah  He gave you up and then he let you down And all the trust is broken now You can't remember how it used to be Doesn't have to be a heartbreak story Just say you'll let me in your heart I should've been there from the start I promise you as long as you're with me There'll never be a heartbreak story I promise you as long as you're with me There'll never be a heartbreak story",-0.9729,5,8,0,6,5,9,7,6,0,9
