,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/408108,The Weeknd,2014 Untitled (Snippet),https://genius.com/The-weeknd-2014-untitled-snippet-lyrics,http://api.genius.com/songs/408108,None,2019-05-10,"  The reasons why I can't have you are easy to fix  ... Around Or whatever makes you feel like you the baddest bitch around  I know that your other man, I know that your other man Got feelings for you,  got feelings for you...",0.1531,3,2,3,3,2,3,3,3,2,2
1,/songs/2895926,The Weeknd,6 Inch Heel,https://genius.com/The-weeknd-6-inch-heel-lyrics,http://api.genius.com/songs/2895926,None,2016-10-30,"   Six inch heel, she walked in the club like nobody's business Goddamn, she murdered everybody and I was her witness She worked for the money, she worked for the money From the start to the finish And she's worth every dollar, worth every dollar But she's worth every minute She work for the money She work for the money She work for the money She work for the money   She's stacking money, money everywhere she goes You know, pesos out of Mexico De uno, commas and them decimals She don't gotta give it up, she professional She mixing up that Ace with that Hennessy She love the way it tastes, that's her recipe Rushing through her veins like it's ecstasy, oh no Then she killed the fucking stage like an enemy   Six inch heel, she walked in the club like nobody's business Goddamn, she murdered everybody and I was her witness She worked for the money, she worked for the money From the start to the finish And she's worth every dollar Work for the money She work for the money She work for the money She work for the money   She tricking on herself she don't need a boss (Don't you know) really ain't a thing to flaunt (That two door) stunting with the ceilings on Got these bitches in they feelings cause she paid it all Used to have a man, wasn't meant to be Made 100 bands, that's a century Saving up for plans that would never be She already made enough but she'll never leave   All this money, money, falling from the sky All this money, money, falling from the sky All this money, money, falling from the sky Falling from the sky, f-f-falling from the sky All this money, money, falling from the sky All this money, money, falling from the sky F-f-falling from the sky, falling from the sky   Got a 100 bands I don't need a reason Tell these bitches it's killing season 200 cash, she don't need a visa Money, money all she believin' 300 flat, bitch left me freezin' Balling, balling you play the bleachers 400 down, primp on the beach Comin' round and everything on fleek   Six inch heel, she walked in the club like nobody's business Goddamn, she murdered everybody and I was her witness She worked for the money, she worked for the money From the start to the finish And she's worth every dollar, worth every dollar But she's worth every minute   She work for the money She work for the money She work for the money She work for the money But she's worth every minute She work for the money She work for the money She work for the money She work for the money But she's worth every minute",-0.9857,43,43,5,7,41,20,66,15,38,47
2,/songs/2273462,The Weeknd,Acquainted,https://genius.com/The-weeknd-acquainted-lyrics,http://api.genius.com/songs/2273462,Beauty Behind the Madness,2015-08-28," Baby you're no good Cause they warned me 'bout your type girl, I've been ducking left and right Baby you're no good Think I fell for you, I fell for you, I fell for you   You got me puttin' time in, time in Nobody got me feeling this way You probably think I'm lying, lying I'm used to bitches comin' right 'way   You got me touchin' on your body You got me touchin' on your body To say that we're in love is dangerous But girl I'm so glad we're acquainted, oh I get you touchin' on your body I get you touchin' on your body I know I'd rather be complacent But girl I'm so glad we're acquainted We're acquainted   Baby you're no good All my niggas think I'm crazy' cause I'm thinkin' 'bout us lately But really if I could I'd forget about you, 'get about you, 'get about you   You got me puttin' time in, time in Nobody got me feeling this way You probably think I'm lying, lying I'm used to bitches comin' right 'way   You got me touchin' on your body You got me touchin' on your body To say that we're in love is dangerous But girl I'm so glad we're acquainted, oh I got you touchin' on your body I got you touchin' on your body I know I'd rather be complacent But girl I'm so glad we're acquainted We're acquainted   Momma called me cryin', cryin', cryin', cryin' 'Cause I won't find somebody that's real (she wants somebody that's real,) yeah 'Cause every time I try to, try to, try to run The fast life keeps gaining on me (the fast life keeps gaining on me,) shit But ever since I met you (ever since I met you) I couldn't believe what you did So comfort me babe, ain't no rush from me babe (Woooooh)   I'll keep on touchin' on your body I'll keep on touchin' on your body To say that we're in love is dangerous But girl I'm so glad we're acquainted, oh I got you touchin' on your body (touchin' on your body) I got you touchin' on your body (touchin' on your body) I know I'd rather be complacent But girl I'm so glad we're acquainted We're acquainted   I'm not tryna talk at all Tryna love you crazy Put some more inside your cup And drink till you numb the pain I got you touchin' on your body These girls keep touchin' on their body They got accustomed to the life we live These girls born in the '90s are dangerous I got 'em thinkin' that they want me Although they know they not the only I got 'em wanting to embrace their sins These girls born in the '90s are dangerous",0.8767,14,19,10,14,20,26,25,12,7,9
3,/songs/2926619,The Weeknd,Airports,https://genius.com/The-weeknd-airports-lyrics,http://api.genius.com/songs/2926619,None,2016-12-07,"I think I'm fuckin' gone, rollin' on this floor Messin' up your carpet, I'll get on it after former More sections of this yak on your floor Shouldn't fuckin' roll, but I fuckin' roll Feelin' like a million bucks before I walk through this door, when I walk through your door Can't believe I made it, but I made it, that's for sure For sure, your lovin', I need more, I need yours  She ain't lookin' for that unconditional What the fuck these bitches on? They want what I'm sippin' on They don't want my love, they just want my potential Fuck it, I'll keep sippin' on this, baby livin' off of this Got me drownin' in your love, you got me drownin' in abyss Give me wet attention, I'll start drowning from my wrists, wrist  And baby if you need a little more The feelings I would give to you You, you, you, you The feelings I would give to you You, you, you, you, you, you, you",-0.9473,3,3,3,5,6,5,9,4,3,3
4,/songs/2911560,The Weeknd,All I Know,https://genius.com/The-weeknd-all-i-know-lyrics,http://api.genius.com/songs/2911560,Starboy,2016-11-25," The reasons I can't have you, are so easy to fix I didn't really plan to, but I'ma do it for this The reasons I can't have you, isn't so complicated Baby if you let me I won't hesitate   All I know, all I know is this All I know, all I know is this All I know, all I know, all I know, all I know is this All I know, all I know, all I know, all I know is this (Yeah, yeah, yeah, yeah)   I know there's been stigma 'round me I know you heard things about me You sleep one eye closed Too scared to get heartbroke Heard too many lies told Don't make this shit my fault I could tell why you would doubt me I hit one time, you can't live without me Girl I'm just peakin', I'm just tryna be on top of you On top of you   All I know All I know, all I know, all I All I know is this All I know, all I know, all I All I know All I know, all I know, all I know All I know is this All I know, all I know, all I know, all I know All I know, all I know, all I know, all I know is this All I know, all I know, all I know, all I know is this Is this, is this   Sleep with one eye open I'm terrified to get my heart broke Blood talkin' like a Piru Fuck with me, nigga, you gon' die slow (gang) Lamborghini make you Crip walk I'm smashin' off with my side ho Full of these medicals, bitches, got several She eat the dick up like it's an edible Then I get back to my capital I got the Glock on the passenger I got these tropical fantasies They gon' remember my legacy Hang out the roof of the Ghost The cash in my pocket spill right on the floor The cash in my pocket spill out in the floor When the cash overflow, let the cash overflow I done fucked a bitch that bougie (yeah) Have you ever, ever fucked a bitch that bougie? I done fucked a bitch that bougie I done, I done, I done fucked a bitch that bougie I done fucked a bitch conceited I done fucked a few, few bitches conceited We just wanna say we did it We just wanna say we did it I know like you know I keep that trigger beside me I know like you know You just another body I know like you know I keep that trigger beside me I know like you know You just another body Have you fucked a bitch this pretty? Hit her on the first night and went and bought titties Have you fucked a bitch this pretty? Hit her on the first night and went and bought titties Niggas always sneak dissin' We gon' continue fuckin' they bitches I ain't just fucking that bitch I been the one makin' love to that bitch   All I know All I know, all I know, all I All I know is this All I know, all I know, all I All I know All I know, all I know, all I know All I know is this All I know, all I know, all I know, all I know... All I know, all I know, all I know, all I know is this All I know, all I know, all I know, all I know is this All I know, all I know, all I know, all I know is this Is this, is this",-0.9992,24,13,15,24,8,29,17,18,1,12
5,/songs/2273439,The Weeknd,Angel,https://genius.com/The-weeknd-angel-lyrics,http://api.genius.com/songs/2273439,Beauty Behind the Madness,2015-08-28,"[Intro: The Weeknd and Children's Choir] Ooohh   Angel, oh oh oh oh Knew you were special from the moment I saw you I saw you, yeah I said angel, oh oh oh oh I feel you're closer every time I call you I call you   Cause all I see are wings, I can see your wings But I know what I am and the life I live, yeah, the life I live And even though I sin, maybe we are born to live But I know time will tell if we're meant for this Yeah, if we're meant for this   And if we're not I hope you find somebody I hope you find somebody I hope you find somebody I hope you find somebody to love Somebody to love Somebody to love Yeah, yeah, yeah   Said angel, woah oh oh oh You'll probably never take me back and I know this Yeah I know this, aw man I said angel, woah oh oh oh I'm so desensitized to feeling these emotions Yeah, no emotions baby   Cause all I see are wings, I can see your wings But I know what I am and the life I live, yeah, the life I live And even though I sin, we all want to live But I know time will tell if we're meant for this Yeah if we're meant for this   And if we're not I hope you find somebody I hope you find somebody I hope you find somebody I hope you find somebody to love Somebody to love Somebody to love Yeah, yeah, yeah   And even though we live inside A dangerously empty life You always seem to bring the light You always seem to bring the light And even though we live inside A dangerously empty life You always seem to bring me light You always seem to bring me light  [Chorus: The Weeknd and Maty Noyes] I hope you find somebody I hope you find somebody I hope you find somebody I hope you find somebody to love Somebody to love Somebody to love Yeah, yeah, yeah, oh I hope you find somebody I hope you find somebody I hope you find somebody I hope you find somebody to love Somebody to love Somebody to love Yeah, yeah, yeah, oh I hope you find somebody I hope you find somebody I hope you find somebody I hope you find somebody to love Somebody to love Somebody to love Yeah, yeah, yeah, oh  [Outro: The Weeknd and Maty Noyes] Ooh somebody baby I hope you find somebody I hope you find somebody I hope you find somebody baby Somebody to love Somebody to love Yeah, yeah, yeah",0.9983,3,32,3,3,51,3,52,3,28,29
6,/songs/50920,The Weeknd,Appointment,https://genius.com/The-weeknd-appointment-lyrics,http://api.genius.com/songs/50920,The Noise EP,2009-12-01," Got my fancy clothes, and the candles lit Dinners getting cold, can't quite seem to sit I have been anxious all day Ever since you called, you called Got the water runnin', just like you said Now my body's burnin' and I start to sweat I could never do what we do all alone Alone   Girl its half an hour past ten Got me waitin' in my bed You’ve been busy in my head Since noon I got to feel you, freak you Since noon I got to feel you, freak you   Come to my appoint Come to, come to my appointment Come to my appoint Come to, come to my appointment Come to my appoint Come to, come to my appointment Come to my appoint Come to, come to my appointment   Now I feel the urge, I hope you feel it too Now imagine girl what I'mma do to you Girl the image of your body got me sprung, me sprung Never felt like this about another one You are killing me girl cause is half past one My body trembles every time my clock agrees   Girl it's half an hour past ten Got me waitin' in my bed You’ve been busy in my head Since noon I got to feel you, freak you Since noon I got to feel you, freak you   Come to my appoint Come to, come to my appointment Come to my appoint Come to, come to my appointment Come to my appoint Come to, come to my appointment Come to my appoint Come to, come to my appointment   Girl its half an hour past ten Got me waiting in my bed You’ve been busy in my head Since noon I got to feel you, freak you Since noon I got to feel you, freak you   Come to my appoint Come to, come to my appointment Come to my appoint Come to, come to my appointment Come to my appoint Come to, come to my appointment Come to my appoint Come to, come to my appointment   I wanna fuck you, I wanna fuck you, I wanna fuck you",-0.9812,1,6,0,3,2,3,3,1,1,1
7,/songs/2273456,The Weeknd,As You Are,https://genius.com/The-weeknd-as-you-are-lyrics,http://api.genius.com/songs/2273456,Beauty Behind the Madness,2015-08-28," It's just me and you They couldn't see what I see in you, yeah Cause I believe in you You're the only one I choose   Even though you break my heart Even though you break my heart, baby I know what we are, our love's too young Even though you break my heart, my love I'mma need you, I'mma need you, I'mma need you, yeah   Show me your broken heart and all your scars Baby I'll take, I'll take, I'll take, I'll take you as you are I'll take you as you are, yeah Show me your broken parts and all your flaws Baby I'll take, I'll take, I'll take, I'll take you as you are I'll take you as you are, yeah   It's just you and I Ooh yeah Just a phase in our little lie, yeah We can sex all night Ooh whoa I see the want to in your eyes   But you know I'll break your heart, your heart Cause I know what we are, my love's too young Even though I'll break your heart, your heart I'mma need you, I'mma need you, I'mma need you, yeah   Show me your broken heart and all your scars Baby I'll take, I'll take, I'll take, I'll take you as you are I'll take you as you are Show me your broken parts to know your flaws Baby I'll take, I'll take, I'll take, I'll take you as you are I'll take you as you are, yeah, yeah   Oh oh, hey-ey You know it, you know I know it, baby No, no, yeah, you know it, you know I know it, baby You know, you know, you know You know, know, oh You know, know, baby   As I am Baby, won't you take me as I am? As I am, as I am, as I am Baby, won't you take me as I am? As I am, as I am As I am, baby, won't you take me as I am? As I am, as I am As I am, baby, won't you take me as I am? As I am, as I am",0.3632,7,3,3,6,18,9,18,9,7,5
8,/songs/2911567,The Weeknd,Attention,https://genius.com/The-weeknd-attention-lyrics,http://api.genius.com/songs/2911567,Starboy,2016-11-25," Ooo, oo, oo, oo, oo, oo Ooo, oo, ooo-oo Ooo, oo, oo, oo, oo  [Verse 1: The Weeknd & Mustafa The Poet] Baby, you were so strong Ooo, oo, oo, oo, oo Baby, you were calm, you were so calm, yeah Ooo, oo, ooo-oo Tell me where it went wrong Ooo, oo, oo, oo, oo Tell me how to love, it's been so long When a call's not enough, and you just need to touch Thinking twice on my one But you just need to trust   You're only looking for attention You only notice it cause I'm never around You're only looking for attention, oh, oh You're only looking for attention The only problem is you'll never get enough You're only looking for attention, oh, oh  [Verse 2: The Weeknd &  Mustafa The Poet] What do you expect now? Ooo, oo, oo, oo, oo Only thing left is the sex now Ooo, oo, ooo-oo 'Cause baby, too vexed now Ooo, oo, oo, oo, oo Only see me on the TV or the bed now When a touch not enough You were more than a fuck Thinking twice, I'm the one But you just need to trust   You're only looking for attention You only notice it cause I'm never around You're only looking for attention, oh, oh You're only looking for attention The only problem is you'll never get enough You're only looking for attention, oh, oh-oh   Ooo, ooo, ooo, attention (Love all the attention, baby) Ooo, ooo, ooo, attention (Love all the attention, baby)   You're only looking for attention You only notice it cause I'm never around You're only looking for attention, oh, oh You're only looking for attention The only problem is you'll never get enough You're only looking for attention, oh, oh-oh  [Outro: Mustafa The Poet & The Weeknd] Oh, oh, oh, oh, oh Oh, oh (Yeah) Oh, oh",-0.1798,0,3,0,3,9,4,28,3,1,4
9,/songs/4007532,The Weeknd,Baby,https://genius.com/The-weeknd-baby-lyrics,http://api.genius.com/songs/4007532,None,2019-05-10," I'm hella posted in the TRUMP now I think I’ve finally fell in love now Her name is Tammy, she got hella bitches She let me fuck 'em while my niggas film it My place so empty, need a centerpiece Twenty racks a table, cut from ebony She cut that ivory into skinny pieces Then she clean it with her face, man, I love my baby Man, I love my baby, man, I love my baby Trust me, trust me, I love my baby Man, I love my baby, man, I love my baby, trust me, trust me    Oh, yeah, oh, yeah Oh-oh-oh-oh-oh, oh, yeah Oh, oh, oh-oh-oh-oh-oh, oh, yeah Ooh, oh, yeah Ooh   I turned the Ritz into a poor house It's like eviction number four now Go ’head an' ash it on the floor now Girl, go 'head an' show me how you go down Man, I feel my whole body peakin' An' I'm fuckin' anybody with they legs wide Got me higher than a nigga from the westside Eastcoast nigga reppin’ northside, never waste a ho’s time Bitch, I'm on my own time, fuck a nigga cosign ’Cause I get it better like proline, baby girl, I don't lie Used to have no money for a crib Now my room service still cost your whole life Nigga try to me step me, I go all-out military I'm camo'd all-out like I’m in the military Free my nigga Jack, wish he was out in February Perfect time to come out for the album drop But this shit a throwaway   I got 'em sweatin' off a throwaway Man, this shit is such a throwaway (This ain't that album shit, man, this just a throwaway)   I don't seem to have you niggas 'round me All I do is cut niggas from 'round me An' they know the reason why they got cut You can lie to the best just to get a buzz 'Cause these niggas know I do everything Puppet master over heads, I'm pullin' strings Nigga, I'm the reason everybody gettin' high Singin' slow, rockin' camo tees and white hoes But they can have it, I touch any lane Man, it don't matter, kill it anyway Arenas in the spring, I'm hella paid That means hella face, hella mouth, hella brain These bitches goin' hard, they losin' shame I got 'em trainin' like they losin' weight I'm in Miami, I fuck every day I never slow the pace, this shit's a throwaway   I got 'em sweatin' off a throwaway (yeah, mhm) Man, this shit is such a throwaway, yeah, yeah (This ain't that album shit, man, this just a throwaway)",-0.9261,13,9,16,10,20,19,27,11,5,14
