,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/2107622,Thompson Square,All the Way,https://genius.com/Thompson-square-all-the-way-lyrics,http://api.genius.com/songs/2107622,Thompson Square,2011-02-08," I love you, you love me It's cut and dry the way it's supposed to be So don't shut me outside We got one chance and it's tonight   I'd bare my soul, get on my knees So give me you, I'll give you me Let's take it Take it all the way   What we feel when we kiss Some search a lifetime And don't find a fire like this So take my hair darling, let it down And let our hearts be the only sound   I'd bare my soul, get on my knees So give me you, I'll give you me Let's take it Take it all the way  [Verse 3: Keifer & Shawna] I want the sun and I'll take the rain Just to feel your hand upon my face You'll never want, no you'll never need 'Cause in your eyes my life I see   I'd bare my soul, get on my knees So give me you, I'll give you me Let's take it Take it all the way Let's take it all the way   I love you, you love me It's cut and dry the way it's supposed to be",0.9814,0,2,0,1,7,0,9,0,3,4
1,/songs/3641733,Thompson Square,A Love Like This,https://genius.com/Thompson-square-a-love-like-this-lyrics,http://api.genius.com/songs/3641733,Masterpiece,2018-06-01, Two small town kids just dots on a map Wound up here what's the chances of that Sippin' the same drink same bar same night Funny how some things turn out just right   It was a long shot kiss It was a last call risk yeah That's how it all happened That's how it all started   A love like this only comes around every once in a lifetime When it's just right Yeah baby sounds crazy But if fate had never stepped in We might have missed a love like this   We said forever and I changed your name Who would have thought we could love anything More than this love more than this life But now there's a little heartbeat inside   It was a long shot kiss It was a last call risk yeah That's how it all happened That's how it all started   A love like this only comes around every once in a lifetime When it's just right Yeah baby sounds crazy But if fate had never stepped in We might have missed a love like this Ohh a love like this   A love like this only comes around every once in a lifetime Yeah A love like this like this Every once in a lifetime yeah yeah yeah   A love like this only comes around every once in a lifetime When it's just right Yeah baby sounds crazy But if fate had never stepped in We may have missed a love like this   Two small kids just dots on a map Wound up here what's the chances of that,0.9988,7,10,0,9,16,14,16,7,6,0
2,/songs/2107518,Thompson Square,Are You Gonna Kiss Me or Not,https://genius.com/Thompson-square-are-you-gonna-kiss-me-or-not-lyrics,http://api.genius.com/songs/2107518,Thompson Square,2010-07-12," We were sitting up there on your momma's roof Talking 'bout everything under the moon With the smell of honeysuckle and your perfume All I could think about was my next move   Oh but you were so shy, so was I Maybe that's why it was so hard to believe When you smiled and said to me   Are you gonna kiss me or not? Are we gonna do this or what? I think you know I like you a lot But you're about to miss your shot Are you gonna kiss me or what?   It was the best dang kiss that I ever had Except for that long one after that And I knew if I wanted this thing to last Sooner or later I'd have to ask for your hand   So I took a chance Bought a wedding band and I got down on one knee And you smiled and said to me   Are you gonna kiss me or not? Are we gonna do this or what? I think you know I love you a lot I think we've got a real good shot Are you gonna kiss me or not?    So we planned it all out for the middle of June From the wedding cake to the honeymoon  And your momma cried When you walked down the aisle    When the preacher man said, ""Say I do"" I did and you did too  Then I lifted that veil And saw your pretty smile and I said Are you gonna kiss me or not?   Are we gonna do this or what? Look at all the love that we got It ain't never gonna stop Are you gonna kiss me or not?   Yeah baby I love you a lot  I really think we've got a shot  Are you gonna kiss me or not?",0.9976,5,12,1,3,16,5,17,3,15,5
3,/songs/2000120,Thompson Square,Are You Gonna Kiss Me Or Not (Wedding Instrumental),https://genius.com/Thompson-square-are-you-gonna-kiss-me-or-not-wedding-instrumental-lyrics,http://api.genius.com/songs/2000120,None,2016-05-20,"We were sittin' up there on your momma's roof Talkin' bout everything under the moon With the smell of honeysuckle and your perfume All I could think about was my next move Oh, but you were so shy and so was I Maybe that's why it was so hard to believe When you smiled and said to me...  Are you gonna kiss me or not Are we gonna do this or what I think you know I like you a lot But you're 'bout to miss your shot Are you gonna kiss me or not  It was the best dang kiss that I'd ever had Except for that long one after that And I knew if I wanted this thing to last Sooner or later I'd have to ask For your hand So I took a chance Bought a wedding band And I got down on one knee And you smiled and said to me  Are you gonna kiss me or not Are we gonna do this or what I think you know I love you a lot I think we've got a real good shot Are you gonna kiss me or not  So, we planned it all out for the middle of June From the wedding cake to the honeymoon And your momma cried when you walked down the aisle When the preacher man said say I Do I did, and you did, too Then I lifted that veil and saw your pretty smile And I said...  Are you gonna kiss me or not Are we gonna do this or what Look at all the love that we've got And it ain't never gonna stop Are you gonna kiss me or not  Yeah baby I love you a lot I really think we've got a shot Are you gonna kiss me or not",0.9975,6,12,1,3,16,6,17,3,15,5
4,/songs/2135759,Thompson Square,As Bad as it Gets,https://genius.com/Thompson-square-as-bad-as-it-gets-lyrics,http://api.genius.com/songs/2135759,Thompson Square,2011-02-08," You always make us late Messing with your make-up And it's a big debate If you think you're pretty enough   You laugh at all your jokes When nobody else does You're always sneaking smokes And leaving the seat up   You know, you know, you know you drive me crazy  But we're gonna make it, that's a pretty safe bet  You know, you know, you know I love you baby  That's why we ain't killed each other yet  I guess we got it good, I guess we got it good If that's as bad as it gets   Your closet's full of shoes And clothes you never wear Two hundred dollar do's And you're still cussing your hair   I hate your poker nights Hanging here with all your buddies And mornings walking 'round the house In nothing but your undies   You know, you know, you know you drive me crazy  But we're gonna make it, that's a pretty safe bet  You know, you know, you know I love you baby  That's why we ain't killed each other yet  I guess we got it good, I guess we got it good If that's as bad as it gets   You love shopping, I hate shopping  I know you go 'cause it makes me smile  When we get home, yeah when we get home You know I know you're gonna drive me wild, yeah  Baby, baby, baby   You know, you know, you know you drive me crazy  But we're gonna make it, that's a pretty safe bet  You know, you know, you know I love you baby  That's why we ain't killed each other yet  I guess we got it good, I guess we got it good, I guess we got it good If that's as bad as it gets Guess we got it good If that's as bad as it gets",0.9973,10,16,7,11,30,15,32,11,21,21
5,/songs/2067652,Thompson Square,Borrowed Time,https://genius.com/Thompson-square-borrowed-time-lyrics,http://api.genius.com/songs/2067652,The Best of Me: Original Motion Picture Soundtrack,2014-10-17," When it comes to you and me It's never how it's supposed to be And every time you come around It gets a little harder to breath If we only have tonight I wouldn't change a thing No I wouldn't change a thing And I ain't going anywhere It's too late for me to leave It's too late for me to leave   Cause I'm falling in slow motion We only have this moment Even if God gave us, forever It still wouldn't be enough of your love So as long as you're selling Then you know I'd buy it A little bit more of this borrowed time   Let's not waste what we have left Just talking about goodbye no We can sit here pretending We have more than a lifetime, than a lifetime How can something end so soon When it feels so right Yeah it feels so right   I'm falling in slow motion We only have this moment Even if God gave us forever It still wouldn't be enough of your love So as long as you're selling Then you know I'd buy it A little bit more of this borrowed time Borrowed time   This life is ours to live This time is all we get so   I'm only falling in slow motion We only have this moment Even if God gave us forever It still wouldn't be enough of your love So as long as you're selling Then you know I'd buy it A little bit more of this borrowed time",0.9618,1,15,1,5,6,9,6,7,2,3
6,/songs/3641735,Thompson Square,Breakers,https://genius.com/Thompson-square-breakers-lyrics,http://api.genius.com/songs/3641735,Masterpiece,2018-06-01, They say you hurt the ones you love the most Well I must be lucky you must really love me most I guess I'll never understand why you can't be happy If you know I'm happy no Loving you is putting my head in the fire Hoping that it worn't burn this time Or the next time or the next time   Some people are leavers Some people are stayers Some people run when it gets too tough Some people are braver You're supposed to love me Oh but I can't make it I'm getting tired of giving all I got to a taker Some people are fixers But some people are breakers   I'm never gonna figure out What I did to ya To make me lose you're love One to many times That line you crossed it And this time it cost too much Turning your back on me way too soon You would have thought I asked for the moon All I needed was for you to be there   Some people are leavers Some people are stayers Some people run when it gets too tough Some people are braver You're supposed to love me Oh but I can't make it I'm getting tired of giving all I got to a taker Some people are fixers But some people are breakers   And I give and I give And you take and you take And I bend and I bend Then you break me And I give and I give And you take and you take And I bend and I bend Then you break me   Some people are leavers Some people are stayers Some people run when it gets too tough Some people are braver You're supposed to love me Oh but I can't make it I'm getting tired of giving all I got to a taker Some people are fixers But some people are breakers   And I give and I give And you take and you take And I bend and I bend Then you break me,0.9826,2,8,1,3,10,9,13,6,6,3
7,/songs/908502,Thompson Square,Everything I Shouldn't Be Thinking About,https://genius.com/Thompson-square-everything-i-shouldnt-be-thinking-about-lyrics,http://api.genius.com/songs/908502,None,2016-05-20,"My motorcycle needs an oil change Fence needs mending, house needs paint I got a million things that need to be done but Baby I can only focus on one  The way you're looking back at me right now I'm thinking about everything I shouldn't be thinking about You're playing with my mind, baby ain't no doubt I'm thinking about everything I shouldn't be thinking about You're everything I shouldn't be thinking about  Baby you've always had a one track mind So what you're saying ain't no surprise What may come as a shock to you Is that I'm having all those little thoughts too yea  The way you're looking back at me right now I'm thinking about everything I shouldn't be thinking about You're playing with my mind, baby ain't no doubt I'm thinking about everything I shouldn't be thinking about You're everything I shouldn't be thinking about  Baby since you and me are on the same page Let's do something 'bout it, what do you say, ay?  The way you're looking back at me right now I'm thinking about everything I shouldn't be thinking about You're playing with my mind, baby ain't no doubt I'm thinking about everything I shouldn't be thinking about  The way you're looking back at me right now I'm thinking about everything I shouldn't be thinking about You're playing with my mind, baby ain't no doubt I'm thinking about everything I shouldn't be thinking about You're everything I shouldn't be thinking about",0.9661,2,2,0,7,8,6,11,4,2,4
8,/songs/2159636,Thompson Square,For the Life of Me,https://genius.com/Thompson-square-for-the-life-of-me-lyrics,http://api.genius.com/songs/2159636,Just Feels Good,2013-03-26," Baby you're out of my league I'm so like an old farm pick-up truck And you deserve a limousine And baby, I can't believe you're with me 'Cause I'm more like an old ""Andy Griffith Show"" And you're so ""Sex in the City"" so   For the life of me I'll never figure out What you see in me baby, why you're hanging around Just what it is that keeps us together 'Cause we both know, you can do better For the life of me, 'til the day I die I'll be waking up every morning, wondering why Right by my side is where you say you're always gonna be For the life of me   Honey you really got it all wrong You might be a little bit out of tune But you're still my favorite song Honey you got it upside down I feel like I won the lottery The day you rolled into town   For the life of me I'll never figure out What you see in me baby, why you're hanging around Just what it is that keeps us together 'Cause we both know, you can do better For the life of me, 'til the day I die I'll be waking up every morning, wondering why Right by my side is where you say you're always gonna be For the life of me   So let's just agree to disagree 'Cause I was made for you and you were made for me The rest don't matter, it don't matter anyway   For the life of me until the day I die I'll be waking up every morning, wondering why Right by my side is where you say you're always gonna be Yeah right by my side is where you say you're always gonna be For the life of me For the life of me",0.5068,4,4,2,5,6,7,15,5,0,7
9,/songs/2152166,Thompson Square,Getaway Car,https://genius.com/Thompson-square-getaway-car-lyrics,http://api.genius.com/songs/2152166,Thompson Square,2011-02-08," What if I was Jesse James Or had one of them outlaw names Could you handle my Wild West games Living on the run   What if we were Bonnie and Clyde With tommy-guns running from the blue lights And loving living on the wild side Just for fun   Would you drive my getaway car Chasing dreams like a couple young hearts Hiding out underneath the stars Would you drive my getaway car Would you drive my getaway car   This town's just a little black dot A quiet place that time forgot One light at a four-way stop On a two-lane road   What if we hit the gas Run away and never look back Hey whatcha think about a fall like that Baby I wanna know   Would you drive my getaway car Chasing dreams like a couple young hearts Hiding out underneath the stars Would you drive my getaway car Would you drive my getaway car   Would you drive my, would you drive my Would you drive my getaway car Chasing dreams like a couple young hearts Hiding out underneath the stars Would you drive my getaway car Would you drive my getaway car Woah, woah, woahhh Woah, woah, woahhh Woah, woah, woahhh",0.9477,2,8,0,4,9,7,10,4,5,4
