,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/190474,Tim McGraw,40 Days and 40 Nights,https://genius.com/Tim-mcgraw-40-days-and-40-nights-lyrics,http://api.genius.com/songs/190474,Not a Moment Too Soon,1994-03-22," Well it’s been rainin' on and on, ever since you've been gone Those dark clouds keep a-rollin' in And every time I think I might catch myself a glimpse of sunlight The bottom falls out again   Well I can barely keep afloat, I'm up the creek without a boat And I've been a-driftin' Heaven knows how long 'Cause it's been rainin' 40 days And the 40 nights since you've been gone   Hey, well, drip, drip, drip, goes the sound of the rain The four winds are blowin' like a hurricane My friends said I should settle for any port in a storm I'd rather be inside your lovin' arms, safe and warm   Girl, it's been a long time since I've seen sunshine Baby, won't you come back home 'Cause it's been rainin' 40 days And the 40 nights since you've been gone  Aw, listen to me now   I keep starin' out the window, searchin' for a rainbow To signal that the storm will end Hey, 'cause I know that the rain will keep pourin' on the pane Until my saint comes back marchin' in   Oh, girl, it’s been a long time since I've seen sunshine Baby, won't you come back home 'Cause it's been rainin' 40 days And the 40 nights since you've been gone   Hey, well, drip, drip, drip, goes the sound of the rain The four winds are blowin' like a hurricane My friends said I should settle for any port in a storm I'd rather be inside your lovin' arms, safe and warm   Girl, it's been a long time since I've seen sunshine Baby, won't you come back home 'Cause it's been rainin' 40 days And the 40 nights since you've been gone   Yeah, it’s been rainin' 40 days And the 40 nights since you've been gone",3,9,0,2,11,7,11,3,2,5,0.9901
1,1,/songs/190523,Tim McGraw,Ain't No Angels,https://genius.com/Tim-mcgraw-aint-no-angels-lyrics,http://api.genius.com/songs/190523,Tim McGraw,1993-04-20," I've lead a lifetime fightin' this land Workin' for nothin' with these dry an' callused hands I'm a slave to the sun, It ain't cuttin' me no slack Gets me thinkin', whenever I look back   Ain't no glory in this livin' Ain't no runnin' from your sins I hope there's angels where I'm goin' Ain't no angels where I've been   Three generations countin' on me To work this farm, keep it in the family Well, I've done all I can but it's fast becomin' clear That I can't hold out much longer here   Ain't no glory in this livin' Ain't no runnin' from your sins I hope there's angels where I'm goin' Ain't no angels where I've been   Ain't no glory in this livin' Ain't no running from your sins I hope there's angels where I'm goin' Ain't no angels where I've been   Ain't no angels where I've been",4,15,3,4,14,5,16,4,11,14,0.8814
2,2,/songs/190477,Tim McGraw,Ain't That Just Like a Dream,https://genius.com/Tim-mcgraw-aint-that-just-like-a-dream-lyrics,http://api.genius.com/songs/190477,Not a Moment Too Soon,1994-03-22," I popped the clutch on that old red Ford Her daddy would holler and run to the door Dust would fly as we flew down That old gravel driveway And lookin' back I can't believe He let her run with a boy like me He said, ""You'd better get her back by ten Or there'll be hell to pay""   I can still feel her lips on mine It's all so real but lost in time   Ain't that just like a dream Runnin' wild and runnin' free We were rebels chasin' time Against the wind Sometimes I long for just one night Of the way I felt back then But ain't that just like a dream It always ends   Saturday nights we could all be found Radios up and our windows rolled down Hearts on fire and holdin' hands Sights set on forever We never thought those days would end We'd never be the same again Summer would be the last time we Would ever be together   I never knew I'd wake up some day In a brand new world so far away   Ain't that just like a dream Runnin' wild and runnin' free We were rebels chasin' time Against the wind Sometimes I long for just one night Of the way I felt back then But ain't that just like a dream It always ends   Sometimes I long for just one night Of the way I felt back then But ain't that just like a dream It always ends Ain't that just like a dream It always ends",3,9,2,4,2,8,4,2,2,3,0.9849
3,3,/songs/190489,Tim McGraw,Ain't That the Way It Always Ends,https://genius.com/Tim-mcgraw-aint-that-the-way-it-always-ends-lyrics,http://api.genius.com/songs/190489,Everywhere,1997-06-03, Johnny came home broken hearted Said he lost his girl He bottled up all the hurt in his heart Punched a hole in the wall of his world Now Betty she was a blonde haired beauty With an eye for a man who could spend She stole his heart in a pickup truck And drove off in a Mercedes Benz   And he said   Oh and she looked so innocent Talkin' about bein' just friends Oh and it don't make a bit of sense Ain't that the way that it always ends   Karen she had a long time dream And only one man in her life He kept her waitin' but she didn't care 'Cause he promised he'd make her his wife Now Billy he had a good thing goin' But he let it go to his head He got careless and late one night She caught them both in her bed   And she said   Oh and he looked so innocent Talkin' about bein' just friends Oh and it don't make a bit of sense Ain't that the way that it always ends   Oh and she looked so innocent Talking about being just friends Oh and it don't make a bit of sense Ain't that the way that it always ends   Ain't that the way it always ends Ain't that the way it always ends,2,3,0,2,5,4,14,4,1,11,0.9646
4,4,/songs/190478,Tim McGraw,All I Want Is a Life,https://genius.com/Tim-mcgraw-all-i-want-is-a-life-lyrics,http://api.genius.com/songs/190478,All I Want,1996-01-15," I just want to get a little more out of my payday Finally own a car that does not break down on the freeway A little vacation, ain't askin' very much I hate comin' home to this old broken down apartment I wish I had a dime for every hole that is in the carpet Well, I do not want it all, but I ain't got enough   All I want is a life To drink from a glass from a well that ain't dry I'm sick of the crumbs, I want a piece of that pie All I want is a life   I don't mind the hours and the pain that comes from workin' But it's enough to kill me when I see my baby hurtin' Wanna give her that diamond I never got to buy She keeps tellin' me that everything is gettin' better But one step up the rung and someone knocks me off the ladder Just want to break even, someday before I die   All I want is a life To drink from a glass from a well that ain't dry I'm sick of the crumbs, I want a piece of that pie All I want is a life   Yeah Yeah, yeah, uh-huh   Oh, all I want is a life To drink from a glass from a well that ain't dry I'm sick of the crumbs, I want a piece of that pie All I want is a life   All I want Is a life All I want Is a life",2,2,5,5,4,8,5,8,3,2,0.9651
5,5,/songs/190638,Tim McGraw,All We Ever Find,https://genius.com/Tim-mcgraw-all-we-ever-find-lyrics,http://api.genius.com/songs/190638,Tim McGraw And The Dancehall Doctors,2002-11-26," Say exactly how you feel Right now you're free to say it all There is no one here to judge you I only love you You're free to close your eyes and fall You can trust me, this is real Say exactly how you feel   Tell me all your dreams And what you think love means We'll lock the world outside Embrace the gift of time Promising forever Knowing that this moment Might be all we ever find   Every breath of who you are Tells a story that I love I have finally found the truth In what I see in you And what I feel with every touch The simple beauty of your heart In every breath of who you are   Tell me all your dreams And what you think love means We'll lock the world outside Embrace the gift of time Promising forever Knowing that this moment Might be all we ever find   Tell me all your dreams And what you think love means We'll lock the world outside Embrace the gift of time Promising forever Knowing that this moment Might be all we ever find   Promising forever Knowing that this moment Might be all we ever find",0,10,1,0,14,1,24,1,7,8,0.9967
6,6,/songs/190609,Tim McGraw,Angel Boy,https://genius.com/Tim-mcgraw-angel-boy-lyrics,http://api.genius.com/songs/190609,Set This Circus Down,2001-04-24," My mother said there is only one way A sweet angel boy, narrow and straight Time, it has passed, teachings they fade Now their angel boy has gone astray   I have felt the hand of the Devil, felt his breath on my skin Dip me into the water, wash me again Can I still be forgiven for all of these things Or have I gone too far now Have I lost my wings   I found a priest, I spoke my mind Asked if I had sinned one too many times He said ""My son, you are only a man"" Then I said, ""Sir, you do not understand""   I have felt the hand of the Devil, felt his breath on my skin Dip me into the water, wash me again Can I still be forgiven for all of these things Or have I gone too far now Have I lost my wings   God help us all for what we have done We have lost our way, we cannot find the son We make our beds, we seal our fate Is there still time, or is it too late   I have felt the hand of the Devil, felt his breath on my skin Dip me into the water, wash me again Can I still be forgiven for all of these things Or have I gone too far now Have I lost my wings  I have felt the hand of the Devil, felt his breath on my skin Dip me into the water, wash me again Can I still be forgiven for all of these things Or have I gone too far now Have I lost my wings   Have we lost our wings",4,13,6,6,6,18,13,12,3,9,-0.128
7,7,/songs/190634,Tim McGraw,Angry All The Time,https://genius.com/Tim-mcgraw-angry-all-the-time-lyrics,http://api.genius.com/songs/190634,Set This Circus Down,2001-04-24," Here we are, of what is left of a husband and a wife With four good kids, who have a way, of getting on with their lives And I'm not old, but I am getting a whole lot older every day It's too late to keep from going crazy, I've got to get away   The reasons that I can't stay don't have a thing to do with being in love I understand that loving a man shouldn't have to be this rough And you ain't the only one who feels like this worlds' left you far behind I don't know why you got to be angry all the time   Our boys are strong now The spitting image of you when you were young I hope someday they can see past, what you have become I remember, every time I said I'd never leave But what I can't live with is memories of the way you used to be   The reasons that I can't stay don't have a thing to do with being in love I understand that loving a man shouldn't have to be this rough And you ain't the only one who feels like this worlds' left you far behind I don't know why you got to be angry all the time   Twenty years, have came and went since I walked out of your door I never quite made it back to the one I was before And God it hurts me to think of you For the light in your eyes was gone Sometimes I don't know why this old world can't leave well enough alone   The reasons that I can't stay don't have a thing to do with being in love I understand that loving a man shouldn't have to be this rough And you ain't the only one who feels like this worlds' left you far behind I don't know why you got to be angry all the time",5,8,4,3,10,9,20,6,5,13,0.9884
8,8,/songs/190877,Tim McGraw,Annie I Owe You A Dance,https://genius.com/Tim-mcgraw-annie-i-owe-you-a-dance-lyrics,http://api.genius.com/songs/190877,Two Lanes of Freedom (Accelerated Deluxe),2013-02-05," I was running late again, picking up a few things And there you were on aisle thirteen I felt that old rush, when you saw me you blushed Like you did when you were sweet sixteen They said you looked lost on the dance floor With a lonely look in your eyes Don't know why I didn't show, to this day I still don't know For once I wish I hadn't thought twice Then your folks split up and you moved to Colorado And I headed out to Tennessee Heard you got married and you moved back home Here we are again, you and me   It's no surprise the light in your little girl's eyes shines like the ring on your hand Annie, I owe you a dance   Don't the years fly by in the blink of an eye? Yeah, loves, I've had a few I've been a million places and I've seen a million faces But I couldn't stop thinking 'bout you Remember how we'd talk for hours? Keeping each other's secrets Made a promise I'd take you to homecoming But, Annie, I didn't keep it Almost called you up when I played in Boulder But I thought I'd just let it be Heard you found yourself a real good man Do you ever think of you and me?   It's no surprise the light in your little girl's eyes shines like the ring on your hand Annie, I owe you a dance   So put your groceries in the basket, I'm so sorry, now I'm asking Like I should have twenty years ago And I know it's all over, I'm just looking for some closure And there's a song on the radio You give me your hand and we start to dance The cashier gives us a smile As you turn and walk away, I hear your little girl say ""Momma, who was that guy?""   I shouldn't be surprised the forgiveness in your eyes gave me a second chance Annie, thanks for the dance",2,6,1,3,14,5,22,4,7,17,0.9913
9,9,/songs/190663,Tim McGraw,A Place in the Sun,https://genius.com/Tim-mcgraw-a-place-in-the-sun-lyrics,http://api.genius.com/songs/190663,A Place in the Sun,1999-05-04," Long ago, far away I felt your loving glow upon my face Was it a dream or just a promise made What is my destiny   Someday I'll find a way to shine Leave all these rainy days behind I know there's got to be Some place warm and bright for me I'm running out of places I can run Looking for a place in the sun   Darkness hangs overhead Close to the point where angels fear to tread I close my eyes and think of you instead And pray you'll be here soon   Someday I'll find a way to shine Leave all these rainy days behind I know there's got to be Some place warm and bright for me I'm running out of places I can run Looking for a place in the sun   Sometimes it feels like this whole world's against me And every beaten path Is just another winding road that tempts me Far from you and all that's true I've got to find my way again   Someday I'll find a way to shine Leave all these rainy days behind I know there's got to be Some place warm and bright for me I'm running out of places I can run Looking for a place in the sun   Yeah I'm running out of places I can run Looking for a place in the sun Oh, won't you shine down on me Sunshine?",2,8,0,3,11,5,15,7,9,10,0.9686
