,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/2335480,Toby Keith,10 Foot Pole,https://genius.com/Toby-keith-10-foot-pole-lyrics,http://api.genius.com/songs/2335480,35 MPH Town,2015-10-09,"We were 'bout as tight as we could be Cooked peas in a pot, thick as theives Never saw me without her Well, so much for the way things were We blew up, she blew by I ain't seen her since it all went south She don't call, she don't swing by She don't even know if I'm dead or alive  We were burnin' it up like Bonnie and Clyde Takin' on the world, baby, side by side Born to be together And lettin' the good times roll She changed her tune while I was busy strummin' We got so close I didn't see it comin' The hot time in this old town sure turned cold Hell, now I couldn't touch her with a ten foot pole  Saw her momma at the store, she wouldn't speak And her danged ol' daddy burned a hole through me You won't know it if you seen us at the mall That I was gonna be their son-in-law It's almost like I never met her She can write me off if it makes her feel better Our love is dead but I didn't die You can't take back that five year ride  We were burnin' it up like Bonnie and Clyde Takin' on the world, baby, side by side Born to be together And lettin' the good times roll She changed her tune while I was busy strummin' We got so close I didn't see it comin' The hot tme in this old town sure turned cold Hell, now I couldn't touch her with a ten foot pole  We were burnin' it up Like Bonnie and Clyde Takin' on the world Side by side She changed her tune while I was busy strummin' We got so close I didn't see it comin' The hot time in this old town sure turned cold Hell, now I couldn't touch her with a ten foot pole",7,8,3,4,6,8,10,4,2,7,0.7658
1,1,/songs/2290946,Toby Keith,35 MPH Town,https://genius.com/Toby-keith-35-mph-town-lyrics,http://api.genius.com/songs/2290946,35 MPH Town,2015-10-09," Mama locked the door last night For the first time in all of her years I said Mama you gotta be kiddin' me She said things ain't like they used to be 'round here You just wouldn't believe it Kids growin' up without Jesus A good thing your Daddy ain't here to see this now They stay higher than the water tower In this thirty-five mile an hour town   She said it ain't the drugs, it ain't the booze I've had a back road buzz or two myself It seems like heaven's slippin' further away The devil ain't got far to go when they raise hell We used to burn a hole through midnight Smoking a stolen Marlboro Light and On a good night might kill a fifth of Crown But now there's a lower higher power In this thirty-five mile an hour town   Oh we can't blame the babies for growin' up lazy And crazy, it ain't them that let them down If they ain't stealin', they're suin' Why work when we'll give it to 'em It's right there in the Bible we don't put out Spare the rod and you'll sour a Thirty-five mile an hour town   The ""yes ma'am's"" gone and the ""please's"" too It's out the door with the ""thank you"" In the evening you don't see a front yard football game The neighbor kids have done away With the shirts and skins No one hits the front porch lights To get their kids to come inside Cause the streets ain't safe For a bike to ride down Since they printed a prowler In this thirty-five mile an hour town   No they're going nowhere fast tonight No matter how fast they drive in this Thirty-five mile an hour town",6,7,4,6,5,11,11,5,2,7,-0.9723
2,2,/songs/2840619,Toby Keith,A Few More Cowboys,https://genius.com/Toby-keith-a-few-more-cowboys-lyrics,http://api.genius.com/songs/2840619,None,2016-07-08," If the White House was in Texas, man We'd get a straighter answer If they'd let us smoke what we want We'd have a lot less cancer   There'd be a bunch more daddies Sons could be proud of We'd have half the crime We'd have twice the fun   With a few more cowboys Be a lot less outlaws With a few more amens Be a lot less bad calls With a few more yes Ma'ams And a lot less yes men This world would be a better place to live in With a few more cowboys   If we did it with a handshake We'd save a lot of paper That'd save a lot of trees We're shipping overseas to make her   If we stood by our word Took care of our own Bought it made in the USA We'd keep it here at home   With a few more cowboys Be a lot less outlaws With a few more amens Be a lot less bad calls With a few more yes Ma'ams And a lot less yes men This world would be a better place to live in With a few more cowboys   If we had a little more grit Less politics, more fist fighting Met 'em at high noon Hell, it's about high time We looked 'em in the eye Got our head out of the sand Hit 'em with a big John Wayne By God, they'd understand   With a few more cowboys Be a lot less outlaws With a few more amens Be a lot less bad calls With a few more yes Ma'ams And a lot less yes men This world would be a better place to live in With a few more cowboys   All in all we'd have a better world With a few more cowboys We'd have a few more cowboys With a few more cowboys   If the White House was in Texas, man We'd get a straighter answer If they'd let us smoke what we want Be a lot less cancer",11,7,8,7,11,13,13,6,1,12,0.9481
3,3,/songs/194409,Toby Keith,Ain't It Just Like You,https://genius.com/Toby-keith-aint-it-just-like-you-lyrics,http://api.genius.com/songs/194409,Unleashed,2002-07-23," Girl your bags are packed And you ain’t coming back is written on them Take these memories with you They’re just sad, and they’re blue and I don’t want them Oh you’re not so sure that you’re in love anymore And I ain’t going to beg you to stay Ain’t it just like you to leave Ain’t it just like me to let you walk away  I hold a tender place in my heart for you and you know it I’ve never said it out loud Guess I was too proud to ever show it We always thought some night that we might get it right But that ain’t going to happen today Ain’t it just like you to leave Ain’t it just like me to let you walk away   Honey you must think my heart is a revolving door The way you come and go as you please I don’t know if I should give up or try Or get down on my knees Ain’t it just like me to pray Ain’t it just like you to turn and walk away   Here you are at my door You’re wanting in, you’re wanting more and it’s open You win me over with that grin So I let you on in, and I’m hoping That this time you might stay forever But baby that just ain’t your style Ain’t it just like you to smile Ain’t it just like me to let you stay awhile   Oh you must think my heart is a revolving door The way you come and go as you please And I don’t know if I should give up or try Or get down on my knees Ain’t it just like me to pray Ain’t it just like you to make me feel this way   Ain’t it just like you to smile Ain’t it just like me to let you stay awhile  Girl your bags are packed And you ain’t coming back is written on them",0,9,0,2,9,5,13,6,8,11,0.9966
4,4,/songs/194172,Toby Keith,Ain't No Thang,https://genius.com/Toby-keith-aint-no-thang-lyrics,http://api.genius.com/songs/194172,Toby Keith,1993-02-08," I let another one get away She said she's gone for good But that's all old hat now I always thought she would To tell you the truth I'm prepared to fall apart It's just like déjà vu I know it all by heart   It ain't no thing, I already know how it feels The same ol' pain, a different deal So if it looks like rain, I'm gonna let it rain 'Cause I know it ain't no thing   Well, I tried the crying thing But it only made it hurt That silly drinkin' thing Only made it worse Girls are gonna come And girls are gonna go The only thing I'm sure of The only thing I know   It ain't no thing, I already know how it feels The same ol' pain, a different deal So if it looks like rain, I'm gonna let it rain 'Cause I know it ain't no thing   It ain't no thing, I already know how it feels The same ol' pain, a different deal So if it looks like rain, I'm gonna let it rain 'Cause I know it ain't no thing   (Ain't no thang, ain't no thing) Well, I know, I know, I know how it feels It ain't no thing (Ain't no thang, ain't no thing Wah-ooh, hoo, hoo, hoo, hoo Ain't no thang, ain't no thing Wah-ooh)",1,6,0,5,5,8,6,7,4,6,0.9322
5,5,/songs/194176,Toby Keith,A Little Less Talk And A Lot More Action,https://genius.com/Toby-keith-a-little-less-talk-and-a-lot-more-action-lyrics,http://api.genius.com/songs/194176,Toby Keith,1993-02-08, I was getting kinda tired of her endless chatter Nothing I could say ever seemed to matter So I took a little drive just to clear my head I saw a flashing neon up ahead It looked like a place to find some satisfaction With a little less talk and a lot more action   I paid the man at the door and pushed my way to the bar Shouted for a drink over a screaming guitar A drunk on a stool tried to mess with my head But I did not even listen in a word he said I knew somewhere amid all this distraction Was a little less talk and a lot more action   A little less talk if you please A lot more loving is what I need Let us get on down to the main attraction With a little less talk and a lot more action   Well she was fighting them off at a corner table She had a longneck bottle she was peeling the label The look on her face it was perfectly clear She said somebody please get me out of here The look she shot me through the glass refraction Said a little less talk and a lot more action   A little less talk if you please A lot more loving is what I need Let us get on down to the main attraction With a little less talk and a lot more action,4,0,2,3,3,7,21,2,1,5,0.9882
6,6,/songs/149227,Toby Keith,American Ride,https://genius.com/Toby-keith-american-ride-lyrics,http://api.genius.com/songs/149227,American Ride,2009-07-28," Winter getting colder, summer getting warmer Tidal wave coming 'cross the Mexican border Why buy a gallon, it's cheaper by the barrel Just don't get busted singing Christmas carols   That's us, that's right Gotta love this American ride Both ends of the ozone burning Funny how the world keeps turning Look ma, no hands I love this American ride Gotta love this American ride   Momma gets her rocks off watching' Desperate Housewives Daddy works his ass off paying' for the good life Kids on the YouTube learning how to be cool Living in a cruel world, pays to be a mean girl   That's us, That's right Gotta love this American ride Both ends of the ozone burning Funny how the world keeps turning Look ma, no hands I love this American ride Gotta love this American ride   Poor little infamous, America's town She gained five pounds and lost her crown Quick fix plastic surgical antidote Got herself a record deal, can't even sing a note   Plasma getting bigger, Jesus getting smaller Spill a cup of coffee, make a million dollars Customs caught a thug with an aerosol can If the shoe don't fit, fits gonna hit the shan   That's us, That's right Gotta love this American ride Both ends of the ozone burning Funny how the world keeps turning Hot dog, Hot damn I love this American ride Gotta love this American ride Oh yeah Na na na na na na na na na na na na na na na na na na nananananananana",10,6,4,5,14,10,20,4,2,8,0.9895
7,7,/songs/194439,Toby Keith,American Soldier,https://genius.com/Toby-keith-american-soldier-lyrics,http://api.genius.com/songs/194439,Shock'n Y'all,2003-11-04," I'm just trying to be a father Raise a daughter and a son Be a lover to their mother Everything to everyone Up and at them bright and early I'm all business in my suit Yeah, I'm dressed for success From my head down to my boots   I don't do it for money there's still bills that I can't pay I don't do it for the glory, I just do it anyway Providing for our future's my responsibility Yeah I'm real good under pressure, being all that I can be And I can't call in sick on Mondays When the weekends been to strong I just work straight through the holidays And sometimes all night long   You can bet that I stand ready when the wolf growls at the door Hey, I'm solid, hey I'm steady, hey I'm true down to the core And I will always do my duty, no matter what the price I've counted up the cost, I know the sacrifice Oh, and I don't want to die for you But if dying's asked of me I'll bear that cross with an honor Cause freedom don't come free   I'm an American soldier, an American Beside my brothers and my sisters I will proudly take a stand When liberty's in jeopardy I will always do what's right I'm out here on the front lines, so sleep in peace tonight American soldier, I'm an American An American An American Soldier",8,14,2,6,14,8,26,8,4,20,0.9858
8,8,/songs/194592,Toby Keith,Are You Feelin' Me?,https://genius.com/Toby-keith-are-you-feelin-me-lyrics,http://api.genius.com/songs/194592,American Ride,2009-07-28," Sometimes I lie awake Starring at the ceiling I'll have someone beside me But she won't know your name She won't be here long Hell she's almost a memory You'll never be really gone Girl, are you feeling' me?   Do you fall asleep mission' my kiss in the dark? Wake up the next morning not sure where you are? Is it killing' you, like it's killing' me? Are you lying there, lying to somebody else? Trying to find the one thing I can't find for myself? When he's touching you, really touching you Are you feeling' me?   You ever wish on a star that ain't falling' Hoping you dreams will come true? Pray for the day that you know it's coming Well I do, baby I do, baby I do Baby I do   Do you fall asleep missing my kiss in the dark? Wake up the next morning not sure where you are? Is it killing' you, like it's killing' me? Are you lying there, lying to somebody else? Trying to find the one thing I can't find for myself? When he's touching you, really touching you Are you feeling' me?   Oh, when he's touching you, are you feeling' me? Are you feeling' me? Are you feeling' me? Oh, are you feeling' me? Girl, are you feeling' me? Oh, when he's touching you",18,14,14,15,16,22,16,20,11,11,-0.9815
9,9,/songs/194445,Toby Keith,As Good As I Once Was,https://genius.com/Toby-keith-as-good-as-i-once-was-lyrics,http://api.genius.com/songs/194445,Honkytonk University,2005-05-09," She said, ""I've seen you in here before."" I said, ""I've been here a time or two."" She said, ""Hello, my name is Bobby Jo Meet my twin sister Betty Lou And we're both feeling kinda wild tonight You're the only cowboy in this place And if you're up for a rodeo I'll put a big Texas smile on your face"" I said, ""Girls,""   I ain't as good as I once was I got a few years on me now But there was a time back in my prime When I could really lay it down And if you need some love tonight Then I might have just enough I ain't as good as I once was But I'm as good once as I ever was   I still hang out with my best friend Dave I've known him since we were kids at school Last night he had a few shots Got in a tight spot hustling a game of pool With a couple of redneck boys One great big bad biker man I heard David yell across the room ""Hey buddy, how 'bout a helping hand?"" I said, ""Dave,""   I ain't as good as I once was My, how the years have flown But there was a time back in my prime When I could really hold my own But if you wanna fight tonight Guess those boys don't look all that tough I ain't as good as I once was But I'm as good once as I ever was   I used to be hell on wheels Back when I was a younger man Now my body says, ""You can't do this boy"" But my pride says, ""Oh, yes you can""   I ain't as good as I once was That's just the cold hard truth I still throw a few back, talk a little smack When I'm feeling bullet proof So don't double dog dare me now Cause I'd have to call your bluff I ain't as good as I once was But I'm as good once as I ever was May not be good as I once was But I'm as good once as I ever was",9,18,7,7,18,16,27,6,18,22,-0.8748
