,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/2370303,Tom Misch,Beautiful Escape,https://genius.com/Tom-misch-beautiful-escape-lyrics,http://api.genius.com/songs/2370303,Beat Tape 2,2015-08-28," I feel you breathing down my neck As the blood's rushing to my legs Waiting for a chance to prove That my soul, it belongs to you   I just wanna go there I just want a beautiful escape I just wanna move ya Show you that this love is yours to take   And now we're driving, over Fears that make us feel like we're not enough Yeah, we're flying up, closer Dancing on the edge of the world above I was scared I couldn't show ya All this lovin' that I hold inside But now I feel your power I am here, and I don't wanna hide No more Hmm, yeah, no more   Now I'm feeling like you're with me As my heart's pouring on my sleeve I don't want this rush to go Oh I'm trying to let you know   I just wanna go there I just want a beautiful escape I just wanna move ya I just wanna take you to that place   And now we're driving, over Fears that make us feel like we're not enough Yeah, we're flying up, closer Dancing on the edge of the world above I was scared I couldn't show ya All this lovin' that I hold inside But now I feel your power I am here, and I don't wanna hide no more  No more, no more, no more, no more, no more No more, no more, no more, no more, no more   And now we're driving, over Fears that make us feel like we're not enough Yeah, we're flying up, closer Dancing on the edge of the world above I was scared I couldn't show ya All this lovin' that I hold inside But now I feel your power I am here, and I don't wanna hide no more  No more",4,3,1,12,4,6,14,1,2,9,-0.9426
1,1,/songs/3555886,Tom Misch,Before Paris,https://genius.com/Tom-misch-before-paris-lyrics,http://api.genius.com/songs/3555886,Geography,2018-04-06," (If you're) Starting to trying to be a musician or artist—something like that—because you wanna make money, because you wanna do a job, that's- that's the wrong way. You have to do this because you love it. And it doesn't matter if you broke, you still gon' do it. I mean, I go out to jam sessions, and I play regardless of whether I'm getting a check or not. It's-, it's about whether I, uh—you have to love this thing, man! You have to love it and breathe it and—It's your morning coffee. It's your food. That's why you become an artist. Art is a mirror of society, you know...",1,2,0,1,6,2,8,2,2,2,0.9156
2,2,/songs/3645708,Tom Misch,Before The Rising Sun,https://genius.com/Tom-misch-before-the-rising-sun-lyrics,http://api.genius.com/songs/3645708,Beat Tape 2 (Extended Edition),2015-10-12,"Begun to live White lace and promises A kiss for luck and we're on our way Before the rising sun, we fly We fly, we fly, we fly We fly, we fly, we fly We fly, we fly, we fly We fly, we fly, we fly We fly, we fly, we fly We fly, we fly, we fly We fly, we fly, we fly We fly, we fly, we fly We fly, we fly, we fly We fly, we fly, we fly We fly, we fly, we fly We fly, we fly, we fly We fly, we fly, we fly  So many roads to choose We'll start out walking and learn to run And yes, we've just begun",1,8,0,1,6,1,8,1,3,4,0.8779
3,3,/songs/3645630,Tom Misch,Brazilian Love,https://genius.com/Tom-misch-brazilian-love-lyrics,http://api.genius.com/songs/3645630,Beat Tape 2 (Extended Edition),2015-10-12,Te mando um sorriso [?] Te mando um sorriso quando chega a hora Te mando um sorriso faça de alto mar Eu vou construir a pousada  Te mando um sorriso [?] Te mando um sorriso quando chega a hora Te mando um sorriso faça de alto mar Eu vou construir a pousada  Te mando um sorriso [?] Te mando um sorriso quando chega a hora Te mando um sorriso faça de alto mar Eu vou construir a pousada  Te mando um sorriso [?] Te mando um sorriso quando chega a hora Te mando um sorriso faça de alto mar Eu vou construir a pousada  Te mando um sorriso [?] Te mando um sorriso quando chega a hora Te mando um sorriso faça de alto mar Eu vou construir a pousada  Te mando um sorriso [?] Te mando um sorriso quando chega a hora Te mando um sorriso faça de alto mar Eu vou construir a pousada  Te mando um sorriso [?] Te mando um sorriso quando chega a hora Te mando um sorriso faça de alto mar Eu vou construir a pousada  Te mando um sorriso [?] Te mando um sorriso quando chega a hora Te mando um sorriso faça de alto mar Eu vou construir a pousada,0,0,0,0,0,8,0,0,0,0,0.0
4,4,/songs/2853251,Tom Misch,Can't Be Love,https://genius.com/Tom-misch-cant-be-love-lyrics,http://api.genius.com/songs/2853251,The Tom Misch Experiment,2016-03-02," To see him leave, was like watching as the sun sets He was my accomplice We did everything together He was like my shadow I was something like his warmer sweater Turn to me, like a prayer And anywhere I had to go He'd take me there Don't lie babe I know you're scared Sacrifice truth 'cause you chose the dare, yeah   2x This can't be love I don't do this I don't do this   Can't believe that you used to bring me breakfast My plus-one to any guest list Wouldn't see one without the other When he left, I lost a limb Felt like I lost a brother So I turn to prayer 'Cause a life without you can't compare Don't hide,babe, I know you're there Are we missing out on life Just because we're scared? Yeah  ",1,2,1,2,2,5,9,5,2,8,0.4993
5,5,/songs/3555894,Tom Misch,'Cos I Love You,https://genius.com/Tom-misch-cos-i-love-you-lyrics,http://api.genius.com/songs/3555894,Geography,2018-04-06," Love is hard to find Girl, give me some time to say (To say) That I love you (Love you) Not time to say goodbye Always wonder why you cry (You cry) Tell me, baby (Baby)   The words are on my mind But, girl, give me some time to feel what I need to And when the time is right And we're moving with the night, you'll know that I love you (Love you)   You and I, we cannot be replaced, no 'Cause you and I, you and I will find a way You and I will find a way   Love is hard to find Girl, give me some time to say (To say) That I love you (Love you) Not time to say goodbye Always wonder why you cry (You cry) Tell me, baby (Baby) Love is hard to find Girl, give me some time to say (To say) That I love you (Love you) Not time to say goodbye Always wonder why you cry (You cry) Tell me, baby (Baby)   I think it's been a year You know I got my fears I'm almost facing And while the city sleeps I think I found some peace through you No more chasing 'Cause   You and I, cannot be replaced, no 'Cause you and I, you and I will find a way You and I will find a way   Love is hard to find Girl, give me some time to say (To say) That I love you (Love you) Not time to say goodbye Always wonder why you cry (You cry) Tell me, baby (Baby) Love is hard to find Girl, give me some time to say (To say) That I love you (Love you) Not time to say goodbye Always wonder why you cry (You cry) Tell me, baby (Baby)   Love is hard to find Girl, give me some time to say that I love you Not time to say goodbye And I always wonder why you cry Tell me, baby Love is hard to find Girl, give me some time to say that I love you Not time to say goodbye And I always wonder why you cry Tell me, baby",1,17,0,1,35,13,36,12,0,3,0.9961
6,6,/songs/2822805,Tom Misch,Crazy Dream,https://genius.com/Tom-misch-crazy-dream-lyrics,http://api.genius.com/songs/2822805,Reverie EP,2016-07-15," Crazy dream (x8)   And as I wake up from this crazy dream I hope that things remain as they seem Cause as I wake up from this crazy dream From this dream   I had a dream about you last night And we were listening to Pharcyde Something to something started spinning in the past life So I kept the singing to the bar side, we were on the last ride Saying it's the past but the present moving fast I ain't thinking bout the last time It's fine, but they were saying did you ask my Brothers if I'm ready for the last line Never in the way you move with It's bugging me out I kept squeak, left feet don't trouble me now It gets peaked if the D starts loving the sound But we were running from the beast, start fucking around Cos if I break the singular jack, cause a little bit of trouble fill a fifth of the yack It's not that quick to react if I finish the pact we move forward now, I'm bringing it back   And as I wake up from this crazy dream I hope that things remain as they seem Cause as I wake up from this crazy dream From this dream Crazy dream (x8)   She was saying Don't start but we feel it at the same time Won't part, but repeat it in the same shine So dark gotta kneel it in the rain, it's fine Lost part but she's reeling 'n the blame is mine Is mine, mine, mine   And as I wake up from this crazy dream I hope that things remain as they seem Cause as I wake up from this crazy dream From this dream And as I wake up from this crazy dream I hope that things remain as they seem Cause as I wake up from this crazy dream From this dream Crazy dream (x10)",15,11,1,13,6,15,11,13,6,11,0.9675
7,7,/songs/3048556,Tom Misch,Day 2: Feeling,https://genius.com/Tom-misch-day-2-feeling-lyrics,http://api.genius.com/songs/3048556,5 Day Mischon,2017-03-31," We could get physical, but there's way much more than the physical We could get physical, but there's way much more than the physical We could get physical, but there's way much more than the physical We could get physical, but there's way much more than the physical   We could get physical, but there's way much more than the physical Sometimes the best moments in life are minimal I see more than what's visible There's more than words and syllables There's energy, there's flavour I take time and think about later Feeling, I know how you're feeling You're me and I'm you, it's like dreaming In the cold, the thought of you is like heating My heart's beating No words when I look in your eyes, your soul's speaking The truth is what we're both seeking I'm ready to learn, let's start healing   (It's the way) We could get physical, but there's way much more than the physical (It's the way we grow) We could get physical, but there's way much more than the physical (It's the way) We could get physical, but there's way much more than the physical (It's the way we flow) We could get physical, but there's way much more than the physical   The sun is behind the clouds, it's internal So smile sometimes and make that sunshine external Thinking about what's next, don't worry about hurdles You're blessed, learning is part of the quest Just do your best, and the best will do you Soon see a new you, I can feel when you're near like Bluetooth I'm in your ear like Bluetooth Love will bring you a new youth Accept what's coming your way, in your life is a new truth   It's the way It's the way we grow It's the way It's the way we flow (It's the way) We could get physical, but there's way much more than the physical (It's the way we roll) We could get physical, but there's way much more than the physical",4,14,2,5,11,5,21,4,5,12,0.9968
8,8,/songs/3644211,Tom Misch,Day 4: Everybody Get Down,https://genius.com/Tom-misch-day-4-everybody-get-down-lyrics,http://api.genius.com/songs/3644211,5 Day Mischon,2017-03-31," Everybody get gown, get down Everybody get gown, get down, get down Everybody get gown, get down Everybody get gown, get down, get down Everybody get gown, get down, get down  Everybody get gown, get down Everybody get gown, get down, get down Everybody get gown, get down Everybody get gown, get down, get down Everybody get gown, get down, get down  Everybody get gown, get down Everybody get gown, get down, get down Everybody get gown, get down Everybody get gown, get down, get down Everybody get gown, get down, get down  Everybody get gown, get down Everybody get gown, get down, get down Everybody get gown, get down Everybody get gown, get down, get down Everybody get gown, get down, get down  Everybody get gown, get down Everybody get gown, get down, get down Everybody get gown, get down Everybody get gown, get down, get down Everybody get gown, get down, get down  Everybody get gown, get down Everybody get gown, get down, get down Everybody get gown, get down Everybody get gown, get down, get down Get gown,  get down, get down get down, get down, get down, get down...  ",0,0,0,0,0,0,0,0,0,0,0.0
9,9,/songs/3629823,Tom Misch,Disco Yes,https://genius.com/Tom-misch-disco-yes-lyrics,http://api.genius.com/songs/3629823,Geography,2018-04-06," I want to stay But I need to go I want to be the best for you But I just don’t know what to do 'Cause baby, yes I've cried for you The time we have spent together Riding through this English weather And as the pressure builds So does the tension between you and me Time has gone so fast Watching the leaves fall from our tree   Baby, I just want you to know I still love you Love you Love you Love you Love you Love you   And the grass is always greener On the other side Maybe you should come and take a trip sometime Oh you seem keener When they turn to night But you trippin  out your mind Baby, tell me it's a sign As the pressure builds So does the tension between you and me Time has gone so fast Watching the leaves fall from our tree   Baby, I just want you to know I still love you Love you Love you Love you",4,5,2,0,16,5,19,2,3,3,0.9966
