,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/2390825,Train,2000 Miles,https://genius.com/Train-2000-miles-lyrics,http://api.genius.com/songs/2390825,Christmas in Tahoe,2015-11-13,She's gone 2000 miles It's very far The snow is falling down Gets colder day by day I miss you  The children will sing She'll be back at christmastime  In these frozen and silent nights Sometimes in a dream you appear Outside under the purple sky Diamonds in the snow sparkle  Our hearts were singing It felt like christmastime  2000 miles Is very far through the snow I'll think of you Wherever you go  She's gone 2000 miles It's very far The snow is falling down Gets colder day by day I miss you  I can hear people singing It must be christmastime I hear people singing It must be christmastime,0.4404,0,3,0,0,4,2,5,3,1,1
1,/songs/254781,Train,50 Ways to Say Goodbye,https://genius.com/Train-50-ways-to-say-goodbye-lyrics,http://api.genius.com/songs/254781,California 37,2012-06-11," My heart is paralyzed My head was oversized I'll take the high road like I should You said it's meant to be That it's not you, it's me You're leaving now for my own good  That's cool, but if my friends ask where you are I'm gonna say   She went down in an airplane Fried getting suntanned Fell in a cement mixer full of quicksand Help me, help me, I'm no good at goodbyes! She met a shark under water Fell and no one caught her I returned everything I ever bought her Help me, help me, I'm all out of lies And ways to say you died   My pride still feels the sting You were my everything Some day I'll find a love like yours (a love like yours) She'll think I'm Superman Not super minivan How could you leave on Yom Kippur?  That's cool, but if my friends ask where you are I'm gonna say   She was caught in a mudslide Eaten by a lion Got run over by a crappy purple Scion Help me, help me, I'm no good at goodbyes! She dried up in the desert Drowned in a hot tub Danced to death at an east side night club Help me, help me, I'm all out of lies And ways to say you died   I wanna live a thousand lives with you I wanna be the one you're dying to love... But you don't want to  That's cool, but if my friends ask where you are I'm gonna say That's cool, but if my friends ask where you are I'm gonna say   She went down in an airplane Fried getting suntanned Fell in a cement mixer full of quicksand Help me, help me, I'm no good at goodbyes! She met a shark under water Fell and no one caught her I returned everything I ever bought her Help me, help me, I'm all out of lies   She was caught in a mudslide Eaten by a lion Got run over by a crappy purple Scion Help me, help me, I'm no good at goodbyes! She dried up in the desert Drowned in a hot tub Danced to death at an east side night club Help me, help me, I'm all out of lies And ways to say you died",0.9906,13,9,9,9,14,18,23,15,9,13
2,/songs/389044,Train,All American Girl,https://genius.com/Train-all-american-girl-lyrics,http://api.genius.com/songs/389044,My Private Nation,2003-06-03," To be that good, it must be taxing No such thing as satisfaction You're making things happen while I'm relaxing Like a Sunday afternoon My dad used to tell me I was lazy I got dance moves like Patrick Swayze I'm the left over turkey for the world's mayonnaisey The star next to the moon   Now I know I'm just here to amuse you And I don't mean to abuse you But if I could just use you one time   Tell me what it's like To be the queen of it all The Neiman Marcus of the Mall And tell me what it's like to be the one and only All American Girl   Now I never had a supernatural feelin' Not to mention a sexual healin' But every now and then I get to the kneelin' To thank him for it all But you probably got some inside connection So many numbers that you gotta rolodex them So much muscle that you never gotta flex them To catch you when you fall   And I know I'm just here to amuse you And I don't mean to confuse you But if I could just use you one more time   Tell me what it's like to be the house on the hill The number one diet pill And tell me what it's like to be the one and only All American Girl   Now I bet you won't say you get crazy Or that you don't shave your legs When you're lazy Or that you're just like everybody else in the world You just got lucky, that's all   And I know you're not here to amuse me But you sure know how to confuse me So if I could just ask you once again   To tell me what it's like to be a star on the rise A breakfast cereal prize And tell me what it's like to be the one and only All American Girl The All American Girl The all amazing crazy girl",0.9944,3,6,1,3,8,8,13,4,3,8
3,/songs/446567,Train,Angel in Blue Jeans,https://genius.com/Train-angel-in-blue-jeans-lyrics,http://api.genius.com/songs/446567,Bulletproof Picasso,2014-06-09, And though I never got her name Or time to find out anything I loved her just the same And though I rode a different road And sang a different song I’ll love her till my last breaths gone   Like a river made of silver Everyone came running to the scene I was shot down in cold blood By an angel in blue jeans   Late that night she got away I chased her to the turnpike Then lost her where the music never plays And though I rolled upon the stones and fell into the water I’ll love her till my judgment day   Like a sunrise made of white lies Everything was nothing as it seems I was shot down in cold blood By an angel in blue jeans   I hear voices calling all around I keep falling down I think my heart could pound right out of me I see a million different ways To never leave this maze alive   I woke up in somebody’s arms Strange and so familiar Where nothing could go wrong Barely alive or nearly dead Somehow awake in my own bed And there you are   Like a highway headed my way Life is but a dream I was shot down by your love My angel in blue jeans,0.9467,6,7,1,3,10,14,11,13,8,7
4,/songs/741277,Train,"Baby, Happy Birthday",https://genius.com/Train-baby-happy-birthday-lyrics,http://api.genius.com/songs/741277,Bulletproof Picasso,2014-09-12," I came to make it right I know it was your birthday Now I do remember But these days my mind ain't right Maybe it's the pressure, think you can forgive me Don't over think it baby Doesn't mean that I am falling out of love   Don't you think that I Wish that I could be somebody else sometimes Someone to depend on I don't know what's wrong with me Don't you think that I Wish that I could be somebody else sometimes Someone that would never forget your birthday   I bet your family Never wanna see me Sisters wanna knee me Most times I think they're right Whistle in my memory Away just like a melody And what was that alibi Think what it's like to be me Before you leave me   Don't you think that I Wish that I could be somebody else sometimes Someone to depend on I don't know what's wrong with me Don't you think that I Wish that I could be somebody else sometimes Someone that would never forget your birthday   When I met ya You were looking for a sunny day A little bit of fun And a whole lot of running away And now you're looking at somebody That you would love to change   Don't you think that I Wish that I could be somebody else for you Someone you could count on What is taking so long Don't you think that I Wish that I could be somebody else sometimes Someone that would never forget your birthday Baby, happy birthday",0.9964,0,12,0,1,12,8,23,2,7,13
5,/songs/389987,Train,Blind,https://genius.com/Train-blind-lyrics,http://api.genius.com/songs/389987,Train,1998-02-24," The color of my hair Was changing My skin is soft Too soft for a man my age And I am never alone Where is time taking me? Nothing is real, this is how I feel And nothing is wrong But everything takes too long How did this end up Me against you? With everything that I say And everything you do Your smile is changing, yeah Where is time taking you?   Nothing is real, this is how I feel And nothing is good But I don't mind being blind If you don't mind doing time Nothing is wrong But everything takes too long   Hey, by the way When I fell to your wayside Did I crash or just slide? Hey, by the way When I pulled myself up to your wayside Did I hurt you or just slide in?   So this is how it feels To get a little older And some would say wiser We know what that means Maybe not Maybe that's what that means Maybe not     I believe in love ",-0.3728,1,6,0,2,3,6,7,4,3,6
6,/songs/389096,Train,Breakfast In Bed,https://genius.com/Train-breakfast-in-bed-lyrics,http://api.genius.com/songs/389096,"Save Me, San Francisco (Golden Gate Edition)",2010-11-01," California, dancing in the ocean How I love you, better with some lotion Sun is always shining No one compares to you Sidney baby, young and like a flower How I want you, give me just an hour You seem like an angel No one compares to you   You're the best book I ever read You're the smartest thing I ever said You're breakfast in bed   When in Norway you can do me more ways Than any other you treat me like a mother loves her baby Baby, do I do it for you? Oh, cause all I ever wanted, baby, was baby to do it for you   You're the best dream in my head You're my calm thought when I see red You're better than punk rock cred You're breakfast in bed You're breakfast in bed You're breakfast in bed   Wanna please you, want to Japanese you How I need you, dress you up and feed you Love you like a daddy loves his baby, baby do it for me   You're the fastest race I ever led You're the finest bride I'll ever wed You're the skin I never want to shed You're breakfast in bed You're breakfast in bed You're breakfast in bed",0.9939,1,8,1,1,18,3,27,2,4,5
7,/songs/389093,Train,Brick By Brick,https://genius.com/Train-brick-by-brick-lyrics,http://api.genius.com/songs/389093,"Save Me, San Francisco (Golden Gate Edition)",2010-11-01," The dust has finally settled down The sun is shining on these pieces that are scattered all around This house was everything we knew Its where we kept our love and Every single memory of me and you Every letter, every note, every dress you never wore under your coat Thrown away Brick by brick, we can build it from the floor If we hold onto each other, we'll be better than before   And brick by brick We will get back to yesterday When I made your body shiver and When you took my breath away You took my breath away   The sky has made it back to blue Everything that's left is telling us the worst of it is through Home has never felt so right, there's nothing in the way There's nothing in between us Knowing where we're going is inside Every letter that I wrote Every dress you never wore under your coat Thrown away Brick by brick, we can build it from the floor If we hold on to each other We'll be better than before   And brick by brick We will get back to yesterday When I made your body shiver and When you took my breath away You took my breath away   All the pictures that we've taken And the songs that we have played They have all kept track and Followed back the love that we have made Now they're spread out on the Surface where we can try to congregate It's not too late to believe that we can get it all again Brick by brick, we can build it from the floor If we hold onto each other We'll be better than before And brick by brick We'll get back to yesterday When I made your body shiver and When you took my breath away You took my breath away   And brick by brick We will get back to yesterday When I made your body shiver and When you took my breath away You took my breath away",0.9371,4,10,1,4,5,6,10,6,2,2
8,/songs/3138545,Train,Bring It On Home,https://genius.com/Train-bring-it-on-home-lyrics,http://api.genius.com/songs/3138545,Train Does Led Zeppelin II,2016-06-03," Baby, baby I'm gonna bring it on home to you I've got my ticket, I've got that load Got up, gone higher, all aboard I'll take my seat, right way back, ooh yeah Watch this train roll down the track I'm gonna bring it on home Bring it on home to you Watch out, watch out   Try to tell you baby What you trying to do? Trying to love me, baby And love some other men too Bring it on home, bring it on home Went a little walk downtown Messed and got back late Found a note there waiting It said, ""Daddy, I just can't wait."" Bring it on home, bring it on home Bring it back home, bring it back home to me baby   Tell you, pretty baby You love to mess me around I'm going to give you loving, baby Going to move you out of town Bring it on home, bring it on home Sweetest little baby Daddy ever saw I'm going to give you loving baby I'm going to give you more Bring it on home, bring it on home Bring it on home, oh, right   Bring it on home, bring it on home to you",0.9728,0,6,1,3,16,3,16,1,0,4
9,/songs/389150,Train,Bruises,https://genius.com/Train-bruises-lyrics,http://api.genius.com/songs/389150,California 37,2012-10-05,"[Verse 1: Patrick Monahan & Ashley Monroe] Haven't seen you since high school Good to see you're still beautiful Gravity hasn't started to pull Quite yet I bet you're rich as hell One that's five and one that's three Been two years since he left me Good to know that you got free That town I know was keeping you down on your knees  [Chorus 1: Patrick Monahan & both] These bruises make for better conversation Loses the vibe that separates It's good to let you in again You're not alone in how you've been Everybody loses, we all got bruises We all got bruises  [Verse 2:  Patrick Monahan & Ashley Monroe, both] Have you seen him? Not in years How about her? No, but I hear She's in Queens with the man of her dreams Funny back then she said that about you Que sera, you'll never guess who I saw Remember Johnny B? Remember him we were best friends, practically Let's do this soon again, ten years is that what it's been? Can't believe how time flies by Leaving you makes me wanna cry  [Chorus 1: Patrick Monahan & both] These bruises make for better conversation Loses the vibe that separates It's good to let you in again You're not alone in how you've been Everybody loses, we all got bruises We all got bruises  [Bridge: Patrick Monahan, Ashley Monroe, both] I would love to fix it all for you I would love to fix you too Please don't fix a thing whatever you do   These bruises make for better conversation Loses the vibe that separates It's good to know you've got a friend But you remember now and then Everybody loses  [Chorus 1: Patrick Monahan, Ashley Monroe, both] These bruises make for better conversation Loses the vibe that separates It's good to let you in again You're not alone in how you've been Everybody loses Everybody loses Everybody loses We all got bruises We all got bruises We all got bruises",0.9931,1,18,1,1,11,13,18,2,7,11
