,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/1290762,Travie McCoy,After Midnight,https://genius.com/Travie-mccoy-after-midnight-lyrics,http://api.genius.com/songs/1290762,Lazarus,2010-06-08," Hey, hey After midnight we're out of control We outta control, we outta control, we outta control (Ooooh) Let's go! Cause after midnight We let out the ghosts We outta control, we outta control, we outta control (Yeah) Let's go! It's like the Rocky Horror awesome sorta freak show We're gonna board them up and bleed the sore and just let go So when the clock strikes midnight, everyone lose control And let the freaks come out tonight   The shitty nine to five (Man, I hate this job) It's gonna be the end of me (It's gonna be the end of me) And since when did time (Since when did time) Become my biggest enemy? (Become my biggest enemy?)   I don't think it's smart standing so close to me (So close, so close, you to close) Because at 11:59 I can feel it in my spine taken over me (I-I-I feel it, I feel it taken over) (Hey hey)   After midnight we're out of control We outta control We outta control We outta control Let's go! 'Cause after midnight We let out the ghosts We outta control We outta control We outta control Let's go! It's like the Rocky Horror awesome sort of freak show We're gonna board them up and bleed the sore and just let go So when the clock strikes midnight everyone lose control And let the freaks come out tonight   It's midnight It feels right Everybody's acting up If you're a freak, be proud of it You got it from your mother And I have rather good manners I just choose not to employ them It's about that time for you to embrace your flaws and enjoy them Everybody in the back Bring your ass up to the front and Nevermind the fuss because we do what we want You feeling how I'm feeling Put your hands up to the ceiling And say ""We don't need no blocks let them motherfuckers go!""   After midnight we're out of control We outta control We outta control We outta control Let's go! 'Cause after midnight We let out the dogs We outta control We outta control We outta control Let's go! It's like the Rocky Horror awesome sort of freak show We're gonna board them up and bleed the sore and just let go So when the clock strikes midnight everyone lose control And let the freaks come out tonight   I don't think this After midnight (So close, so close) Because at 11:59 I can feel it in my spine Takin' over me (After midnight) I feel it taking over me I don't think this After midnight (So close, so close) Because at 11:59 I can feel it in my spine Taken over me (Yeah)   (Hey hey!) After midnight we are out of control We outta control (Ooooh) Let's go! Cause after midnight We let out the dogs We outta control (Yeah) Let's go! It's like the Rocky Horror awesome sorta freak show We're gonna board them up and bleed the sore and just let go So when the clock strikes midnight everyone lose control And let the freaks come out tonight And let the freaks come out tonight And let the freaks come out tonight   After midnight we are out of control We outta control (Ooooh) Let's go! Cause after midnight We let out",-0.9876,25,18,13,15,7,27,16,18,12,16
1,/songs/95214,Travie McCoy,Akidagain,https://genius.com/Travie-mccoy-akidagain-lyrics,http://api.genius.com/songs/95214,Lazarus,2010-06-10," Let the kid's sing   Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again   Uh, huh Thinkin' back when things were so easy Got me laughin' out loud, for no reason I use to take them cans back and collect them nickels Trading Garbage Pail Kid cards for sweet pickles The whole block used to have G.I. Joe battles Yeah, your boy had the original Storm Shadow And as of lately things have been slow So I reminisce on when we use to break them windows Yeah, 'til I got snatched by the cops With a wiffle ball bat and a hand full of rocks Consider this song a throw back Cause all I wanna do is go back Ya'll sing it with me   Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again   Tell 'em And this was way before Play Station Rushing home to watch Video vibrations Man, I tell you Sherry Carter coulda got the business And I can't forget Rachel from Caribbean Rhythms This was back when Rap City used to play the jams This is how I first heard about the Wutang Clan Banged 36 chambers all summer long And to this day, Canopy's my favorite summer song And I can drop names for days Of all my favorite artists who helped to pave the way But we probably need a lot more than just 4 minutes So this is how I'm gonna end it, everybody sing   Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again   Yeah, I'm on the bus in the back lounge Sweaty, cold, confused in another unfamiliar town Another sold out show Spillin' my soul to a ton of people I don't know And I can feel my skin wearin' thinner Fourth night, no appetite for dinner Shit, goddamn, well, ain't life grand? Gettin' paid to stand on stage with your heart in your hand Sometimes I squeeze it 'til they get worried If this is Groundhogs Day, I guess I'm Bill Murray And I swear I'm not complainin' at all I love each and every one of ya'll All I'm really sayin' is   Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again Back in the days when I was young, I'm not a kid anymore But some days I sit and wish I was a kid again",0.9976,3,22,3,2,23,10,31,4,19,11
2,/songs/2091898,Travie McCoy,All In (New York Giants' Anthem),https://genius.com/Travie-mccoy-all-in-new-york-giants-anthem-lyrics,http://api.genius.com/songs/2091898,None,2015-06-15," We all love this city, we all love this city We all love this city, we all love this city I think the name alone says it all (New York) United we stand, divided we fall Either you lead, you follow, or get up out... Basically we got it broken down to a silence Everybody from Brooklyn put your hands in the air And all my boogie down broads,big blue screen yeah We know Queens in here And the money making Manhattans over here by HA Staten Island stand up Three colors gottem shook right out that truck Four rings, the thumbs gettin' anxious Four words, ""all in ____ ____"" B-G-L-E Super hot definition bustin' out your TV So go hard, I go home We put an end to your run like zone Get it yeeah The Big Apple going all in New York City stand tall we never fall in One nation, Red White and Blue We goin' all in five four three two!   We're all in, we're all in We're all in, we're all in We're all in, we're all in We all love this city (Money making now) We all love this city (Put me down) We all love this city (Brooklyn stay hard) We all love this city And you can see the skyline from the side line No point to try to read between the fine line Its right in front of your face, and if that ain't enough We could put you on the field and give you a taste Determination, Perseverance, if you ain't speaking that language then we ain't tryna hear it That adrenalin settin' in This a tight circle and you ain't gettin' in The Big Apple going all in New York City stand tall we never fall in One nation, Red White and Blue We goin' all in five four three two!   We're all in, we're all in We're all in, we're all in We're all in, we're all in We all love this city (Money making now) We all love this city (Put me down) We all love this city (Brooklyn stay hard) We all love this city I'm so New York City its so unfair Its like riding down in a cabby to Times Square If you from the Big Apple I know you're with me Put you're hands up, the same ones that built this city The Big Apple going all in New York City stand tall we never fall in One nation, Red White and Blue We goin' all in five four three two!   We're all in, we're all in We're all in, we're all in We're all in, we're all in We all love this city (Money making now) We all love this city (Put me down) We all love this city (Brooklyn stay hard) We all love this city",0.9976,7,9,1,2,23,7,27,10,4,14
3,/songs/1265926,Travie McCoy,Critical,https://genius.com/Travie-mccoy-critical-lyrics,http://api.genius.com/songs/1265926,Lazarus,2010-06-10," If the time is near Then fine, I've been waitin' patiently for years Fought lines in my mind I'm more unstable than I fear And I don't know, just take my hand It's time to go So just enjoy your blue moon, it'll be over soon So we might as well have some fun Right?   It's getting critical Takes a minute for it to set in I'm unpredictable And I'm dyin' just tryin' to feel alive again   If the time is near Don't cry, look me in the eyes and dry your tears Have a seat right here While Los Angeles disappears And I don't know, just take my hand It's time to go So just enjoy your blue moon, if we're gonna die soon Then we might as well have some fun Right?   It's getting critical Takes a minute for it set in I'm unpredictable And I'm dyin' just tryin' to feel alive again It's getting critical Takes a minute for it set in I'm unpredictable And I'm dyin' just tryin' to feel alive again   The clouds surround us, the light leaves us alone And the sky falls in your hand Embrace the moment 'cause now we're headin' home It couldn't be a sweeter end   It's getting critical Takes a minute for it set in I'm unpredictable And I'm dyin' just tryin' to feel alive again   The clouds surround us, the light leaves us alone (It's getting critical) And the sky falls in your hand (Takes a minute for it set in) Embrace the moment 'cause now we're headin' home (I'm unpredictable) It couldn't be a sweeter end (And I'm dyin' just tryin' to feel alive again)",0.9716,1,17,0,3,11,13,18,6,8,12
4,/songs/1364429,Travie McCoy,Don't Pretend,https://genius.com/Travie-mccoy-dont-pretend-lyrics,http://api.genius.com/songs/1364429,Lazarus,2010-06-08," Don't pretend Don't pretend Don't pretend that you will never love again (Don't pretend that you will never love again)   Little Miss Teary Eyes, you have no reason to lie to me And put your coat down, why you waving goodbye to me? I've been reassessing the situation, sittin' silently And finally realize why you can't look eye to eye with me And I knew about him the whole time The hotels, phone calls, pssh, the whole nine But I guess that's what friends are for And I've come to a conclusion That you're nothing but a very selfish person   Open up my chest and you'll see A cold cavity where my heart use to be Makin' amends is out of the question When you look into his pupils and I'm the reflection Ha, ha   Don't pretend (Oh, no, oh, no) I'm never gonna give you up (Oh, no, oh, no) I'm never gonna let you down, turn around Don't pretend that he is just a friend (Oh, no, oh, no) Oh, no, I'm never gonna give you up I'm never gonna let you down, turn around Don't pretend that you will never love again   Okay, let me calm down Here: have a seat, baby, maybe we can talk now Guess I only have one question for you Was I just another step in a progression for you? And if so, why ain't you tell me that? I wouldn't have sprung forward, I'd have fell back But I guess that's what friends are for The only word that comes to mind Is that you're nothin' but a little brat   Open up my chest and you'll see A cold cavity where my heart use to be Makin' amends is out of the question When you look into his pupils and I'm the reflection Ha, ha   Don't pretend (Oh, no, oh, no) I'm never gonna give you up (Oh, no, oh, no) I'm never gonna let you down, turn around Don't pretend that he is just a friend (Oh, no, oh, no) Oh, no, I'm never gonna give you up I'm never gonna let you down, turn around Don't pretend that you will never love again Don't pretend that you will never love again Don't pretend that you will never love again   We know it's nothing but the best, right? But at night, I pray to God he won't rest right You probably think I'm still bitter, well, you guessed right How in the hell did we find ourselves in this mess, right?   I will bid farewell, Boobie Sever the ties and I'mma keep it moving Yeah",-0.9437,3,5,5,3,15,20,38,4,5,21
5,/songs/63168,Travie McCoy,Dr. Feel Good,https://genius.com/Travie-mccoy-dr-feel-good-lyrics,http://api.genius.com/songs/63168,Lazarus,2010-06-08," Ha, ha Yeah, it's Travie Bring the hook in   Doctor Won't you come and help me take this pain away? (away, away) Oh, oh, doctor Give me what I need to get me through the day (the day, the day) I want that feel good That feel good That feel good That feel good That real good (Real good), yeah I want that feel good That feel good That feel good That feel good That real good (That real good) Dr. Feel Good, help me   Lately, I've been beside myself And it's unlike me to hide myself It's not like I like being by myself I wanna see the world, but can't decide myself Whether or not to get up off this couch Whether or not to get about this house I wanna know what it's like to feel real good Is there something you can prescribe, Dr. Feel Good? I mean he's so happy, she's so free Doctor, what in the world is wrong with me? I just need some reassurance, I know my carrier won't be insuring this If you could just be earnest Oops, I meant honest and make this promise If any of this makes sense, let 'em know I wasn't crazy, just thoroughly convinced   Doctor Won't you come and help me take this pain away? (away, away) Take the pain away, take the pain away Oh, oh, doctor (dootor) Give me what I need to get me through the day (the day, the day) Get me through the day, through the day I want that feel good That feel good That feel good That feel good That real good (Real good), yeah I want that feel good That feel good That feel good That feel good That real good (That real good) Dr. Feel Good, help me   She got the set of lips like a sedative Every time I kiss, it's like medicine Something said to me no, no, don't let her in 'Cause every time I do, I end up upset again And then it's back to the waiting room Waiting patiently for them to bring another patient to 'em Anything is possible Especially when you see it in the hospital I hope Dr. Feel Good can fix me And help me find peace of mind before 50 (Mr. McCoy, you're up next) I made a detour quickly Hightailed it towards the exit door before they could get me It didn't take much to lose 'em But before I got home, I came to a conclusion That feeling good means another appointment Take two of these and don't expect a call in the morning   Doctor Won't you come and help me take this pain away? (away, away) Take the pain away, take the pain away Oh, oh, doctor (dootor) Give me what I need to get me through the day (the day, the day) Get me through the day, through the day I want that feel good That feel good That feel good That feel good That real good (Real good), yeah I want that feel good That feel good That feel good That feel good That real good (That real good) Dr. Feel Good, help me   Ladies and Gentlemen, hey, pardon me, patients See what I'mma do right now is break it down Put your hands together Repeat after me, come on I feel good (I feel good) Real good (Real good) I feel good (I feel good) Real good (Real good)   Doctor Won't you come and help me take this pain away? Take the pain away, take the pain away Oh, oh, doctor (dootor) Give me what I need to get me through the day Get me through the day, through the day I want that feel good That feel good That feel good That feel good That real good (Real good), yeah I want that feel good That feel good That feel good That feel good That real good (That real good) Dr. Feel Good, help me   Yeah I'll let this one ride out Yeah, brought to you by yours truly, Mr. Cee-Lo Green The delectable Smeezingtons Thank y'all for comin' out God bless Good night Travie, by the way",0.9997,5,77,3,17,75,15,116,17,71,111
6,/songs/2134339,Travie McCoy,Golden,https://genius.com/Travie-mccoy-golden-lyrics,http://api.genius.com/songs/2134339,None,2015-06-15," You got that look in your eyes, eyes I can tell you had bad dreams last night Let me take you in my arms; you can cry, cry Let me love you 'til you feel alright Cause I am yours; you are mine, you are mine, mine Not going anywhere, I am standing by your side I will love you 'til the end of time, time I will love you 'til the day we die   Don't fear, baby, cause you and me are golden When you can't breathe it's you that I'll be holdin' Yes, I'm all in, through thick and thin This is good loving; you and me are golden   I gotta give it to her, she got a mean golden eye game Honestly it’s not a lot of O's to fit the rhyme scheme But fuck it, for the sake of being overly cheesy I think it's cute we both like our eggs over easy And lately I've been losing at love But when you lookin' in the Lower East Side You're bound to find nothing but bad luck Days can drift by, but I don't give a damn if you with me Even if the earth exploded, I probably wouldn't notice Never has another narrowed down the field to nada Spend our days shopping at Target, cause she’s not concerned with Prada We make hand-me-downs look designer Golden's in the eye of the beholder Love ya, girl   Don't fear, baby, cause you and me are golden When you can't breathe it's you that I'll be holdin' Yes, I'm all in, through thick and thin This is good loving; you and me are golden You and me are golden You and me are golden You and me are golden You and me are golden   And honestly she ain't even gotta say much I'll wait a whole day for that Midas touch Minus the fact she's the finest eyelids could open to My highness, I'd travel the world and back in hopes to glow with you She’s the Patti Mayonnaise to my Doug Funnie Every kiss is 24 carats, no Bugs Bunny I used to live wild (wild); she made me slow it down (down) Who knows? Maybe one day, we'll have a golden child Haha, and that’s word to Eddie Murphy I wouldn't trade places if you threatened to hurt me Two peas in a pod that could never be open I’m cool all by myself, but together we golden, yeah   You got that look in your eyes, eyes I can tell you had bad dreams last night Let me take you in my arms; you can cry, cry Let me love you 'til you feel alright Cause I am yours; you are mine, you are mine, mine Not going anywhere, I am standing by your side I will love you 'til the end of time, time I will love you 'til the day we die   Don't fear, baby, cause you and me are golden When you can't breathe it's you that I'll be holdin' Yes, I'm all in, through thick and thin This is good loving; you and me are golden",0.9966,9,14,5,11,23,22,33,13,9,16
7,/songs/387266,Travie McCoy,Keep On Keeping On,https://genius.com/Travie-mccoy-keep-on-keeping-on-lyrics,http://api.genius.com/songs/387266,None,2014-03-23," You gotta keep on keeping on Even with the feeling that you're gonna keep losing You gotta come back strong You gotta keep on keeping on Even with the feeling that you're gonna keep losing You gotta come back strong   He spent most of his youth with his head down Chubby, fugly, awkward walk and not much of a talker He was good at setting bad examples but bad at math Crunch time, he kept it moving like the lunch line Working on his salad bars and fruit punch lines His simple triplets had his english teachers tongue tied As he starts pirouette for perfection And Darren Aronofsky Black Swan reflection   He plucked feather from his back And watched his bottom limbs, bend forward Toward something more, he wasn't sure He plucked feather from his back And watched his bottom limbs, bend forward Toward something more, toward something more   You gotta keep on keeping on Even with the feeling that you're gonna keep losing You gotta come back strong You gotta keep on keeping on Even with the feeling that you're gonna keep losing You gotta come back strong   Raised in a broken home built brick by government, cheese brick Back and forth between parents, making us sea sick On his knees every night, praying for a little change But the tooth fairy was broke and offered little hope He used to stand in front of mirrors With his toothbrush star searching But he ain't have to search far He was smart and made a pact with himself With a smirk and made a vow that one day His dad would never ever have to worry    He plucked feather from his back And watched his bottom limbs, bend forward Toward something more, he wasn't sure He plucked feather from his back And watched his bottom limbs, bend forward Toward something more, toward something more   You gotta keep on keeping on Even with the feeling that you're gonna keep losing You gotta come back strong You gotta keep on keeping on Even with the feeling that you're gonna keep losing You gotta come back strong   Fast forward a few twenty four hours Little boy turned man, makes good on his promise Just to say we didn't take the trips to the Bahamas Now your boy bank account got a few more commas The hard work payed off, don't it? Plus it feel good when you can say you own it No rent, lease, loan or a mortgage That generator money, no shortage   He plucked feather from his back And watched his bottom limbs, bend forward Toward something more, he wasn't sure He plucked feather from his back And watched his bottom limbs, bend forward Toward something more, toward something more   You gotta keep on keeping on Even with the feeling that you're gonna keep losing You gotta come back strong You gotta keep on keeping on Even with the feeling that you're gonna keep losing You gotta come back strong",0.7935,24,20,13,19,18,37,29,31,17,22
8,/songs/49681,Travie McCoy,Need You,https://genius.com/Travie-mccoy-need-you-lyrics,http://api.genius.com/songs/49681,Lazarus,2010-06-08," I know its not your fault, but I’m a locked door And inside I’ma mess by someone before And I wish that I, I could find a key To unlock all the things you want us to be   Let me open up and start again But there’s a safe around my heart I don’t know how to let you in And that’s what keeps us apart   And that’s why I need time I said I need you I need you to understand, you, you, you I need you to understand, you, you, you   Call up the locksmith Tell him we need him quick We’ve got a million keys None of them seem to fit While you’re on the phone Call up the clocksmith Cuz I could use some time Even the slightest bit   Let me open up and start again And break this safe around my heart I don’t know how to let you in And that’s what keeps us apart   And that’s why I need time I said I need you I need you to understand, you, you, you I need you to understand   I’m thinking now’s the time Maybe its time to go, if I gave you my heart, be gentle I’m tired of laying low, lets give the world a show And when you know, you know And when you know, you know, you know And when you know, you know, you know, you know   And that’s why I need time I said I need you I need you to understand, you, you, you I need you to understand, you, you, you I need you to understand I need you to understand I need you to understand I need you to understand   I need you I need you I need you I need you, you, you",0.8929,0,8,1,0,2,3,4,1,1,5
9,/songs/2209727,Travie McCoy,One At A Time,https://genius.com/Travie-mccoy-one-at-a-time-lyrics,http://api.genius.com/songs/2209727,None,2015-06-15,"Yeah, It's Travie! Let's Take a Second and reflect on what we can do To be smart and play a part in somethin beautiful Embrace life appreciate the fact you even breathing Cause we in the crosshairs and it's open season If each one teaches one we got a good start Your not a square cause you care and have a good heart We gotta speak soft, And listen harder It's right in front of our face but we don't even bother  (Uh) Think about it (Uh) Think about it Be about, don't be afraid to speak about it (Uh) Don't cry about it (Uh) even though they lie about it Set a fire, inspire don't turn the other cheek about it  (Whoa) Can't change the world over night (Whoa) But we can start by saving a life (Whoa) One at a time, One at a time (Whoa) So let's make history (Whoa) and help out those in need (Whoa) One at a time, One at a time We can change a life  I be like my generations complaining about things that we don't have But if you think about if you think about it we ain't got it so bad Trust me I know bad, And I met worst And it'd be so sad, To sit it and let it get worst It's a simple concept we need to grasp quickly Before we end up wishing we did something differently So go and spread the word, And not the virus C'mon let's get together try and put this all behind us  (Uh) Think about it (Uh) Think about it Be about, don't be afraid to speak about it (Uh) Don't cry about it (Uh) even though they lie about it Set a fire, inspire don't turn the other cheek about it  (Whoa) Can't change the world over night (Whoa) But we can start by saving a life (Whoa) One at a time, One at a time (Whoa) So let's make history (Whoa) and help out those in need (Whoa) One at a time, One at a time We can change a life  If I could change a life, Then you can change a life We can change a life, So let's just change a life One at a time, One at a Time If I could change a life, Then you can change a life We can change a life, So let's just change a life One at a time, One at a time We can change a life  (Whoa) Can't change the world over night (Whoa) But we can start by saving a life (Whoa) One at a time, One at a time (Whoa) So let's make history (Whoa) and help out those in need (Whoa) One at a time, One at a time We can change a life",0.9035,4,25,4,21,7,10,16,6,5,17
