,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/3583334,Troye Sivan,Animal,https://genius.com/Troye-sivan-animal-lyrics,http://api.genius.com/songs/3583334,Bloom (Deluxe),2018-08-08," I told you something safe Something I've never said before And I, I, I can't keep my hands off you While you're lying awake Covered all in the night before I'm high, high, high, no one's got me quite like you   I want you all to myself Don't leave none for nobody else I am an animal with you No angels could beckon me back And it's hotter than hell where I'm at I am an animal with you   An ode to the boy I love Boy, I'll die to care for you You're mine, mine, mine, tell me who do I owe that to? And as the days fly by We'll be more than getting through, yeah And in time, time, time, we'll build a home for two   I want you all to myself Don't leave none for nobody else I am an animal with you No angels could beckon me back And it's hotter than hell where I'm at I am an animal with you   All is right in the meadow When I'm lying next to my fellow Baby, that's you Baby, that's Baby, that's you, you-you One way trip like an arrow All laid out like a tarot Baby, that's you Baby, that's Baby, that's you, you-you   I want you all to myself Don't leave none for nobody else I am an animal with you No angels could beckon me back And it's hotter than hell where I'm at I am an animal with you I am an animal with you",-0.883,5,6,7,4,11,11,17,7,7,8
1,/songs/3854427,Troye Sivan,Better Now,https://genius.com/Troye-sivan-better-now-lyrics,http://api.genius.com/songs/3854427,Spotify Singles,2018-07-18," You prolly think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything   I did not believe that it would end, no Everything came second to the Benzo You're not even speakin' to my friends, no You knew all my uncles and my aunts though Twenty candles, blow 'em out and open your eyes We were lookin' forward to the rest of our lives Used to keep my picture posted by your bedside Now it's in your dresser with the socks you don't like And I'm rollin', rollin', rollin', rollin' With my brothers like it's Jonas, Jonas Drinkin' Henny and I'm tryna forget But I can't get this shit outta my head   You prolly think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything   I seen you with your other dude He seemed like he was pretty cool I was so broken over you Life it goes on, what can you do? I just wonder what it’s gonna take Another foreign or a bigger chain Because no matter how my life has changed I just keep on looking back on better days   You prolly think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything   I promise I swear to you, I'll be okay You're only the love of my life (love of my life, love of my life)   You prolly think that you are better now, better now You only say that 'cause I'm not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything You know I say that I am better now, better now I only say that 'cause you're not around, not around You know I never meant to let you down, let you down Woulda gave you anything, woulda gave you everything",0.9947,2,1,1,1,6,4,13,1,0,7
2,/songs/2291357,Troye Sivan,BITE,https://genius.com/Troye-sivan-bite-lyrics,http://api.genius.com/songs/2291357,Blue Neighbourhood (Deluxe),2015-09-04," Kiss me on the mouth and set me free Sing me like a choir I can be the subject of your dreams Your sickening desire Don’t you wanna see a man up close? A phoenix in the fire   So kiss me on the mouth and set me free But please, don’t bite   You can coax the cold right out of me Drape me in your warmth The rapture in the dark puts me at ease The blind eye of the storm Let's go for a walk down Easy Street Where you can be reborn   And kiss me on the mouth and set me free But please, don’t bite   Aah, I'm pulling on your heart to push my luck Aah, 'cause who's got any time for growing up Kiss me on the mouth, free Kiss me on the mouth, free Kiss me, kiss me on the mouth and set me free Kiss me on the mouth and set me free Kiss me on the mouth and set me free Kiss me on the mouth and set me free Kiss me on the mouth and set me free   Kiss me on the mouth and set me free Sing me like a choir I can be the subject of your dreams Your sickening desire Don’t you wanna see a man up close A phoenix in the fire   So kiss me on the mouth and set me free But please, don’t bite",0.9991,3,18,2,4,19,10,27,5,26,10
3,/songs/3521644,Troye Sivan,Bloom,https://genius.com/Troye-sivan-bloom-lyrics,http://api.genius.com/songs/3521644,Bloom (Deluxe),2018-05-03," Take a trip into my garden I've got so much to show ya The fountains and the waters Are begging just to know ya   And it's true, baby I've been saving this for you, baby   I guess it's something like a fun fair Put gas into the motor And boy I'll meet you right there We'll ride the rollercoaster   'Cause it's true, baby I've been saving this for you, baby   I need you to Tell me right before it goes down Promise me you'll Hold my hand if I get scared now Might tell you to Take a second, baby, slow it down You should know I, you should know I   (Yeah I bloom) I bloom just for you (I bloom) just for you (Yeah I bloom) I bloom just for you (I bloom) just for you Come on, baby, play me like a love song Every time it comes on I get this sweet desire (Yeah I bloom) I bloom just for you (I bloom) just for you   Now it's the perfect season Yeah, let's go for it this time We're dancing with the trees and I've waited my whole life   It's true, baby I've been saving this for you, baby   I need you to Tell me right before it goes down Promise me you'll Hold my hand if I get scared now Might tell you to Take a second, baby, slow it down You should know I, you should know I   (Yeah I bloom) I bloom just for you (I bloom) just for you (Yeah I bloom) I bloom just for you (I bloom) just for you Come on, baby, play me like a love song Every time it comes on I get this sweet desire (Yeah I bloom) I bloom just for you (I bloom) just for you   Just for you I bloom just for you I bloom just for you Baby, baby, I've been saving this for you, baby Baby, baby, I've been saving this for you, baby   (Yeah I bloom) I bloom just for you (I bloom) just for you (Yeah I bloom) I bloom just for you (I bloom) just for you Come on, baby, play me like a love song Every time it comes on I get this sweet desire (Yeah I bloom) I bloom just for you (I bloom) just for you   Just for you I bloom just for you I bloom just for you Just for you I bloom just for you I bloom just for you",0.9968,1,43,2,0,65,2,66,0,6,44
4,/songs/2329573,Troye Sivan,BLUE,https://genius.com/Troye-sivan-blue-lyrics,http://api.genius.com/songs/2329573,Blue Neighbourhood (Deluxe),2015-12-04," Love hits hard, I know All your lights are red, but I'm green to go Used to see you high, now you're only low All your lights are red but I'm green to go   I want you I'll colour me blue Anything it takes to make you stay Only seeing myself When I'm looking up at you I want you I'll colour me blue Anything it takes to make you stay Only seeing myself When I'm looking up at you   I can't say no Though the lights are on There's nobody home Swore I'd never lose control Then I fell in love with a heart that beats so slow   I want you I'll colour me blue Anything it takes to make you stay Only seeing myself When I'm looking up at you I want you I'll colour me blue Anything it takes to make you stay Only seeing myself When I'm looking up at you   I know you're seeing black and white So I'll paint you a clear-blue sky Without you I am colour-blind It's raining every time I open my eyes I know you're seeing black and white So I'll paint you a clear-blue sky Without you I am colour-blind It's raining every time I open my eyes   I want you I'll colour me blue Only seeing myself When I'm looking up at you When I'm looking up at you   I want you I'll colour me blue Anything it takes to make you stay Only seeing myself When I'm looking up at you I want you I'll colour me blue Anything it takes to make you stay Only seeing myself When I'm looking up at you   I want you I'll colour me blue Anything it takes to make you stay Only seeing myself When I'm looking up at you",0.9466,2,4,1,1,6,7,8,14,1,4
5,/songs/2426848,Troye Sivan,Blue Moon,https://genius.com/Troye-sivan-blue-moon-lyrics,http://api.genius.com/songs/2426848,None,2016-02-21," In my free In my wild In my dark Oh I started Started to doubt Doubt this fire Lighting up our lives And it kept me up at night   Crash and burn That's all I know I think that’s why I made you go Those three words You were my first I can’t help thinking   Maybe you were my blue moon? Maybe I let go too soon? Running from what could be So terrified of happy How did I come to lose my blue moon My blue moon   Which one of us went and fucked up You or me, guess it was me Don't know a good thing when its right infront of me ‘Cause I’m so numb, what have I become?   Oh, cause' crash and burn That's all I know I think that’s why I made you go Those three words You were my first I can’t help thinking   Maybe you were my blue moon? Maybe I let go too soon? Running from what could be So terrified of happy How did I come to lose my blue moon My blue moon   Crash and burn That's all I know I think that’s why I made you go Those three words You were my first I can’t help thinking   Maybe you were my blue moon? Maybe I let go too soon? Running from what could be So terrified of happy How did I come to lose my blue  Maybe you were my blue moon? Maybe I let go too soon? Running from what could be So terrified of happy How did I come to lose my blue moon",-0.984,4,5,4,10,5,11,9,20,10,11
6,/songs/2329564,Troye Sivan,COOL,https://genius.com/Troye-sivan-cool-lyrics,http://api.genius.com/songs/2329564,Blue Neighbourhood (Deluxe),2015-12-04," Sweet life living Pools and swimming Drinks in bars and Boys in cars and Rooftop sinning Skinny dipping Shooting stars with you Fat cigars and   And that weekend up in the islands They stop and stare Flashes filling the silence Of a Hollywood love affair Waking up in the islands Cause I saw you there Lost and trying to be   I was just trying to be cool I was just trying to be like you I'm a spark and you're a boom What am I supposed to do?   Mansion debut Love it, do you? Absent father Pays his daughter And her mama withdrew From the life they once knew She had a heart But she sold it off for   And that weekend up in the islands They stop and stare Flashes filling the silence Of a Hollywood love affair Waking up in the islands Cause I saw you there Lost and trying to be   I was just trying to be cool I was just trying to be like you I'm a spark and you're a boom What am I supposed to do?   When I've got that cigarette smoke And Saint Laurent coat, but nothing is feeling right I drink but I choke I love but I don't   I was just trying to be cool I was just trying to be like you I was just trying to be cool I was just trying to be like you I'm a spark and you're a boom What am I supposed to do?   When I've got that cigarette smoke And Saint Laurent coat, but nothing is feeling right I drink but I choke I love but I don't, yeah   I was just trying to be cool I was just trying to be like you",0.9891,5,7,5,3,13,13,21,8,5,10
7,/songs/3647882,Troye Sivan,Dance to This,https://genius.com/Troye-sivan-dance-to-this-lyrics,http://api.genius.com/songs/3647882,Bloom (Deluxe),2018-06-13," Young ambition Say we'll go slow, but we never do Premonition See me spendin’ every night with you   Oh, yeah, under the kitchen lights You still look like dynamite And I wanna end up on you Oh, don't need no place to go Just put on the radio You know what I wanna do   We can just dance to this Don't take much to start me We can just dance to this Push up on my body, yeah You know we’ve already seen all of the parties We can just dance to this We can just, we can just Dance to this Dance to this We can just dance to this   Dear beloved Bring those 501s a bit closer, bit closer And dear, my lover Do that thing we never do sober, sober  [Pre-Chorus: Troye Sivan, Ariana Grande, Both] Oh, yeah, under the kitchen lights You still look like dynamite And I wanna end up on you (yeah) Oh, we don't need no place to go Just put on the radio You know what I wanna do   We can just dance to this Don't take much to start me We can just dance to this Push up on my body, yeah You know we've already seen all of the parties We can just dance to this We can just, we can just Dance to this Dance to this We can just dance to this  [Bridge: Troye Sivan with Ariana Grande] I don't wanna sleep tonight-night-night-night-night I just wanna take that ride I don't wanna sleep tonight-night-night-night-night I just wanna take that ride  [Chorus: Troye Sivan with Ariana Grande] We can just dance to this Don't take much to start me We can just dance to this Push up on my body, yeah You know we've Already seen all of the parties We can just dance to this We can just... We can just dance to this Don’t take much to start me We can just dance to this Push up on my body, yeah You know we’ve already seen all of the parties We can just dance to this We can just, we can just Dance to this  [Outro: Troye Sivan, Ariana Grande, Both] Dance to this, love Dance to this We can just, dance to this Dance to this, dance to this We can just dance to this I don't wanna sleep tonight-night-night-night-night I just wanna take that ride I don’t wanna sleep tonight-night-night-night-night I just wanna take that ride We can just dance to this I don't wanna sleep tonight-night-night-night-night I just wanna take that ride I don't wanna sleep tonight-night-night-night-night I just wanna take that ride We can just dance to this I don't wanna sleep tonight-night-night-night-night",0.9969,0,7,0,0,31,0,50,0,1,42
8,/songs/2291424,Troye Sivan,DKLA,https://genius.com/Troye-sivan-dkla-lyrics,http://api.genius.com/songs/2291424,Blue Neighbourhood (Deluxe),2015-09-04," Wrapped my thoughts around your mind Wrapped your body around mine   Play it back and press rewind To when you traced your fingers, drew my spine Lost its beat and so I find I starve my heart of touch and time   So what do I do now? I don't keep love around So what do I do now? I don't keep love around What do I do now? I don't keep love around, love around Love around, love around   When we tried it, we were a fire with no smoke Rags to riches but I'm addicted to being broken You take my breath away, you know I'm bound to choke When I close my eyes. I still see your ghost   So what do I do now? I don't keep love around So what do I do now? I don't keep love around What do I do now? I don't keep love around, love around Love around, love around   I don't keep love around, ye-eah I don't keep love around, ooh yeah I don't keep love around Love around Love around   They can't stand, I handstand Don't hold on right anymore Pleased to meet you, I'm kinda moved But that last one was my antidote Green eyes, become green times But there is no first or a last chance They're telling me to turn down 'Cause I'm so lit, recall Flash Dance? Only A1 and I stay 1 And I'm counting out for that day when Residuals become imminent Cause failure is not pivotal They just be asking the same Try switch it up, I switch lanes No love in this world, I’m still sane Right? Because that's enough? When the light on and you don't keep love   ""Distance makes the heart grow fonder’"" Said by someone stronger than me So what do I do now? Do now? So what do I do now? I don't keep love around anymore I don't keep love around anymore I don't keep, I don't keep Love around",-0.9953,3,6,1,5,27,6,44,4,1,20
9,/songs/2291360,Troye Sivan,EASE,https://genius.com/Troye-sivan-ease-lyrics,http://api.genius.com/songs/2291360,Blue Neighbourhood (Deluxe),2015-09-04," I'm down to my skin and bone And my mommy, she can't put down the phone And stop asking how I'm doing all alone, alone But the truth is the stars are falling, ma And the wolves are out c-calling, ma And my home has never felt this far  [Pre-Chorus: Troye Sivan & Georgia Nott] But all this driving Is driving me crazy And all this moving Is proving to get the best of me And I've been trying to hide it But lately Every time I think I'm better Pickin' my head up, getting nowhere   Take me back to the basics and the simple life Tell me all of the things that make you feel at ease Your touch, my comfort, and my lullaby Holdin' on tight and sleepin' at night Holdin' on tight and sleepin' at night   Now I'm down to my skin and bones My baby listens to me on the phone But I can't help feeling like I'm all alone, all alone The truth is, the stars are falling, babe And I'd never ever thought that I would say I'm afraid of the life that I've made, I've made   But all this driving Is driving me crazy And all this moving Is proving to get the best of me And I've been trying to hide it But lately Every time I think I'm better Pickin' my head up, getting nowhere   Take me back to the basics and the simple life Tell me all of the things that make you feel at ease Your touch, my comfort, and my lullaby Holdin' on tight and sleepin' at night   I've been lyin' to them all I don't need it anymore Don't you worry about me I'll be fine if I can breathe I've been out here for too long Taking shit for how I'm wrong How I'm wrong Always wrong   Take me back to the basics and the simple life Tell me all of the things that make you feel at ease Your touch, my comfort, and my lullaby Holdin' on tight and sleepin' at night Holdin' on tight and sleepin' at night   Holdin' on tight and sleepin' at night Holdin' on tight and sleepin' at night (Take me back to the basics and the simple life) Holdin' on tight and sleepin' at night (Tell me all of the things that make you feel at ease) Holdin' on tight and sleepin' at night (Your touch, my comfort, and my lullaby) Holdin' on tight and sleepin' at night",0.9136,4,12,2,7,8,11,17,6,1,11
