,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/1674127,Tyga,09 Until,https://genius.com/Tyga-09-until-lyrics,http://api.genius.com/songs/1674127,Black Thoughts,2010-04-13,"Dial up seven digits Car stripper, trife livin Show you what I'm paid but you won't get it Already spent it, hundred thou ? 16 ? Make you feel like the richest No! (niggas) What happen when them cloths won't fit ya And everybody asking for pictures, onto the next One fan say ya sick man others say my shit weak I do not sweat them, I am but a risk, band Young money mulligan play gulf on ya head Swing swing like lesbians and a man Don't wanna share his wife but we already did (bitch) Ghetto fly nigga form his ship Its like amistad all black when we dip ah Car with with rims ah don't matter what we in cuz we already in forever The end chivalry I good night this shit Goodbye to the flaw say hello to you God Readin the choir overseas ummm.... Such a globe traveler, farchulin while you where at home I was busy ordering steaks threw the phone like medium rare, no wait well done Don't care if you won Tyga I am the one  (Chorus) This is why I'm ill 09 until This is why I'm ill 09 until This is why I'm ill 09 until Forever y'all This is why I'm ill 09 until  This is why I'm ill 09 until This is why I'm ill 09 until Forever y'all  I really kick flow I really been broke Look at me now doe everynight another show What are those doe Glow in the dark shoes How you get those Wish I really knew Like mario, my city red and blue Born from L.A. eat roscoes Lucy tacos knew some vatos Tat tata tat ink like kinkos I put a dollar in the pot watch the pot grow I pop up with the heat like hot toast You would recycle if you see what I knew So keep your eyes closed and lower your IQ I feel like two, they can judge me but there's no gaffle and stool Only gospel can save you good music immune I'm ill sick my lyrics like pew  (Chorus)",-0.8226,13,13,14,14,12,23,21,19,5,16
1,/songs/3043754,Tyga,100's,https://genius.com/Tyga-100s-lyrics,http://api.genius.com/songs/3043754,Bitch I'm the Shit 2,2017-04-03," Countin' hunnid, hunnid, hunnid, hunnids Hunnid, hunnid, hunnid, hunnid, hunnid, hunnid hunnids Runnin' through the set, runnin' up a check, runnin' through the bag Countin' hunnid, hunnid, hunnid, hunnids Money in the sack, money in the sky, money in the ceilings Countin' hunnid, hunnid, hunnid, hunnids We don't need no motherfuck' money machine We like to touch it, touch it, touch it, touch it In the club, throwin' racks and I got swag bustin' out the bag Countin' hunnid, hunnid, hunnid, hunnids T-Raww pulled up on me in a motherfuckin' Lamb Countin' hunnid, hunnid, hunnid, hunnids Jumpin' on my dick, jumpin' on my dick, jumpin' on my dick 'Cause I'm countin' hunnid, hunnid, hunnid, hunnids We don't need no motherfuckin' money machine We like to touch it, touch it, touch it   Runnin' up the set, throwin' up the set, bitches on set Yeah, got bitches in the hallway Dope in the stash, dope in the stash, horse in the back Yeah, that Ferrari just foreplay Nigga put the swag, nigga put the cash, nigga put the bag Yeah, everybody know me, bitch Runnin' up a check, runnin' up a check Pateks with the tech if a nigga play me, bitch Nigga, go that way, nigga, go that way Bitches come this way, bitches wanna kiss me Turn a freeway to a speedrace (Skrrt) Don't be actin' shit about the fam Don't be readin' shit in Daily Mail I just closed a big deal, lookin' through my email Watch this shit sell like Adele, yeah   Countin' hunnid, hunnid, hunnid, hunnids Hunnid, hunnid, hunnid, hunnid, hunnid, hunnid hunnids Runnin' through the set, runnin' up a check, runnin' through the bag Countin' hunnid, hunnid, hunnid, hunnids Money in the sack, money in the sky, money in the ceilings Countin' hunnid, hunnid, hunnid, hunnids We don't need no motherfuck' money machine We like to touch it, touch it, touch it, touch it In the club, throwin' racks and I got swag bustin' out the bag Countin' hunnid, hunnid, hunnid, hunnids T-Raww pulled up on me in a motherfuckin' Lamb Countin' hunnid, hunnid, hunnid, hunnids Jumpin' on my dick, jumpin' on my dick, jumpin' on my dick 'Cause I'm countin' hunnid, hunnid, hunnid, hunnids We don't need no motherfuckin' money machine We like to touch it, touch it, touch it  [Verse 2: A.E.] Uh, bought that whip off the show room (Skrrt, skrrt) Yeah, she do the same things them hoes do and that makes her a hoe too I'ma bachelor, I ain't got no boo, it's all be solo and nobu Uh, drunk off the sake and the soju juice, yeah, drop out, pull up in a old school, ooh Drop out but I'm pullin' drops out, got my cock out like I told you Heard the rumours 'bout you were so true, you thirsty and you ain't got no juice And gettin' bread somethin' that we toast to Two girls asked me what I'm gon' do, I said both of you   You don't know what we have to go through All my day ones is my go-tos Got my own show just to show you I don't trust you as far as I can throw you Ch-ch-chop it up like Pro Tools White diamonds drippin' like '02 Niggas want beef but they tofu They like G.O.O.D. Music, baby, that's a good move   Countin' hunnid, hunnid, hunnid, hunnids Hunnid, hunnid, hunnid, hunnid, hunnid, hunnid hunnids Runnin' through the set, runnin' up a check, runnin' through the bag Countin' hunnid, hunnid, hunnid, hunnids Money in the sack, money in the sky, money in the ceilings Countin' hunnid, hunnid, hunnid, hunnids We don't need no motherfuck' money machine We like to touch it, touch it, touch it, touch it In the club, throwin' racks and I got swag bustin' out the bag Countin' hunnid, hunnid, hunnid, hunnids T-Raww pulled up on me in a motherfuckin' Lamb Countin' hunnid, hunnid, hunnid, hunnids Jumpin' on my dick, jumpin' on my dick, jumpin' on my dick 'Cause I'm countin' hunnid, hunnid, hunnid, hunnids We don't need no motherfuckin' money machine We like to touch it, touch it, touch it",0.8771,27,23,9,8,28,17,42,10,18,45
2,/songs/2407777,Tyga,10 Million $ Mortgage,https://genius.com/Tyga-10-million-mortgage-lyrics,http://api.genius.com/songs/2407777,Rawwest Nigga Alive,2016-01-15," How's it feel to watch your bank account go from a zero To a million, I can tell you 'bout the feeling, I can tell you not Build for this shit, my nigga you should leave the building Cause when we in the building you gotta be built for real shit Real life death threats cause of my icy necklace, what You want my chain, will that take away your pain, fuck it Take my watch, my rings and my Range My 10 million dollar mortgage, you still the same lame Motherfucker that ain't want it bad as I did, you ain't rap like I did You just say it how you would, but when we talking platinum nigga wood is no good Born and raised in L.A, we was 'Boyz N tha Hood' Yeah, I been turnt up, I been the noise in the hood Boys with the boys, jumping out on boys from the bush Yeah, now the hardest choice I make is which one should I push The Bentley or the Roll Royce, I grew up and got more toys   I'm forever 'bout whatever yeah we ready for war I ain't dancing on the dope, what I'm selling is pure You fascinated with the flow I'm masturbating I'm stroking my ego, we know you mad I made it Being broke'll make you evil, the love of money will do the same Who to blame, either way I need a new Bugatti You been hating for a minute you need a new hobby You ain't getting paid off that shit, you better lay off that shit, bruh I fell in love making it rain on that bitch bruh Fell outta love I can't complain about that shit tho You see my son yeah he the best of me, give him all the good of me Give y'all what's left in me, uh Appetite for destruction, I got the recipe Everybody eats, but we'll get to that later, let's get to this paper Cause you ain't doing shit 'til you get to these haters Am I getting to you niggas, you getting rich off hating? Shit, then tell me how's it feel to watch your bank account go from a zero To a million, I can tell you 'bout the feeling, I can tell you not Build for this shit, my nigga you should leave the building Cause when we in the building you gotta be built for real shit Real life death threats I'm the overnight success what You want my fame, will that take away your pain, fuck it Take my watch, my ring and my Range My 10 million dollar mortgage, you still the same lame Motherfucker that ain't want it bad as I did, you ain't rap like I did Ain't have to scrap like I did, ask them niggas from the set you ain't get back like I did When they lying on you sit back and laugh like I did Was my whole career you idea, why they hate me nigga I have no idea Back when I had no I.D they knew my name, all I ever knew how to do was do my thing Hate me now, motherfucker",-0.9984,34,14,27,25,11,45,25,19,10,13
3,/songs/4402912,Tyga,16 Bars on Tyga Taste | Kartikay,https://genius.com/Tyga-16-bars-on-tyga-taste-kartikay-lyrics,http://api.genius.com/songs/4402912,None,2018-11-15,Lyrical lge gane tere bore Listeners kahe spit some bars for all  Ah beat me flow bhage jaise bhage 4G Sunta kahlon mere lie hai wo OG  Chill kru nanital me mtlb home town Jb tu hota shy beat pe tb tera Flow down  Waise mai normal pr track kre flex mere  Flow itna chill to beat bhi Relax kre  Ye hai new year 2k19 Age 17 up naki 9 teen    Hr roz deti hip hop mujhe DELITE  Ek din honge bars mere buffer Day night   Kru listeners apni taraf or bhi mere Big plan Do chaar hai bhai bs naki mera big clan   Bnaunga topic aise jo ho on REAL point Meri verse stick kre on real point,-0.0258,1,2,2,0,1,3,6,1,0,3
4,/songs/2551326,Tyga,1 of 1,https://genius.com/Tyga-1-of-1-lyrics,http://api.genius.com/songs/2551326,Bitch I'm the Shit 2,2016-06-17," You, you my only one You my number one You a one of one I wanna go one on one with you One on one, and I want you to want me too You a one of one I wanna go one on one with you   Back to the front with you Don't let 'em make you regret it They'll be fake if you let 'em Don't let 'em make less out of something That means so much to you I wanna make you feel comfortable Girl you know I fuck with you Like summer school and Lunchables We the untouchable, yeah You don't have to suffer, no, yeah I was made custom for you Only give my loving to you   You my only one You my number one You a one of one I wanna go one on one with you One on one, and I want you to want me too You a one of one I wanna go one on one with you   Take the thug in me and put some in you Now you wearing bandanas Rocking your man's flannels Flight to Dubai, gotta pop a Xanax Mi no love for dem batty boy antics Gon' make me pull choppers out the attic I'm a savage, straight savage Yeah, they laughed at my dreams of living lavish We no pretender, we both remember All these hoes was ghost 'fore I had the Phantom 'Fore I had the 'Gram, I couldn't get at 'em Uh, before I rocked rings like Saturn They ain't wanna hang out, wanna try to plan it That's why I give all I have to you They don't know I got the juice, they don't know They don't know I touch the money like masseuse (Dem don't know) I was made custom for you Only giving my love to you   You, you my only one You, you a one of one I wanna go one on one with you One on one You, you a one of one I wanna go one on one with you   Back to the front with you Yeah, grind and bump with you You a one of one I wanna go one on one with you Back to the front with you Don't have to front, it's true You a one of one I wanna go one on one with you One on one with you One on one And I want you to want me too You a one of one I wanna go one on one  with you",0.9768,4,2,2,5,5,9,18,1,2,12
5,/songs/1046867,Tyga,2 AM,https://genius.com/Tyga-2-am-lyrics,http://api.genius.com/songs/1046867,No Introduction,2008-06-10,"[Intro/Chorus: repeat 2X] It's 2 AM in the mornin Pressin my alarm again Stressin over my mom and friends Sometimes, I wish I was in a coma  Damn! Wakin up to the cold wind Sometimes, I wish I was a kid again Sometimes, I don't even wanna remember it Cause one time I remembered what I couldn't forget Damn! My stepdad beatin me again For a bad grade, he must of had A's The way he was hurtin me in a bad way My mom hearin the scream but just turned away What the fuck, are you people crazy? I was only a baby, five months when they gave me To my grandma, who was racist But I ain't give a fuck, I just faced it Like mace to the police, I was danger Feelin like I'm in a manger Baby Jesus, save me from the anger She's tryin to get me, into this closet I vanished quickly Fuck that, I took 50 From her purse bag, told her ""Don't miss me"" I ain't comin back, catch me on another path I need a bubble bath Someone, take me in the plastic basket Sittin on bubble wrap, I'm abandoned I need a new home, that isn't damaged A family whom care, to be parents Errant, my life on the mic Might wasn't raised too right, so I Had to decide to turn on the light Do somethin right, before I'm layin with the mice Rotten alone on my neighbor's stolen bike Tryin to think what my afterlife, gon' look like It gotta look right... it gotta look right...   Back to my bad life Another day in the fast life got me feelin like I'm on the crack pipe No lie, just the thought Of me gettin that type of high, but I'm in the dark Where the shadows, follow, your every walk And as I move, I'm feelin like a shopping cart Gimme this, gimme that son What'chu mean - ain't you supposed to be my mom? Why don't you ask God, I worked hard for these two dimes I care what it's worth - just the fact that it's mine Check your purse, don't you got My life savings that you've been savin from birth? Oh - I forgot you spent that On your own gift wrap - I ain't get shit last Christmas But a hug and a family wishlist for next year and shit Huh! 'Round next year and shit I'm gonna be on shit you can't even pronounce, in English I got anger That's why I paint these songs, visually painting It's awful ain't it? A little (Pinky) in (The Brain) But hopefully, time is the pain Cause as of now, I just wanna run away... run away...  ",-0.9626,17,8,12,16,9,28,18,12,6,13
6,/songs/540571,Tyga,40 Mill,https://genius.com/Tyga-40-mill-lyrics,http://api.genius.com/songs/540571,None,2018-11-15," Due to the supply of this content Parental discretion is advise Wanna be a monument to physical perfection You wanna be a shrine You should be You want to change right Oh you got to change   I don't wanna be famous, I just wanna be rich 40 mill with some acres, makeup for my bitch I don't fuck with these niggas, stop pretending and shit I don't wanna be famous, I just wanna be rich   I don't wanna be famous Fuck around, be a Lennon and a fan leave you brainless All in the paper, gettin' buried  by a neighbor While all of your relatives spendin' all the money that you gave 'em Fuck it, don't save 'em Let that boy drown if he don't float, guess he wasn't made for it My nigga hold it, hold it down, listenin' to underground Poppin' knuckles cause these niggas wanna bring me down Put your face in the dirt like 4th down Niggas wanna test, but we will never fail I'm layin' low in my day clothes Can't get a fuckin' meal at Pollo Loco without takin' photos Man, these little crazy niggas (loco)   I don't wanna be famous, I just wanna be rich 40 mill with some acres, makeup for my bitch I don't fuck with these niggas, stop pretending and shit I don't wanna be famous, I just wanna be rich    I don't wanna be famous Flip a finger, middle finger, let 'em know that I'm dangerous All my niggas bangers, Chevy riding swingers And my bitch'll fight ya, Hilary Swank ya Take your bitch, we ain't even swingers Nigga, try your luck, think it's all entertainment You all in arraignment, snitchin' to the plaintiff Who, what, where? My niggas stay nameless Knock down yo' doo' for that dough My niggas they go when I say go These bitches fuckin' cause they hoes They hoes for that motherfuckin' fame   I don't wanna be famous, I just wanna be rich 40 mill with some acres, makeup for my bitch I don't fuck with these niggas, stop pretending and shit I don't wanna be famous, I just wanna be rich    We don't fuck with you, we don't fuck with you I don't need the proof We don't fuck with you, we don't fuck with you Nigga, that's the proof Niggas talkin', that's bulletproof Run and shoot Niggas talkin' like they bulletproof My niggas, they run and shoot   Love those bitches They love to eat It's ok It's important This being brook You gotta stop man",-0.9284,20,10,13,18,8,27,44,12,7,30
7,/songs/2408007,Tyga,4Life,https://genius.com/Tyga-4life-lyrics,http://api.genius.com/songs/2408007,Rawwest Nigga Alive,2016-01-15," Yeah, my clique down for a life sentence My bitch down for a life sentence We 'bout this life for life, nigga, for life My clique down for a life sentence My bitch down for a life sentence We 'bout this life for life Never leave home without my ice   My bitch down for life, clique down for life Icy face, I can't beat the watch, I just know you're out of time I can read your mind, boy, you're out your mind Up or down, yeah, I'm down for mine Yeah, I'm going in, yeah, I'm out for mine   For lifer, been a rider since I had no license Been a rider since I had low mileage Now I'm in a Spider screaming ""for life"", bitch No guidance, I'mma be ghetto for life The Bezel looks better with ice I'm a BBS' for life You don't see me stressing Covered in a town and you see me dressing We're wild and we're hungy, we feed off pressure I pop rubber bands yeah you see me stretch her And I'm down for life 'til I need a stretcher I be down for life, for my Last Kings please keep resurrecting   Yeah, my clique down for life sentence My bitch down for life sentence We 'bout this life for life, nigga My clique down for life sentence My bitch down for life sentence We 'bout this life for life Never leave home without my ice   My bitch down for life, clique down for life Icy face, I can't beat the watch, I just know you're out of time Think your clique is down but they ain't down to grind Yeah your bitch is down but she ain't down as mine Look at my bitch, thick as Aunt Jemima, hold up   The mafia bitches, ride or die for your bitches Them gang niggas turn to bodyguards catching bodies for a nickle Day one's (?) Fuckboys that got me fucked up, your boy gon' keep coming up for life You Stan Smith in the hood boy you got no stripes She ' The Walking Dead' my nigga she ain't got no life Me, I'ma be that nigga for life And these hoes know I can only be her nigga for a night   Yeah, my clique down for life sentence My bitch down for life sentence We 'bout this life for life, nigga My clique down for life sentence My bitch down for life sentence We 'bout this life for life Never leave home without my ice   My bitch down for life, clique down for life Icy face, I can't beat the watch, I just know you're out of time I can read your mind, boy you're out your mind Up or down, yeah I'm down for mine It's like I lived four times cause it's for life",-0.9962,35,20,34,37,0,49,7,32,5,5
8,/songs/2149858,Tyga,4 My Dawgs,https://genius.com/Tyga-4-my-dawgs-lyrics,http://api.genius.com/songs/2149858,The Gold Album: 18th Dynasty,2015-06-23," Cry little sister Thou shall not fall Come, come to your brother Thou shall not fly   This for my dawgs out here goin' crazy Goin' crazy, goin' crazy This for my dawgs out here goin' crazy Goin' crazy, goin' crazy This for my dawgs out here goin' crazy Fuck you, pay me, fuck you, pay me This for my dawgs out here goin' crazy Goin' crazy, fuck you, pay me This for my dawgs out here   Now you wanna be friends You the type to fuck a nigga for his pension All a nigga ever wanted was a 6 Benz And if you a bad bitch, come get the dick again They be like... oh wait Step up in the spot and they screamin' oh aye Which one of y'all wanna chill? OJ We sippin' Moet champagne On me, all the bitches on me   Cry little sister Thou shall not fall Come, come to your brother Thou shall not fly   This for my dawgs out here goin' crazy Goin' crazy, goin' crazy This for my dawgs out here goin' crazy Goin' crazy, goin' crazy This for my dawgs out here goin' brazy Goin' crazy, fuck you, pay me You ain't alone out here, I'm goin' crazy I'm right there with you We right here with you   I met some models, they said life full of obstacles Challenges and mobster rules and Libyan size pools Hold my breath and take 2, anxieties and robberies Survival, threats, apologies, I made it through the poverty I be... on my own shit Cause you never, never know when somebody gon' trip Oh shit, miss a nigga with that bullshit, man Aye bossman, I'm my own bossman, understand?   Cry little sister Thou shall not fall Come, come to your brother Thou shall not fly   This for my dawgs out here goin' cray-cray Goin' cray-cray, got that AK Point it at your bay-bay, we goin' crazy We goin' crazy, fuck you, pay me This for my dawgs out here goin' crazy We goin' crazy, fuck you, pay me For my dawgs out here goin' crazy Goin' crazy, yeah   T-Y-G-A, we goin' crazy Young, Young, Young Mula baby Goin' crazy, goin' crazy Fuck you, pay me, fuck you, pay me   This for my dawgs out here goin' crazy Goin' crazy, goin' crazy This for my dawgs out here goin' crazy Goin' crazy, they goin' crazy   Cry little sister Thou shall not fall Come, come to your brother Thou shall not fly (I'm goin' crazy) Unchain me, sister Thou shall not steal Love is with your brother Thou shall not kill",-0.9992,45,13,7,45,14,55,25,50,4,15
9,/songs/132874,Tyga,500 Degrees,https://genius.com/Tyga-500-degrees-lyrics,http://api.genius.com/songs/132874,Hotel California,2013-04-04," T-raww, fuck y'all, money tall, dick large Tiger in my backyard, bitches on my futon Dog house, no dog, shootout, Chris Paul Walking on the marble floor, take your fucking shoes off Bitch this is fox fur, killing shit, fuck a hearse I can show you my choppa works She give me head, when my head hurt Deep throat, till the bitch burp Her best friend said let me at 'em-Cousin Lurch Smoking on that turf, get your feelings hurt At your neck like a collared shirt, ball like a Nerf Word, more green nigga than smoking pot When I see more, I'm that horror from that little shop Shop, butcher shop, open up your top All you see is gold watch, Rolls Royce, road blocks Sun roof, fogged out, chrome grill, gold mouth Take a fuckin' look around   Bitch I'm all you need Augh, I say fuck them other niggas Fuck them other niggas Bitch I'm all you need Augh, I'm the hottest nigga, all I do is turn up, bitch 500 degrees Augh, I say fuck them other niggas, fuck them other niggas Bitch I'm all you need Augh, I'm the hottest nigga, all I do is turn up, bitch 500 degrees   Thrilla manilla, I buy straight from the dealer I'm politickin' in Paris, I'm buying statues and pillars All from the Louvre nigga, mosaics from the museum You niggas counting per diem, your bitch is in my DM I never read 'em, weak bitch probably get seasick On the yacht eat shrimp, see my name on a blimp It read T-Raww's a pimp Nigga I ain't dancin' but my hand on my hip Full clip, movie shit, Bruce Wayne, Alfred Niggas want a verse, can't even get a ad-lib I'm killing this shit, and I'm killing your mom One verse at a time, the shivers are mine I murdered this shit, just takin' my time Got bars, front gate, face shot, blind date Rolex, timepiece, ain't got no time for no bitch speech 120 that six speed, pull it out that's all me Just call me T-papi   Bitch I'm all you need Augh, I say fuck them other niggas Fuck them other niggas Bitch I'm all you need Augh, I'm the hottest nigga, all I do is turn up, bitch 500 degrees Augh, I say fuck them other niggas, fuck them other niggas Bitch I'm all you need Augh, I'm the hottest nigga, all I do is turn up, bitch 500 degrees   Tunechi over bitches Smokin' color purple, blunt fat as Oprah Winfrey I'm the nigga, the nigga, nigga, the nigga, nigga I be snappin', I hope you get the bigger picture I said fuck that nigga that you fuckin' She say that nigga rap, I say he couldn't wrap a mummy But let me pass the weed, and stop passin' judgement Before I have to beat him like a dick he had it comin' Been eating so much pussy, man I'm starting to get chubby Schoolin' motherfuckers, I'm their favorite subject Broomstick in my pants, I'm 'bout to go witch hunting I'm already loaded, these niggas still bufferin' I fuck my girlfriend and her best friend, these niggas is lesbians Don't cross me like a pedestrian, I'm getting head watching ESPN She holdin' me and carressin' me Don't hate the player, hate the referee If she F with me, I am definitely a necessity   Bitch I'm all you need Augh, I say fuck them other niggas Fuck them other niggas Bitch I'm all you need Augh, I'm the hottest nigga, all I do is turn up, bitch 500 degrees Augh, I say fuck them other niggas, fuck them other niggas Bitch I'm all you need Augh, I'm the hottest nigga, all I do is turn up, bitch 500 degrees",-0.9996,43,11,34,39,8,51,25,38,7,15
