,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/684928,Vance Joy,All I Ever Wanted,https://genius.com/Vance-joy-all-i-ever-wanted-lyrics,http://api.genius.com/songs/684928,Dream Your Life Away,2014-09-05,"I was born on a Saturday My dad he held me screaming in his arms He can talk like it was yesterday When I got that holy water in my eye It's alright, is it just alright  See all those faces coming down Trying not to let them down This time, babe is that alright Well I can still see the sun on the water I can still feel your sunlight  And all I ever wanted was time You know that all I ever wanted was time  And I know that I come on strong Forgive me I just couldn't help myself And I have changed but I'm better now And I see you in this new and perfect light You're so fine, you're oh so fine  See all those faces coming down Trying not to let them down This time, babe is that alright Well I can still see the sun on the water I can still feel your sunlight  And all I I ever wanted was time You know that all I ever wanted was time  Dadadadadadadadada Dadadadadadadadada Dadadadadadadadada Dadadadadadadadada Dadadadadadadadada Dadadadadadadadada Dadadadadadadadada  You know that all I ever wanted was time You know that all I ever wanted was time You know all that we ever really needed was time",0.9756,1,14,1,1,3,1,6,0,2,3
1,/songs/3410968,Vance Joy,Alone With Me,https://genius.com/Vance-joy-alone-with-me-lyrics,http://api.genius.com/songs/3410968,Nation Of Two,2018-02-23," I saw you smile I knew you had spirit Oh won't you let your colors run And isn't it odd, the way we try to tell ourselves we got limits You're beautiful, but you just don't see it sometimes And I don't know why   Oh, you're the shape of my days Oh, you're my holy place And I know   Everything's good Everything's just as it should be When you're alone with me Everything's good Everything's just as it should be When you're alone with me When I fall, I'm fine All I wanted was your time Everything's good Everything's just as it should be When you're alone, alone with me   I'll sit right here, till you start talking I'll wait it out till you come 'round It pays to look up in the big city Everything moves so fast It pays to look up 'Cause you don't know what you might see When you look around   Oh, you're the shape of my days Oh, you're my holy place And I know   Everything's good Everything's just as it should be When you're alone with me Everything's good Everything's just as it should be When we're alone   Here I am, saying things to you I never thought that I'd I would say outside my head Oh, and here we are I'm doing things with you I never thought we'd do I'm seeing into you   Oh, you're the shape of all my days Oh, you're my holy place And I know   Everything's good Everything's just as it should be When you're alone with me Everything's good Everything's just as it should be When you're alone with me When I fall, I'm fine All I wanted was your time Everything's good Everything's just as it should be When you're alone, alone with me You're alone with me, babe You're alone with me You're alone with me, babe You're alone with me You're alone with me, babe You're alone with me You're alone with me, babe You're alone with me",0.3029,0,16,0,0,12,3,22,2,9,14
2,/songs/688402,Vance Joy,Best That I Can,https://genius.com/Vance-joy-best-that-i-can-lyrics,http://api.genius.com/songs/688402,Dream Your Life Away,2014-09-05," Say I don't look much like a lover Doesn't mean that I won't try To set your world on fire every once in awhile We lie on the kitchen floor Hot air rises and it's going to be hot as hell here soon We are going to need some relief   Sick of leaving thing half done, leaving things half said Sick of leaving things half done, leaving things half said   Oh I am I am trying The best that I can I am I am trying   You can keep moving on like you do The road goes as far as the eyes can see I won't stand in your way What's the good in that And the flowers in their bed Their drooping and dying and fading away This weather's no good for growing things   Sick of leaving things half done leaving things half said Sick of leaving things half done leaving things half said   Oh I am I am trying The best that I can I am I am trying The best that I can   Will you keep moving on like you do Will you keep moving on So will you keep moving you on like you do   Oh I am I am trying The best that I can I am I am trying The best that I can I am I am trying The best that I can I am I am trying The best that I can",0.9514,5,3,7,3,3,8,5,7,2,4
3,/songs/3410972,Vance Joy,Bonnie & Clyde,https://genius.com/Vance-joy-bonnie-and-clyde-lyrics,http://api.genius.com/songs/3410972,Nation Of Two,2018-02-23," We came out of the cinema We were rubbing our eyes Our mouths were dry from the sugar and the popcorn And we felt a little guilty About spending that whole sunny day inside The movie we were watching About Bonnie and Clyde They were driving down a backroad They thought they were home free The police knew they were coming They were hiding in the trees And they shot them down One hundred and thirty rounds They shot them down   So we might as well say What's on our minds 'Cause there's no way to know When it's your time to go When it's your time to go   Later we were walking on the streets of Monterey The trees beside the water Reminded you of childhood holidays Hey babe, I know the way To a little stretch of beach Where we could lose ourselves   Don't matter where you've been You jump into the water and you come out clean Don't matter where you've been You jump into this water and you come out clean   So we might as well say What's on our minds 'Cause there's no way to know When it's your time to go When it's your time to go There's no way to know   Don't matter where you've been You jump into the water and you come out clean Don't matter where you've been You jump into this water and you come out clean",0.8554,6,10,3,5,14,4,19,4,7,11
4,/songs/3301645,Vance Joy,Call If You Need Me,https://genius.com/Vance-joy-call-if-you-need-me-lyrics,http://api.genius.com/songs/3301645,Nation Of Two,2018-02-11," I love you in the morning when the blood runs to your cheeks Babe, you are the first thing and the last thing that I'd see I was just a boy striking matches upon your heart I couldn't get no sparks Ask me to go faster, put my foot down to the floor Standing at the edge, I feel like I been here before Loved you in the darkness and I loved you in fluorescent light If it don't feel right, babe   You can run and hide, babe Like a bird, you can take flight If I've been holding on too tight If I've been holding on Mmm, oooh Oooh, oooh, ooooh   Your mother always told us we should go out to the dance You can't get struck by lightning if you're not standing in the rain Take it as the truth or you can take it with a grain of salt If it don't work out You were in the shower we were talking through the glass Packing up your suitcase, you were humming to yourself One day you were smiling I could tell by how you sounded on the phone You said ""I'm coming home, babe""   I'm thinking 'bout coming home, babe I'm thinking 'bout coming home, babe I'm thinking 'bout coming home, babe I'm thinking 'bout coming home Mmm I'm thinking 'bout coming home, babe Mmm I'm thinking 'bout coming home",0.9691,8,8,1,3,4,9,10,2,1,5
5,/songs/3410969,Vance Joy,Crashing Into You,https://genius.com/Vance-joy-crashing-into-you-lyrics,http://api.genius.com/songs/3410969,Nation Of Two,2018-02-23," You were the one to visit my darkness You were the brightest way You dropped a stone into the well We'd wait for the sound it made When it got quiet, you could hear your heart Tell me, what did it say? I was a bird, you opened the cage It felt like a clean white page   You came along You light up my days, my personal sun Showing me all the ways I could fall You made me feel new I'm crashing, I'm crashing right into you Baby, feel me crash I'm crashing, I'm crashing right into you Baby, feel me crash   You came along You light up my days, my personal sun Showing me all the ways I could fall You made me feel new I'm crashing, I'm crashing right into you Baby, feel me crash I'm crashing, I'm crashing right into you Baby, feel me crash",-0.128,2,4,0,5,8,10,10,9,6,6
6,/songs/415337,Vance Joy,Emmylou,https://genius.com/Vance-joy-emmylou-lyrics,http://api.genius.com/songs/415337,God Loves You When You're Dancing EP,2013-03-22," Oh if you're losing sleep Oh if you're losing sleep, scared of shadows See it's just a chair, see the clothes hang there Oh don't go losing sleep, scared of shadows   Oh don't feel bad I never have, since I got you, my Emmylou   You wear your socks to bed You wear your socks to bed, that's what I do Oh c'mon sleepyhead, get yourself to bed Don't go losin', oh, the nighttime   Oh, don't feel bad I never have, since I got you, my Emmylou  You are loved, you are loved, you are loved, you are loved You are loved, you are loved, you are loved, you are loved You are loved, you are loved, you are loved, you are loved You are loved, you are loved, you are loved, you are loved   Oh don't feel bad You are loved, you are loved, you are loved, you are loved I never have You are loved, you are loved, you are loved, you are loved Since I've got you You are loved, you are loved, you are loved, you are loved My Emmylou",0.9988,6,0,3,3,0,8,5,6,0,7
7,/songs/2261648,Vance Joy,Fire And The Flood,https://genius.com/Vance-joy-fire-and-the-flood-lyrics,http://api.genius.com/songs/2261648,Dream Your Life Away,2015-07-24," I was only walking through your neighborhood Saw your light on Honey, in the cold I stood Anywhere I go, there you are Anywhere I go, there you are I've been getting used to waking up with you I've been getting used to waking up here Anywhere I go, there you are Anywhere I go, there you are There you are, there you are, mm   You're the fire and the flood And I always feel you in my blood Everything is fine When your head's resting next to mine, next to mine You're the fire and the flood   Since we met, I feel a lightness in my step You're miles away, but I still feel you Anywhere I go, there you are (anywhere) Anywhere I go, there you are Late at night, when you can't fall asleep I'll be lying right beside you, counting sheep Anywhere I go, there you are (anywhere) Anywhere I go, there you are There you are, there you are   You're the fire and the flood And I always feel you in my blood Everything is fine When your head's resting next to mine, next to mine You're the fire and the flood   ""Now, listen here,"" she said ""Boy, when you know, you'll know"" And I know   You're the fire and the flood And I always feel you in my blood Everything is fine When your head's resting next to mine, next to mine You're the fire and the flood",-0.9393,1,1,2,12,0,5,1,2,0,0
8,/songs/545272,Vance Joy,First Time,https://genius.com/Vance-joy-first-time-lyrics,http://api.genius.com/songs/545272,Dream Your Life Away,2014-08-04,"Come over to my house jump in the neighbor's pool, it felt nice, felt so nice And it was getting dark, you wrapped your long legs around me, I held on tight Lying in my bed the unfamiliar sheets felt so cool on your skin When your daddy called said you were at a friend's And we walked the long way home  Going on, my first impression, I recall you wearing white There was something sweet in the air, babe, that summer night There will always be another time for us to fall in love But it never cuts you quite as deep as that first time You'll find out that the deepest cut is the first time The first times always cut the deepest  Breathe me with your hands Show me a safe place and I'll come down, yeah I'll come down Can you recognize the look upon my face? It's on my lips, it's in my eyes This bar will never break, won't you say it one more time Won't you say my name, won't you say my name This bar will never break, won't you say, say my name  Going on, my first impression, I recall you wearing white There was something sweet in the air, babe, that summer night There will always be another time for us to fall in love But it never cuts you quite as deep as that first time You'll find out that the deepest cut is the first time The first times always cut the deepest  Going on, my first impression, I recall you wearing white There was something sweet in the air, babe, that summer night There will always be another time for us to fall in love But it never cuts you quite as deep as that first time You'll find out that the deepest cut is the first time The first times always cut the deepest",0.9816,1,22,1,0,12,4,18,4,5,10
9,/songs/421425,Vance Joy,From Afar,https://genius.com/Vance-joy-from-afar-lyrics,http://api.genius.com/songs/421425,Dream Your Life Away,2013-01-21," You told me 'boy look the other way' You told me 'boy bite your tongue' Yes that's not the way Yeah that's not the way Ah that's not the way that friends behave Ah that's just not the way that friends behave Oh no, no, no No, no, no, no   You lined me up Across the room Two falling sparks One willing fool And I, I always knew That I would love you from afar   You told me 'boy look the other way' You told me 'boy hide those hands' But I've been living on the crumbs of your love And I'm starving now  And that is just the way that we remain Ah that will be the way that we remain Oh no no no No no no no   You lined me up Across the room Two falling sparks One willing fool And I, I always knew That I would love you from afar You lined me up Across the room Two falling sparks One willing fool And I, I always knew That I would love you from afar  It shouldn't come as a surprise What I'm feeling, what I'm feeling now It shouldn't come as a surprise She got darling hazel eyes  It shouldn't come as a surprise What I'm feeling, what I'm feeling now It shouldn't come as a surprise What I'm feeling, what I'm feeling now It shouldn't come as a surprise What I'm feeling, what I'm feeling now It shouldn't come as a surprise What I'm feeling, what I'm feeling now",-0.7594,10,10,17,17,23,22,23,13,16,13
