,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/153770,Van Halen,5150,https://genius.com/Van-halen-5150-lyrics,http://api.genius.com/songs/153770,5150,1986-03-24," The love line is never straight and narrow Unless your love is tried and true We take a chance with new beginnings Still we try, win or lose Take the highs with the blues   Always one more, you're never satisfied Instead of 'one for all' with you, it's only 'one for me' Oh, when I draw the line and meet you half the way But you don't know what that means  I feel like running politician Just trying to please you all the time I'm giving you my share with no conditions Going wide, running long Feeling lost but not for a long   Always one more, you're never satisfied Instead of 'one for all' with you, it's only 'one for me' Oh, when I draw the line and meet you half the way But you don't know what that means   Always one more, you're never satisfied Instead of 'one for all' with you, it's only 'one for me' Oh, when I draw the line and meet you half the way But you don't know what that means",0.5318,2,5,2,2,8,3,12,4,3,6
1,/songs/153786,Van Halen,A Apolitical Blues,https://genius.com/Van-halen-a-apolitical-blues-lyrics,http://api.genius.com/songs/153786,OU812,1988-05-24,Well my telephone was ringing and They told me it was Chairman Mao Well my telephone was ringing and They told me it was Chairman Mao You got to tell him anything 'cause I just don't want to talk to him now I have a apolitical blues and It's the meanest blues of all I have a apolitical blues and It's the meanest blues of all I don't care if you're John Wayne I just don't want to take no calls No calls,-0.506,0,0,1,0,0,1,6,4,0,5
2,/songs/153810,Van Halen,Aftershock,https://genius.com/Van-halen-aftershock-lyrics,http://api.genius.com/songs/153810,Balance,1995-03-14,"I don't care about the way that ya treated me And I ain't crying 'bout the love I'm paying for No, I ain't bitchin' 'bout the things you been puttin' down here in the street No, I ain't going 'round saying things about you, I can't repeat Hey it ain't gonna change overnight, no And it ain't gonna change without a fight, no Now I ain't saying that I'm never gonna beg you, oh baby come back But right now baby, I don't really wanna see your face yeah, and that's a fact Right now, honey all I know is what I'm feelin' inside Right now, baby I'm alone and I'm swallowing a lot of pride And it ain't gonna change overnight, no And it ain't gonna change without a fight Livin' with the aftershock Why, why, why, I never thought she'd walk But now I'm livin' with the aftershock And it ain't gonna change, it ain't goin' away, no Yeah, she opened up my eyes Seeing what I wanna see She kinda took me by surprise Showed me what I hadn't seen Yeah, yeah Livin' with the aftershock Yeah, yeah livin' with the aftershock My, my, my I guess that I never thought she'd walk Livin' with the aftershock And it ain't going to change, it ain't going away I said it ain't going to change without a fight I'm livin' with the aftershock I'm livin' with the aftershock Never gonna change",0.9569,5,2,0,12,6,7,9,2,2,3
3,/songs/153777,Van Halen,A.F.U. (Naturally Wired),https://genius.com/Van-halen-afu-naturally-wired-lyrics,http://api.genius.com/songs/153777,OU812,1988-05-24,"90 days on the road is what I need When my axe cuts me deep, I let it bleed On the stage, off my strings, down my face And all over me Pumpin' up for the show Feelin' like something's gonna blow S'got me all fired up Yes, I'm all fired up Through the ice into the fire Blowin' steam North and South, East n'West, right n'left I'm always extreme Don't like the middle squeezing me I don't like nothin' in between Yes, I'm all fired up Got me all fired up When the rest have packed it up I'm alive, I'm electric, inspired I, I'm naturally wired Wired, naturally wired Wired, wired I'm naturally wired Naturally wired Wired, naturally wired Wired, naturally wired",-0.4019,0,1,0,1,3,0,6,0,2,5
4,/songs/118087,Van Halen,Ain't Talkin' 'Bout Love,https://genius.com/Van-halen-aint-talkin-bout-love-lyrics,http://api.genius.com/songs/118087,Van Halen,1978-02-10," I heard the news baby All about your disease Yeah, you may have all you want baby But I got somethin' you need. Oh, yeah!   Ain't talkin' 'bout love My love is rotten to the core Ain't talkin' 'bout love Just like I told you before. Yeah, before   You know you're semi-good lookin' And on the streets again Ooh yeah, you think you're really cookin' baby You better find yourself a friend, my friend   Ain't talkin' 'bout love My love is rotten to the core Ain't gonna talk about love Just like I told you before! Before! Uh, before! Uh, before! Before!  (Guitar Solo)   Ain't talkin' 'bout love Babe, it's rotten to the core Ain't talkin' bout love Just like I told you before. Uh, before   I been to the edge And there I stood and looked down You know I lost a lot of friends there baby I got no time to mess around   Mmm, so if you want it, got to bleed for it baby Yeah! Got to, got to bleed, baby Mmm, you got to, got to bleed, baby Hey! Got to, got to bleed baby   Ain't talkin' 'bout love My love is rotten to the core Ain't talkin' 'bout love Just like I told you before! Before! Before!   Ain't talkin' 'bout love Don't wanna talk about love Don't need to talk about love Ain't gonna talk about love No more! No more! Ahhh!   Hey, hey, hey! Hey, hey, hey! Hey, hey, hey! Hey, hey, hey! Hey, hey, hey! Hey, hey, hey! Hey, hey, hey! Hey, hey, hey! Hey, hey, hey!",-0.9967,9,2,2,1,27,11,37,2,1,6
5,/songs/153807,Van Halen,Amsterdam,https://genius.com/Van-halen-amsterdam-lyrics,http://api.genius.com/songs/153807,Balance,1995-03-14,"Looking good through the window Shinin' red and blue light A little thick in the bottom But still lookin' alright, yeah Got a pocket full of money Got me a long night ahead A quick stop in the Bulldog Score me some Panama red, yeah Wham, bam, oh Amsterdam Yea, yea, yea Stone you like nothin' else can Yea, yea, yea Hot damn, roll an Amsterdam Yea, yea, yea If she can't, then nothin' else can Caught a plane outta Moscow Spent one cold night in Berlin It's a long hard way But I'm a'comin', back again, yea Wham, bam, oh Amsterdam Yea, yea, yea Stone you like nothin' else can Yea, yea, yea Yea come on now, roll an Amsterdam Yea, yea, yea If she can't, then nothin' else can Yea, yea, yea Wham, bam, oh Amsterdam Yea, yea, yea Stone you like nothin' else can Yea, yea, yea Hot damn, roll an Amsterdam Yea, yea, yea If she can't, then nothin' else can Yea, yea, yea Wham, bam, oh Amsterdam Yea, yea, yea You don't have to worry about the man Yea, yea, yea Hot damn, burn an Amsterdam yea Yea, yea, yea Stone me like nothin' else can Yea, yea, yea",0.8781,11,6,3,1,3,11,7,3,3,3
6,/songs/151786,Van Halen,And The Cradle Will Rock,https://genius.com/Van-halen-and-the-cradle-will-rock-lyrics,http://api.genius.com/songs/151786,Women and Children First,1980-03-26,"Well, they say it's kinda fright'nin' how this younger generation swings You know, it's more than just some new sensation Well, the kid is into losin' sleep and he don't come home for half the week You know, it's more than just an aggravation  And the cradle will rock Yes, the cradle will rock And I say, rock on! Rock on!  And when some local kid gets down, they try and drum him out of town They say, ""You coulda least faked it, boy."" At an early age he hits the street and winds up tied with who he meets, and he's unemployed  And the cradle will rock Yeah, the cradle will rock And I say, rock on! Rock on!  Have you seen Junior's grades?  And when some local kid gets down, they try and drum him out of town They say, ""You coulda least faked it, boy."" Faked it, boy At an early age he hits the street and winds up tied with who he meets, and he's unemployed His folks are overjoyed  And the cradle will rock Yeah, the cradle will rock And I say, rock on! Rock on! Rock on! Rock on!",0.9345,3,6,4,3,7,9,23,2,1,7
7,/songs/151597,Van Halen,Atomic Punk,https://genius.com/Van-halen-atomic-punk-lyrics,http://api.genius.com/songs/151597,Van Halen,1978-02-10," I am a victim of the science age, uh A child of the storm, whoa yes I can't remember when I was your age For me, it says no more, no more   Nobody rules these streets at night like me The atomic punk!   Whoa yeah, wow I am the ruler of these nether worlds The underground, whoa yes On every wall and place my fearsome name is heard Just look around, whoa yes   Nobody rules these streets at night like me The atomic punk!   (Ooo, Ahhh)   I am the ruler of these nether worlds The underground, oh, oh On every wall and place my fearsome name is heard Look around, whoa yeah   Nobody rules these streets at night like me, nobody, ah The atomic punk",0.9097,4,1,0,6,1,4,1,3,0,3
8,/songs/157471,Van Halen,Ballot or the Bullet,https://genius.com/Van-halen-ballot-or-the-bullet-lyrics,http://api.genius.com/songs/157471,Van Halen III,1998-03-17," Give me liberty or give me death No truer words have ever been said Well are you prepared for your very last breath? Don't you dare start what you cannot finish  So when we face, face the adversary No longer are we the minority  And when history repeats her hour The pendulum will swing, swing into power Though not in vain like our forefathers Freedom, never had no room for cowards  For in the end, there will be equality By any means necessary   The ballot or the bullet The choice is up to you The ballot or the bullet Tell me what you gonna do The sword or the pen Can be held by the same hand  What's it gonna take to liberate? An emancipation, a false proclamation? All these token words that you legislate Sound a little bit absurd. Hey! And a little too late  When a house is divided, it just will not stand Once it's decided, a line drawn in the sand    The ballot or the bullet The choice is up to you The ballot or the bullet Tell me what you gonna do   The ballot or the bullet The choice is up to you The ballot or the bullet Tell me what you gonna do The sword or the pen can be The sword or the pen can be The sword or the pen can be The sword or the pen can be The sword or the pen can be Held, held by the same hand!",0.9278,3,13,2,2,5,6,18,3,3,15
9,/songs/151740,Van Halen,Beautiful Girls,https://genius.com/Van-halen-beautiful-girls-lyrics,http://api.genius.com/songs/151740,Van Halen II,1979-03-23,"She was seaside sittin', just a smokin' and a drinkin' on ringside, on top of the world, oh, yeah She had her drink in her hand; she had her toes in the sand and whoa, what a beautiful girl, ah, yeah What a sweet talkin' honey with a little bit of money can turn your head around Creatures from the sea with the look to me like she'd like to fool around What a snappy little mammy. Gonna keep her pappy happy and accompany me to the ends of the earth, ah, yeah Here I am, ain't no man of the world, no All I need is a beautiful girl Ah, yeah! Beautiful girls Well, I'm a bum in the sun and I'm having fun And I know you know I got no special plans All the bills are paid. I got it made in the shade, and all I nee, nee, need is the woman What a sweet talkin' honey with a little bit of money can turn your head around Creatures from the sea with the looks to me like she'd like to fool around Here I am, ain't no man of the world, no All I need is a beautiful girl Ah, yeah! Beautiful girls Now, I'm a seaside sittin', just a smokin' and a drinkin'; I'm ringside, on top of the world I got a drink in my hand; I got my toes in the sand All I need is a beautiful girl Here I am, ain't no man of the world, no All I need is a beautiful girl Ah, yeah! Beautiful girls Ah, yeah! Beautiful girls ",0.998,2,10,5,2,17,5,23,1,5,8
