,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/49161,Wale,100 Hunnit,https://genius.com/Wale-100-hunnit-lyrics,http://api.genius.com/songs/49161,None,2011-04-14," I promised Ricky and Milly that I’ma kill it Runnin' throughout them digits and dollars homie I'm Emmitt I’m runnin' I’m so 100 with every nigga I run with Tell them niggas we coming We fuckin' it up this summer   And I’m stuntin' like it ain’t nothin' Most of these niggas frontin' I pull this Rollie from trappin' I got this Beamer from nothin' If they ain’t talking bout paper Just tell them end of discussion And now that I’m getting money My neighbors turn to my cousins   Gold bottles, lot of bitches Deep thinker, I’m sorry you're such a shallow nigga The mind on me just shine on them, you shadow women Ridin' with rats you niggas should be in glass slippers   Ha, and I don’t never ask the price on it Married to the money hater, throw some rice on it I told my jeweler get my Muller, throw some ice on it I treat that pussy like its Tina, I go Ike on it Beat it up, I’m getting heated up When I say I’m high, I ain’t talking weeded up   Bitch I’m talkin' G5, Teterboro, feet is up Beaverton my sneaker game although I never be with ducks Me and Meek, treein' up   He lying I’m on papers But when I knock this shit off, I'mma go and buy some Laker shit I’m talking bout that Cali kush, We get work and Bally push Two bad bitches in the back, they pretty everybody look  (Wale) Bitch I’m hot as Wasabi in Abu Dhabi In a sauna with some models, who treat it like edemame I ain’t thugging, I ain’t robbing, I’m puffing on my broccoli Doing 100 in a bucket, do like 20 in a ‘rari  (Meek Mill) And I’m back on this shit again, Pressie blue like Michigan I put on for my city I should ball with Vick and them When I get my V12, I’ma be in Six of them Riding round with Lou, me, and your sister, and your sister’s friend  (Wale) Hold up Got the fridgedest temperature on my wrist again Shiny shit to niggas is like givin' children Ritalin Bamma's sittin' in the pen, see you in a minute yo And them haters went away as soon as I left Interscope  (Meek Mill) Big money, I’m talking bad hoes You niggas full of shit, fucking assholes I’m in this presidential suite, I’m in my bathrobe Counting 100 grand I pulled it from my last show Shitting on them, something I ain’t mean to do These hoes do anything, our wish is like a genie do A nigga buy a point, here take the nina too I get a chick to come and serve you like Serena do   I think its genius leanin' will do when you in a groove Stuntin', I’m in the sixth I call that shit that middle school High as shit, I’m in a booth Denver Nugget number 2s And I don’t gotta front, I play these niggas like a wisdom tooth This is where the Wizards play, this is where them bitches play We'd have you fallin' and now you scrapin' from that Kemba shake On the day a hater treat a nigga like he fake That'd be the day his label treat him like a signal fade   And I’m ballin' bitch I’m ballin' bitch Me, Wale, so hard - as shit Get your budget money back, fire all your artists-es We be burnin' everything, they label us as arsonists If I ain't middle of the track, I'm 106 and Parkin' it Bitch",-0.9972,31,16,25,17,11,31,24,19,9,21
1,/songs/55440,Wale,2 A Days Make You Stronger,https://genius.com/Wale-2-a-days-make-you-stronger-lyrics,http://api.genius.com/songs/55440,None,2009-12-20," So yeah like I'm not really like worried about fucking up or you know what I'm sayin' The plight of a rapper or whatever Or the trials of tribulations Cause you know, aside from me strugglin' or coming up in one of the most Fucked up, hating ass areas in the world I played football for twelve years you know And anybody who plays sports, you know you got politics And you got all the other bullshit So I'mma talk about a little bit of that And I'mma stop rappin' and start rappin' now So drop the slam and let's get sick   Halfback toss to right Yeah the coach used to say I was awesome, right O.D. was in the weight room all his life But I was more self concerned with the broads in life On to college, Im always on the yard like farmers Never in class Dorm room hoppin' if workouts optional Im not rockin' I can run an option best in my conference Look at my accomplishments, I'm all county You double A niggas should be lucky y'all signed me Lucky y'all found me, lucky y'all stole me I could be with Bowden, I could be with Friedgen Two a day curfews, where's my Freedom? School ain't even start yet, there ain't not freaks here Might as well prepare Season opener, finna be there When the depth chart came, there was no me there I mean me is there, but it's like three there Which made me have to wait like leap year Cause I ain't really lift weights, I didn't need them I run a 4.4, so they won't catch me there Knocking on my coach door like a missionary Playbook like a Oxford dictionary Attitude that was not really felling And he put me on ice, I was Oksana literally I keep talking, I keep talking My scholarship won't straight like Rodman So Im walking Fuck it, Im leaving VSU next season Peace   I need you right now I need you right now You know how long I've been on ya Since Prince was on Apollonia Since O.J. had Isotoners Don't act like I never told ya   They say, Trojans never break but it ain't that For God sake, you can call coach Faison I've seen dreams turn dust, cause he made them Cause he played them, when he ain't played them I've seen niggas loose cool, niggas leave school And back to the block with nothing better to do VSU don't regret you Just regret the fact that I left too soon I got kicked off, I used to shit talk Excuse my complaint, but I got to get it off Hey Mr. coach, I don't like you You don't me, that don't mean I gotta move You see the way I move, I am in another gear You can ask Los, I was like a young Gale My coach ain't care, so I ain't care He ain't even respect the name, he said Whale So I said yeah, and he was like yeah You fumbled in a drill, young man get on the hill So Im like fuck it, Im out get on your head Such Karma, next year they 4-6 A few niggas stay, a lot of niggas quit And now I only listen to this hip-hop shit A few niggas stay, a lot of niggas quit Man fuck this shit   I need you right now I need you right now You know how long I've been on ya Since Prince was on Apollonia Since O.J. had Isotoners Don't act like I never told ya   I go, in when I start putting words out Words sharp like a Jerry Rice curl route Im moonshine, y'all merlot I got on, and I gotta thank Marlon Thank Kenny Burns, though we not talking But my squad like the 72' Dolphins Climate Shula, my flow Csonka Im so Bonkas, Im not conscious They are not confident when Im talking Make them more insecure when they caught one He tried tossing to Andre Johnson Now Im getting compliments on how charming I am And Im way out London, way out conscious Y'all never seen Exclusives, y'all never seen They wait on my return, I am Vai Sikahema Write it in my leisure, I rather go shopping Gucci & Nike, that’s what I call an option Um Tom Frazier, new LeBron haters Got you niggas all over my bars just like Frasier I've become immune to you no name haters They can not pause like Ryu on Sega I get inspired about your make up You no good like a stripper with a ""A"" cup Young Arrington, coming for you Aikman Aye Jay, 8 grand skins gonna take that Aye Bo, 10 stacks on the Patriots Aye Rich, another 5 on the G Men Another 5, Eli won't even be there No Strahan, y'all need to rebuild Back to you homo spittin so, so You can't kick it like Romo hold for ya No more for the broke I am more so A first rounder, y'all don't want a Russell I must go like fly route My tires align with the play, but the times out Yeah hail Mary full of grace I swear these off rhyme bums are full of hate Young Peyton don't huddle, still run my play Still run that break, still get my ring, still run my shit And it ain't no thing, you in Dungy's dungeon So get that straight, yeah get that straight Ain't nothing to Peyton I am Marvin with mind, but I listen to Wayne And I listen to 'Ye Still listen to Big And I listen to Jay They are the coaches in this And I listen to thought And I listen to Common We have nothing in Common The shit that I spit is more",0.99,12,27,12,11,23,30,58,14,20,39
2,/songs/3955550,Wale,3 Days 3 Hours,https://genius.com/Wale-3-days-3-hours-lyrics,http://api.genius.com/songs/3955550,Free Lunch - EP,2018-09-14," Can't be without you, baby Not even for a night And so I've been thinking lately Of being with you for all time   Mmm, it's four-thirty in Eastern time where I'm at, shorty In the A.M., I'm sayin' though, where you at, shorty? I'm happy without you but got my doubts, shorty Like, like if my currency dry out, would you be out thirsty? Would your mind want me, like your soul want me? When I go down on you, I drown for quarter centuries You a whole globe, you a whole earth And I'm a troubled millionaire that fears you know your worth Absence makes the heart grow fonder so we ponder On the things we gon' do when distance ain't a problem Our intentions, they was honest, we was cordial, we was talkin' We was hidin', there was no one, we was lyin', it was fuckin' Foreplay with your body divided now It's forehead kisses before my flight departed, that Showed me the feelings, about to play with that Three days away, three hours back, hold on   Can't be without you, baby Ain't got no voice Where my phone? Who got my phone? You got my phone? She called me, hold on man (You have reach the voicemail box) Hol' up   Just got off the stage, know you sleepin', but wait Just lost my voice for this crowd I only seen your face in Everywhere, but these women real as a fairy tale Can barely talk but you hit my line, I'ma hear you well I need that vibe from you 'cause spendin' time on this bus Take the power from my brain, in-between your thighs they should rest We alive, we in love, we can die if we don't If monogamy you want then share your time with Pornhub (ha!) I'm just playin', just need you know I'm lonely Green Tea, Ricola and Honey Gold We missin' each other more so we horny or don't speak Three hours apart, cool, two days and you seein' me My vocals is now shot, call up doctor, steroid me We cortisone 'til my quarter zone is back as your toy please I know you don't need nothin' but what I got Two days away, three hours back, goodnight   (Can't be without you, baby) We one tomorrow away from celebratin' that that very tomorrow's the day (Not even for a night) I know it's late but I'ma hit you later (And so I been thinking lately of being with you for all time)   I'm on the way, you know Once you know my voice back 'Cause see like a hunnid forevers plus a day since I last seen the livin' embodiment of my forever Face to face and I might just inject your body with knowledge Your body with style, you'll be flyer than Rox Brown Okay, I'm lyin', nobody flyin' than Rox But I might just get in a half squat position and proposition you with a shiny rock under an open box So the onlookers can understand that we all official We all just kids lookin' for the first love we ever injected So whenever I'm never next to you, I never look to the next woman even on her best moment to bestowed A stove you kept warm for me, as I kept distance you kept cookin' Sugar, we went from three days and three hours 'til we two days and three hours to, ""girl he think he Darius Lovehall, he walkin' down the street writin' poetry to make the between yo' knees feel like you need balance"" And I see you alot but I see you on camera so it seem like a lie when I say I need to see us together From three days to two days, from two days to today From today to tonight, from tonight to forever, I'm up the street",0.9932,8,14,4,10,13,17,30,13,3,15
3,/songs/49021,Wale,4 AM,https://genius.com/Wale-4-am-lyrics,http://api.genius.com/songs/49021,"Live from the DMV, Vol. 2",2011-04-07," Welcome to paradise Paper planes, long flights   Destinies fulfilled off the filling from the pillow talking How you killing my highs I hope you built the coffin I got virgin lungs please excuse the coughin' Think I’m bout to blow, they call me George from Boston Respect is never given so I confiscate it Get acquainted with mine, I get em acclimated Cherry red dice I’m a gambling man I’m never thinking twice Had to escape the life This ain’t for all and every people, don’t compare me to rappers I’m trying to be like The Beatles Give me some soul money, niggas is gassed up Tell them to keep it running, I’m keeping the grass cut No snakes, royalty hating niggas don’t get no pussy So it’s more for me, she invited me in her mouth You know it’s cordially we throwin’ racks, she said please don’t torture me All my niggas is winning, shout out to Charlie Sheen I spitting bars the metronome the money machine A money machine, of course I’m trying to Be the king, that was part of my dream And Wale told me fuck y'all, so we fuck y'all, we don’t love yall Loud P.O.T. above y’all, patron at 4 am, fuck the last call The way your heard of that, the way yo heard of y’all   Thugging, Heartless and mean mugging For when niggas don’t see their seeds till they see the judges Dark side of town, baby mama blues When drama ensues niggas Ndamukong Suh All lying ass defensive ass boys Why you knock that bitch up if you can’t tend it out boy? I’m attentive my opinion is monumental I’m here forever, these other niggas scribble in pencil Got indelible colors, only local they’re buzzing I’m at Dulles with luggage fly straight to the money And you don’t understand my slang my colloquial’s lovely So they quote me and love me like I’m a poet or something Ho I kick it, I punt it like Reggie Roby or something Shady bitches offend me, Reggie smokers disgust me Make the least of you haters, make the most of your money Have that consistent drive long as your motor’s running I used to heat up mama house by opening ovens Now mama see that shit on Oprah and know that it’s coming That’s real shit, it’s bigger than rap My nigga Co-Bizzy Virginia is back I light up my spliff take a sip of my yack Thinking back of when the city weren’t thinking of rap They weren’t thinking of Ralph, they weren’t giving a fuck Now everywhere I go they be giving it up I seen it all from Barry Farms to Sursum Corda They had that rock in Lincoln Park that’s word to Mike Shinoda Shout out to captain Ginnny and free my nigga Ricky We always pray for polo, we miss you little Benny We skip college, chase dollars and black pennies Not in the kingdom of Zamunda but it’s mad semi’s Where bad bitches with bad intentions just act friendly This where they love you then they hate you, go and ask Fenty Yeah, go and ask Fenty They love you then they hate you, go and ask Fenty Go and ask Fenty, hating ass nigga, sweeter than a simply Who got the juice nigga? Juice nigga Juice nigga Work, work, work, work, work",-0.9897,27,20,18,16,16,35,38,20,14,25
4,/songs/55443,Wale,5 Minutes,https://genius.com/Wale-5-minutes-lyrics,http://api.genius.com/songs/55443,Back to the Feature,2008-10-10," This is only for the hip-hop lovers You want that bullshit - turn the radio on Skyzoo, Wale   The one and only, homey still Thelonius with it The only one spittin' like no one else livin' No one that's breathin' is seen as an equal Could breathe on the mic and give it epileptic seizures They turn narcoleptic when them niggas start speakin' Ridin' in that ES with my Nefertiti queen And eyes low, pardon me, hah We smoke the kind of green that turn the Simpsons Bruce Lee on Hi-Ya, the higher part of my hierarchy My mind potent like you high off keys or something Shit, we don't believe none of them Motherfucker, your career is a conundrum And none drum, iller than Ninth Wonder IV, no I can sell like mitochondria I'm out the country, I'm jet lagging They can't see me, I'm like the team that brought Brett back And I'm man-genie, flyer than the rest of them Wale Ovechkin Fuckin' with that ice, them Landover niggas check ya Check one-two, the mic is my weaponry Lyrically or physically, step to me, you rest in peace Watch what I do to beats, I don't need no jewelery I was underground but wasn't trying to renew the lease Yeah, hello mainstream, I'm a walking dollar bill ain't a damn thing changed   I got mine while the rest of ya'lls was still looking I'm top five, but no begging, dawg, I for real took it So how they grilling me is literally just serenity Literally, if you say you feeling me, then you feel Brooklyn  And I don't do colorful jeans or shiny kicks My shoe game is Penny in ninety-six I move aim, hit 'em and final flip Whether it's a beat or a scam I gave ya'll wizardry with my hands I made ya'll want to be what I am And as far as your fades I raised them all underneath where I stand I'm pushing it for the corner Keeping them on the hip And, yup, I gave lyrics a reason to want to live Fresh off the plane, Hong Kong, Beijing Felt like I was home, the groupie love was the same I'm Kobe in an orange jersey And wrote this from 4:25 to 4:30, hah   Okay   Yeah, I mean, I literally wrote that from 4:25 to 4:30   That's about five minutes, guy   For real They call me, S-K-Y-Z-O-O   And I'm Wale Folarin, was raised on go-go They style is so-so, my Louis from So-Ho Hoping that hip-hop can surface and go-go again They go major, the flow is no longer So everything retro come across so corny Everything from Bradfords to gimmick spitters To every nigga who rap and say, 'My shit's different!' So get with us or lose like them niggas Spent more on these kicks than Pac-Man spent on strippers  Haha! This just the beginning of the, uh, you know, the whole process of this Back to the Feature mixtape DC whatup? BK whatup? PG whatup? MoCo whatup?  Let me do some shoutouts Mo betta - what up? UCB - what up? Hey Sycamore, whatup? You ain't' doing shit til you put 10 gees on fantasy football That's when you know you doing shit Yeah, bitch",0.9798,12,10,9,5,8,16,24,4,2,13
5,/songs/6296,Wale,600 Benz,https://genius.com/Wale-600-benz-lyrics,http://api.genius.com/songs/6296,Self Made Volume 1 ,2011-05-23," Why not live with the drive to aspire? My ambition is flawless, this is gorgeous This is Porsches, but this about the Benz, ya dig? Pass me the lighter, Bro-zay, I need a J (Maybach Music) I appreciate the opportunity, something special, my nigga   600 Benz, house six hundred grand That was six years ago, whips come from Japan I get that work from my face I get that work from my face, ay Boy, 600 Benz, condo six hundred grand I got twelve hundred kicks, them bitches straight from Japan My ambition is wicked, I put that shit on my hand I get that work from my face (I put that shit on my man, boy)   Wale, real nigga, where the totem, blowin' bomb haze I just tell CJ keep on rollin’, that's my shorty Tinted out, you ain't seeing through All black everything, this shit like a HBCU Maybach Music, major moves, bitch I’m saving major loot I make my old bitch buy me all the latest shoes One whip just ain't enough, I just seen 33 You only half a W without a second V Gotta be dreamin, bitch I gotta be chosen Shawty when I was 20 I had a Camry and tokens But now I’m okay, bitch I got my shit together Rozay told me keep on working, shawty you’ll be rich forever Ever, forever my endeavors And I sever my opponents, bitch I’m cold like it's in Denver The dilemma is, you think I got no conscience You think I'm just here flossing on raw shit about car shit   600 Benz, house six hundred grand That was six years ago, whips come from Japan I get that work from my face I get that work from my face, ay Boy, 600 Benz, condo six hundred grand I got twelve hundred kicks, them bitches straight from Japan My ambition is wicked, I put that shit on my hand I get that work from my face (I put that shit on my man, boy)   Dependin' on how I feel, either the coupe or sedan I’m only dealin' with you, nothin' to do with your man Niggas'll ruin your plans, it’s best to do what you can I’m up to six hundred bricks, started with two hundred grams Hand to hand in the cold, pockets on hella swole I was breakin' ‘em down, now I’m sellin' ‘em whole Work straight out the kitchen, ain't no competition You just shut up and listen and you can complete the mission Know you want me to fall, I don’t do nothing but ball You heard I was in jail, well I just came from the mall I’m on my way to the jeweler bout to cop me a Muller Keep the digital ruler at arm's length of the Ruger Life’s a bitch and I feel her, ain't nobody iller Perico Godzilla, catch me blowing vanillas Used to be blood money, now it’s go hard scrilla After I count it all up, I’ma go to the dealer and get a   600 Benz, house six hundred grand That was six years ago, whips come from Japan I get that work from my face I get that work from my face, ay Boy, 600 Benz, condo six hundred grand I got twelve hundred kicks, them bitches straight from Japan My ambition is wicked, I put that shit on my hand I get that work from my face (I put that shit on my man, boy)   Skrrt! Hope you heard that intro This that I been grindin' cause I’ve been savin' for that Benz flow To mash on assholes with petty badges Tell em niggas we throwed, but they never gon catch us If I am pulled over, I know they gon be on it Cause it’s hot in here and I got no L like the ’72 Dolphins Wooo! Race my niggas And I bet you never pass me like a free safety I’m Polamalu, 600 the newest model My newest motto to use a condom with newest models Uhh, got a hundred on the dash, young Y'all in't killers, y'all got hundred yard dash guns I’m a rare one, camo’s and some rare ones Where I'm from is a circus hope you don’t expect a fair one Dropping hundreds like it ain't nothin' Really it was but you know I never sayin’ nothin'   600 Benz, house six hundred grand That was six years ago, whips come from Japan I get that work from my face I get that work from my face, ay Boy, 600 Benz, condo six hundred grand I got twelve hundred kicks, them bitches straight from Japan My ambition is wicked, I put that shit on my hand I get that work from my face (I put that shit on my man, boy)",-0.9909,38,16,32,21,15,59,35,17,9,17
6,/songs/171451,Wale,88,https://genius.com/Wale-88-lyrics,http://api.genius.com/songs/171451,The Gifted,2013-06-25," Got this thing in my mind, about being great Or attempting to be   Yeah, so it's on me So it's on me, so it's on me I copped threes for the whole team So it's on me I copped threes for the whole team Now we at the top, MJ, 88 And I ain't ever gonna stop   Carolina blue kicks Hottest nigga on your block I ain't J.R. Rider but them wolves coming for my spot From the percentage of youngins winning without no college I'm in my Laneys but nothing JV about this balling I lost my deal, got with Will he seen a nigga genius My rapping skills is on Chapel Hill but you ain't see it Eyes low, pyro Grape swisher, my 5's on My opposition decline slow My J's straight out of China like baby Cairo Shout out to Tyga but my squad Balenciaga One of the rarest in flyest niggas to rep the chocolate It was all a dream, it was all a dream Never Michael Jeffrey in 17s, I'm staying with my team No bullshit loyalty rare And don't worry 'bout it shawty we here   So it's on me, I got threes for the whole team Now we at the top,  MJ, '88, and I ain't ever comin' down Work, so it's on me,  I copped threes for the whole team Now we at the top, MJ, '88 and I ain't ever comin' down Work, and the people say, and the people say   Groupies everywhere, I'm mentally prepared I got a black and red joint, I bet they thinking bred They tryna see me fail, just know my thinking and my sneakers rare Get that Chi-Town love, I'm in Leaders gear Bet they got they pom-poms up soon as I see O'Hare Seven I make a damn movie fooly I been the dookie, these rappers is Sam Bowie to me I was a Bowie student, it wasn't really nothing That's why I kicked it and blew grass like Boise punter This is no Space Jam, I'm out the globe stunting I'm a one-man band, I prolly Jordan 1 em And all my singles golden I will not forfeit, this my defining moment you know 7-Eleven, yea I got 'em open 11 pair of 7s, they touching my rap touring It was all a dream, it was all a dream And when I'm 45, do it like I'm 23 And premature, tell me I'm wrong if a nigga swing I feel it jack I was just waiting 'til the sixth ring   So it's on me, I got threes for the whole team Now we at the top,  MJ, '88, and I ain't ever comin' down Work, so it's on me,  I copped threes for the whole team Now we at the top, MJ, '88 and I ain't ever comin' down Work, and the people say, and the people say",0.9778,7,11,2,1,5,10,18,6,4,19
7,/songs/894,Wale,90210,https://genius.com/Wale-90210-lyrics,http://api.genius.com/songs/894,Attention Deficit,2009-11-10," And she throws up whatever she eats She leave the bathroom with a nosebleed Regular girl, celebrity dreams She is 90210 She live her whole life like TV And she would do anything for everything Regular girl, celebrity dreams She is 90210   Ms. Rodeo, tell me where your day go Part-time waitress, she really want to make it In the ""City of Lights"", it's hard to see clear She don't really care about anyone advice And nothing here's real, and everyone's alike Cause everyone dreams of the millionaire's life She barely eats at all, if she do she eats light Indulging a meal when a toilet's insight Expose those fries, can't hold those down To read for Seven Pounds, you must release several pounds This is Heaven on Hell This is how she want to live But she ain't really tripping, she's on Beverly Hills   And she throws up whatever she eats She leave the bathroom with a nosebleed Regular girl, celebrity dreams She is 90210 She live her whole life like TV And she would do anything for everything Regular girl, celebrity dreams She is 90210   Just another day out in Beverly Hills She sing, model, and dance, but can't sit still Believing the screens or anything there But reality shows ain't real So pretentious with no potential She goes to catch up, although her rent's up In her defense she a part of the crowd She going to borrow some money So she can party at Chows It's apart of her goal It's all she knows Graduated from Rosé, addicted to blow Addicted to stardom, a wish to blow So she kisses the stars And she gives them a blow After every show, a dream she hold Inhibitions is gone, she just want to be known She want to be know, she just want to be known Pulling down her skirt ""I never done this before"" Nah   And she throws up whatever she eats She leave the bathroom with a nosebleed Regular girl, celebrity dreams She is 90210 She live her whole life like TV And she would do anything for everything Regular girl, celebrity dreams She is 90210   You know big-breast girls Never ever pay rent They meet them rich boys Throw D's on that bitch Lease on the whip Beach on the weekend Hotel suite, room keys is a gift Dream of the fame or a ring on her finger Now you just a whore to the known entertainers Word spreads fast that your knees spread quick The sun's always out But it's clouds over here Look, cocaine addiction, apartment eviction To add to the list of Beverly Hills victims Hold on you can see my vision Next time you look down on a nigga   And she throws up whatever she eats She leave the bathroom with a nosebleed Regular girl, celebrity dreams She is 90210 She live her whole life like TV And she would do anything for everything Regular girl, celebrity dreams She is 90210",0.9938,18,20,14,6,17,25,25,11,17,22
8,/songs/50972,Wale,911,https://genius.com/Wale-911-lyrics,http://api.genius.com/songs/50972,None,2010-12-21," Shawty gotta problem It's ok 911 I'm on, im on tha way I know what it take Grab you by tha waist I'ma lay it down and have myself a taste I'ma slow it down, down, down I'ma speed it up, up, up And we gon roll around,round,round And I'ma beat it up, up, up   I'm, I'm on tha way I'm on tha way 911, 911 I'm, I'm on tha way I'm on tha way 911, 911   Ohhhhhhh, couple diva's standin on tha couch We out standing while you mother fuckers standing out And to be honest I don’t know what niggas talkin bout We trying to run the city, you niggas run your mouth I gotta little clout DMV they know me well Bitch got all them booty shots That’s what I call a fairy tale You give bitches tiffany I give bitches dick and leave You be in they call log I delete they history When you talkin illest rapper How you not gon mention me Ballin, them box scores, and yall shit be dnp Lobsters and shrimp im good Cocktail to get my bizz Apollo to these broads Rub the wood and ima show em love   Shawty gotta problem It's ok 911 I'm on, im on tha way I know what it take Grab you by tha waist I'ma lay it down and have myself a taste I'ma slow it down, down, down I'ma speed it up, up, up And we gon roll around,round,round And I'ma beat it up, up, up   I'm, I'm on tha way I'm on tha way 911, 911 I'm, I'm on tha way I'm on tha way 911, 911   Look look uh I'm tryin' to get this whole place jumpin Be as your way Gotta make a way ta skate wit us I told her move somethin' I said shake somethin' She told me erything is real I jus be lace frontin' Weaved up, fly shit, sleeved up High shit im treed up Lookin Vietnamese up Hate it when I leave And she say she can't live witout it Ok I hear you talkin Now moneys talkin louder Standin on a table This motha fucka crowed KOD wit bijie And bijies like im out and She love me She like that I make her cum a lot She always comin back   Shawty gotta problem It's ok 911 I'm on, im on tha way I know what it take Grab you by tha waist I'ma lay it down and have myself a taste I'ma slow it down, down, down I'ma speed it up, up, up And we gon roll around,round,round And I'ma beat it up, up, up   I'm, I'm on tha way I'm on tha way 911, 911 I'm, I'm on tha way I'm on tha way 911, 911",-0.9628,15,4,8,10,7,19,15,14,7,8
9,/songs/53813,Wale,Acapella,https://genius.com/Wale-acapella-lyrics,http://api.genius.com/songs/53813,None,2011-08-07,"I said my name Wale, if you don't know me You better read a book or something, this is D.C By way of PG, we call that DMV This song about you, then you probably need to leave Pew! Diggity- go girl, you need to go for it Jordan 4s won't find me in no loafers Hold up, Maryland, I am so tour I've been so thorough, that's what I boast for I know you thinking, ""I ain't gotta go there"" You sitting at the bar wearing Barbaro's hair Yeah, that ain't you love, you can't fool love Blue eyes but she blacker than Kunta We don't believe you, you need more people You need more grease in your hair, so they weaves you Shake your hair like them track ain't coming out Bartender, no ice, bring another shot And I ain't tryna be trife when I call 'em out I just call it like I see, know what I'm talking 'bout?  I gotta tell you right now As much as I wanna leave I gotta know if it's real or not Ain't nothing fake about me So if you wanna leave I gotta know if it's real or not Is it real or not?",0.4877,2,2,1,1,2,9,8,5,4,6
