,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/3221317,WALK THE MOON,All I Want,https://genius.com/Walk-the-moon-all-i-want-lyrics,http://api.genius.com/songs/3221317,What If Nothing,2017-11-10," Pull me up off of the pavement Dilated eyes in the blue sunrise, no! That can't be me — I must be mistaken I've been an angel my whole life How well do you know yourself? How clear without the mirror of someone else 'Cause sometimes my shadow gets the best of me A black black so pitch that I cannot breathe And I cannot speak, and I cannot hide But I guess you can't be free of what you keep inside, well-- How well do you know your limits? The deeper the dream the longer you’re in it   Maybe if I had a little more money Maybe if I had a little more sex Maybe with a little more peace and quiet Maybe I could make a little more sense of it   All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want   The river of cars keeps flowing All I can see is what’s right in front of me This isn’t where I thought I was going This isn’t who I thought I would be Met a man in the cab today Moved here from across the ocean someplace Where his family waits, but he’s all alone To drive a cab all day and send it all back home I would have felt bad but he flashed his eyes And I could hear the joy in his voice. It was like There was nowhere in the world that he’d rather be Than here, in a cab, driving me   Maybe if I went out less on the weekend Maybe if I just didn't exist Maybe if I was straight, maybe if I was vegan Maybe if I still had you to kiss   All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want  I am my own sanctuary I am my own hero I am my own teacher I am my own best friend I am my own Friday night I am my own love of my life I am my own way out I am my own sanctuary I am my own sanctuary   Maybe if I had a little more money Maybe if I had a little more sex Maybe with a little more peace and quiet Maybe I could make a little more sense of it   All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want, all that I want All that I want A little more sense of it All that I want",0.9975,3,15,1,3,15,5,25,6,6,14
1,/songs/3250877,WALK THE MOON,All Night,https://genius.com/Walk-the-moon-all-night-lyrics,http://api.genius.com/songs/3250877,What If Nothing,2017-11-10," Things are changing Around me but I I feel the same inside  Getting older Not getting wiser It's got me up all night  That everybody Wants the same things At the same damn time  Running in circles Hunting hunters Hurry up and wait in line   I just want to meet somebody   All night, all night It's a wild life, and I'm looking for a ride home All night, all night It's a wild life, and I'm looking for a ride home   Long hours 'Till the sun sets And then I call my friends  Wash the dirt off Button your shirt up Do it all over again  Can you tell me Is it really worth it To stick it out in line?  How will I answer When I look back How did I spend my time?   I just want to meet somebody  Are you the one who will take me there? Are you the one who will treat me right? I'm not afraid of your blue-est flame Been burnt before but I'm roaring inside",0.6561,3,9,4,4,3,10,4,4,4,3
2,/songs/2872934,WALK THE MOON,Angeline,https://genius.com/Walk-the-moon-angeline-lyrics,http://api.genius.com/songs/2872934,The Anthem EP,2008-03-06," Do you know, no you don't know do you What you're doing to him, what you're doing to him? You say anything just to keep it coming to you But he don't know a thing, no he don't know a thing   Oh Angeline-geline-geline Say what you mean, what you mean, what you mean Oh Angeline-geline-geline You know the boy would do anything for you, honey, honey   Looking over his shoulder Trying to picture the other side Angeline grows colder Letting him down, baby's letting him slide  Did you know, no you didn't know did you That he's falling for you, that he's falling for you? One of these days, you know it's finally gonna hit you That you take it too far, that you're breaking his heart   Oh Angeline-geline-geline Say what you mean, what you mean, what you mean Oh Angeline-geline-geline You're doing what you know ain't good for you, honey, honey   Looking over his shoulder Trying to picture the other side Angeline grows colder Letting him down, baby's letting him slide   Oh Angeline-geline-geline Say what you mean, what you mean, what you mean Oh Angeline-geline-geline Say what you mean, what you mean, what you mean   Do you know, no you don't know do you What you're doing to him, what you're doing to him? You say anything just so he don't see through you But you don't know a thing, no you don't know a thing   Oh Angeline-geline-geline Say what you mean, what you mean, what you mean Oh Angeline-geline-geline And still the boy would do anything for you, honey, honey   Looking over his shoulder Trying to picture the other side Angeline grows colder Letting him down, baby's letting him slide",-0.9489,1,3,3,0,5,5,21,2,2,12
3,/songs/217564,WALK THE MOON,Anna Sun,https://genius.com/Walk-the-moon-anna-sun-lyrics,http://api.genius.com/songs/217564,I Want! I Want!,2012-02-07," Screen falling off the door door hanging off the hinges My feet are still sore my back is on the fringes We tore up the walls we slept on couches We lifted this house we lifted this house Fire-crackers in the east my car parked south Your hands on my cheeks your shoulder in my mouth I was up against the wall on the west mezzanine We rattle this town we rattle this scene   O, Anna Sun! O, Anna Sun! What do you know? this house is falling apart What can I say? this house is falling apart We got no money, but we got heart We're gonna rattle this ghost town This house is falling apart   Screen falling off the door door hanging off the hinges My feet are still sore my back is on the fringes We were up against the wall on the west mezzanine We rattle this town we rattle this scene   O, Anna Sun! O, Anna Sun! What do you know? this house is falling apart What can I say? this house is falling apart We got no money, but we got heart We're gonna rattle this ghost town This house is falling apart   Live my life without Station wagon rides Fumbling around the back Not one seat belt on Wait for summertime Coming up for air Now it's all a wash Now it's all a wash Live my life without Coming up for air Now it's all a wash I want everyone Racing down the hill I am faster than you Wait for summertime Wait for summertime   O, Anna Sun! O, Anna Sun! What do you know? this house is falling apart What can I say? this house is falling apart We got no money, but we got heart We're gonna rattle this ghost town This house is falling apart This house is falling apart This house is falling apart We're gonna rattle this ghost town This house is falling apart This house is falling apart",-0.9916,8,14,2,8,9,23,10,20,10,10
4,/songs/2872935,WALK THE MOON,Anthem,https://genius.com/Walk-the-moon-anthem-lyrics,http://api.genius.com/songs/2872935,The Anthem EP,2008-03-06," I can still taste the rain that day When we said we'd never change It only took you further away I was calling out your name Oh, how things have changed How they have changed   And still I cannot help but pour like rain Over and over and over it I can't help but light the fire Over and over and over again And all the melodies like hands on me Will ease my soul And it's alright   Well since you've been gone I found a brand new love in your place But it's been so long now Would I even recognize your face? Oh, it's never the same Never the same   And still I cannot help but pour like rain Over and over and over it I can't help but light the fire Over and over and over again And all the melodies like hands on me Will ease my soul   Ain't it funny how things change Things change Things change Things change   And still I cannot help but pour like rain Over and over and over it I can't help but light the fire Over and over and over again And all the melodies like hands on me Will ease my soul And it's alright   The love that you had is gone You said it and you can't take it back alright Your love is like a setting sun Don't worry 'cause you can't go back it's alright The love that you had is gone You said it and you can't take it back alright Your love is like a setting sun So don't worry 'cause you can't go back it's alright No you can't go back it's alright No you can't go back it's alright And all the melodies like hands on you Will ease your soul And it's alright",0.9971,0,5,0,10,8,2,14,2,2,5
5,/songs/1801824,WALK THE MOON,Anthem by WALK THE MOON,https://genius.com/Walk-the-moon-anthem-by-walk-the-moon-lyrics,http://api.genius.com/songs/1801824,None,2019-03-04,"I can still taste the rain that day When we said we’d never change It only took you further away I was calling out your name Oh, how things have changed How they have changed And still I cannot help but pour like rain Over and over and over it I can’t help but light the fire Over and over and over again And all the melodies like hands on me Will ease my soul And it’s alright Well since you’ve been gone I found a brand new love in your place But it’s been so long now Would I even recognize your face? Oh, it’s never the same Never the same And still I cannot help but pour like rain Over and over and over it I can’t help but light the fire Over and over and over again And all the melodies like hands on me Will ease my soul (Instrumental) Ain’t it funny how things change (change, change) Things change Things change (change, change) Things change And still I cannot help but pour like rain Over and over and over it I can’t help but light the fire Over and over and over again And all the melodies like hands on me Will ease my soul And it’s alright (Instrumental) The love that you had is gone You said it and you can’t take it back alright Your love is like a setting sun Don’t worry ‘cause you can’t go back it’s alright The love that you had is gone You said it and you can’t take it back alright Your love is like a setting sun So don’t worry ‘cause you can’t go back it’s alright No you can’t go back it’s alright No you can’t go back it’s alright And all the melodies like hands on you Will ease your soul And it’s alright --- .",0.9964,0,5,0,14,8,2,16,2,2,5
6,/songs/374789,WALK THE MOON,Anywayican,https://genius.com/Walk-the-moon-anywayican-lyrics,http://api.genius.com/songs/374789,Tightrope EP,2013-01-01," I asked you if you would come out Out of your house, you said no I asked you if you would come out Give me a hug, but you said no   I'm gonna get you back anyway I can, anyway, anyway I can I'm gonna get you back anyway I can, anyway, anyway I can Kiss my face, it's so good, can I kiss you back, but you said no Give me some, it feels so bad when you take it back, you take it back   I asked you if you were gonna make it Make it all the way, and you said no Ooh, you said if it was gonna happen It already would've happened, but I said no   Said, I'm gonna get you there anyway I can, anyway, anyway I can I'm gonna get you there anyway I can, anyway anyway I can Kiss my face, it's so good, can I kiss you back, but you said no Give me some, it feels so bad when you take it back, you take it back   And I fall in love every time, oh And I fall in love every time, oh  I was in the street, you were in the car I said stop, but you said no Chase you all the way to the interstate But you don't stop, you just go  I was in the street, you were in the car I said stop, but you said no Chase you all the way to the interstate But you don't stop, you just go  And I fall in love every time, oh Yeah, I fall in love every time, oh  Frown long, I can't frown long with your face in my head Too long, too too long since i had a smile on my head  Frown long, I can't frown long with your face in my head Too long, too too long since I had a smile on my head  Frown long, I can't frown long with your face in my head Too long, too too long since I had a smile on my head  And I fall in love every time, oh Yeah, I fall in love every time, oh  And I fall, I fall, fall in love every time, oh Yeah, I fall, I fall, fall in love every time, oh  And I fall, I fall, fall in love every time, oh Yeah, I fall, I fall, fall in love every time, oh  I'm gonna get you back anyway I can, anyway, anyway I can",0.9972,2,29,2,2,20,28,22,26,9,8
7,/songs/592944,WALK THE MOON,Aquaman,https://genius.com/Walk-the-moon-aquaman-lyrics,http://api.genius.com/songs/592944,Talking is Hard,2014-12-02," The real-life love Is under the mirror of the surface So cut my cord I wanna know how deep we can take it See the thing you've been chasin', honey You'll never find it wearing a life-vest You gotta risk your neck But know in your heart it will be worth it   So here we go Head first, and no regrets And no rules—we can stay as long as we want Slow-dancing in the darkness And all I know is I wanna be here with you from now on   It's been my fashion to keep my head dry and get my feet wet But step by step, I've been letting you lead me towards the deep end Well I learned my lesson, honey Just when you think you're that adult swim That's precisely when somebody shows you to the ocean   So here we go Head first, and no regrets And no rules—we can stay as long as we want Slow-dancing in the darkness And all I know is I wanna be here with you from now on   Just keep holding on, holding on to me Under, under the troubled surface of the sea Just keep holding on, holding on to me Just keep holding on, holding on to me  Oh here we go   Head first, and no regrets And no rules—we can stay as long as we want Slow-dancing in the darkness And all I know is I wanna be here with you from now on  Head first, into the water And so it hits me—I guess we could breathe all along One breath after another All I know is I wanna be here with you from now on  And all I know is I wanna be here with you from now on And all I know is I wanna be here with you from now on",-0.9827,4,6,0,8,2,8,9,6,1,6
8,/songs/605152,WALK THE MOON,Avalanche,https://genius.com/Walk-the-moon-avalanche-lyrics,http://api.genius.com/songs/605152,Talking is Hard,2014-12-02," Eighteen / thousand-year-old soul Midwest shooting star In the days she waits But she moonlights rock 'n' roll Playing a raindance with her guitar Sometimes you only get one chance   You got a look in your eyes (your eyes) I knew you in a past life One glance and the avalanche drops One look and my heartbeat stops Ships pass in the night I don't want to wait 'til the next life One glance and the avalanche drops One look and my heartbeat stops   Last call and everybody's watching Her voice rings out like a storm Sometimes the past echoes in the future Started long before we were born Sometimes you only get one chance   Universe won't wait for you It's do or die, whatcha gon-gon-gonna do?   You got a look in your eyes I knew you in a past life One glance and the avalanche drops One look and my heartbeat stops   You got a look in your eyes I knew you in a past life One glance and the avalanche drops One look and my heartbeat stops One glance and the avalanche drops One look and my heartbeat stops Ships pass in the night I don't want to wait 'til the next life One glance and the avalanche drops One look and my heartbeat stops One glance and the avalanche drops One look and my heartbeat stops",-0.7824,2,8,0,9,1,14,4,8,9,3
9,/songs/1810381,WALK THE MOON,Ballad Of Sebastian Jackson,https://genius.com/Walk-the-moon-ballad-of-sebastian-jackson-lyrics,http://api.genius.com/songs/1810381,The Other Side: B-Sides and Rarities,2009-03-09,"Working hard and dreaming heavy So Sebastian waits with baited breath tonight (Refrain) Singing ooh I am a man on the moon Oh yeah, and I'm gonna fly If I can just jump high enough Cause he's breaking his back just to see that day And it's taking him back to his childhood days Never been so close to the stars before And they're all laughing cause they think he's crazy Did you know 'Bastian's talking in his sleep all night? Singing ooh I am a man on the moon Oh yeah, and I'm gonna lift off If I can just jump high enough Oooh, mmm Oh, Mr. Jackson why don't you step away from the edge Before you wind up dead? But he says ""Oh no, thanks for asking, I'd rather be the same, lad The same, so get out of my head."" He's wishing with his everything and breathing heavy And with one jump Sebastian Jackson takes his life Singing ooh I am a man on the moon Oh yeah, and I'm gonna fly If I can just jump high enough Cause he's breaking his back just to see that day And it's taking him back to his childhood days Never been so close to the stars before Wondering every day that he wakes, could this be the day? Woahh, oh no Singing oooohh, the man on the moon I'm gonna lift off if I can just jump high enough Ohhhh The man on the moon, I'm gonna fly Just spread my wings and fly, I'll fly alright I'm gonna fly --- .",0.7343,1,3,0,1,10,2,12,1,0,3
