,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/329412,Whitney Houston,After We Make Love,https://genius.com/Whitney-houston-after-we-make-love-lyrics,http://api.genius.com/songs/329412,I'm Your Baby Tonight,1990-11-06," I've been waiting such a long time For a love that's real to come my way Going to take some getting used to Now that love is here to stay   After we make love, I'll be lost in the afterglow You're all I'm dreaming of, I just can't, I just can't let the feeling go After we make love, there's no doubt in my mind I've been touched by All that heaven and earth will allow, all that matters is right here and now   Now the world is filled with wonder You turned my life around in just one day I love the spell you put me under With just one kiss you take my breath away   After we make love, feels so good to be lost in the afterglow You're all I'm dreaming of, I just can't, I just can't let the feeling go After we make love, there's no doubt in my mind I've been touched by All that heaven and earth will allow, all that matters is right here and now   All those lonely days and nights Were well worth going through I'm so glad I never gave my heart away It's like I've waited all my life So I can give it all to you   I've been waiting such a long time For a love that's real to come my way It's going to take some getting used to Now that love is here to stay   After we make love, I'll be lost in the afterglow You're all I'm dreaming of, I just can't, I just can't let the feeling go After we make love, there's no doubt in my mind I've been touched by All that heaven and earth will allow, all that matters is right here and now   All that matters is right here and now",0.9956,4,10,4,7,17,13,20,10,5,9
1,/songs/328901,Whitney Houston,All at Once,https://genius.com/Whitney-houston-all-at-once-lyrics,http://api.genius.com/songs/328901,Whitney Houston,1985-02-14," All at once I finally took a moment and I'm realizing that You're not coming back And it finally hit me all at once All at once I started counting teardrops and at least a million fell My eyes began to swell And all my dreams were shattered all at once   Ever since I met you You're the only love I've known And I can't forget you Though I must face it all alone All at once, I'm drifting on a lonely sea Wishing you'd come back to me And that's all that matters now All at once, I'm drifting on a lonely sea Holding on to memories And it hurts me more than you know So much more than it shows All at once   All at once I looked around and found that you were with another love In someone else's arms And all my dreams were shattered, all at once All at once The smile that used to greet me brightened someone else's day She took your smile away And left me with just memories, all at once   Ever since I met you You're the only love I've known And I can't forget you Though I must face it all alone All at once, I'm drifting on a lonely sea Wishing you'd come back to me And that's all that matters now All at once, I'm drifting on a lonely sea Holding on to memories And it hurts me more than you know So much more than it shows All at once",0.8531,7,3,6,6,8,12,12,9,4,7
2,/songs/329350,Whitney Houston,All The Man That I Need,https://genius.com/Whitney-houston-all-the-man-that-i-need-lyrics,http://api.genius.com/songs/329350,I'm Your Baby Tonight,1990-11-06," I used to cry myself to sleep at night But that was all before he came I thought love had to hurt to turn out right But now he's here It's not the same, it's not the same   He fills me up He gives me love More love than I've ever seen He's all I've got He's all I've got in this world But he's all the man that I need   And in the morning when I kiss his eyes He takes me down and rocks me slow And in the evening When the moon is high He holds me close and won't let go He won't let go   He fills me up He gives me love More love than I've ever seen He's all I've got He's all I've got in this world But he's all the man that I need He fills me up He gives me love More love than I've ever seen He's all I've got He's all I've got in this world But he's all the man that I need He fills me up He gives me love More love than I've ever seen He's all I've got He's all I've got in this world But he's all the man that I need",0.9956,1,2,0,1,10,2,11,2,1,4
3,/songs/1696790,Whitney Houston,America The Beautiful,https://genius.com/Whitney-houston-america-the-beautiful-lyrics,http://api.genius.com/songs/1696790,The Star Spangled Banner / America the Beautiful - Single,1991-02-12,"Oh beautiful for spacious skies for amber waves of grain For purple mountain majesties above the fruited plain America! America! God shed His grace on thee And crown thy good with brotherhood From sea to shining sea  Oh beautiful for patriot dreams that seize beyond thy years Thine alabastor cities gleam Undimmed by human tears America, america, god shed his grace on thee And crown thy good with brotherhood from sea to shining sea!",0.9752,0,7,0,3,8,3,19,0,2,7
4,/songs/329364,Whitney Houston,Anymore,https://genius.com/Whitney-houston-anymore-lyrics,http://api.genius.com/songs/329364,I'm Your Baby Tonight,1990-11-06," I believe in roses, but only from the heart And if it's not sincere, baby then I don't want no part I believe in one love, baby, true monogamy What I don't know can't hurt me, well, that's not the way I see If you believed in me you won't mess around It's not like I don't know you've been with every girl in town You got a lot of nerve to think I just close my eyes While you walk around so full of it I give you my surprise   I don't need your kinda love, I don't need your kinda trust I don't want you anymore I don't need your kinda kisses, I don't want to be your Mrs I don't want you anymore, no   I believe that angels watch everything we do And all the wrong you're doing just might come back on you I believe in phone calls when you're not by my side Especially when it's lonely in the middle of the night If you believe that true love is only made in bed Lord, have mercy on you, chivalry is dead You got a lot of nerve to think, to think that I'm still down While you've taken me for granted, boy, I'm through, I'm outta town   So baby, you can kiss this girl goodbye I'm through with you, moving on with my life No more pain, no more fears I'm moving on, I'm keeping on, I'm through with all the tears   Your kinda love, your kinda trust I don't want you Don't want you, don't need you Can't have you Your kinda kisses, to be your Mrs I don't want you   I don't need, don't want you Don't need, don't want Don't need that kind of love Don't want your kind of love I don't need, don't want you Don't need, don't want Don't need that kind of love Don't want your kind of love Don't need it Don't want it Don't need it Don't want it Don't need it Don't need it Don't want you, don't need you Don't want you",0.9943,3,5,4,6,22,8,64,3,5,47
5,/songs/330109,Whitney Houston,A Song for You,https://genius.com/Whitney-houston-a-song-for-you-lyrics,http://api.genius.com/songs/330109,I Look to You,2009-08-28," I've been so many places in my life and time I've sung a lot of songs and made some bad rhymes I've acted out my live in stages with ten thousand people watching Well, we're alone now and I'm singing this song to you I know your image of me is what I hoped to be I've treated you unkindly but darling can't you see There's no one more important to me? Baby, can't you see through me? We're alone now and I'm singing this song to you You taught me precious secrets of the truth withholding nothing You came out in front when I was hiding But now I'm so much better and if my words don't come together Listen to the melody because my love is in there hiding   I love you in a place where there's no space or time I love you for my life, you are a friend of mine And when my life is over remember when we were together We were alone and I was singing this song for you   This song is for you, this song is for you This song is for you This song is for you, you, you, you You, you, you, you, you, you   I love you in a place, my dear friend where there's no space or time I love you for my life, you are a friend of mine And when my life is over remember when we were together We were alone and I was singing this song to you   We were alone and I was singing this song to you We were alone and I was singing this song Oh yeah, singing this song I was singing this song just for you",0.9945,1,4,1,3,11,1,16,1,1,10
6,/songs/330036,Whitney Houston,Call You Tonight,https://genius.com/Whitney-houston-call-you-tonight-lyrics,http://api.genius.com/songs/330036,I Look to You,2009-08-28," The stars must be aligned tonight I believe this has to have a meaning Lightning had to strike tonight Because the two of us are finally meeting In this place, at this time And I feel safe when I look in your eyes I feel like I know you from another life And it makes me wish I wasn't so pressed for time   I can't catch my breath because you take it away For the best writer in town could not find words to say How there's so many things I wanna get to know I wish that I could stay but I gotta go   So I'mma call you tonight I will baby, just as soon as I get time alone I'mma call you tonight I will baby, just as soon as I get home   That's the way it goes in life You get busy when you just don't wanna There's never enough time day or night You have to make it so baby   I'm going to make a way to connect 'Cause your face is one I can't forget I feel like I know you from another life And it makes me wish I wasn't so pressed for time   I can't catch my breath because you take it away For the best writer in town could not find words to say How there's so many things I wanna get to know I wish that I could stay but I gotta go   So I'mma call you tonight I will baby, just as soon as I get time alone I'mma call you tonight I will baby, just as soon as I get home   Destiny, I believe in it Meant to be, don't you see it's possible That for this kind of magic anything can happen And if you wanna know then stay by the phone Just stay by the phone   I can't catch my breath because you take it away For the best writer in town could not find words to say How there's so many things I wanna get to know I wish that I could stay but I gotta go   So I'mma call you tonight I will baby, just as soon as I get time alone I'mma call you tonight I will baby, just as soon as I get home",0.983,2,10,1,1,11,2,19,0,5,9
7,/songs/329995,Whitney Houston,Cantique De Noël (O Holy Night),https://genius.com/Whitney-houston-cantique-de-noel-o-holy-night-lyrics,http://api.genius.com/songs/329995,One Wish: The Holiday Album,2003-11-18," O holy night   The stars are brightly shining It is the night of our dear Savior's birth. (Oh yes it is now.) Long lay the world In sin and error pining Until He appeared And the soul felt its worth A thrill of hope The weary world rejoices For yonder breaks A new and glorious morn   Fall on your knees O hear the angels' voices O night divine O o night when Christ was born O night O holy, holy night O night divine   Mmm",0.9648,1,8,1,3,6,4,11,4,4,4
8,/songs/330155,Whitney Houston,Count On Me,https://genius.com/Whitney-houston-count-on-me-lyrics,http://api.genius.com/songs/330155,Waiting to Exhale: Original Soundtrack Album ,1995-11-14," Count on me through thick and thin A friendship that will never end When you are weak I will be strong Helping you to carry on Call on me, I will be there Don't be afraid Please believe me when I say Count on me   I can see it's hurting you I can feel your pain It's hard to see the sunshine through the rain I know sometimes it seems as if It's never gonna end But you'll get through it Just don't give in because you can   Count on me through thick and thin A friendship that will never end When you are weak I will be strong Helping you to carry on Call on me, I will be there Don't be afraid Please believe me when I say Count on me I can count on me Yes you can   I know sometimes it seems as if We're standing all alone But we'll get through it Because love won't let us fall   Count on me through thick and thin A friendship that will never end When you are weak I will be strong Helping you to carry on Call on me, I will be there Don't be afraid Please believe me when I say Count on me   There's a place inside all of us Where our faith in love begins You should reach to find the truth in love The answers there with in, oh I know that life can make you feel It's much harder than it really is But we'll get through it Just don't give in   Count on me through thick and thin A friendship that will never end When you are weak I will be strong Helping you to carry on Call on me, I will be there Don't be afraid Please believe me when I say Count on, Count on, Count on Count on, Count on, Count on Count on me  O, yes you can No, I can't Sure you can Noo So glad I can Count me",0.9941,1,2,0,6,10,7,34,3,0,28
9,/songs/329957,Whitney Houston,Dear John Letter,https://genius.com/Whitney-houston-dear-john-letter-lyrics,http://api.genius.com/songs/329957,Just Whitney,2002-12-10," I'm sitting here In my own head thinking How you could be staring in Got my number two And I'm writing you Contemplating on the paper what I should do On the fireplace, with the mail man Should I tell you or should I hold it in If my heart wasn't in it Baby you could just forget it I'd be gone in a New York minute   You never give me attention I know you never had bad intentions for us So I'm writing you But I always fail to mention Cause you know I really don't like to fuss So I'm gonna hold it in   I'm writing you Dear John I tried to stay but it never got better I couldn't tell you face to face but I I had to let you know Sometimes I want to hit the door I'm writing you Dear John   Sometimes I think that I've had enough My hands freeze and I can't write fast enough I want to get away but I can't obey when my heart speaks You know I'm listening Some days I'm really touchy and Some days I'm willing to forget and Some days I'm still in love with you Some days I'm sad and blue   When I don't check myself I get frustrated with you And I don't know what I'm gonna do I know that it's not just you It's some of my negligence too And I can't go through with mailing this to you   Dear John letter I tried to stay but it never got better I couldn't tell you face to face but I I had to let you know Sometimes I want to hit the door I'm writing you a Dear John letter Dear John letter I tried to stay but it never got better I couldn't tell you face to face but I I had to let you know Sometimes I want to hit the door   When I don't check myself I get frustrated with you And I don't know what I'm gonna do I know that it's not just you It's some of my negligence too And I can't go through with mailing this to you   Dear John letter I tried to stay but it never got better I couldn't tell you face to face but I I had to let you know Sometimes I want to hit the door I'm writing you a Dear John letter I tried to stay but it never got better I couldn't tell you face to face but I I had to let you know Sometimes I want to hit the door I'm writing you a Dear John   I'm writing this letter Because it makes me feel better I'm writing this letter Because it makes me feel better I'm writing this letter Because it makes me feel better I'm writing this letter Because it, oooh I'm writing this letter, baby I can't go it, oh no no no I can't can't can't I can't stay Mmmm I'm writing you this letter I'm writing you Dear John I'm writing a Dear John letter I'm writing a Dear John letter I'm writing a Dear John letter I'm writing a Dear John letter I'm writing a Dear John letter",0.4974,10,17,15,2,3,29,23,4,0,6
