,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/93129,Wiz Khalifa,100 Bottles,https://genius.com/Wiz-khalifa-100-bottles-lyrics,http://api.genius.com/songs/93129,Cabin Fever 2,2012-10-16," It's holiday season, bitch Whatup Jerm? It's Cabin Fever   Hundred bottles we poppin' Probably won't even finish it Ya'll niggas just be talkin My niggas really livin it Pussy niggas be targets Point 'em out and we hittin them then Spending all of this money Just to say that we did this shit Just to say that we did this shit Just to say that we did this shit Hundred bottles we poppin' Ya'll niggas just be talkin Pussy niggas be targets Just to say that we did this shit   Hahaha, ooh I made it in I hope I make it out Just bought a pound, bout to bake it out Put a hundred in bout to take it out (Put a hundred in bout to take it out) Goin down like mayday while I'm rollin up that KK You smoking, you know that I got it Dope there's no two ways about it Rolled up a car full of soldiers Club owners know that I'm bout it Niggas keep talkin' and hatin' Ain't my birthday but I'm cakin' Sayin' that we fam no relation Ain't in that line that you wait in Drinkin' my eyes like a Asian's Smokin just like a Jamaican Take all that time that you wastin' Porsche 911, persuasions You need that motivation That big boat on location Rollin' up medication Gettin' money conversations   Hundred bottles we poppin' Probably won't even finish it Ya'll niggas just be talkin My niggas really livin it Pussy niggas be targets Point 'em out and we hittin them then Spending all of this money Just to say that we did this shit Just to say that we did this shit Just to say that we did this shit Hundred bottles we poppin' Ya'll niggas just be talkin Pussy niggas be targets Just to say that we did this shit   You know you wanna hop up on this dick ho (tweak) Joint full of bomb, bout to explode (tweak) Molly got me on another zip-code (tweak) Takin' shot after shot, bout to get low Ground pound with the wild out Money talk I just dialed out Fresh man, so styled out bitch, don't you see this? If you lookin for a genius? Dirty money hit the cleaners Gin got me leanin', Wiz I'm through this time I mean it When I talk I really mean it If I ain't done it I done seen it Bitch we on you best believe it Way to bring a brick of singles And way more shams though If you ain't tryna ball what you playin' for?   Hundred bottles we poppin' Probably won't even finish it Ya'll niggas just be talkin My niggas really livin it Pussy niggas be targets Point 'em out and we hittin them then Spending all of this money Just to say that we did this shit Just to say that we did this shit Just to say that we did this shit Hundred bottles we poppin' Ya'll niggas just be talkin Pussy niggas be targets Just to say that we did this shit",-0.9988,36,12,17,8,9,33,16,8,13,9
1,/songs/82984,Wiz Khalifa,40 Bars,https://genius.com/Wiz-khalifa-40-bars-lyrics,http://api.genius.com/songs/82984,Prince of the City: Welcome to Pistolvania,2010-06-27," Motherfucker it's, W - I Act up, knuckles'll fly Swing somethin' that'll bubble your eye I've been trouble since the day I was born A couple mix-ups So I switched up, made it a song Put your fists up, say to the song You know the style, get wild Like a child I was raised in the corn...nigga And everybody wanna face-off, until they face off I'm like a jet when I take off I'm the one the grip the beat, youngin' No bullshit, I spit the heat, youngin' Hit the streets, youngin' You'll hear my name ring bells At your face, I aim these shells Young Wiz,""Hey pimpin"" Prince of the city of steel ain't trippin' Pricks try to claim to be real, straight simpin' Y'all niggas ain't listenin' Hold up! Who you... Know realer? Flow iller? Move with a team of goons and go-rillas Bruise all the crews that choose they don't feel us Dudes probably thought I'd lose...NO, NIGGA! Go figga, man I'm playin' to win If a nigga act up, then I'm layin' him in You can see a little change from the way that it's been Said it before, I'll say it again.. Motherfucker it's W, I (dot) Z (dot), playa! Cowards all stuck, I'm up at the top layer Half of y'all suck, it's nothin' to drop haters Stackin' all bucks, man fuck it it's not fa-ir Cause my team keep winnin', keep women Keep coming up with amounts of dollars, and keep spendin' em From the home where the hammers' shootin' Cats all day, hand-in-hand we're moving They can't swing like a fan was movin' Get chopped up like a jam in Houston It's young Wiz, huh? Steel City, yeah! Pittsburgh-fitted low, I'm the rookie of the year Yeah! And I rock and roll 'Till the kid rock Rollies, and my pockets swole Getting paid's not optional I tell chicks, C.D.C. - Cash Daddy's Checks and roll  ",-0.9596,5,8,4,7,4,9,14,3,7,7
2,/songs/3617429,Wiz Khalifa,420 Freestyle,https://genius.com/Wiz-khalifa-420-freestyle-lyrics,http://api.genius.com/songs/3617429,Rolling Papers 2,2018-03-31," 30, you a fool for this one Mike WiLL Made-It Han Ear Drummers   I was posted on the block with a big ass joint Police everywhere so we stay on point Money in my hand, pockets stay on swole And if you ever ask a question nigga we don't know Don't be talking to me crazy if you ain't 'bout drama And don't even be hittin' my phone if it ain't about commas Imma ride every day for my gang with no problems And if a nigga want beef, we filet 'em and chop 'em I get high every day, you can say I'm a doctor Got my niggas out the streets, you can say I'm a prophet I got money in the bank, it can't fit in no wallet I got niggas in the pen, but that ain't on the topic Roll the weed in the paper you would think it was college Got my mind on my money, I'm just focused and honest If a nigga talk crazy then we leavin' him tarnished Yeah my crib in the hills but I came from the bottom I ain't worried about the mills cause I already got 'em Everytime I'm in the bank trying make a deposit If I'm hoppin' on the plane, know I'm gon' make a profit Got the keys to the game if I wanna unlock it I'll be smokin' KK til' you think I'm unconscious I'm a real ass nigga know my style ain't polished You's a fake ass nigga know you can't come 'round us Was round good weed back when our parents could ground us Now I'm doin' real shit that they say that they proud of Fucked up situations trying get my guys out of If you see a nigga with me best believe that they 'bout it Taylor Gang or they die best believe that they shout it I pour up a lot of drink come to weed need a mountain Keep the money comin' in run to me like a fountain Lot of fuck niggas hate, I can see 'em they doubt it Don't approach the situation they just reaching around it I ain't scared of confrontation me I'm speaking about it I got so much fuckin' money that I need an accountant I'm so big you don't see me, you just reading about it If you coming at the Gang then you need to reroute it Wanna know how I maintain well the secrets they solid Niggas wanna know the formula cause we done found it Make another 100 mill, I ain't gone be cool about it Made my way up out my city yeah it can be kinda violent   Cause when you gettin' money niggas try to slide on you And when it's said and done them hoes switch sides on you But I got 4 dime pieces at the crib waiting for me 2 cell phones cause the money keep comin' O's in my bank, ain't no one fucking with me Smokin' KK like everyday 420",-0.7265,19,14,5,12,11,19,28,9,10,29
3,/songs/721880,Wiz Khalifa,53rd,https://genius.com/Wiz-khalifa-53rd-lyrics,http://api.genius.com/songs/721880,Prince of the City: Welcome to Pistolvania,2006-05-12," It's the boy Wiz Khalifa man I'm charged like a battery man Y'all niggas do what you do I'ma do what I do man   I'm the sickest round here when it come to the spit game Moving through the track like I do with the whip game Pull the seat back, cross over and switch lanes The music straight crack, dope, heroin, cocaine The flow load needles, numb noses and pump veins You chumps wanna be us I ain't fucking with those lames I polly with the niggas that be fucking with dumb change Riding big wheels, chrome grills and the chunk chains Hit the studio, burn the last til it's nothing All I need's a beat, pen and pad and a dutch flame This is Pistolvania wrong move and the pump aim Niggas quick to flame you'll all lose when the pump bang Niggas come at me in this rap, I can guarantee that I'ma make a million pieces of this one rain Old ass niggas tryna rap, it's a done thing I'm way sicker plus I'm probably 'round your son's age   Damn Ayo, on the real I know y'all niggas like, this nigga can't be But he's bout as old as your son nigga! Y'all motherfuckers better step your game up like a Stairmaster The nigga Wiz, Kev Tha Hustla And I'm cosigning too   I see niggas getting mad cuz I'm doing the damn thing Plus I'm a pimp and I'm screwing your damn dame I heard a lot of talk, thought you [?] Nigga where's your dough, caught you and your mans [?] Niggas didn't know, that was you and your man's chain Reality'll show, nigga you and your mans lame I pull up slow, sitting low in the [?] thing Birds move past, yeah this guy is an airplane Cuz I stay fly and I'm high as an airplane Always on the grind, keep my mind on my campaign I hit the ground running, go and talk to that damn pay Doing me, moving anything in my damn way Niggas talk tough but star struck when the lead spray Me I keep it hunnid, in the stu every damn day You can trust that the people love what your man say Why you think they give a fuck less what you can't say Niggas show love, roll up when our jams quake A young boy, but I get respect like a man ay You niggas heard, and you sweet as syrup on pancakes You hate, but you niggas can't help but let the jam play Bitch!   Man you niggas is out your fucking minds man You should be on your grind fam I got school tomorrow nigga Get your tracks up or something man, Kev The Hustla man Show these niggas how the fuck we do it, Pistolvania  [Verse 3: Kev Tha Hustla] You talk, you hot Fucka you not, so stop fucka You talk, you shot fucka Yo Wiz the block love us Yeah you're a rock pumper Gunner with four thumpers Black on black, back to back in 4Runners It's nothing it's more hunger You hating your whore love us You see, I'm here to ruin your flow for sure sucka Yeah, your girl suck us you dudes ain't on your job And Wiz if it's a prob, I'm here, let's get it solved And I roll with gorillas, banana clips we them stealers Masked up, masked up to stop all your dealings You could pop if you wanna uh huh Cuz the block man I make that shit hot like an ATL summer Palms sweating Wayne got his mean mug on So that mean one thing inf beam you gone We keep them choppers in the grass, get to popping at your ass Cuffing all the shooters and the [?] down the ave You like gravy on the mashed potatoes, a little black tre eight'll Get you dirt mothafucka for pesos Riding ratchet on the lap is in the stash spot, your ass shot Niggas look in this red spot, spray em like chicken pox Around here it's all snow, December blocks Athleticism the only thing that I got from pops [?] [?] Been touching keys on a low [?] like Jamie Foxx You a fatigue soldier, 40s give you major pain Fuck around crash quick, bitch tried switching lanes Giving all the clips to lames Let em play they movie part John Claude, long arm blast with a lion heart Wish you would try to start like keys in the ignition Trench coat in the trenches posted on the benches That's your heart listen why it's beating so fast Looking for you blowing ray up out of freezer bags please Leave the flow to Kev cuz it don't happen over night Measuring that coke and soda tryna get the product right Shooters plus my squad'll fight Get dropped or die tonight 2005 version of [?] So I deal with you laters, haters give you the middle finger Flip you the bird, yeah youngin I'm absurd   Yeah, it's ya boy Kev nigga The boy Wiz Nigga got school tomorrow, nigga He bout as old as your son too Fuckin dummy Holla",-0.9983,31,14,23,23,12,57,39,23,12,16
4,/songs/2167313,Wiz Khalifa,Addicted,https://genius.com/Wiz-khalifa-addicted-lyrics,http://api.genius.com/songs/2167313,None,2009-01-01," Yeah Uh huh It's young Wiz Ya boy (Ahhaha) Yeah And everybody got fucking problems man, you know, I got one of my own, it's not so bad Let's go   I'm somewhere on a cloud I am not coming down Might send me controlled But I only keep blazing You took a hold of me Don't want ya I need ya To come buy da O I keep rolling that gray up   Started up with a twist (Uh oh) Held you up to my lips Pulled your smoke took a hit Now i'm addicted Addicted (Yeah) Started up with a twist (Uh oh) Held you up to my lips(Uh oh) Pulled you smoke took a hit Now I'm addicted The weed head sing I'm addicted to you (Yeah)  My addiction you're my addiction It's calling me I'm addicted to you (Yeah)  My addiction   And I'm might be on some liquor But you know your all I need Hey And I only fuck with swisher (Swisherrrrrs yeeah) Yeah Smoking good No stems no seeds  You keep hoping I notice The shit that you smoking But look how it's rolled Get your rolling up better I'm of a whole oz But before I can sleep I Roll one for o Rest in peace my big brother   Started up with a twist (Uh oh) Held you up to my lips Pulled your smoke took a hit Now i'm addicted Addicted (Yeah) Started up with a twist (Uh oh) Held you up to my lips(Uh oh) Pulled you smoke took a hit Now I'm addicted The weed head sing I'm addicted to you (Yeah)  My addiction you're my addiction It's calling me I'm addicted to you (Yeah)  My addiction",0.7061,7,6,4,2,6,15,8,6,2,6
5,/songs/118900,Wiz Khalifa,All Around The World,https://genius.com/Wiz-khalifa-all-around-the-world-lyrics,http://api.genius.com/songs/118900,None,2019-02-05,"Set, where haven't we been yet Jet Set, where haven't we been yet Jet Set, where haven't we been yet Jet Set, where haven't we been yet  Getting money all over the world, all over the world (Toronto and Amsterdam, Brazil, Paris, France & Japan, anything for the grands, yea) Getting money all over the world, all over the world (Germany to Italy, North South Pole, anywhere in between, anything for the green) : Spitta, spend gettin on beat Red carpet, yo bitch my date She throwin the Jets and that pit we take her, upload em with a song on now right today Those niggas is not like the planes Them hoes don't digg em, they tryna get on my team And how can you blame, she know self preservation The first rule, she know she'd die of boredom if she with you While i'm sitting poolside looking real cool With a Grape flavored 50 cent juice Made for one, the corner store lady gimme two Nigga thats love, thats what I live on Right before take off, twitter from the cell phone Another show rock, more money got work than Chris and Neef, Can't Stop Won't Stop, yea    Getting money all over the world, all over the world (Toronto and Amsterdam, Brazil, Paris, France & Japan, anything for the grands, yea) Getting money all over the world, all over the world (Germany to Italy, North South Pole, anywhere in between, anything for the green, yea)  : C'mon, I go straight where the cash is Heard about your last date being tragic I know, my last tape was a classic So all I hear now is paper or plastic Few Rosays, now you drunk saying boy ""why you in my face and you only want one thing?"" You wasting your time fucking lames Only 2 things poppin, thats Jet Set and The Gang Eating sushi, few groupies, new clothes and left over room keys And where my good girls to smoke weed and love playing Nintendo Wii And I got pictures in my cell phone, iChat When i'm gone, land somewhere calling home Put me right up where the best at Nigga we Jet Set, so where haven't we been yet? yes  Getting money all over the world, all over the world (Toronto and Amsterdam, Brazil, Paris, France & Japan, anything for the grands, yea) Getting money all over the world, all over the world (Germany to Italy, North South Pole, anywhere in between, anything for the green, yea)   Read more: WIZ KHALIFA - ALL OVER LYRICS",0.2808,11,11,4,6,14,8,26,4,8,22
6,/songs/539441,Wiz Khalifa,All Day,https://genius.com/Wiz-khalifa-all-day-lyrics,http://api.genius.com/songs/539441,WWE 2K15: The Soundtrack,2014-10-13," Uh, Wiz, I'mma help you re-educate the masses right now (You know where I'm from) (You know where I'm from) (You know where I'm from)   Uh, Growin' up in that slum Tatted all on my chest just to let y'all know where I'm from Uh, Haters, I don't see none Goin' hard day, day Lord knows I want the best for my son So I got Chuck Tays on my feet, and I got bitches smokin' my chief And I got all my dogs with me, anyone starvin', man they gon' eat And we don't do deceit We do real big receipts We do first class cabin seats If you ain't gonna stand for nothin', have a seat   Cause I'm a real one, that's all day, foreign cars, that's all day Goin' hard, that's all day, I'm gettin' money the long way I'm a real one, that's all day, foreign cars, that's all day Goin' hard, that's all day, I'm gettin' money the long way I don't know much about y'all but I've been hustlin' all day I don't know much about y'all but I've been countin' all day  Nah nah n-n-nah nah, nah nah heyyyyyyyy-y-y-y   Looks like you lettin' 'em know what going all day is all about Well, it's Mr. All Day    Y'all 'bout to find God, make you an instant preacher They should have never let Cena spit with Wiz Khalifa We all day fam, hotter than a sauna I'm not from Chi city but I'm common on the corner We always hustle hard, you ballin' incidental I'm 'bout to go on trial, murderin' instrumentals I dumb it down for you, I keep it simple, son I need four fingers, I'm givin' you the middle one   Cause I'm a real one, that's all day, foreign cars, that's all day Goin' hard, that's all day, I'm gettin' money the long way I'm a real one, that's all day, foreign cars, that's all day Goin' hard, that's all day, I'm gettin' money the long way I don't know much about y'all but I've been hustlin' all day I don't know much about y'all but I've been countin' all day  Nah nah n-n-nah nah, nah nah heyyyyyyyy-y-y-y Nah nah n-n-nah nah, nah nah heyyyyyyyy-y-y-y   I tried to tell these boys I ain't lyin' Put it in their faces so they can get their cake like mine But man they keep hatin' and I can't see the reason why Why when I get a plate they keep tryna take it Put 'em in their places   Cause I'm a real one, that's all day, foreign cars, that's all day Goin' hard, that's all day, I'm gettin' money the long way I'm a real one, that's all day, foreign cars, that's all day Goin' hard, that's all day, I'm gettin' money the long way I don't know much about y'all but I've been hustlin' all day I don't know much about y'all but I've been countin' all day  Nah nah n-n-nah nah, nah nah heyyyyyyyy-y-y-y Nah nah n-n-nah nah, nah nah heyyyyyyyy-y-y-y",-0.8806,10,13,6,3,7,14,26,2,7,23
7,/songs/4489025,Wiz Khalifa,All for You,https://genius.com/Wiz-khalifa-all-for-you-lyrics,http://api.genius.com/songs/4489025,"Fly Times, Vol. 1: The Good Fly Young",2019-04-20," Yeah You need someone to love you, shawty Love you, shawty Need someone You need someone to, ayy You need someone to love you, oh   You need someone to love you, shawty You need someone to treat you right If you need someone to talk to, call me I'll do anything you like I wanna do it all for, all for, all for you I wanna do it all for, all for, all for you I wanna do it all for, all for, all for you I wanna do it all for, all for, all for you (Okay)   Make your decision, usually I use my intuition Rolling that weed, I'm on a mission My eyes low, still paying attention Ball hard, illest in my division Better than all the competition Set shot, puttin' my wrist in Don't ball hard, learn how to dish it Good from up close or distance Make a million dollars in an instant You get it all if you stay persistent Now foreign countries, we be paying visits Speaking of paying, lately, I've been playing with digits So much coming from these words, it's making 'em nervous Ain't a thing by chance, everything you see on purpose Stayed down, became a boss, stayed real and observant We always sticking to the code and my team is determined We always keeping something rolled, hit the weed, don't get nervous I'm thinking it's perfect, I'm constantly working I think I deserve it, so I think I'ma purchase   You need someone to love you, shawty (Yeah yup) You need someone to treat you right If you need someone to talk to, call me I'll do anything you like I wanna do it all for, all for, all for you I wanna do it all for, all for, all for you I wanna do it all for, all for, all for you I wanna do it all for, all for, all for you (Yeah yup)   Roll 'em as tight as I can Who would've thought I'd grow to be the man? Stick to the code, everything go as planned Need in advance, straight biz Won't give you a chance to hit us with that song and dance Fifteen hundred dollars on some pants I get the same chicks with some cut-off shorts and a pair of Vans Pull up, ask her what she got planned We pull off as fast as we can Car so fast, hope you see it again I usually be with fam, usually be stacking them grands Built it all with my hands, run it back and replay it Went from students in the game Now me and my brother run the faculty, wrap around balcony Painting in the living room look like a masterpiece Rollin' up them joints, that's a thou' a piece Me without trees is like a convict without the streets Got a crib without the lease, I get a plate, my niggas feast   You need someone to love you, shawty (Yeah yup) You need someone to treat you right If you need someone to talk to, call me I'll do anything you like I wanna do it all for, all for, all for you I wanna do it all for, all for, all for you I wanna do it all for, all for, all for you I wanna do it all for, all for, all for you   You need someone to love you, shawty You need someone to treat you right If you need someone to talk to, call me I'll do anything you like I wanna do it all for, all for, all for you I wanna do it all for, all for, all for you I wanna do it all for, all for, all for you",0.9967,10,16,6,9,19,12,40,6,11,21
8,/songs/57414,Wiz Khalifa,All My Life Freestyle,https://genius.com/Wiz-khalifa-all-my-life-freestyle-lyrics,http://api.genius.com/songs/57414,Burn After Rolling,2009-12-13," Jay Rock what's good? Haha, we label mates nigga I shoulda been jumped on this shit But it's all good I'mma take care of it Start like   I started out lil' nigga with a dream Now I'm on but it still ain't what it seem Cause now I got more money More niggas rather see me somewhere on the floor then the ceiling of this thing But I can give a damn what a little nigga think I pop more champagne, peel another sweet Catch Wiz skinny ass chillin' on the beach Cut my old hoes off, I ain't get with them in weeks I pray to God every night before I go to sleep To let her know I'm safe, kiss my mother on the cheek My little sister grown, little cousin tall as me And I'm proud cause he ain't fuckin' round in the streets The fans love the old school sound that I bring You like jab-work, I pound on the beat And bein' from Pittsburgh they sayin' they concerned With tryna make a lame cause my sound is unique I love when a nigga talk down, think it's sweet You couldn't play me if you was acting in the scene The haters can't see 'em, the money's in the way like traffic Pistolvania is straight action I'm from the (ghetto, ghetto, ghetto, ghetto) Where niggas ain't workin jobs They only option is to hustle They feel like they gotta get it Not all about it then fuck you You ain't someone that I grew up with So why you think I would trust you? Real talk like a dictionary They say life's a bitch, I'm married And we make love, she fuck other niggas tho Can't keep up, you haters to slow, oh    Yea budy That's how it is That's it, that's all Hahahaha, yea bitch OK, hahaha",0.9843,8,12,8,9,16,11,25,8,11,17
9,/songs/3834081,Wiz Khalifa,All of a Sudden,https://genius.com/Wiz-khalifa-all-of-a-sudden-lyrics,http://api.genius.com/songs/3834081,Rolling Papers 2,2018-07-13," (Call me, reach me)   Call me, reach me Only when you wanna see me Oh, then we go dancin' I can feel us romancin' Girl, why you actin' Goddamn, you attractin' All the attention You make a good impression   (I see the moon in your eyes) All of a sudden (you go out of sight) All of a sudden (you go out of sight) All of a sudden (you go out of sight)   I hear you when you callin' I need you in the mornin' I feel you when you walk in Conversation, I'ma spark it No time, I ain't gon waste it My time, I'm gonna take it Slow it down, we love makin' Speed it up, say that's your favorite Say something good to me Say something good to me Say something good to me Say something good to me I got just what you need We gon drink and roll the weed Ain't gon fall in love with me That's just how it's supposed to be   Call me, reach me Only when you wanna see me Oh, then we go dancin' I can feel us romancin' Girl, why you actin' Goddamn, you attractin' All the attention You make a good impression   (I see the moon in your eyes) All of a sudden (you go out of sight) All of a sudden (you go out of sight) All of a sudden (you go out of sight)   (Uh) Ooh, wonder where you went to I know what we went through, 'cause at first, we were cool Now you up in my room, doin' what grown people do You want me, me on you Hit me up when we're through And say something good to me Say something good to me Say something good to me Say something good to me Hit it so good, you go to sleep Didn't know you was a freak Got me fuckin' up my sheets Before I know, you gone away   Call me, reach me Only when you wanna see me Oh, then we go dancin' I can feel us romancin' Girl, why you actin' Goddamn, you attractin' All the attention You make a good impression   (I see the moon in your eyes) All of a sudden (you go out of sight) All of a sudden (you go out of sight) All of a sudden (you go out of sight)  [Outro: Chevy Woods, Wiz Khalifa & THEMXXNLIGHT] Yeah She like real cool She don't wanna be bothered She like, I'ma fuck wit you Just don't lie to me You gettin' lied to bitch Call me, reach me Call me, reach me",0.9909,4,14,3,1,15,6,27,3,21,16
