,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/474243,Young Thug,1017 Lifestyle,https://genius.com/Young-thug-1017-lifestyle-lyrics,http://api.genius.com/songs/474243,1017 Thug 2,2014-07-11," Get along, little doggie, get along, get along Get along, little doggie, get along John Dillin-   I'm living that YSL lifestyle We living that 1017 lifestyle We living that rich nigga shit lifestyle We living that fly shit only lifestyle Get along, little doggie, get along, get along Get along, little doggie, get along, get along Get along, little doggie, get along, get along Get along, little doggie John Dillinger   I'm geeked out my muhfucker mind I got a whole lot of shit, I ain't paid a dime We take everything, we'll steal the scene We take niggas bling (Money talk like Charlie Sheen) Man down, get him Treated his body like chicken bricks, split him Catch his pussy ass, take your belt off, whip him Pussy nigga tryna run off with them bricks, talkin' 'bout he missin' Fold his pussy ass up just like a centipede Count so much money with my thumb, everything I touch turn green I'll make your white t-shirt feel like Miskeen 100 bands got my skinnies looking like Bugle Boy jeans   I'm living that YSL lifestyle We living that 1017 lifestyle We living that rich nigga shit lifestyle We living that fly shit only lifestyle Get along, little doggie, get along, get along Get along, little doggie, get along, get along Get along, little doggie, get along, get along Get along, little doggie John Dillinger   Wake the fuck up fatass, that pussy nigga got that connect Let's go head and grab, then smash Slow it down, don't you see they rounds? Yeah they army down even though we gon' spray 'em down I'm on that, so therefore I keep my hand on my gat Nigga shot me in my finger (Now I laugh) Now I'm shooting Tommy Gun (With a rag) And I hope out in that 67 Jag Smash, smash on they ass Big ball son, I got big guns I'm throwin' trust funds Hit 'em with the golden gun, James Bond's son   I'm living that YSL lifestyle We living that 1017 lifestyle We living that rich nigga shit lifestyle We living that fly shit only lifestyle Get along, little doggie, get along, get along Get along, little doggie, get along, get along Get along, little doggie, get along, get along Get along, little doggie John Dillinger",-0.9493,23,5,12,11,6,27,9,2,6,8
1,/songs/4239585,Young Thug,1st Date,https://genius.com/Young-thug-1st-date-lyrics,http://api.genius.com/songs/4239585,None,2018-12-18," Woo! (Jeffery!) *sips* Bouncin' like a Tootsie Roll, aye, uh (yeahhh...) (Aye) Jeff! (I just wanna smash on the first date...) A-a-a-aye... Uhh! Whatchu want? Wheezy Beatz (Yeah!)   I just wanna smash on the first date (huh) I just wanna smash on the first date (yeah) I just wanna smash on the first date (first, first) I just wanna smash, I’ma smash, uhh (smash, smash)   Smash like a smash gang, woo! (smash, smash!) Smash in my Balmains, woo! (Balmains!) Smash while I'm switchin' lanes, aye! (skrt, skrt!) Smashin’ your main ting, ah! (smashin' your main ting) When you smash you gotta maintain, ha! (when you smash) Gotta spazz on your main thing, woo! (spazz on your main thing) Fuck her hard like my main dame, aye! (main dame, aye) I'ma smash, I'ma remain, aye! The best that she ever saw, the best that she ever did The best that she ever fucked, the best that she ever kissed The best that she ever sucked, the best thing she ever did (hah!) I'ma be the best thing she ever did (hah!)   Oh! (Woo!) Oh! *sips* Ow! (I just wanna smash on the first date)   Prince and Michael Jackson on my jacket, Gucci khaki, uh! She bad, I make her badder, dead fresh without a casket, hah! Hermes on my belt, no no no wrangling, no no ratchet, hey! Smith & Wesson Glocky, I'ma keep a fucking ratchet, aye! I just wanna smash Best thing is that I'm happy, yes Buy her everything, make sure she happy, yes (uh) Rollie, ro-ro-rollie with the Patek, yes (Rollie, yes) Got her eatin' out of Nobu, then designer sex (woo!) I’m gon’ fuck you like no other, nothing like the rest (woo!) I'ma battle with you through everything with no flesh (yeah!) If I promised I’ma marry you, you ain't gotta rush (I'ma ring you!) Ow!  [Bridge: Young Thug & Sonyae Elise (together)] I'ma make sure that you ball with your feet up (He gon’ make sure that I ball with my feet up) Turn you up, I never lost with your feet up (Turn me up, I never lost with my feet up) Buy you diamonds, pearls, and lobsters with your feet up (Buy me diamonds, pearls, and lobsters with my feet up) She pregnant with my daughter with her feet up (She pregnant with your daughter with my feet up)  [Refrain: Young Thug, Sonyae & Both] Oh yeah... (Hahaha) with your feet up (slime) (Ohhh...) Hah, aye... (Ohhh) with your feet up (yeah! slime, slime, slime) Oh, aye... (Ohhh) with your feet up, nigga (slime, slime, slime) Aye... (Ohhh, with my feet up) (slime, slime, slime) feet up Ohhh, with my feet up (slime, slime, slime) Ohhh, I'm with my feet up (yeah! tell'em! slime, slime) Help me out, man, with my feet up (slime, slime, slime) With my feet up (slime, slime, slime) Feet up! (feet up!)   Yeah... Skrrrrtttt... With my feet up, nigga Help me with my feet up, yeah I be riding, riding, riding with my feet up That's my nigga, he gon' make sure that they keep up He gon' make sure that they always gotta catch 'em I don't fuck with niggas, we be out there catching, haha I be out and I be rolling, rolling with 'em, yeah I be gone, gone, boy I'm sipping gin and, uhh With my feet up What happened? Hahaha",0.9971,28,6,29,27,10,30,33,5,4,8
2,/songs/293976,Young Thug,2 Bitches (Danny Glover),https://genius.com/Young-thug-2-bitches-danny-glover-lyrics,http://api.genius.com/songs/293976,Lobby Runners,2013-11-02," Thugger Thugger Thugger Stoner Life, YSL   Okay, cool, okay, bool, I love her I'ma save her, yes, like Danny Glover I'ma call my papi for her, fuck the mother I pass them a molly, now they kiss each-other (Hot!) Every time I fuck I gotta hit me least like two bitches Boy, that dope been whipped, you need like new wrists Foreign car outside, that bitch got two digits Money stand like eight feet just like two midgets   Who the fuck told you that Young Thugger Thugger don't fuck up the beat? I got six cars and I also got rentals and all of 'em tinted No, I'm not Nipsey, not from L.A., but I got keys to the city I fuck it, I suck it, I beat it down, then she beat me to the ceilin' Stoner my lifestyle, I'm livin' too wild I came to make you proud, that money keep her around In love with her head, I can't turn it down Can't wait for my time to come back around She see that you don't got Lil Haiti's style Plus I just seen Snoop on Girls Gone Wild I just bought a Bentley and a bitch came with it Young rich nigga hittin' million dollar licks Balling in New York like a motherfucking Knick You better have them racks, you ever want to hear me spit And everywhere I go I gotta pass like the staff I'm goin' off top like a motherfuckin' lay up 357, six shots like Al I left ten bands in a motherfuckin' cab   Okay, cool, okay, bool, I love her I'ma save her, yes, like Danny Glover I'ma call my papi for her, fuck the mother I pass them a molly, now they kiss each-other (Hot!) Every time I fuck I gotta hit me least like two bitches Boy, that dope been whipped, you need like new wrists Foreign car outside, that bitch got two digits Money stand like eight feet just like two midgets   I knew I was gonna run my money up and everybody didn't All these niggas pussy niggas, tellin' on they partner Hope the pussy nigga get a bigger sentence Pussy nigga play, I'm coming back with the K And I'ma shoot that motherfucker 'til he livid Bitches wanna see a nigga thumb through it fast I'ma name myself Young Thug Attendant 100 bands at a time I fronted you bags, but you I don't like using profanity, but the Young Thugger will gut you All of my cups are muddy I fuck my bitches' buddies I just want nut like Buddy, all of my bitches buddies Panamera with the tinted roof All the niggas dogs goin', ""Roof"" Top notch shawty, nigga ring came with karats Young nigga rich, jewelry colder than the attic If she ain't a virgin, then that bitch is only average I can't even hear ya, baby, get rid of the static I can't learn a bitch, but I learned mathematics I just ball her down whenever she call my pattern   Okay, cool, okay, bool, I love her I'ma save her, yes, like Danny Glover I'ma call my papi for her, fuck the mother I pass them a molly, now they kiss each-other (Hot!) Every time I fuck I gotta hit me least like two bitches Boy, that dope been whipped, you need like new wrists Foreign car outside, that bitch got two digits Money stand like eight feet just like two midgets",0.9862,29,31,22,16,29,37,42,18,17,26
3,/songs/141521,Young Thug,2 Cups Stuffed,https://genius.com/Young-thug-2-cups-stuffed-lyrics,http://api.genius.com/songs/141521,1017 Thug,2013-02-23," All my niggas across the world We broadcasting live from Atlanta G.A   Panoramic Porsche Pull up on a bitch like pass me the torch Let me fire this spliff up I ain't from New York, but aye aye bruh I don't need no pork, I just need to 2 cups stuffed Lotta ice, I just need 2 cups stuffed Gimme a cup twice, I just need 2 cups stuffed Go light on the ice, I just need 2 cups stuffed Gamble with ya life if I don't get 2 cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed   L-E-A-N-I-N-G Lean, lean, lean, lean, lean lean lean 500 horses inside my machine 500 DNAs in my ding ding Come here bitch, what you chasin' cash? 2 guns up, Ferrari smash 100 pound green, herbie kerbie, trash Smoke a whole ounce, leave ya bitch the ash   Panoramic Porsche Pull up on a bitch like pass me the torch Let me fire this spliff up I ain't from New York, but aye aye bruh I don't need no pork, I just need to 2 cups stuffed Lotta ice, I just need 2 cups stuffed Gimme a cup twice, I just need 2 cups stuffed Go light on the ice, I just need 2 cups stuffed Gamble with ya life if I don't get 2 cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed   AR 15 inside my trench Plus I blend in with the fuckin' trenches 100 crushed diamond for my fuckin' misses Take the bitch shoppin' cause I fuckin' missed it Ralph Lauren boxers every day and night Bitch, I ain't Barry, but I play with white Bitch, I ain't scary, I could never fright 100 black choppers like a fuckin' night   Panoramic Porsche Pull up on a bitch like pass me the torch Let me fire this spliff up I ain't from New York, but aye aye bruh I don't need no pork, I just need to 2 cups stuffed Lotta ice, I just need 2 cups stuffed Gimme a cup twice, I just need 2 cups stuffed Go light on the ice, I just need 2 cups stuffed Gamble with ya life if I don't get 2 cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed, uno dos cups stuffed Uno dos cups stuffed   Thugga, Thugga, baby",-0.9881,13,2,10,16,5,20,20,12,2,11
4,/songs/4290858,Young Thug,420,https://genius.com/Young-thug-420-lyrics,http://api.genius.com/songs/4290858,None,2019-02-05," Woah woah woah, yeah Woah woah woah Woah woah woah Woah woah woah We got London on da Track   Imma charge her like a dodger Bae I'm way smarter than martyr Brand new Cadillac with the spoiler Ain’t playing games like I'm out of quarters They say, they say I'm mean like my father Imma fuck a nigga bitch and catch a daughter A lot of rings on my finger like a lorder A lot of bling living like the Hot Boys do I know the answer like a very important color I leave the pussy nigga dead, no charger And I’m smoking kushy kushy like jorder Flooded, then we take a order Got a whole lotta rich nigga mail no voice, no voice yeah Serve a lot of muhfuckers through the front and back door trust Go to waist nigga kushy smell in the market Momma had a hundred bands when I mail her Ever since the first day she never been taller They just tryna book us all Ever since the day I'm cooking dawgs She just wanna nut inside her trouser She just wanna sucky sucky my girls and my boys She just wanna sucky sucky till I say oh lord She gon suck it cause my money longer than a cord Momma pussy soaking wet I feel like I'm abort Lil bitch tryna record, hold up   Hold up, hold up, hold up, hold up, hold up, hold up Hold up, hold up   Take two I come with a few, just in case you looking like you do Imma pull up to the set with my nigga jayroo Pussy nigga now I'm bangin' it with my piru Lame bitches know I'm not gone fuck her, they the sue Imma catch a felon with a weapon like a troop Hop inside a foreign car tearing up the roof Imma slide ride pass 'em cause they do not sound like you 420, gettin' geeked out my mind, hey 420, I’ma pop ’em my spine, hey 420, 420, 420 nigga 420, 420, 20 Alka seltzer plus when I was standing on the block I served the J Nigga coming back to my whoadie and my nigga but I come and then I lay Going to the school nigga blood nigga know m bitches late So geeked out my mind for a wet T-C Got a pocket full Nose in my ring like a fucking bull",-0.8353,9,5,9,7,2,21,9,10,5,7
5,/songs/529773,Young Thug,730,https://genius.com/Young-thug-730-lyrics,http://api.genius.com/songs/529773,Birdman Presents: Tha Tour Part 1,2014-09-29," Ooh 730, 730 Ooh 730, brazy brazy Get with me bro We got London on da Track   These niggas ain't loyal they ridin' with royal He play I'mma leave him on fire, boil I'ma, I'ma, I'ma stunt the lil baby, yeah, spoiled Fuck nigga cannot be blood, he might as well be royal, blue Shoot up the coupe Pull up in Audi's the carbon will smoke the fuck nigga like Snoop Richie pass Thugga the boot, take off like a troop Bloods are with me back in 21 gun salute Everything come out your mouth is a fairy, no tooth IPhones and Blackberries when I pull up and serve you I might get gangster pull up to the set and murk too Nine racks inside of my pockets same size as my shoes, damn Still got yams, ya'll got grams I fuck ma'ams, y'all fuck grams Whoa, why so harsh? Why so dark? I got lotsa white, Bubba Sparxxx Know your bang royal, high as Sequoia (whoa) I got loaded, now I don't know you Bitch I'm slime, king cobra (slime) I drink sodas, no coke cola   (chee, chee) 730 (chee, chee) 730 (chee, chee) 730 (chee, chee) 730 (730!) (chee, chee) 730 (730!) (woo!) 730 (brazy brazy) 730 (go brazy, go brazy) I go, 730 (brazy) I go, 730 (ooh I'm going brazy) 730, 730 (hey), 730   I go 730 when I get the birdies When I go 730 do not get discouraged (go brazy, go brazy) I go 730 even if you nerdy I might go 730 if it's too perfect (go brazy, go brazy)   Slime these lil bitches, I slime these lil niggas I slime em, I slime em, I slime em all I'mma still slime your ass out if its not percocets its just tylenol I'mma slime your ass all by myself, I do not need no help at all (on blood) Bitches and niggas gonna come and gonna go and I know how to deal with ya'll (on blood) Come and enroll to the YSL school and I swear I'm the principal (slime) I do not care if you start from a dollar, it changes the principle (slime) Send a lil bitch inside the boy trap, slime him for his utensils (slime) And bring it back Slatt, slatt, slatt, whoa   (chee, chee) 730 (chee, chee) 730 (chee, chee) 730 (chee, chee) 730 (730!) (chee, chee) 730 (730!) (woo!) 730 (brazy brazy) 730 (go brazy, go brazy) I go, 730 (brazy) I go, 730 (ooh I'm going brazy) 730, 730 (hey), 730   Call up them crips and they goin' 630 Call up them bloods and they goin' 730 Call up them slimes and they goin' 730 Call up Rich Gang and they goin' 730 Call BMG and they goin' 730 Call YSL and they goin' 730 1,2,3,4,5,6, I go 730 Call up my crip partners, they goin' six-30 (woo!) They go bix-30 Pussy nigga thirsty",-0.993,9,6,22,12,6,15,14,9,5,10
6,/songs/510076,Young Thug,911,https://genius.com/Young-thug-911-lyrics,http://api.genius.com/songs/510076,1017 Thug 3: The Finale,2014-08-29," Nine-eleven You know I’m gonn' kill them when I call that 911 You know I'ma smoke on that hash till there’s nothing left You know I'ma cop them foreign cars till it’s none left Thousand dollar step, I’m in that 911 Tearing out the streets in that new 911 Motors become a beast when you get 911's Bitches turn their feets when you in 911's 911's, 911's   Tearing on the block, I don’t care about no cops I ain’t gonna never stop, they gonna race me to the top I’m in that 911, just don’t panic Whip it all up out that bowl, water, Titanic I think my car need a band aid, I’m bleeding through the streets Me and DK on the autograph, my car get a lease Ain’t nobody supposed to have it, I snatched it I gave 'em mostly green like a salad, not average Come across the ocean on a boat, then a train I’m not trying to go to prison but I’m blowing out the brains No shirt with a scarf on my head like Sudan Got a bank full of cash money, Baby and Wayne, dang   Nine-eleven You know I’m gonn' kill them when I call that 911 You know I'ma smoke on that hash till there’s nothing left You know I'ma cop them foreign cars till it’s none left Thousand dollar step, I’m in that 911 Tearing out the streets in that new 911 Motors become a beast when you get 911's Bitches turn their feets when you in 911's 911's, 911's   Brand new AP, came from OG double D R-I-fucking-P, 5 mill' spent in the streets You know we gonn' spaz, we gonn' kill her to find out But we street bees, we don’t have no honey hide out Bleeding like a fool, Memphis Mark, OG boo dirty Just hit my line when they ask I say “I know you heard me” OG Double D left everybody’s streets working I miss him, I got RIP OG Double D on all the birdies Feeling like Ken, hundred dollar bills on Tonka Trucks Riding round with so many sins, I ain’t gonn' tell 'em all that The pussy nigga hit the pen, I ain’t gonn' tell 'em fall back Catch me riding in the 9 11, banging fall back   Nine-eleven You know I’m gonn' kill them when I call that 911 You know I'ma smoke on that hash till there’s nothing left You know I'ma cop them foreign cars till it’s none left Thousand dollar step, I’m in that 911 Tearing out the streets in that new 911 Motors become a beast when you get 911's Bitches turn their feets when you in 911's 911's, 911's",-0.9944,15,5,9,23,5,31,14,14,3,14
7,/songs/684910,Young Thug,Above Dem Niggas,https://genius.com/Young-thug-above-dem-niggas-lyrics,http://api.genius.com/songs/684910,I Came From Nothing 2,2011-12-20," Thugger Hey, hey you, come here! Come here ho I mean, I eat you alive Come here   I've been gettin' money before you niggas And if they ever, ever play I'mma show you niggas I'm a thug, I swear I told you niggas And I ain't Young Money but I'm above you niggas Hey, no game'll control you niggas Keep a red flag cause I'm patrollin' nigga I say, no game'll control you niggas Keep a red flag cause I'm patrollin' nigga   I'm cryin' wolf, I'm on that kush, kush Got 23 grams of that (reggie?) so I mush, mush I get away from me, you tastin' me Your bitch patiently wait for me As I, fuck that These fuck niggas really play 'round here Ummm, actin' like Big Will ain't really the man 'round here Let YG come and stand round here Really? he’ll tell them fuck niggas really ran 'round here Oops I mean ran 'round here, got the gun 'round here And if your bitch ridin' here, she come 'round here Actually she comes 'round here Which means they fuckin' on her, she a pussy donor Sorry, my diamonds are yellow No Coronas   I've been gettin' money before you niggas And if they ever, ever play I'mma show you niggas I'm a thug, I swear I told you niggas And I ain't Young Money but I'm above you niggas Hey, no game'll control you niggas Keep a red flag cause I'm patrollin' nigga I say, no game'll control you niggas Keep a red flag cause I'm patrollin' nigga   I been throwed away what ya'll just got I'm with a bad bitch, she look like she from Baywatch And I gotta line that you don't wanna cross I get your head knocked off for an ounce of soft Put 'em in the lost and found, go kickback in my loft Inches fast growin' up and just laugh it off Anyway, I got bills bigger than ya'll And please, don't make me pull the semi That bitch sing a sad song with another end Don't make me send them goons to come and clean your premise All my goons strapped up, every clip extended And you can get it, pussy nigga, I'm in it   I've been gettin' money before you niggas And if they ever, ever play I'mma show you niggas I'm a thug, I swear I told you niggas And I ain't Young Money but I'm above you niggas Hey, no game'll control you niggas Keep a red flag cause I'm patrollin' nigga I say, no game'll control you niggas Keep a red flag cause I'm patrollin' nigga   I say we been gettin' money, that should be my middle name I'm just a young gunner tryna get a little fame You little niggas lame, bitch I am a renegade Before you shoot that burner, you gotta learn to penetrate But we gonna show them niggas Pull up and get (?) like we owe them niggas No deal but I'm at the front row of the Grammies Grab a Swisher Sweet and stuff 'em with them grammies Now we in the (?) suite No Halloween But we trick 'em and treat 'em Chopper make 'em spin Should I call that the ass cap? I'm at the finish line you still stuck at your last lap   I've been gettin' money before you niggas And if they ever, ever play I'mma show you niggas I'm a thug, I swear I told you niggas And I ain't Young Money but I'm above you niggas Hey, no game'll control you niggas Keep a red flag cause I'm patrollin' nigga I say, no game'll control you niggas Keep a red flag cause I'm patrollin' nigga",-0.9992,26,21,11,14,23,20,35,10,19,29
8,/songs/655315,Young Thug,Achieve,https://genius.com/Young-thug-achieve-lyrics,http://api.genius.com/songs/655315,I Came From Nothing,2011-06-08," Hey Thug, what they say homie? Check this out right, bein' broke, that's bad for my health, right? I got so much of this shit, I signed myself All I want you to do right now, I want you to talk to these folk And tell 'em how I really live, right? Cause we havin' so much money right now...   And I'm Su Woo but I wrote this with a blue pen And this the movement, please join in And they like ""Thug really do this"" And I'm lucky to tell ya'll this the blueprint And I wonder why they hatin' on me I guess the ice got they main bitches skatin' on me Maybe my car cause the next year's datin's on it TIP, I'm a young king, please put the cape on me Thug go in, curfew I'm on a lot of tracks, they say the Thug startin' to irk you And ya'll eatin' shit that's baby food, burp you If Wayne flow is kush, then my shit is on purple But my flow is sick, it's dyin', I need a donor And I'm so great, when I leave I need a corner I didn't ride a wheel so that Phantom gone need an owner And your ho be totally screamin' she's not a moaner I told Wayne I was ready for the paper like Usher He said cool, sit back, stay away from busters Now Thug got the big head, I am a gusher I am not the best but I am better than others   And I know you believe in me And I'm at the top you shall achieve with me And I'm not gonna stop so you'll succeed with me I have your body frozen, your degrees with me And I know you believe in me And I know, you know, I know you'll succeed with me And I know, you know, I know you'll achieve with me I have your body frozen, nigga freeze with me   I'm at the tip top, ain't no toppin' me I want the whole thing, now watch me re-rock a key And I ain't wanna flex, so I called bee-bee Sippin' on this mud got me bobbin' and leanin' I hopped out the porch just like Skooly Me and Young Thug on this one, it's a movie Pull up in that drop head, mouths drop like droopy Now they sayin' I got the big head like Stewie I took a break from the rap for a reason Now I ride drop head flyin' down Cleveland Whoever thought me and my crew be ridin' horses Paneramic car, that mean back to back Porsches They said I fell off cause I ain't brought the new whip through But when I bring it back, I'ma paint that bitch crip blue And still post up on the ave with my boy big blue And a hundred young niggas and they all screamin' Su Woo I went to church just to chill in the pulpit And Mario got shot, yea that's still some bullshit But Thug, I can't let it handle you I'mma take you off to Cleveland, aka the Zoo   And my bitch look like a barbie I have a new spot, Houston no Marcus Nigga you don't wanna start it Lil Tee bring the troops, we the sergeants Ride the beat like a ROC crew Harley And if ya'll ballin' with the bands we Spalding Bet a couple M's and I'm all in And I'm so high, in 10 days I still be fallin'   And I know you believe in me And I'm at the top you shall achieve with me And I'm not gonna stop so you'll succeed with me I have your body frozen, your degrees with me And I know you believe in me And I know, you know, I know you'll succeed with me And I know, you know, I know you'll achieve with me I have your body frozen, nigga freeze with me   Yea, and I'm the motherfuckin' realest And any nigga hear about me they say Young the fuckin' illest And ya'll motherfuckers brainless, no ceilings Bought the new Bentley coupe, the roof I had to fuckin' kill it Bought my bitch the new Audi, we have to switch cause I like it When I don't like to drive, we bought the jet so I can fly it They say I'm sexy but the face look kinda mean so don't fright it And niggas know I'm shootin', they say they don't? Then they lyin' And if they say they shot back they a front The only niggas shot that was the rats So shoutout to the rats I'm the realest, no front I'm sorry I had to kick it like a punt, yeah   And I know you believe in me And I'm at the top you will succeed with me And I'm not gonna stop so you'll succeed with me I have your body frozen, your degrees with me And I know you believe in me And I know, you know, I know you'll succeed with me And I know, you know, I know you'll achieve with me I have your body frozen, nigga freeze with me",0.9949,23,23,19,24,21,31,44,16,21,27
9,/songs/4536239,Young Thug,Add It Up (Muddy),https://genius.com/Young-thug-add-it-up-muddy-lyrics,http://api.genius.com/songs/4536239,None,2019-05-16," Ayy, ayy, ayy, yeah, I told her Hey, ayy, hey Hey, double up my cup, I like it extra muddy (Mike Will made it) (Go, go)   Hey, double up my cup, I like it extra muddy VVS on us, [?] flooded I didn't want this [?] She brought her friend with us so she can help her suck it I can’t say no-no-no-no-no-no-no My diamonds shinin' like they headlights, headlights (Aw no-no-no-no-no-no) Ohh, I hit these bitches with that get right, get right   Naw-naw-naw-naw-naw-naw-naw I ain't gettin’ inside no [?], no way I'm big dog-dog-dog-dog-dog-dog Ain't scootin' down to your size, no way, no way She come around-round-round-round-round-round All she wanna do is fuck and watch, she watch it I'm so-so-so-so-so-so-so I was in the club with my bro last night, she's a thotty Ayy, they need to thotty dance, make me a thotty dance She could never be mine, she loud as a ambulance I go brazy, I go Taliban Tell 'em man, I'm the real man, I’m not that other man Hey, I’m not sweet, I'm not no sucker, man I’m on that bitch like I'm a cover, man I feel like these bitches owe me like the government Me and Lucci got two twins like we [?]   Hey, double up my cup, I like it extra muddy VVS on us, [?] flooded I didn't want this [?] She brought her friend with us so she can help her suck it I can't say no-no-no-no-no-no-no My diamonds shinin’ like they headlights, headlights (Aw no-no-no-no-no-no) Ohh, I hit these bitches with that get right, get right   Oh no-no-no-no-no-no I made a million, honest I ain't ever sell my soul Count the bankroll, I ain't worried 'bout a bitch Cause them hoes come and go I'm just tryna hit your camel toe Get low like you do the tootsie roll I ain't goin' back and forth with these niggas Lamborghini, lift the doors on these niggas Try me, then my trigger finger start itchin' I know you trickin', got a lot of miles on your engine Made a million, make a million more Hoppin' out the 'Rari, plenty love I'm shittin' on you niggas, toilet bowl   Hey, double up my cup, I like it extra muddy VVS on us, [?] flooded I didn't want this [?] She brought her friend with us so she can help her suck it I can't say no-no-no-no-no-no-no My diamonds shinin' like they headlights, headlights (Aw no-no-no-no-no-no) Ohh, I hit these bitches with that get right, get right",0.9546,13,10,12,11,11,22,18,8,1,11
