,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
0,0,/songs/48654,Yung Joc,1st Time,https://genius.com/Yung-joc-1st-time-lyrics,http://api.genius.com/songs/48654,New Joc City,2006-06-06," Hey love, you remember your first time? (New Joc City) Get dat with a real nigga? (Block Entertainment) Well let's talk about it (Bad Boy South)   It ain't nothing like the first time I'm tryna tell you I can blow your mind Baby, if I touch you here and kiss you there Gonna fall in love, shorty, best beware There ain't nothing like the first time I'm tryna tell you I can blow your mind Baby, if I touch you here and kiss you there Gonna fall in love, shorty, you best beware   This ain't no love song, mo' like a cut song You say your day was long, well tell daddy what's wrong I'ma tell ya one time, just relax and unwind Whisper sweet nothings now you're blushin' chills down your spine Oh yeah you hot and tempted, oh no not Pretty Ricky But when you grind on me, Imma leave you hot and drippin Slip in those satin sheets, now go and roll over Oh yeah its up and down motions like a rollercoaster I see she up on top, you all on my jock I'ma do it non-stop until your cherry pop I'ma keep goin' and goin', the Energizer Bunny Mr Long John all in your tummy   It ain't nothing like the first time I'm tryna tell you I can blow your mind Baby, if I touch you here and kiss you there Gonna fall in love, shawty, best beware There ain't nothing like the first time I'm tryna tell you I can blow your mind Baby, if I touch you here and kiss you there Gonna fall in love, shawty, you best beware  [Verse 2: Yung Joc & Marques Houston] Won't ya let me introduce ya, to thug Karma Sutra This ain't no lovey dovey, nah but watch how I seduce ya Girl I'm the man, I- I- I'm the man I push the right buttons and the sex on demand Oh yeah I like it slow, baby, be easy Ooo, watch ya teeth, baby, be easy Tell me your Vicky Secrets, tell me all the dirt You smell like peaches, must be Bath & Body Works Love the way yo' body work, I'ma make yo' body rock Once you climax, you feel the aftershock I know I got you hooked on this lovin Don't get it twisted, we just cuttin', baby   It ain't nothing like the first time I'm tryna tell you I can blow your mind Baby, if I touch you here and kiss you there Gonna fall in love, shorty, best beware There ain't nothing like the first time I'm tryna tell you I can blow your mind Baby, if I touch you here and kiss you there Gonna fall in love, shorty, you best beware   Yeah, I know I know, I still ain't went soft But I gotta go, let's hit the shower baby, it's time to rinse off I'll wash yours, you wash mine, I'll adore it the first time I blew yours, you blew mines, sometimes I'll drop you a line But look, don't tell nobody, just keep it on the low Not your best friend, not your cousin, nobody's gotta know I know it sounds crazy, but that's just how it is Yung J-O-C, long live, long live   It ain't nothing like the first time I'm tryna tell you I can blow your mind Baby, if I touch you here and kiss you there Gonna fall in love, shorty, best beware There ain't nothing like the first time I'm tryna tell you I can blow your mind Baby, if I touch you here and kiss you there Gonna fall in love, shorty, you best beware   M.H. and Joc, shorty we gon' give it to ya Mmhmm, yeah I know y'all wasn't expectin' that M.H. and Joc, shorty we gon' give it to ya, girl Welcome to ""New Joc City"" Hey, oh, oh baby Goodnight",9,42,6,13,39,32,49,11,14,12,0.9995
1,1,/songs/77413,Yung Joc,500 Horses,https://genius.com/Yung-joc-500-horses-lyrics,http://api.genius.com/songs/77413,Grind Flu,2009-08-11,"  (Yeah boy) I walk in my garage (yeah boy) I got a lot of choices (yeah boy) Should I ride the Benz Or should I ride the Porsche Ima ride the slab, cause it match my Air Forces I need to build a stable, to hold all of my horses (yeah boy)  I got 455, imagine having two Yeah, this is how it feels ridin' 500 horses I can't hear the music, the pipe's too noisy This is how it feels ridin' 500 horses    High speed chase twelve(?) can't catch me Five hundred horses, that's a stampede Magic city ? Young, rich, and thuggin' plus the whole hood ? Pullin' off the lot lookin' like I push big block '69 Camaro 396 big block All original interior I like my shit stock I'm the way to MLK I gotta make a pit stop Pull up to the rim shop flip flop, swag it out Porsche truck super sport, take it to my partner's house Four cups of that ocean spray, lookin like a tidal wave No leans ? check out what the title say Harley Davidson truck pullin' up I got the right of way Perforated leather smell like ? in night or day Connected all over the place, 52 United States ?, kiss my ass, ? license plate   I walk in my garage, I got a lot of choices Should I ride the Benz, or should I ride the Porsche? Ima ride the slab, cause it match my Air Forces I need to build a stable to hold all of my horses I got 455, imagine havin' two, yeah This is how it feels ridin' 500 horses I can't hear the music, the pipe's too noisy This is how it feels ridin' 500 horses    I got 500 horses, the whip got me giddyup 30 inch rims ? Where your top go? Man I had to get rid of her Take your shoes off baby doll before you sit in here Boom, then we gone, bout 150 m-p-h Pullin out the old school, just so I can see 'em hate Runnin through the city lights, watchin' for the city cops Got these people breakin they neck to see my diddy bop Could've had the 'maro but I'm always in the Challengers 10 stacks to race, do I have any challengers? Wet like a ?, 500 horses, that's 500 W's, I'm rackin' up on pink slips      You can tell them little ponies I got 500 horses And when it come to hoes I got like 500 choices Motor keyed up, beat turned up loud Lean in my cup, yeah the kush bag loud Ran up my check, old school back in the shop again Call momma candy tell 'em go back in my block again Ooh, look I'm peelin out, lookin' like a star Hit the club racked up, I might just buy the bar Turbo twin pipe, hit the gas I'm on that fast shit Money, money, money, money, all about that cash shit Old schools, new schools, Lambos, Porsches This is how it feels ridin' 500 horses  ",19,9,12,6,12,21,25,4,8,30,0.3313
2,2,/songs/48667,Yung Joc,A Couple Grand,https://genius.com/Yung-joc-a-couple-grand-lyrics,http://api.genius.com/songs/48667,None,2011-03-28, A couple grand price tag on your head leave you laying where you stand A couple grand price tag on your head on your head on your your head A couple grand price tag on your head price tag on your head A couple grand price tag on your head leave you laying where you stand   Watch him die slow then his eyes roll in the back of his head Now his body cold a couple grand a couple shots Couple drip drops now your leakin won't stop bitch I'm the man just ask block Shots rang out you could hear it for a couple blocks Bitch whats my name call me Yung Joc I got a great aim all I need is one shot Everybody talking in my neighborhood I got great lawyers Cause my paper good leave your body riddled wheezing and coughing Hear about it live Fox Five with Monica Coffin You fuck with mine I'll cause your life line I'm a graffiti paint chalk outlines And the worst part (What it is) is I'm not a coward Visit your wake and give your mama dead flowers   This is not a movie (cut) no reruns (aww) All sales final no refunds Once I make the payment the hits out I'm not Jeezy I ain't swappin shit out First I tell'em (what you tell'em) Where I what done in the back yard Ight in front of your son then I tell'em (what you tell'em) Where to drop him off in the Chattahoochie With his dick chopped off (damn) Yeah it sounds harsh but it's well deserved Feed his ass to the sharks for hors d'oeuvres No remorse no pity This could happen to you in New Joc City   I gotta couple killers down in free trail Put glass in your boogie shit your guts leak out The sheriff call your mother and she freak out Got her hittin member up got him on speed dial Ooh it ain't nothing but a call away Come home find your baby sister in the hallway 911 but it's too late She looking like a maxi pad bleeding through the duct tape  ,10,5,9,11,3,25,6,16,7,3,-0.7061
3,3,/songs/1788173,Yung Joc,Birds,https://genius.com/Yung-joc-birds-lyrics,http://api.genius.com/songs/1788173,Grind Flu,2009-08-11,"[Hook∶ Nicki Minaj (Yung Joc)] Birds, birds, birds, birds, birds, birds, birds, birds (They fly high, don't they?) I was watchin' all the birds on Bouldercrest Street Watchin' all the birds go tweet, tweet, tweet (C'mon) Birds, birds, birds, birds, birds, birds, birds, birds I was watchin' all the birds on Bouldercrest Street (Ay Gucc) Watchin' all the birds go tweet, tweet, tweet (Let's give a holla at 'em)   Okay it's thirty-six stones on the face of my watch Got thirty-six zones with the [?] in the pot I got a thirty-eight chrome that'll blast on spot Nigga, you don't wanna see me when I'm thirty-eight hot Yeah, I pay a couple cops just to go and hush 'em up And we keep that straight drop, we don't play that touch and bust Got a sixty-nine Chevelle, pimpin', everything for sale Wrap 'em in the turkey bags, even dogs can't smell When I take my shirt off, all the hoes stop breathin' When hit the purp I damn near stop breathin' Yeah, I'm in and out of traffic, got the old school weavin' The ice so cold all the hoes start sneezin' (Achoo!) I'm super p-noid, Joc on alert Ridin' dirty with the word ""no insurance"" on the [?] I got a couple runners and they don't make beef I got a full team and all we do is play street Mookin' Playboy, choppers on deck and we keep a party packed for the papas on deck Then I hit my nigga Gucci and partner OJ They got some niggas at the four-way movin' four ways  [Hook∶ Nicki Minaj (Gucci Mane)] Birds, birds, birds, birds, birds, birds, birds, birds (Okay J, jail still nothin', huh?) I was watchin' all the birds on Bouldercrest Street (Nicki!) Watchin' all the birds go tweet, tweet, tweet (Gucci!) Birds, birds, birds, birds, birds, birds, birds, birds I was watchin' all the birds on Bouldercrest Street Watchin' all the birds go tweet, tweet, tweet   Niggas on personal, more in person but I'm twerkin' I'm o national, trafficking, call that networkin' The bird chirpin', it's [?] past perfect Like J Worthy I dropped twenty plus last Thursday But I'm Wilt Chamberlain, [?] dancin' and dang-a-langs Pie, squish, scraping, cooking kettles and bakeries You hustlers lazy ass, blow your wages on marginals Grey kush, white caine, pill color of cardinal I blowed up, I'm blowin' up, no particles Gucci Man's a trapper but that question's rhetorical Go ask an oracle, better yet read an article Fans use binoculars, Gucci sellin' tilapia Twin choppiers, papias stand on top of ya Helicopter transferrin' you to the top-a-rung See I'm the author of [?] in charge of ya While I burn a million my kitchen just like an Oscar nod   Birds, birds, birds, birds, birds, birds, birds, birds I was watchin' all the birds on Bouldercrest Street Watchin' all the birds go tweet, tweet, tweet Birds, birds, birds, birds, birds, birds, birds, birds I was watchin' all the birds on Bouldercrest Street Watchin' all the birds go tweet, tweet, tweet  [Verse 3∶ OJ da Juiceman] Thirsty zone, thirsty zone, a thousand a gram, bitch Workin' on that boater cred, [?] [?] shoe walkin' and my pinky ring big as shit [?] bounce them spots, they all cram with them bricks Stay down, stay down, trappin' at the bus stop Runnin' ten cars, throwin' stacks like they hopscotch Pensacola shorty, bomb and she bougie Right hand turnin' and [?] Million [?] a day, goddamn I trap stupid VVS diamonds, make a little movie Slap that bitch in brinx, got my trap ass movin' [?], call that bitch the mueller Young Drew Manning, I'm the big abuser Thirty-four, thirty-four and still [?] used her See-through pyrex, got my cookies [?] Left wrist retarded dog, call my shit fruity Seventy-two donks, same color as Rudy Bitch pay her phone, got my traphouse boomin' Birds, birds, birds, okay let's move it! Birds, birds, birds, let's make a damn movie!",16,10,10,9,6,23,23,6,4,19,-0.9961
4,4,/songs/71866,Yung Joc,Boo Koo,https://genius.com/Yung-joc-boo-koo-lyrics,http://api.genius.com/songs/71866,None,2011-03-28," Welcome to Mr. Robinsons neighborhood You know what it is It ain't no different form anyone elses hood (boo koo) You come through here you gonna see boo koo shit Playboy, talk to em   Anything that you got a lot of (we say boo koo) Anything over 1000 dollars (we say boo koo) Over 50 goons when you squad up (we say boo koo) 30 inches on your impala (we say boo koo)   Yo, I got boo koo flavor I got boo koo gators I got boo koo paper so you know it's boo koo haters I got boo koo chips I got boo koo dip I got boo koo clips so it's boo koo hollow tips I blow boo koo dough I blow boo koo dro I blow boo koo smoke So I boo koo choke Boo koo trap niggas Boo koo rap niggas Boo koo cap pealas Yeah, that's boo koo claps nigga Underground railroad Cuz I got boo koo chains Night of the living dead Yup, I get boo koo brains Boo koo miles per hour I switch boo koo lanes Bookoo folks love me So I get boo koo thanks   Anything that you got a lot of (we say boo koo) Anything over 1000 dollars (we say boo koo) Over 50 goons when you squad up (we say boo koo) 30 inches on your impala (we say boo koo)   I got boo koo yoda I need boo koo soda I got boo koo pots I need boo koo rollers I got boo koo freaks Serve them boo koo meat Hear me from up the street Yeah, I got boo koo beats Check my sneaks I rock boo koo ones Check my receipt I drop boo koo ones Boo koo patron shots I need boo koo limes I hear boo koo shots, bookoo body outlines Joc and the beanstalk I got boo koo beans I wanna fuck Lil Debbie Cuz she got boo koo cream Boo koo pipes Boo koo ice I bet you like my album My shit is boo koo nice   Anything that you got a lot of (we say boo koo) Anything over 1000 dollars (we say boo koo) Over 50 goons when you squad up (we say boo koo) 30 inches on your impala (we say boo koo)   Yeah I boo koo pimp I got boo koo bitches Don't try me dog You'll have boo koo stitches Check my hairline I got boo koo waves I served my time I did boo koo days You dont want these problems, we got boo koo tools Lights, camera, action, we make boo koo movies We make boo koo plays Bookoo reruns We make boo koo flips No refunds Pop boo koo bottles Gone throw it up Boo koo niggas on your furniture We done tore it up Don't know how to act But we do boo koo stunts We got boo koo sacks so we need boo koo blunts I got boo koo grams You could have boo koo lines By now you know what boo koo is I said boo koo boo koo times   Anything that you got a lot of (we say boo koo) Anything over 1000 dollars (we say boo koo) Over 50 goons when you squad up (we say boo koo) 30 inches on your impala (we say boo koo)  Anything that you got a lot of (we say boo koo) Anything over 1000 dollars (we say boo koo) Over 50 goons when you squad up (we say boo koo) 30 inches on your impala (we say boo koo)",8,6,4,6,3,92,9,6,5,6,-0.7947
5,5,/songs/858395,Yung Joc,Bottle Poppin',https://genius.com/Yung-joc-bottle-poppin-lyrics,http://api.genius.com/songs/858395,Hustlenomic$,2007-08-28,"Chorus: Gorilla Zoe We bottle poppin, we-we bottle poppin,(aye)  Say-say u gettin money, we-we ain't seen nuttin We bottle poppin, we-we bottle poppin  Say-say u gettin money, we-we ain't seen nuttin  Yung Joc I pull up to the club, jumpin' out of rovers Lookin' like a car show, dat's da way we roll up Dope bois showin love, all da ho's know of us Need extra security, dey know dey can't control us I see some niggas hatin, I keep dat supersoaker So I V.I.P. my way standin on da sofas Now watch me demonstrate da way a playa post up I don buried cha weight, u know we throw dem toast up Say ya gettin guap, well shawty we ain't heard bout it Finna set-up shop, well we ain't even worried bout it Word on da block, oh dey say u servin pie I think ya need ta stop, I got some killas dat'll get dat work up out 'em I dont got luv fa u busta's, unless u my kinfolk Yea u smell dat fruity fruit err'time da wind blow I throw away dat chump change, I'm all abot dat bigga dough Joc a real hood nigga, just like Gorilla Zoe  (Chorus) Gorilla Zoe When da money start droppin, all da ho's start jockin When dem ho's start jockin, dem bottles start poppin When dem bottles start poppin, know dat we're not stoppin Imma keep bringin bottles, den dem models start flockin Imma throw a stack, she gon' throw it back I pop da rubberband, she gon' pop ha back She know dat I ball, she gon' grind da wall She gon' bust it open, fo me & my dawgs Got boi's in da club comin' fresh from the trap Watch dem boi's cuff they gurls, cuz dey know we got dem stacks We in da middle of da flo' blowin cush packs I got my workers in da bathroom, sellin pill packs Now da party don't stop cuz dey we got dat guap She gon' make ha booty clap and Imma throw another knot When da money still phat, dey know dat its a wrap Bottle poppin ova here, tell dat DJ run it back  (Chorus) Yung Joc When my nigga Steve died U know we popped dem bottles Niggas tried to run & hide We went lookin wit dem choppas Now it's time to take a ride in dat all black Impala If u niggas think im lyin' I put dat on my momma And dats why err'time, his birthday come up Imma hit da town, from sun down-ta-sun up Buy a couple rounds, till dey all get drunk up Fo my nigga, I'm a clown Like the numba 1 stunna Yea we in da club, my niggas on a pill or two Throw dat bitch a dub, tell dat ho' ""I'm feeling you"" Pour ha some of dis bub, yea dat's what I'm finna do Den I ask a question, ""shorty what'chu in to?"" Den she started blushing, told me bring a friend or two A whole lotta rubba's we gon' cut her like a gin-su Flexin bout some money, dat's da shit beginna's do She know I'm gettin' money and she wanna be a winna too  (Chorus)",15,24,6,9,16,20,32,6,14,19,0.2933
6,6,/songs/48642,Yung Joc,Brand New,https://genius.com/Yung-joc-brand-new-lyrics,http://api.genius.com/songs/48642,Hustlenomic$,2007-08-28," + (Yung Joc) Yung Joc (sup?) What it do nephew? (You know what it is) All brand new shit   It ain't my fault (it's not my fault potnah) That everythang you get, is, used (and you, you, you probably can't help that) (That, you know) And I buy all my shit brand new (I don't have a problem with spendin the money y'know?) When I walk into the room, they, choose (I mean heh, I'm Yung Joc man) (C'mon~!) Cause they know my whips, my ice is brand new   From my fitted down to my shoes I enter the room and your bitch might choose Look me up and down from my head to toe They point the exit then I tell 'em ""Let's go!"" S5, don't forget the fifty What it cost me? About a hundred fifty DAYUMN!! What's this? Why it's so sticky? That's good kush, quarter cost you 'bout a hundred fifty Seal the leather, still brand new Lookin at the sky through that panaromic view She say she like my jeans, even like my sneaks Thats the new Guccis, five hundred a piece (a piece?) I make her smile, when I smile back Check the do's, Caddy stones, yeah I bought that Baby we can go to Paris or Toronto Brand new shades, who's that? Ferragamo   Never drive the same car twice You still buying chains; I'm into chippin ice Y'know? Is it real or fake, how much a killa make? I'm 'bout ownin somethin, ya dig? Real estate I'm in the '08 Escalade, with brand new Gucci shades I'm flingin it, and singin it, while stayin up for days You know my entourage, I does it extra large Blue bezels for my nizzles double what you charge So whenever you see me you know I'm fresh to death French tip on my nails and now my hair is fresh In some brand new clothes, with some brand new hoes Is them Phantom do's, on that brand new Rolls On another level, blue rose petals And when I walk the block I make everyone wanna talk a lot To brag and boast that ain't my style, to highside and profile I'd rather blow a pound with my Pound and do what you say   I let her fantasize, I'm a fanstay She couldn't fathom us fuckin on top of Phantom seats Now we worldwide, speakin different laguages Ma, Puerto Deo, now can you hang with it I'm a boss girl, you lookin for a job? Fuck me on your lunch break and you're sure to star Get a raise when that brain keep me in a daze Custom made suede Gucci shoes I'm on another page And my money so long My money so long, I swear my money so long (ye ain't lyin) Murciélagos just for the car do's This the main event, those niggas is sideshows Where I reside ho, you're considerd a side ho Air train and peanuts, it's time to slide ho Where I reside ho, you're considerd a side ho Air train and peanuts, it's time to slide ho     That's so cold Yung Joc, what it do nephew? All brand new shit, yeah boy! Dig, yeah that's my nig I'ma smoke on out like that dere I'ma jump off in this brand new car I got Brand new shoes and brand new outfit This brand new sack of chronic I got I'm lookin at this bitch like oh yeah I'm actin all brand new I don't even know you f'real That's the business... see ya~! It ain't my fault Hehe, it ain't my fault! It ain't my fault my nigga Everythang you got is used That's a used chain, nigga had that chain on like fo' years ago That's some used shoes you got, the automobile is used Nigga you don't even... all that shit nigga Your bitch is used too nigga Yeah, it's all hood though It ain't my fault, we just gon' keep doin it So brand new, oh-seven, yeah",20,13,11,9,10,32,27,14,10,19,0.6733
7,7,/songs/859074,Yung Joc,Buy U A Drank (Shawty Snappin'),https://genius.com/Yung-joc-buy-u-a-drank-shawty-snappin-lyrics,http://api.genius.com/songs/859074,None,2011-03-28,"Shawty snap (yeah) T-pain Damn, shawty snap, Yung joc (shawty) Hey, hey she's snappin'  Snap ya fingers, do the step, you can do it all by yourself Woo, baby girl, what's your name? Let me talk to you, let me buy you a drink I'm T-pain, you know me Konvict music nappy boy ooh I know the club close at three What's the chances that you are rollin' wit' me? Back to the crib, show you how I live Let's get drunk, forget what we did   I'm a buy you a drank (Then I'm a take you home with me) I got money in the bank (Shawty, what chu think about that? Find me in the gray Cadillac) We in the bed like (Ooh, ooh, ooh, ooh, ooh) We in the bed like (Ooh, ooh, ooh, ooh, ooh)  Talk to me, I talk back Let's talk money, I'll talk that Krunk juice bombs, Oakley shades Shawty got class, oh behave Let's get gone, walk it out (walk it out) Just like that; that's what I'm talkin' 'bout We gon' have fun, you gon' see On that Patron, you should get like me   Won't you meet me at the bar? Respect big pimpin' Tell me how you feel, mama, tell me what you sippin' A certified dime piece deserves Lou-ey one-three One-fifty a shot, three for you and three for me I'm checkin' yo' body language; I love the conversation And when you lick your lips, I get a tinglin' sensation Now we're both 'bout tipsy, you say you in the mood All I need is 'bout a hour, better yet, maybe two (two) Let me take you where I live, Ferrari switch gears When I whisper in ya ear, ya legs hit the chandelier Passion fruit and sex all in the atmosphere I'm a let T-pain sing it so he can make it clear   Let's get gone, walk it out (Now walk it out, think about it, ah, snap) Now rock, rock, rock, rock You can do it all by yo' self Let's get gone, walk it out (Now walk it out, think about it, ah, snap) Now rock, rock, rock, rock You can do it all by yo' self  ",9,7,5,5,10,15,26,8,5,9,0.9798
8,8,/songs/48644,Yung Joc,BYOB,https://genius.com/Yung-joc-byob-lyrics,http://api.genius.com/songs/48644,Hustlenomic$,2007-08-28," Joc Joc don't stop, oh my God you're so hot Catch me on yo' block with 4 Glocks and 4 shots Bet you niggas know not, try me like a ho not Niggas run in, kick the do', fuck a do' knock Gotta make the quarter, I mix it with the soda I chop the dope and sell it with the Razor Motorola Hold up 'fore I have to load up, hollow tips they explode up Leave you pussy niggas wet as chocha stankin with the odor   Bring your own beer to the party - aight~! Bring your own beer to the party - aight~! Bring your own beer to the party motherfuckers Cause I heard you came to have a good time - aight~! Alright, alright, alright, alright - ah let's go~! Alright, alright, alright, alright - ah let's go~! Alright, alright, alright, alright - ah let's go~! Alright, alright, alright, alright - let's go motherfucker!   Yeahhhhhhhh Yung Joc so jiggy, Lear Jet to yo' city Monday night, Magic City, thunderstorm when I'm tippin Ice game, super nifty, super kush, two for fifty Fat boy yellin out, pop bottles 'til I'm tipsy I like my chick booty big-o, lay my head on them big ole's Put her on her tiptoes, I get up in the middle I don't wine them, dine them, or rest have 'em I'm the #1 playboy, I press play and   Party like a rockstar, better yet, block bar Lighter to the ceiling, grab a beer, pop the top boi I.F. so clear, freezer burn both ears Elders say ""Oh dear"" when they hear I'm near Rubber burn first gear, platinum on my first year Wood on my sheer, put my wood all in her grill Roof on fire, sound the alarm We don't need water (let the motherfucker burn)   Ha ha, 5 4 3 2, R-2-D-2 Let me see your robot, a little dance that we do Pyrite, no left, I'm hype, with no help On cloud 9 - heart racin like Corvette I need a material girl in a material world Give me slim on the backseat of my Imperial girl Go and show me what you work with, girl that's a perfect fit Hold up, stop, it hurts when you twist it   - to fade",6,6,2,7,8,17,18,6,8,10,0.9889
9,9,/songs/48647,Yung Joc,Chevy Smile,https://genius.com/Yung-joc-chevy-smile-lyrics,http://api.genius.com/songs/48647,Hustlenomic$,2007-08-28,"{*screw voice: ""Hustlenomic$!""*}   + (Yung Joc) Pull out the Chevrolets nigga (Well if they gon' put 'em out, what year they need to pull out Trick?) Pull out the 71's, 72's & seven-treys nigga (Haha, well tell 'em who ya is shawty) The Don Dada, the dump riders, yours truly (that right) Trick Daddy Dollars~! (See what did, I said, I'ma go get a real nigga who know 'bout muh'fuckin Chevy) (Inside and out from the motherfuckin digi-dash, to the motherfuckin pipes) You better believe it (hehe, you know who it is) (Trick Daddy, Yung Joc, let's go)   + (Trick Daddy) I like the way (I like the way) the grill on my Chevrolet smile I like the way (I like the way) the rims on my Chevy go round I like the way (I like the way) the top on my Chevy go down I like the way (I like the way) the Chevy make the girls go wild   6-4 Chevrolet, S-S-M Twenty-fo' of suntan, thatat fresh pimp You think I'm ridin peanut butter, naw that's chocolate chip I love the way the paint drip, love the way the paint flip Head got the antique step, fishbowl lamp Fo'-fifteen beatin with the two stolen amps Move away with the butterfly, do's on suicide Five percent tint keep them hoes guessin who inside Now the neighbors mad cause my feet down low Now the haters mad cause they freaks down low Yeah the color scheme match these new Gucci loafers Plastic on the seats like my grandmama sofa   I got the work to match the hard top, fresh out of supermart And e'rywhere I go they follow the car show Yo, I hit a right, they hit a right I hit the gas and leave they ass 'bout fo' or five lights Gettin followed by these bougie broads, because they like the car They dig my swag, too bad bitch, this ain't for y'all This for them 'bout it bitches, all about the dollar bitches Independent, but love fuckin with real niggas This for my thug niggas, gettin rich drug dealin My trap stars with big walls and fast cars Dunk ridin, trunk poundin, glass-housin Now that's some real down South shit   Got the grill on my Chevy like TV juggins Smile so bright, you can see me comin Say you wanna race, playboy we can run it Say you got a Hemi, my Chevy'll out run it I hope you got navigation cause pimpin you lost Police thank you smokin good, that's just my exhaust Betta get some antifreeze and let you shit cool off Minks on my flo' bitch, take your shoes off Treat my Chevy like a 'llac, dont slam my do's I'm ridin like a mack, backseat full of hoes I got a kush pack, we gon' blow this whole O Matter fact, let your seat back and ride out slow   Come chill with me if you wanna see what I'm ridin on (Ay Jazze look what I'm ridin on playboy) I might even take you home (y'all know who I be man) I might even take you home (it's your boy Big Block man) (The Eastside Chevy rider)   In my Chevy (What'chu ridin on?) Dubs (What'chu ridin on?) Dueces (What'chu ridin on?) Tres (What'chu ridin on?) Fo's (What'chu ridin on?) Sixes (What'chu ridin on?) Eights (What'chu ridin on?) 30's (What'chu ridin on?) That's the way I stay {Ay Joc, tell the truth though playboy} (What'chu ridin on?) Dubs (What'chu ridin on?) Dueces (What'chu ridin on?) Tres (What'chu ridin on?) Fo's (What'chu ridin on?) Sixes (What'chu ridin on?) Eights (What'chu ridin on?) You can call me a Chevyweight!",20,8,12,12,10,32,29,11,12,18,0.9771
