,Unnamed: 0,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,/songs/3085025,Zac Brown Band,2 Places at 1 Time,https://genius.com/Zac-brown-band-2-places-at-1-time-lyrics,http://api.genius.com/songs/3085025,Welcome Home,2017-05-12," I’ve seen the Northern lights Paint the sky in shades of green And I’ve seen the daisy’s dress of white Laying on those mountain peaks   And my heart knows a way back home When the wind sings that old familiar song   ‘Cause I’ve been all around the world Seen things that no one would believe Thought I was lookin’ at a picture In some fancy magazine And out of everywhere I’ve been Oh it kills me every time If I could only find how to be 2 places at 1 time 2 places at 1 time   I’ve seen the sun spin weeds of gold On those Oklahoma plains I’ve seen the moon a million times On those Santa Rosa waves   And my heart knows a way back home When the wind sings that old familiar song   ‘Cause I’ve been all around the world Done things that no one would believe Thought I was livin’ in a movie on that giant silver screen And out of everywhere I’ve been Oh it kills me every time If a man could just divide, I could be 2 places at 1 time 2 places at 1 time   How can I keep what I got when I don’t know what I’m missin’ Meeting islands when I home Miss my family when I’m gone I’m gone, I’m gone   ‘Cause I’ve been all around this world Lived things that no one would believe Never thought I’d move so many people They gave this life to me And out of everywhere I’ve been Oh it kills me every time Maybe I’d be satisfied if I could just divide, and be 2 places at 1 time 2 places at 1 time 2 places at 1 time",-0.9313,0,18,0,4,5,3,10,3,1,6
1,1,/songs/332500,Zac Brown Band,All Alright,https://genius.com/Zac-brown-band-all-alright-lyrics,http://api.genius.com/songs/332500,"The Grohl Sessions, Vol. 1",2014-04-28," Made me grow Then you cut me down A north wind on a garden growing You made me think you were mine Then you changed your mind I'm lost as a feather In a hurricane There's no way to measure If I'll ever OK, OK let me tell you   There's no good reason why I can't move on I lay my heart on these tracks When your train comes along   And it was all alright Now it's all, all wrong That's just how It goes when you're gone   You may not realize All the lies at the time but The truth will find you Storm is going to come Going to wash you away like Sodom and Gomorrah   There's no good reason why I can't move on I lay my heart on these tracks When your train comes along   And it was all alright Now it's all, all wrong That's just how It goes when you're wrong   Go out in circles Like an old golden bed As cold as the pillow By your empty nightstand Then something comes over me I lose my head I guess god did not make me A one woman man   I'd have a lot to give If I still gave a damn That's just how It goes when you're wrong   And it was all alright Now it's all all wrong But that's just how It goes when you're gone   And it was all alright Now it's all wrong And that's just how It goes when you're gone When you're gone When you're long long gone",-0.9188,4,9,3,3,5,13,9,3,4,6
2,2,/songs/3061087,Zac Brown Band,All the Best,https://genius.com/Zac-brown-band-all-the-best-lyrics,http://api.genius.com/songs/3061087,Welcome Home,2017-05-12,"I wish you love And happiness I guess I wish You all the best I wish you don't Do like I do And go and fall in love with someone like you  Cause if you fell Oh, like I did You'd probably walk around the block like a little kid But a kid don't know He could only guess How hard it is To wish you happiness  Well I guess love Is like a Christmas card You decorate a tree And throw it in the yard It decays and dies And the snowmen melt Well I knew love I knew how love felt  I knew love Oh, and love knew me When I walked around, love walked with me But I got no hate And I got no pride But I got so much love that I cannot hide  So you drive a Chevy So you drive a Ford So you drive around all night till you just get bored Then you change your mind For something else to do Then your heart changes your mind and it changes you  I wish you love And happiness I guess I wish You all the best I wish you don't Do like I do And go and fall in love with someone like you  If you fell Oh, like I did You'd probably walk around the block like a little kid But a kid don't know He could only guess How hard it is To wish you happiness How hard it is To wish you happiness",0.9983,2,6,2,6,18,6,22,6,6,5
3,3,/songs/332381,Zac Brown Band,As She's Walking Away,https://genius.com/Zac-brown-band-as-shes-walking-away-lyrics,http://api.genius.com/songs/332381,You Get What You Give,2010-08-23," We never spoke a word But every thought she had, I heard From across the room We were standing face to face I couldn't find the words to say Give me one more move I don't even know her name I guess foolish pride's to blame   Now I'm falling in love as she's walking away And my heart won't tell my mind To tell my mouth what it should say I may have lost this battle Live to fight another day Now I'm falling in love as she's walking away  [Verse 2: Zac Brown & Alan Jackson] Wise man next to me did say About the one that got away Son, I missed my chance Don't you let regret take place Of the dreams you have to chase Ask her to dance (Go on son)   You might fall down on your face Roll the dice and have some faith   Don't be falling in love as she's walking away When your heart won't tell my mind To tell my mouth what it should say You may have lost this battle Live to fight another day Don't be falling in love as she's walking away   You might fall down on your face Roll the dice and have some faith  [Chorus 2: Zac Brown & Alan Jackson] Don't be falling in love as she's walking away When your heart won't tell my mind To tell my mouth what it should say You may have lost this battle Live to fight another day Don't be falling in love as she's walking away",0.9371,7,3,1,3,10,22,21,12,5,11
4,4,/songs/1778905,Zac Brown Band,Beautiful Drug,https://genius.com/Zac-brown-band-beautiful-drug-lyrics,http://api.genius.com/songs/1778905,JEKYLL + HYDE,2015-09-21," I got a death wish Her looks can kill She’s got a red dress Lipstick and heels Pull me in Get me hooked like a junkie You got me feeling so high   You’re such a beautiful drug I can’t get enough Addicted and I’m dying for a hit of your love Got a death wish baby, baby Don’t want you to save me, save me   She lets her hair down And all of mine stand up Can’t help but stare now Gotta feel that touch Her kiss, my fix, so sweet Can’t quit those lips are a habit to me Sweet intoxication and I’m never getting sober I can tell that the effects are taking over Pull me in Get me hooked like a junkie You got me feeling so high tonight   You’re such a beautiful drug I can’t get enough I’m addicted and dying for a hit of your love I’m losing it baby Keep driving me crazy, crazy   Going out of my mind Staring at you Burning up in your fire that I’ve fallen into Got a death wish baby, baby Don’t want you to save me, save me Tonight",0.9829,12,8,7,11,18,18,22,11,8,10
5,5,/songs/1134321,Zac Brown Band,Better Day,https://genius.com/Zac-brown-band-better-day-lyrics,http://api.genius.com/songs/1134321,Far From Einstyne,2008-11-18,"The day started out like any other He woke up and his feet rolled off like lead It's a blessing and a curse to remember All the things that she once said I love you The sun came up slow today He's got to learn to live that way It's cold in his bed, it's cold in his bed He'll find some strength to linger on Past the footsteps of the dawn She's running through his head, she's running through His head And it matters, and it matters to him And it matters, she's underneath his skin She lives up underneath his skin He's gotta find a better day Five years now and still he knew The way she smiled when she said the news That their two would now be three A brand new baby Made his vows to last a life long Brought it to him wrapped it up Yeah he wrapped it in a song He wrapped his whole life in that song And it matters, and it matters to him And it matters, she's underneath his skin She lives up underneath his skin He's gotta find a better day He stays away from windy heights He's afraid that he might fly On his knees he asks God why On those slow nights he can still hear the flat line He can still hear the flat line And it matters, and it matters to him And it matters, she's underneath his skin She lives up underneath his skin He's gotta find a better day",0.9808,1,7,1,3,7,4,10,1,2,6
6,6,/songs/332513,Zac Brown Band,Big Fat Bitch,https://genius.com/Zac-brown-band-big-fat-bitch-lyrics,http://api.genius.com/songs/332513,Far From Einstyne,2008-11-18," We were driving to Birmingham, Alabama and my buddy Keith was driving the truck And this lady about ran us off the road in a Cadillac She just kind of smiled when she went by, and he has road rage and he said, ""Look at that Big, Fat Bitch"" So I grabbed my little travel guitar out of the back and went  Big fat bitch She's a big old, big old, fat bitch She goes to Ryan's and they say, Shit This one's going to cost us She's a big old bitch She's a big old bitch   She sweats grits You can hide a pound of dope Under one of her tits Big fat bitch  She's a big old bitch   Who stole Christmas The Grinch Who stole the Twinkies Big fat bitch  She's a big old bitch   Yeah, she had this Cajun friend Who had a pet alligator She ate that some bitch Like it was a green Now & Later Or a fried green da-mator You'd have to have a turbo-foaming car wash brush To masturbate her  She's a big old bitch She's a big old bitch   When she was eight years old she had a Pogo stick that would say, ""Hey Wanda"" And they'd go ""song-tong-thong-song-tong-thong"" And now her Pogo stick says, ""Holy fucking shit"" And they go ""Bount, bount""  She's a big old bitch She's a big olllllllld bitch   Yeah she gargles and drools and spits And she makes all kinds of noise She chases the ice cream man down Cunningham In her corduroys She goes (strumming of strings)  She's a big old bitch She's a big ollllllld big fat bitch",-0.9965,20,2,26,18,7,30,9,22,1,8
7,7,/songs/1778366,Zac Brown Band,Bittersweet,https://genius.com/Zac-brown-band-bittersweet-lyrics,http://api.genius.com/songs/1778366,JEKYLL + HYDE,2015-04-28,"Can’t tell where the sky begins and the water ends No clouds to hide the sun Waves playing me a symphony upon the sand As I lay drifting on the ocean with this bottle in my hand  Sat down on the boardwalk for a little while Your memory my company Something about this place had a way to make you smile You always loved the sound of waves  The wind whistling across my bottle still can’t blow away the sorrow That tomorrow you won’t be here with me So I raise it up and toast the day we met Won’t forget the way you love me, amazing way you love me   It’s bittersweet, you see You’re not here but I can feel you Every memory is on the tip of my tongue Close my eyes, see your face, hold on tight to yesterday And when I wake, it was just a dream It’s bittersweet  Doctor said there’s nothing we can do Took my hand said take me home To the only place half a chance to take the pain away Let me feel alive before I go  You said life is only borrowed So let’s wash away our sorrow That tomorrow I won’t be here with you Go and live your life with no regrets and don’t forget how much I love you I love you   It’s bittersweet, you see You’re not here but I can feel you Every memory is on the tip of my tongue Close my eyes, see your face, hold on tight to yesterday And when I wake, it was just a dream It’s bittersweet  I brought you back just like you wanted So you don’t ever have to leave And when I poured you across the southern sky, I couldn’t help but to cry I know you finally got your wings  Bitter-bittersweet Bittersweet  The wind whistling across my bottle still can’t blow away the sorrow That tomorrow you won’t be here with me So I raise it up and toast the day we met Won’t forget the way you love me, amazing way you love me It’s bittersweet",0.9825,0,7,1,5,13,10,18,7,5,7
8,8,/songs/1778910,Zac Brown Band,Castaway,https://genius.com/Zac-brown-band-castaway-lyrics,http://api.genius.com/songs/1778910,JEKYLL + HYDE,2016-04-25,"Pour me another one Make it a strong one We’re gonna have some fun tonight  I wanna be a castaway And leave the world behind Take a tropic holiday Say goodbye to keeping time Wasting away down by the coast Pacifico and chasing lime Easy living down in paradise  Pour me another one Make it a strong one We’re gonna have some fun tonight Just like the other one Make it a double rum We’re gonna castaway tonight  I’m in an island state of mind Don’t think I’m ever gonna leave I’d rather stay and watch the waves Move the sand beneath my feet Reggae on the radio Laying low and feeling high Easy living down in paradise  Pour me another one Make it a strong one We’re gonna have some fun tonight Just like the other one Make it a double rum We’re gonna castaway tonight Castaway   Castaway Ride the waves like we’re young ‘Cause time flies by and soon we’ll be older It’s better to live in the moment Than stuck in the past Fast asleep as the world passes by  Ay ay yo Where reality is history Oh yo eh Come and castaway with me Ay ay yo The good times are free and Nobody can take that away Oh yo eh Come and castaway with me  Pour me another one (Smiling in the islands, I’ve been) Make it a strong one We’re gonna have some fun tonight (For a little while I’ll be a castaway Gonna let the sun shine in) Just like the other one (Smiling in the islands, I’ve been) Make it a double rum We’re gonna castaway tonight (For a little while I’ll be a castaway Gonna let the sunshine in)  Pour me another one (Smiling in the islands, I’ve been) Make it a strong one We’re gonna have some fun tonight (For a little while I’ll be a castaway Gonna let the sun shine in) Just like the other one (Smiling in the islands, I’ve been) Make it a double rum We’re gonna castaway tonight (For a little while I’ll be a castaway, castaway Gonna let the sunshine in) (Smiling in the islands, I’ve been Make it a strong one We’re gonna have some fun tonight)",0.9974,1,16,2,3,19,4,28,5,7,5
9,9,/songs/82215,Zac Brown Band,Chicken Fried,https://genius.com/Zac-brown-band-chicken-fried-lyrics,http://api.genius.com/songs/82215,Home Grown,2008-11-18," You know I like my chicken fried Cold beer on a Friday night A pair of jeans that fit just right And the radio up   Well I was raised up beneath the shade of a Georgia Pine And that's home you know Sweet tea, pecan pie, and homemade wine where the peaches grow And my house it's not much to talk about But it's filled with love that's grown in southern ground   And a little bit of chicken fried Cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I've seen the sun rise See the love in my woman's eyes Feel the touch of a precious child And know a mother's love   It's funny how it's the little things in life that mean the most Not where you live, what you drive, or the price tag on your clothes There's no dollar sign on a piece of mind This I've come to know So if you agree, have a drink with me Raise you glasses for a toast   To a little bit of chicken fried Cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I've seen the sun rise See the love in my woman's eyes Feel the touch of a precious child And know a mother's love   I thank God for my life And for the stars and stripes May freedom forever fly, let it ring Salute the ones who died The ones that give their lives so we don't have to sacrifice All the things we love   Like our chicken fried And cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I've seen the sun rise See the love in my woman's eyes Feel the touch of a precious child And know a mother's love   Get your little chicken fried Cold beer on a Friday night A pair of jeans that fit just right And the radio up Well I've done seen the sun rise See the love in my woman's eyes Feel the touch of a precious child And know a mother's love",0.9991,0,20,0,6,38,11,46,5,9,15
