,api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics,polarity,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,/songs/4182016,ZAYN,Allah duhai hai,https://genius.com/Zayn-allah-duhai-hai-lyrics,http://api.genius.com/songs/4182016,None,2018-09-18,Tera tha mera hi main har dafa Tujhi pe mita hoon hun kari na tabaah Hai aata maza ishq mein tabhi Beparwah hoke tu bhi hoja mujhpe tabaah  Jhoothi mohabbat teri zaroorat Badi zaleel sataana wah teri adaa Nasha… tera… Nasha… nashila nashila hai  Allah duhai hai Phir bewafai hai Mushqil rihaai hai Haan tere pyar mein  Allah duhai hai Phir bewafai hai Mushqil rihaai hai Haan tere pyar mein  Kaise main maanu jo ye dil de raha gawahi Teri farebi aankhon se bachaye illahi Masoom chehre mein chhupa ek hi raaz hai Race meri saanson ki le aayegi tabahi  Sukoon bhi tu Nasha bhi tu Hai shauq bhi mera Hai sir pe chadha junoon hai tera  Sukoon bhi tu Nasha bhi tu Hai shauq bhi mera Hai sir pe chadha junoon hai tera  Nasha… tera… Nasha… nashila nashila hai  Allah duhai hai Phir bewafai hai Mushqil rihaai hai Haan tere pyar mein  Allah duhai hai Phir bewafai hai Mushqil rihaai hai Haan tere pyar mein  Allah…  Allah duhai hai Phir bewafaayi hai Mushkil rihaai hai Haan tere pyaar mein  Allah duhai hai Phir bewafaayi hai Mushkil rihaai hai Haan tere pyaar mein,0.0,0,0,0,0,0,0,4,0,0,2
1,/songs/4152758,ZAYN,All That,https://genius.com/Zayn-all-that-lyrics,http://api.genius.com/songs/4152758,Icarus Falls,2018-12-14," When I woke up this morning The sun had just dawned in My bed, or your bed Was the first or the last time I don't care, it feels right I'm not, not stopping all night Things fall apart and in a part you feel distant Reactions are instant if emotions are constant Let's say for instance that you had a conscience Would you take the time then to weigh out the options   All that, all that You can give me all that All that, all that All that, all that You can give me all that All that, all that Stay here in the morning You can take it all back All back, all back Lay here, if you want to You can give me All that, all that, all that   Never cross my mind Have I crossed the lines Or is there more to find, more to find? I think inside immortalized Mortalized, more to life Coming from both sides An attack of the mind Like Optimus Prime in his prime Kick it, don't skip it, to the finish line This minute's mine   All that, all that You can give me all that All that, all that (You can give me all that) All that, all that You can give me all that All that, all that Stay here in the morning You can take it all back All back, all back Lay here, if you want to You can give me All that, all that, all that  All that, all that You can give me all that All that, all that (You can give me all that) All that, all that You can give me all that All that, all that Stay here in the morning You can take it all back All back, all back Lay here, if you want to You can give me All that, all that, all that",-0.3933,3,5,0,2,1,5,8,2,1,6
2,/songs/4152788,ZAYN,Back to Life,https://genius.com/Zayn-back-to-life-lyrics,http://api.genius.com/songs/4152788,Icarus Falls,2018-12-14," Oh, oh Oh, oh   What if I changed my mind? What if I said it's over? I been flying so long Can't remember what it was like to be sober What if I lost my lives? What if I said game over? What if I forget my lines And I lose all my composure?   Honestly she's the only one that's watching over me Gives me oxygen when it gets hard to breathe And if I'm wrong or right She's always on my side And if I lose the fight   I know she'll bring me back Bring me back, bring me back to life Bring me back Bring me back, bring me back to life   What if we never met? What if I never saw her? 'Cause I've been burning up for so long In a world that just keeps getting colder   Honestly she's the only one that's watching over me Gives me oxygen when it gets hard to breathe And if I'm wrong or right She's always on my side And if I lose the fight   I know she'll bring me back Bring me back, bring me back to life Bring me back Bring me back, bring me back to life   Nobody does this like you I've been around the world I seen a lot of girls I been a lot of places I seen a lot of faces Nobody does this like you   Honestly she's the only one that's watching over me Gives me oxygen when it gets hard to breathe And if I'm wrong or right She's always on my side And if I lose the fight I know she'll bring me back to life",-0.9498,7,2,4,8,0,12,2,5,4,0
3,/songs/3836126,ZAYN,Bed Peace,https://genius.com/Zayn-bed-peace-lyrics,http://api.genius.com/songs/3836126,None,2018-07-13," Wake up, wake up Gotta get this paper, get this cake up Gotta do her hair, gotta put on makeup Gotta act like I care about that fake stuff Straight up what a waste of my day If I had it my way I'd roll out of bed Say bout 2:30 mid day Hit the blunt then, hit you up to come over to my place You show up right away We make love and then we fuck And then you'd give me my space   What I am trying to say is That love is ours to make so we should make it Everything else can wait (Everything else can wait) The time is ours to take so we should take it   Wake up, wake up, bake up Gotta heat the vape up Lets get faded Gotta call your job tell em' you won't make it Ain't nobody here baby lets get wasted We should just get naked Cause I be working hard and I know you be on that same shit Every other day's a different game that you just can't win I just want to ease your mind and make you feel all right So you gin’ be my baby mama, you gon be with me tonight   What I am trying to say is That love is ours to make so we should make it Everything else can wait (Everything else can wait) The time is ours to take so we should take it   It's not love, but it's pretty close Hot fudge and a little smoke I didn't mean it means nothing to you Hands locked on my black couch with nothing to do Can't stop on cloud 20 Buried in the drugs, but the feels keeps coming Finally stop crying, but your nose is still running Wipe it on my shirt, on my sleeve You tell me that you wanna do it big I love it when you say ""guess what?"" Doin’ all your fucked up shit And I wonder why I'm all messed up Cause we gotta be responsible sometimes Being a class act nevermind my alumni I don't wanna be around a baby so dumb high That I don't see the beauty of a momma on insides Curled up with my head on your chest It's the best remedy for the pain and the stress If the world doesn't change then we'll never get dressed It will be like this to the kiss of the death Of my soul, bowl of the blue dream, no Not a good team, once soul, two halves No joke, who laughs? Just us   Okay, got this OJ and Jose Mixed it up with that Rose We gon' do this our own way Alright, okay What is it that you're smoking? Piece it up with this peace and love And this peace and love like the old days   What I am trying to say is That love is ours to make so we should make it Everything else can wait The time is ours to take so we should take it   Stay right here with ya Lay right here with ya Cause everything is okay right here You should stay right here We should lay right here, oh Cause everything is okay right here",0.9896,8,17,7,4,20,22,26,7,6,11
4,/songs/2372597,ZAYN,BeFoUr,https://genius.com/Zayn-befour-lyrics,http://api.genius.com/songs/2372597,Mind of Mine,2016-03-25," I've done this before Not like this   I don't drink to get drunk I feel all the right funk If there's something I want I'll take all the right wrongs Now, I'm gonna stay in my zone I'm tired of picking that bone And I can't be bothered To fight it no more, no   Numb on a roof Set it on fire Just to give me proof I'm living on a wire Numb on a roof Set it on fire Just to give me proof I'm living on a wire   So say what you wanna say, what you wanna So say what you wanna say, what you gotta say, now So say what you wanna say, what you want Shame is you won't say that to my face   I've done this before Not like this, not like this   Time for me to move on So many hours have gone Heart beats the pump of my blood No strings for you to pull on You've got your tongue in your cheek So pardon if I don't speak Can't tune my chords Into your songs, no   Numb on a roof Set it on fire Just to give me proof I'm living on a wire   So say what you wanna say, what you wanna So say what you wanna say, what you gotta say, now (So say what you wanna say) So say what you wanna say, what you want Shame is you won't say that to my face   I've done this before Not like this, not like this   Flashing lights, so say what you wanna say, what you wanna So say what you wanna say, what you gotta say, now So say what you wanna say, what you want Shame is you won't say that to my face So say what you wanna say, what you wanna So say what you wanna say, what you gotta say, now So say what you wanna say, what you want Shame is you won't say that to my face   I've done this before Not like this, not like this I've done this before Not like this, not like this",-0.9931,1,1,4,8,0,11,4,5,0,5
5,/songs/2435397,ZAYN,BLUE,https://genius.com/Zayn-blue-lyrics,http://api.genius.com/songs/2435397,Mind of Mine,2016-03-25," In the clouds where the angels sing In her eyes, where I wanna be and her smile is all I see She knows I need her loving She knows I need her touching She plays with my heart and emotion I give her my love and devotion She gives thoughts and a notion I need her body, it needs me too   I need somebody to love me blue   I've been doing it wrong for too long I said I've been at it wrong for too long I've been doing it wrong for too long   In the clouds where the angels sing It's her smile, yeah, it's all I see In her eyes where I wanna be She knows I need her loving She knows I need her touching She plays with my heart and emotion I give her my love and devotion She gave me her thought and a notion I need her body, she needs me too   I need somebody to love Love me blue Love me blue Love me blue Love me blue",0.994,0,9,0,0,16,3,18,7,4,8
6,/songs/2435389,ZAYN,BoRdErZ,https://genius.com/Zayn-borderz-lyrics,http://api.genius.com/songs/2435389,Mind of Mine,2016-03-25," She is the life of the party Don't stick that knife in my body It's something she always wanted It's for a good cause, you're doing a good job   And we're off where the wind blows I don't care where we go Just like the ocean, you change what I see They don't know what I know How long I've had to hold You're like a commotion, all because of me   So take it off, let's break down all of our walls Right now, I wanna see it all I don't wanna cool off, so let's cross the lines we lost Right now, I wanna see it all You were right on the border Give me all of this, give me all of you No falling in, don't need no proof   Beautiful insanity You're like a movie, change the scene Taste your sweet profanity It's all for a good cause, think you're doing a good job   They don't know what I know How long I've had to hold You're like a commotion, all because of me   So take it off, let's break down all of our walls Right now, I wanna see it all I don't wanna cool off, so let's cross the lines we lost Right now, I wanna see it all You were right on the border Give me all of this, give me all of you No falling in, don't need no proof You were right on border   Give me all of this, give me all of you No falling in, don't need no proof Give me all of this, give me all of you No falling in, don't need no proof   So take it off, let's break down all of our walls Right now, I wanna see it all I don't wanna cool off, so let's cross the lines we lost Right now, I wanna see it all You were right on the border Give me all of this, give me all of you No falling in, don't need no proof You were right on the border Give me all of this, give me all of you No falling in, don't need no proof You were right on the border",0.6822,7,7,1,6,6,16,24,13,8,24
7,/songs/2435400,ZAYN,BRIGHT,https://genius.com/Zayn-bright-lyrics,http://api.genius.com/songs/2435400,Mind of Mine,2016-03-25," I found my life in between shots and getting high The cage I was in fell away when she asked me to dance again, yeah I found my life in between a first kiss and a last goodbye The dust settled down, now I can see through the crowd   I'm loving the colour white Surrounding your colored eyes Though she is the kryptonite She stays in my crib tonight I light her like dynamite Load her like gigabyte Turn out the fucking lights I wanna see you bright   I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you   For the love in my mind, love for the bass She likes getting high just for the day She's different in night, she knows what I say Free of the flash, dirt on your shoes, I don't know you   I'm loving the colour white Surrounding your coloured eyes Though she is the kryptonite She stays in my crib tonight I light her like dynamite Load her like gigabyte Turn out the fucking lights I wanna see you bright   I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you bright   I found my life in between shots and getting high The cage I was in fell away when she asked me to dance again   I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you bright I wanna see you",0.9976,2,3,1,2,12,8,13,6,3,10
8,/songs/3826317,ZAYN,Can't Help Falling In Love,https://genius.com/Zayn-cant-help-falling-in-love-lyrics,http://api.genius.com/songs/3826317,None,2018-07-08," Wise men say Only fools rush in But I can't help falling in love with you Shall I stay? Would it be a sin? For I can't help falling   Like a river flows Surely to the sea Darling, so it goes Some things are meant to be   Take my hand Take my whole life too For I can't help falling in love with you   Like a river flows Surely to the sea Darling, so it goes Some things are meant to be   Take my hand Take my whole life, too For I can't help falling in love with you Falling in love with you I've been falling for you, baby I, I can' help falling I just can't help falling in love I, I can' help falling I just can't help falling in love I just can't help falling in love",0.9943,1,0,2,1,10,13,15,12,0,2
9,/songs/4309550,ZAYN,Cigarettes*,https://genius.com/Zayn-cigarettes-lyrics,http://api.genius.com/songs/4309550,None,2018-09-18," Your lips, my lips, our lips Take a hit Your lips, my lips, our lips You savor it   Probably you're bad for me When I take it in It's like air to me, can't stop breathing Keep it burning, it's your turn I want you, I want you right now You're my dream, my nicotine, I want you I need you just like   Cigarettes Oh baby, like cigarettes We'll all be forgetting, quit your regret like cigarettes Cigarettes Disappear like cigarettes We'll be so short of breath Our hearts still on edge like cigarettes   Your lips, my lips, our lips Take a hit Your lips, my lips, our lips You savor it   In my bloodstream, one more hit Clouded in your loving But I follow it Keep it burning, it's your turn I want you, I want you right now You're my dream, my nicotine, I want you I need you just like   Cigarettes Oh baby, like cigarettes We'll all be forgetting, quit your regret like cigarettes Cigarettes Disappear like cigarettes We'll be so short of breath Our hearts still on edge like cigarettes (Oh baby)   Your lips, my lips, our lips Take a hit Your lips, my lips, our lips You savor it   Searching [?] my love, that's all I need Searching [?] my love Searching [?] my love, that's all I need Searching [?] my love But you don't respond to me like   Cigarettes Oh baby, like cigarettes We'll all be forgetting, quit your regret like cigarettes Cigarettes Disappear like cigarettes We'll be so short of breath Our hearts still on edge like cigarettes   Your lips, my lips, our lips Take a hit Your lips, my lips, our lips You savor it",0.9959,6,4,7,4,13,33,14,9,0,6
