name,year
Chris Brown,2006
Nickelback,2006
Rascal Flatts,2006
Sean Paul,2006
The Pussycat Dolls,2006
Rihanna,2006
Mary J. Blige,2006
The Fray,2006
Justin Timberlake,2006
James Blunt,2006
The All-American Rejects,2006
Beyonce,2006
Kelly Clarkson,2006
Carrie Underwood,2006
T.I.,2006
Fall Out Boy,2006
Daniel Powter,2006
The Black Eyed Peas,2006
Eminem,2006
Natasha Bedingfield,2006
Gnarls Barkley,2006
Yung Joc,2006
Chamillionaire,2006
Nelly Furtado,2006
Mariah Carey,2006
Shakira,2006
Red Hot Chili Peppers,2006
Kenny Chesney,2006
Panic! At The Disco,2006
Fergie,2006
Jamie Foxx,2006
Cassie,2006
Nelly,2006
Christina Aguilera,2006
Dem Franchize Boyz,2006
Hinder,2006
T-Pain,2006
Ludacris,2006
Keyshia Cole,2006
KT Tunstall,2006
Kanye West,2006
Snow Patrol,2006
Tim McGraw,2006
Keith Urban,2006
Toby Keith,2006
D4L,2006
Juelz Santana,2006
Madonna,2006
Josh Turner,2006
Akon,2007
Daughtry,2007
Avril Lavigne,2007
Gwen Stefani,2007
Timbaland,2007
Maroon 5,2007
Linkin Park,2007
JAY-Z,2007
Ciara,2007
Plain White T's,2007
P!nk,2007
Brad Paisley,2007
Taylor Swift,2007
Robin Thicke,2007
Lloyd,2007
Unk,2007
Shop Boyz,2007
Sean Kingston,2007
My Chemical Romance,2007
John Mayer,2007
Amy Winehouse,2007
Bow Wow,2007
Sugarland,2007
50 Cent,2007
Snoop Dogg,2007
R. Kelly,2007
Josh Groban,2007
Alicia Keys,2008
Leona Lewis,2008
Miley Cyrus,2008
Jordin Sparks,2008
Jonas Brothers,2008
Coldplay,2008
Flo Rida,2008
Colbie Caillat,2008
Katy Perry,2008
Usher,2008
Sara Bareilles,2008
OneRepublic,2008
Kid Rock,2008
Britney Spears,2008
George Strait,2008
Plies,2008
The-Dream,2008
Eagles,2008
Jason Mraz,2008
Paramore,2008
Lady Gaga,2009
Kings Of Leon,2009
Zac Brown Band,2009
Drake,2009
Keri Hilson,2009
Shinedown,2009
David Cook,2009
Jason Aldean,2009
Green Day,2009
Lady Antebellum,2009
Darius Rucker,2009
Kid Cudi,2009
3OH!3,2009
Jeremih,2009
Kesha,2010
Justin Bieber,2010
Susan Boyle,2010
Jason Derulo,2010
Taio Cruz,2010
Train,2010
Trey Songz,2010
Bruno Mars,2010
Adam Lambert,2010
Michael Jackson,2010
Young Money,2010
Andrea Bocelli,2010
Iyaz,2010
Owl City,2010
Mike Posner,2010
Nicki Minaj,2010
Glee Cast,2010
Jay Sean,2010
Selena Gomez,2010
Miranda Lambert,2010
The Script,2010
David Guetta,2010
Sade,2010
Enrique Iglesias,2010
Kris Allen,2010
La Roux,2010
Travie McCoy,2010
Gucci Mane,2010
Monica,2010
Casting Crowns,2010
Luke Bryan,2010
Billy Currington,2010
Blake Shelton,2010
Jack Johnson,2010
Orianthi,2010
Easton Corbin,2010
Far East Movement,2010
Norah Jones,2010
Rick Ross,2010
Neon Trees,2010
Reba McEntire,2010
Hayley Williams,2010
Melanie Fiona,2010
Shontelle,2010
The Band Perry,2010
Adele,2011
Wiz Khalifa,2011
U2,2011
LMFAO,2011
Bon Jovi,2011
Take That,2011
Jennifer Lopez,2011
Foster The People,2011
Mumford & Sons,2011
Lupe Fiasco,2011
Roger Waters,2011
Bad Meets Evil,2011
Miguel,2011
Eric Church,2011
Don Omar,2011
Waka Flocka Flame,2011
Hot Chelle Rae,2011
Thompson Square,2011
Christina Perri,2011
Foo Fighters,2011
Scotty McCreery,2011
Kelly Rowland,2011
Diddy - Dirty Money,2011
Chris Young,2011
The Beatles,2011
Florence + The Machine,2011
Journey,2011
Demi Lovato,2011
DJ Khaled,2011
One Direction,2012
fun.,2012
Carly Rae Jepsen,2012
Gotye,2012
Bruce Springsteen,2012
Whitney Houston,2012
The Wanted,2012
Skrillex,2012
Tyga,2012
Ellie Goulding,2012
Calvin Harris,2012
The Black Keys,2012
2 Chainz,2012
Big Sean,2012
J. Cole,2012
Little Big Town,2012
Gym Class Heroes,2012
Lionel Richie,2012
Hunter Hayes,2012
Jessie J,2012
Van Halen,2012
Alex Clare,2012
Dave Matthews Band,2012
Lee Brice,2012
Kimbra,2012
Kip Moore,2012
Dierks Bentley,2012
Phillip Phillips,2012
Gavin DeGraw,2012
Lana Del Rey,2012
Macklemore & Ryan Lewis,2013
Imagine Dragons,2013
Florida Georgia Line,2013
Baauer,2013
Lorde,2013
Daft Punk,2013
Avicii,2013
Ariana Grande,2013
Ed Sheeran,2013
The Rolling Stones,2013
Anna Kendrick,2013
AWOLNATION,2013
Future,2013
Capital Cities,2013
A$AP Rocky,2013
Depeche Mode,2013
Pharrell Williams,2013
Of Monsters And Men,2013
Rod Stewart,2013
Swedish House Mafia,2013
Zedd,2013
Wale,2013
Muse,2013
The Weeknd,2013
Paul McCartney,2013
Randy Houser,2013
Icona Pop,2013
Iggy Azalea,2014
Sam Smith,2014
John Legend,2014
5 Seconds Of Summer,2014
Meghan Trainor,2014
Bastille,2014
MAGIC!,2014
Charli XCX,2014
Nico & Vinz,2014
Passenger,2014
Brantley Gilbert,2014
Idina Menzel,2014
Sia,2014
YG,2014
American Authors,2014
Tove Lo,2014
Juicy J,2014
ScHoolboy Q,2014
Kid Ink,2014
Austin Mahone,2014
Aloe Blacc,2014
Cole Swindell,2014
Billy Joel,2014
Martin Garrix,2014
Disclosure,2014
Romeo Santos,2014
A Great Big World,2014
Lil Jon,2014
DJ Snake,2014
Arctic Monkeys,2014
Cher,2014
Elton John,2014
MKTO,2014
Childish Gambino,2014
Fetty Wap,2015
Mark Ronson,2015
WALK THE MOON,2015
Hozier,2015
Sam Hunt,2015
Nick Jonas,2015
Silento,2015
OMI,2015
Rae Sremmurd,2015
Shawn Mendes,2015
Rachel Platten,2015
Fifth Harmony,2015
Andy Grammer,2015
Pentatonix,2015
Fleetwood Mac,2015
Meek Mill,2015
Charlie Puth,2015
Thomas Rhett,2015
Shania Twain,2015
Omarion,2015
X Ambassadors,2015
Vance Joy,2015
Rich Homie Quan,2015
Major Lazer,2015
Neil Diamond,2015
Elle King,2015
The Chainsmokers,2016
Bryson Tiller,2016
Zayn,2016
Desiigner,2016
G-Eazy,2016
Lukas Graham,2016
Kevin Gates,2016
DNCE,2016
Alessia Cara,2016
Daya,2016
Chris Stapleton,2016
Halsey,2016
Travis Scott,2016
Tory Lanez,2016
James Bay,2016
Troye Sivan,2016
David Bowie,2016
Kiiara,2016
Disturbed,2016
Bebe Rexha,2016
Lil Uzi Vert,2016
Logic,2016
Young Thug,2016
Chance The Rapper,2016
Camila Cabello,2016
Migos,2017
Post Malone,2017
Khalid,2017
Metallica,2017
Niall Horan,2017
Kodak Black,2017
21 Savage,2017
James Arthur,2017
Cardi B,2017
XXXTENTACION,2017
Harry Styles,2017
SZA,2017
Luis Fonsi,2017
Maluma,2017
French Montana,2017
Brett Young,2017
Daddy Yankee,2017
Liam Payne,2017
Luke Combs,2017
Julia Michaels,2017
Jon Pardi,2017
Quavo,2017
A Boogie Wit da Hoodie,2017
Tom Petty And The Heartbreakers,2017
Portugal. The Man,2017
Playboi Carti,2017
Kesha,2017
Kane Brown,2017
Juice WRLD,2018
Dua Lipa,2018
6ix9ine,2018
Lil Baby,2018
Ella Mai,2018
YoungBoy Never Broke Again,2018
Bazzi,2018
NF,2018
Lil Pump,2018
Marshmello,2018
Rich The Kid,2018
J Balvin,2018
Dan + Shay,2018
Ozuna,2018
Bad Bunny,2018
Lil Skies,2018
EXO,2018
BlocBoy JB,2018
Lauv,2018
Offset,2018
Metro Boomin,2018
Queen,2018
The Carters,2018
Old Dominion,2018
Maren Morris,2018
Lauren Daigle,2018
Gunna,2018
